DNB	Fibro	野百合碱	黄芪皂苷II	环黄芪醇	党参炔苷	野树漆苷	人参皂苷Rd	姜黄素	金丝桃苷
Lmo2	-4.472305171	0.316775366	0.407477579	0.061935668	0.156493866	0.123102621	-0.527138236	0.327755521	0.861163516
Fetub	-4.468097948	4	4	4	4	4	-1.047532789	4	4
Has1	-4.378557028	4	4	4	4	-4	4	4	4
Slc10a6	-4.174829742	4	4	4	4	4	4	2.268230802	4
Klf4	-3.390434724	-0.07192573	0.460281356	0.50099192	-0.161114517	-0.162590895	-0.290686864	-0.002856167	1.208138375
Nr4a1	-2.890681876	0.175285211	-0.155000521	0.2219098	-0.011697077	-0.088481386	-0.654306634	1.730230093	-0.069710715
Trib1	-2.822294326	-0.009238663	-0.367758656	0.235350152	0.110205383	0.09905082	0.105205681	0.667677864	0.155332099
Ptgs2	-2.82096169	0.265124234	4.00659593	4.880046211	1.378102487	-2.898039941	-1.312639053	-1.594269231	1.445620461
Nr4a2	-2.795671683	-0.220824597	-0.004084142	0.006578367	-0.138149799	0.01255559	-0.015547719	0.612670461	1.062449776
Pde4b	-2.702357346	4	1.156263034	0.609626174	4	-4	2.514240212	-1.438233174	-1.094850804
F2rl1	-2.513892397	-0.156086239	-0.314258574	0.023884887	-0.023890389	-0.034703805	-0.13974654	0.80001357	0.155550497
Cxcl1	-2.453483016	0.288250998	0.055802288	0.72347758	4	-2.115877715	-0.028405509	-0.049769778	-0.730960905
Sgk1	-2.42363528	-0.528458804	0.146673424	0.331191411	-0.069177936	-0.029156661	0.045107115	-0.949996567	0.774145661
Gem	-2.404515823	0.848160336	0.77513231	1.956701965	0.01869747	-0.162615388	-0.839809721	2.074665209	2.453879804
Tgm2	-2.333091747	1.024626932	0.300036839	0.70343078	-0.102570901	0.11238909	-0.314450415	-2.186982562	-1.115722129
Nr4a3	-2.281314485	-0.299830536	-0.220917843	-0.407687691	0.289519938	0.131468511	-0.298898896	1.215502751	0.023844041
Il6	-2.256950501	0.23713655	-0.99292203	-4	-0.02340748	-4	-4	-1.000134432	-1.210520302
Egr3	-2.236538685	0.371373704	0.084755234	0.594777929	-0.003306885	-0.06025877	-0.258397638	-2.560508733	0.343592443
Hspa1a	-2.12153649	0.392054284	0.292520718	0.318450811	-0.262211468	0.008729236	-0.634815766	1.807215313	0.236240642
Birc3	-2.109478509	-1.5543353	2.330082116	1.895335088	0.908874085	0.242979766	0.167336026	1.24760878	1.835311828
Fosb	-2.109142794	-0.421817292	0.244431454	0.321553902	0.254967379	-1.420617427	-0.662926731	3.006882159	1.393149656
Gm41609	-2.0784005	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Maff	-2.063942494	0.980242085	0.020286095	0.393385062	-0.352684839	-0.226594936	-0.693694503	1.000160047	0.446872497
Arc	-2.03164782	1.051482144	0.22609256	0.636165901	-0.056074828	-0.129091463	-0.937712812	1.649304585	-0.268004003
Nfkb1	-2.020818588	0.157339412	-0.188878927	0.168127928	-0.291025916	-0.022227463	0.017381437	-0.060714982	0.082742865
Bhlhe40	-1.99265569	0.254719569	0.359859713	0.860955637	-0.071804046	0.067210101	-0.07386928	1.524978832	0.402109792
Plekho2	-1.99010385	0.69379849	-0.04633483	-0.012277663	-0.125960132	-0.006880582	-0.422168074	1.405702775	-0.526031152
Atf3	-1.938406893	0.546860237	-0.294151915	0.019417618	0.119001649	-0.125928011	-0.279244173	1.613108214	-0.15801483
Mpp7	-1.908554431	-0.836509953	-0.154591202	-0.587605895	0.165514767	0.173914034	0.42029361	0.371711655	1.820146915
Cxcl2	-1.876931149	4	4	4	4	-2.127301242	0.957488238	4	4
Pla1a	-1.873666265	4	4	4	4	4	4	4	4
Tnfaip6	-1.785481711	-4	4	4	-4	-4	4	-4	4
Cebpb	-1.722567008	0.584680566	0.092680591	0.199293181	-0.321787291	-0.266093417	-0.380611893	0.562134528	-0.473943277
Zfp36	-1.717597722	0.494224861	-0.391464508	0.119178644	-0.185924445	0.018082148	-0.12093663	0.809843246	-0.394918253
Tnfaip2	-1.634777244	0.511618012	-0.639876749	-0.338328721	-0.072152018	0.028288355	-0.345696745	-0.775630081	-0.94326805
Adamts4	-1.610453164	4	-2.029011116	-0.42158818	-4	-0.542560946	-2.201783779	1.495000758	0.320336086
Btg2	-1.606756967	0.729801483	-0.199658105	-0.141326579	-0.035110175	0.143676164	-0.1323858	1.046290178	-0.644046355
Sbno2	-1.574195053	0.436532777	-0.306967373	-0.005159438	-0.448456443	-0.04727008	-0.14580614	0.012468672	-0.473277534
Ugdh	-1.568633675	-0.521953305	0.161793682	0.17466522	0.095415391	0.103852442	0.118526925	-0.201568163	1.135422124
Phlda1	-1.548931203	0.009726366	-0.108231135	0.486676942	-0.03149748	-0.047972323	-0.376653931	-0.569622488	0.440417352
Gm26532	-1.518878648	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Gclc	-1.505846848	-0.707890526	-0.038314232	0.085490932	0.191168392	0.149310644	0.22390852	1.382831162	1.312694204
Lypla2	-1.453681217	0.335643859	0.225512349	0.059502883	0.048746987	-0.03402334	-0.43281318	-0.193015747	0.003557925
Smad3	-1.428710972	0.178360737	-0.057863401	0.076565104	-0.223759525	0.070914289	-0.034083858	0.423689595	0.486505927
Adamts9	-1.379522381	-0.311208718	-0.435860859	0.036721023	-0.229124971	0.355373928	-0.037388741	0.00263652	0.589301201
Ier3	-1.374606384	0.202791542	-0.179533211	0.064832314	-0.113356522	-0.188434114	-0.59716539	1.142900059	-0.36627833
Kdm6b	-1.366690499	0.499442076	-0.402372438	-0.06273046	-0.417953172	0.06130454	-0.134476832	1.128802179	-0.191254246
Opa3	-1.305375022	0.389946518	0.248860345	0.384465977	-0.290319913	-0.092676852	-0.383599973	-0.006564787	-0.050435981
Tiparp	-1.140301147	-0.478925011	-0.350611084	-0.340251798	0.229109003	-0.049208215	0.176520204	0.174523455	0.786328174
Egr2	-1.131535459	-0.521748011	-0.325546865	-1.164398744	0.739134825	-0.128975801	-0.448577999	-0.145689245	0.586669899
Dot1l	-1.033427783	0.404839244	-0.199582887	0.14099165	-0.49128908	-0.072874013	-0.184819599	0.256452907	-0.314536943
Ier5	-1.023204963	0.498080372	0.433526664	0.487921233	-0.114365774	-0.059133654	-0.415301861	1.522836736	0.118253978
Hsph1	-0.968775102	-1.175901162	-0.075777603	-0.358508203	0.501656454	0.258964979	0.153477925	1.416790176	1.54282539
Kcnip1	-0.94724686	4	4	4	4	4	4	4	4
Nfkbia	-0.92414199	0.52042755	-0.18623199	-0.102014333	-0.225947281	-0.035959225	-0.266760331	0.278826404	-0.264029868
Sertad1	-0.86383526	0.61009078	-0.048420705	-0.168723597	-0.153465451	-0.042299538	-0.308201062	1.606453462	-0.869461646
Atp1b3	-0.83121797	-0.269408088	-0.350549125	-0.111124372	-0.019263087	-0.070174385	-0.153091828	0.516874987	-0.364950926
Fosl2	-0.792923351	0.309189011	-0.228343569	0.071742425	-0.149126666	-0.046397552	0.032874397	-0.096790892	-0.026298495
Snai1	-0.729913062	0.365533861	-0.598461169	-0.383862454	-0.113273277	0.095784622	-0.633595444	1.868981982	-0.971812862
Gm17268	-0.705406527	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Pim1	-0.659700798	0.426288899	-0.027375957	0.164907322	-0.186676139	-0.082260207	-0.268430546	-0.418771202	0.650732934
Nol12	-0.597547907	0.423172378	0.038393769	-0.091759558	-0.087031798	-0.103959697	-0.421766506	-0.252451678	-0.554737998
Serpine1	-0.578725942	0.982932118	-0.466765459	0.034677215	-0.102206143	-1.247911429	0.447334398	0.062178293	-0.385489921
Ubash3b	-0.542091122	0.48645781	-1.096115646	-0.001986071	0.446528164	-0.172109924	-0.053999013	-0.375407209	-0.639817197
Khdrbs3	-0.303814269	0.515021581	0.702211504	1.378482533	-0.066555353	-0.358806161	-0.644557967	1.760215388	0.832749371
Nes	0.432506613	0.30821429	0.17149401	0.006679729	-0.468907396	-0.018390349	-0.532333888	-0.381481541	0.268508576
Irf3	0.436368816	0.331359186	-0.162479384	-0.139801665	-0.12778196	0.004610665	-0.307819173	-0.482708547	-0.793567507
Abce1	0.456335914	-1.0209459	-0.03385898	-0.453160136	0.736008039	0.154350218	0.129284674	-0.319493697	1.741952973
Rnf217	0.69178345	4	-4	-1.975401125	-4	0.212991146	-0.057949793	-0.550847912	0.805884452
Rras2	0.76655473	-0.26397277	-0.300135105	-0.47153827	0.396845401	-0.050584845	-0.078083786	0.244985678	0.372627045
Adam12	1.283728895	-0.478804686	-3.362839938	-3.242478451	-0.574878232	0.382903565	0.957226423	1.084709244	-0.843501409
Sms	1.32695809	-0.039791407	0.149529412	0.076116335	-0.040676506	-0.115869723	-0.149686362	-0.615948244	0.410287445
Fbxo33	1.41700106	-0.238560709	0.082484612	-0.033512795	0.048390904	-0.021822593	0.021602971	1.040166837	1.282163884
Depdc5	1.572064058	0.116749984	0.127308182	0.125791661	-0.221637385	-0.031422839	0.178699431	-0.297057244	0.608620687
Rgs2	1.826622888	-2.189021058	0.739984582	-0.943752605	0.717385834	-0.710212572	2.465235145	3.43397906	0.98761572
Ell2	1.91472499	-0.659990147	-0.251093534	-0.344295865	0.44209101	-0.070993198	0.328956295	1.436050494	0.835538887
