Gene_Symbol	avg_log2FC	p_val	pct.1	pct.2	p_val_adj
Acta2	5.212988817	1.69E-203	0.949	0.1	5.46E-199
Cthrc1	5.18061137	1.40E-183	0.875	0.078	4.53E-179
Gsn	-5.603850854	8.33E-181	0.687	1	2.69E-176
Fn1	4.107072623	2.35E-178	0.932	0.134	7.58E-174
Tpm2	3.142927736	8.55E-157	0.956	0.233	2.76E-152
Stmn1	5.748087044	2.49E-146	0.658	0.008	8.04E-142
Col1a1	2.544520714	1.13E-141	1	0.778	3.65E-137
Tagln	3.575385415	2.44E-131	0.8	0.108	7.88E-127
Csrp2	2.497978335	9.68E-131	0.968	0.382	3.13E-126
Dcn	-2.401972146	9.27E-130	0.976	0.998	2.99E-125
Selenoh	3.474118163	2.10E-124	0.77	0.126	6.78E-120
Ccn4	4.966188098	1.99E-116	0.572	0.018	6.42E-112
Myl9	4.943629977	4.73E-116	0.594	0.028	1.53E-111
H2afz	2.138868809	1.56E-114	0.971	0.644	5.03E-110
Pclaf	8.093338282	2.25E-110	0.509	0.005	7.28E-106
Serping1	-2.571673467	1.58E-109	0.553	0.925	5.11E-105
Loxl3	3.206896114	8.02E-109	0.711	0.096	2.59E-104
Mt2	-3.652324729	2.36E-107	0.557	0.904	7.63E-103
Marcksl1	3.606179839	1.33E-96	0.584	0.055	4.29E-92
Serpina3n	-3.745906055	8.48E-96	0.244	0.785	2.74E-91
Kif26b	5.583119651	1.85E-94	0.477	0.015	5.97E-90
Mt1	-3.226071876	5.41E-94	0.716	0.917	1.75E-89
Dpep1	-3.574488746	1.76E-93	0.286	0.793	5.68E-89
Pi16	-4.807752824	4.72E-89	0.156	0.726	1.52E-84
Cfh	-3.219437068	5.41E-87	0.342	0.799	1.75E-82
Ptn	5.388359811	6.90E-84	0.438	0.016	2.23E-79
Palld	3.389457693	1.68E-83	0.557	0.068	5.42E-79
Fabp5	3.011480468	4.34E-81	0.575	0.08	1.40E-76
Rrm2	7.803075531	5.19E-81	0.381	0.001	1.68E-76
Csrp1	2.037169843	1.57E-80	0.826	0.307	5.08E-76
Cd34	-2.951863541	2.26E-79	0.301	0.769	7.29E-75
Hmgn2	2.386337167	8.30E-76	0.689	0.172	2.68E-71
Spp1	3.867645741	9.06E-76	0.526	0.069	2.92E-71
Thy1	3.635178639	1.45E-75	0.484	0.049	4.68E-71
Birc5	6.635866008	2.15E-72	0.352	0.004	6.93E-68
Smoc2	-2.4842852	5.97E-71	0.499	0.805	1.93E-66
Cdk1	8.041398984	1.05E-69	0.333	0.001	3.38E-65
Spc24	4.86839435	1.31E-69	0.367	0.012	4.22E-65
Tyms	2.716667718	2.35E-69	0.54	0.085	7.60E-65
Tnc	2.071624634	2.66E-69	0.658	0.154	8.58E-65
Cdh2	3.961777655	2.29E-68	0.406	0.027	7.41E-64
Mcm6	3.243642992	2.77E-68	0.452	0.047	8.96E-64
Dut	2.122691447	1.91E-67	0.682	0.176	6.16E-63
Gmnn	4.66040583	1.07E-66	0.355	0.012	3.46E-62
Idh2	2.103685543	9.50E-65	0.597	0.119	3.07E-60
Tk1	6.20601562	7.98E-64	0.315	0.004	2.58E-59
Ddah1	3.420995727	9.13E-64	0.465	0.065	2.95E-59
Ccl9	3.755767589	8.34E-63	0.428	0.047	2.69E-58
Hmgb2	2.57590149	9.02E-63	0.56	0.116	2.91E-58
Junb	-2.095122215	1.50E-62	0.751	0.888	4.86E-58
Clec3b	-5.49919396	3.08E-62	0.054	0.533	9.94E-58
Hmgb3	3.505736322	9.06E-62	0.379	0.027	2.93E-57
Ly6a	-2.299085867	2.60E-59	0.499	0.776	8.39E-55
Entpd2	-3.928478295	3.40E-59	0.11	0.563	1.10E-54
Nt5dc2	2.973665337	4.57E-57	0.413	0.051	1.48E-52
Htra3	-3.003298717	5.18E-57	0.323	0.68	1.67E-52
Hells	5.048200966	9.57E-57	0.306	0.011	3.09E-52
Lig1	3.790296963	2.37E-56	0.337	0.021	7.65E-52
Igfbp4	-2.135124858	9.24E-56	0.489	0.759	2.98E-51
Mcm5	4.389925346	3.04E-54	0.286	0.007	9.82E-50
Cenpa	4.498539861	3.38E-54	0.298	0.012	1.09E-49
Cdca3	5.047439495	6.80E-53	0.281	0.008	2.19E-48
Steap1	3.261216122	6.87E-53	0.315	0.019	2.22E-48
Serpine2	-2.249848951	7.65E-53	0.411	0.744	2.47E-48
Phldb2	2.329058247	8.56E-53	0.467	0.083	2.76E-48
Ecscr	2.599984746	1.58E-52	0.425	0.065	5.10E-48
Ptprn	8.702502736	1.59E-52	0.252	0	5.13E-48
Ung	4.837694024	7.11E-52	0.284	0.011	2.29E-47
Mcm3	3.6294137	1.67E-51	0.323	0.025	5.40E-47
Tnxb	-4.364737866	4.70E-51	0.046	0.47	1.52E-46
Lama2	-2.231054638	1.61E-49	0.396	0.707	5.21E-45
Ltbp4	-2.724441638	2.04E-49	0.23	0.611	6.57E-45
Cenpm	5.093877056	2.36E-49	0.262	0.007	7.60E-45
Sparcl1	-3.306980319	2.48E-49	0.147	0.55	8.01E-45
Cebpd	-2.335792902	2.70E-49	0.531	0.763	8.70E-45
Runx1	2.380871459	4.06E-49	0.443	0.081	1.31E-44
Selenop	-2.159216914	8.00E-49	0.45	0.73	2.58E-44
Gins2	3.633637331	1.31E-48	0.318	0.029	4.23E-44
Mcm2	4.235396261	2.58E-48	0.269	0.011	8.34E-44
Gstm1	-3.505008401	2.91E-48	0.178	0.553	9.38E-44
Diaph3	3.882696401	4.42E-48	0.276	0.013	1.43E-43
Haus7	2.315377971	2.42E-47	0.416	0.071	7.82E-43
