Gene_Symbol	avg_log2FC	p_val	pct.1	pct.2	p_val_adj
Pf4	6.112999692	2.98E-113	0.879	0.113	9.62E-109
Lgals1	2.073055973	3.02E-111	0.993	0.769	9.75E-107
Arg1	3.539257314	8.18E-80	0.826	0.237	2.64E-75
Hp	-2.436554298	9.40E-72	0.327	0.828	3.03E-67
Ifitm6	-3.173957109	8.31E-68	0.184	0.674	2.68E-63
Ccl7	2.748851202	9.16E-66	0.807	0.228	2.96E-61
Mrc1	3.534404844	6.37E-64	0.658	0.068	2.06E-59
Ly6c2	-3.438047923	5.34E-59	0.085	0.525	1.72E-54
Spp1	4.249633227	1.32E-56	0.726	0.249	4.25E-52
Ccl12	5.003591147	1.51E-56	0.583	0.053	4.88E-52
Chil3	-2.576162973	4.77E-56	0.601	0.84	1.54E-51
Mgst1	-3.211964903	2.36E-55	0.091	0.516	7.63E-51
Napsa	-2.248971522	2.67E-48	0.238	0.641	8.61E-44
Runx1	-2.264528275	1.34E-47	0.351	0.718	4.33E-43
Dmkn	-3.197387531	1.51E-47	0.12	0.513	4.86E-43
Ccl24	4.753303369	3.36E-46	0.532	0.065	1.08E-41
Plcb1	-2.04782452	3.97E-45	0.301	0.7	1.28E-40
C1qb	3.334079731	2.37E-43	0.55	0.101	7.66E-39
Lrg1	-3.573188489	1.18E-41	0.114	0.463	3.82E-37
Ppbp	4.941288936	6.20E-41	0.462	0.042	2.00E-36
Morrbid	-2.321303378	1.29E-38	0.262	0.602	4.17E-34
Selenop	2.142441418	3.60E-37	0.718	0.362	1.16E-32
C1qc	3.325896822	1.24E-36	0.489	0.089	3.99E-32
Tbxas1	2.042737641	1.89E-36	0.612	0.172	6.09E-32
C1qa	3.934833147	8.15E-36	0.45	0.065	2.63E-31
Klra2	-2.33422145	1.35E-35	0.111	0.445	4.36E-31
Smox	-2.204151764	1.29E-34	0.216	0.546	4.16E-30
Cytip	-2.272275569	5.63E-34	0.181	0.513	1.82E-29
Tes	-2.867697831	3.10E-33	0.097	0.398	1.00E-28
Mmp8	-2.965660961	7.61E-32	0.063	0.338	2.46E-27
Psd3	4.75956912	3.60E-31	0.348	0.015	1.16E-26
Lcn2	-4.367043426	1.86E-30	0.021	0.243	5.99E-26
Cd38	3.058436285	1.97E-29	0.396	0.05	6.38E-25
Pdpn	3.424773104	3.47E-29	0.399	0.059	1.12E-24
Tarm1	-2.156538045	1.51E-28	0.13	0.418	4.86E-24
Cxcl3	3.620100893	1.94E-28	0.462	0.116	6.26E-24
Tspan13	-2.999258684	5.33E-27	0.045	0.279	1.72E-22
Cd244a	-3.260928542	7.52E-27	0.036	0.258	2.43E-22
Havcr2	-3.206684209	3.14E-26	0.039	0.258	1.02E-21
Ms4a7	3.372359951	1.69E-25	0.372	0.062	5.45E-21
Tubb2a	2.61951446	4.52E-25	0.354	0.047	1.46E-20
Hdac9	3.355903553	9.68E-25	0.339	0.045	3.12E-20
Lmnb1	-2.356185446	4.73E-24	0.162	0.421	1.53E-19
Gm9733	-2.448374306	5.99E-24	0.081	0.32	1.93E-19
Sell	-2.944985902	1.14E-23	0.055	0.273	3.68E-19
Csf2rb	-2.262473668	1.40E-23	0.141	0.395	4.53E-19
Folr2	4.638589274	2.80E-23	0.267	0.009	9.05E-19
Rnase4	2.092104689	3.09E-23	0.399	0.086	9.98E-19
Arhgap26	-2.154444952	6.24E-23	0.165	0.418	2.02E-18
Rhov	-4.043653759	5.73E-21	0.01	0.16	1.85E-16
Rab44	-4.737704753	4.76E-20	0.007	0.145	1.54E-15
Ltc4s	5.598076592	1.03E-19	0.229	0.009	3.31E-15
Cd163	9.024338781	1.76E-19	0.21	0	5.67E-15
Il1r2	-2.999309651	2.54E-19	0.04	0.22	8.20E-15
Nrp1	2.829628441	2.84E-19	0.294	0.047	9.17E-15
Cd177	-3.173282042	6.46E-19	0.024	0.181	2.09E-14
Ednrb	2.921678825	1.05E-18	0.28	0.042	3.38E-14
Trem1	-2.256904317	4.98E-18	0.073	0.267	1.61E-13
Rhoc	4.042183716	5.33E-17	0.213	0.015	1.72E-12
Ap1b1	3.911770978	9.56E-17	0.211	0.015	3.09E-12
Cbr2	5.002296409	9.80E-17	0.208	0.015	3.17E-12
Met	-3.698518393	2.36E-16	0.015	0.142	7.62E-12
Frmd4b	3.036209032	3.17E-16	0.238	0.033	1.02E-11
Bin1	2.193664302	3.29E-16	0.288	0.062	1.06E-11
Cd33	-2.571832489	1.02E-15	0.048	0.205	3.31E-11
Mt2	2.341183269	1.32E-15	0.346	0.113	4.27E-11
Nudcd2	2.750081925	1.40E-15	0.234	0.033	4.52E-11
Fcrls	5.053428533	4.86E-15	0.186	0.012	1.57E-10
Gpat3	-2.094825176	6.54E-15	0.097	0.276	2.11E-10
Ifitm1	-2.190503023	1.79E-14	0.141	0.329	5.78E-10
Arg2	-2.201998971	1.90E-14	0.07	0.234	6.14E-10
Itsn1	2.877808951	1.93E-14	0.211	0.027	6.24E-10
Casp6	-2.150111478	4.04E-14	0.058	0.214	1.30E-09
Alas1	-2.044079939	4.33E-14	0.072	0.231	1.40E-09
Mtss1	3.236281992	6.46E-14	0.193	0.021	2.09E-09
Gm46224	-2.160531862	1.76E-13	0.078	0.237	5.69E-09
Dip2c	2.568664244	2.17E-13	0.228	0.045	7.00E-09
Spint1	-3.169649507	4.46E-13	0.016	0.125	1.44E-08
Nrp2	2.921303527	4.68E-13	0.19	0.024	1.51E-08
Mertk	2.872467883	9.32E-13	0.171	0.015	3.01E-08
Gja1	3.706477632	9.54E-13	0.163	0.012	3.08E-08
Dgat2	-3.229177312	1.26E-12	0.024	0.136	4.07E-08
Gm37982	-2.827252723	1.84E-12	0.03	0.148	5.94E-08
Galk1	2.479428918	2.20E-12	0.19	0.027	7.10E-08
4930430E12Rik	2.428847832	3.13E-12	0.187	0.027	1.01E-07
Sbf2	2.883747275	1.06E-11	0.165	0.018	3.43E-07
Gfod1	-3.307431436	1.69E-11	0.016	0.113	5.45E-07
Timp2	2.84599872	2.92E-11	0.189	0.036	9.43E-07
Ramp1	-2.381624872	3.64E-11	0.03	0.139	1.17E-06
Vat1	2.009504036	5.05E-11	0.208	0.047	1.63E-06
Mocs2	2.204808494	1.01E-10	0.193	0.042	3.25E-06
Exosc5	2.22405911	1.01E-10	0.186	0.036	3.27E-06
Fcgrt	2.96880985	1.09E-10	0.18	0.036	3.52E-06
Itgal	-3.07109127	1.15E-10	0.016	0.107	3.72E-06
Wwp1	3.089501485	1.21E-10	0.156	0.021	3.89E-06
Commd10	2.17344535	1.37E-10	0.18	0.033	4.42E-06
Cxcl1	4.539273822	1.91E-10	0.151	0.021	6.16E-06
Vdr	-2.9150726	2.05E-10	0.036	0.142	6.62E-06
Sfxn1	2.031571464	7.65E-10	0.184	0.042	2.47E-05
Smim20	2.098163374	7.92E-10	0.175	0.036	2.56E-05
Arl11	3.003195768	8.72E-10	0.124	0.009	2.82E-05
Nme4	6.691455785	9.97E-10	0.103	0	3.22E-05
Cenpa	-2.764948244	1.07E-09	0.018	0.104	3.45E-05
St6gal1	2.280579186	1.70E-09	0.154	0.027	5.48E-05
Sdc3	2.350839348	2.00E-09	0.168	0.036	6.45E-05
Ero1lb	-2.000960442	2.24E-09	0.061	0.178	7.22E-05
Etv5	2.538709271	2.64E-09	0.147	0.024	8.51E-05
Exosc4	2.262092299	4.40E-09	0.159	0.033	0.000142133
Pkd1l2	-2.33484188	1.03E-08	0.034	0.128	0.000333304
Csf3r	-2.375040331	1.04E-08	0.031	0.122	0.000335092
Mesd	2.084618651	1.05E-08	0.147	0.027	0.000337685
Evi5	2.312543995	1.10E-08	0.15	0.03	0.000355274
Pdlim4	2.81509923	1.19E-08	0.127	0.018	0.000382959
Siglece	-2.447915221	1.27E-08	0.031	0.122	0.000411086
4930545L23Rik	-4.069254575	2.37E-08	0.003	0.056	0.000765664
Fam3c	2.331775744	2.91E-08	0.139	0.027	0.000938126
F7	2.736191599	3.18E-08	0.117	0.015	0.001026937
B3gnt5	-2.472343206	3.55E-08	0.013	0.083	0.001144919
Runx2	-2.363129155	3.98E-08	0.025	0.107	0.001285426
Gm34455	-2.354692305	4.12E-08	0.027	0.11	0.001328942
Kcnn4	2.781061963	5.32E-08	0.109	0.012	0.00171706
AI506816	2.492500723	5.39E-08	0.126	0.021	0.001740517
