Gene_Symbol	logFC	pv	pct.1	pct.2	p_val_adj
Ccl2	-5.348520799	0	0.059	0.752	0
S100a4	-2.758631769	0	0.186	0.826	0
Chil3	-4.16872823	0	0.097	0.697	0
Ccl9	-2.947703311	0	0.274	0.84	0
Pkm	-2.300884977	0	0.459	0.959	0
S100a6	-2.030476792	0	0.49	0.973	0
C1qa	2.345945778	0	0.969	0.497	0
Plin2	-2.108338468	0	0.488	0.947	0
C1qc	2.280932195	0	0.96	0.553	0
Selenop	2.840224843	0	0.948	0.607	0
Cstb	-2.135644492	0	0.66	0.987	0
Apoe	2.41365479	0	1	0.971	0
Cebpb	-2.610113097	2.32E-307	0.247	0.824	7.49E-303
Ccl7	-4.861048269	3.51E-307	0.076	0.658	1.13E-302
Ccl6	-3.023197945	3.33E-303	0.378	0.854	1.07E-298
Mif	-2.254441838	3.84E-279	0.289	0.835	1.24E-274
Thbs1	-4.053481185	5.85E-241	0.045	0.539	1.89E-236
Fn1	-2.760567186	6.62E-239	0.131	0.655	2.14E-234
Hspa5	-2.343908515	7.44E-239	0.281	0.78	2.40E-234
Pltp	3.755230561	1.68E-236	0.576	0.094	5.43E-232
Nme1	-2.066972905	1.31E-233	0.221	0.753	4.22E-229
Arg1	-5.114880839	4.04E-227	0.033	0.492	1.30E-222
Cd44	-2.479361825	9.25E-222	0.165	0.679	2.99E-217
Cxcl2	-3.87521643	3.42E-218	0.097	0.574	1.10E-213
Eno1	-2.002300009	4.92E-217	0.265	0.767	1.59E-212
Ifrd1	-2.524000786	1.16E-215	0.15	0.653	3.74E-211
Pdia6	-2.149149089	8.74E-213	0.217	0.716	2.82E-208
Fcrls	2.455382651	7.26E-207	0.7	0.261	2.34E-202
Hmox1	-2.841756804	1.93E-202	0.208	0.69	6.23E-198
Klf4	-4.032637706	8.68E-202	0.033	0.461	2.80E-197
Cd14	-2.228154866	2.91E-201	0.331	0.762	9.40E-197
Por	-2.917984331	2.05E-200	0.094	0.554	6.61E-196
Dusp1	-2.3143365	7.63E-195	0.201	0.677	2.46E-190
Pgk1	-2.342116033	9.18E-193	0.2	0.662	2.96E-188
Ypel3	2.722637935	2.29E-190	0.593	0.172	7.40E-186
Trf	2.337341915	9.70E-175	0.638	0.243	3.13E-170
Msr1	-2.429506285	2.56E-170	0.111	0.544	8.26E-166
Hilpda	-3.454512851	2.19E-153	0.052	0.411	7.06E-149
Pde4d	-3.122894272	1.51E-152	0.073	0.446	4.88E-148
Spp1	-2.159414297	5.31E-152	0.733	0.884	1.71E-147
Igf1	2.627291848	4.46E-149	0.496	0.12	1.44E-144
