Gene_Symbol	logFC	pv
4930523C07Rik	1.357780684	0.001
4931406P16Rik	2.592156946	0.001
A930037H05Rik	1.561333576	0.001
Acan	6.811105286	0.001
Adamts17	4.713160386	0.001
Antxr1	1.712211346	0.001
Aqp2	4.619055877	0.001
C1qtnf3	7.373987168	0.001
Cd59a	2.512891597	0.001
Cdh11	2.691266261	0.001
Col11a1	4.078529441	0.001
Col16a1	1.87453191	0.001
Dleu2	-1.93240761	0.001
Ednra	1.502073513	0.001
Eif1	-0.300882016	0.001
Erbin	0.779524426	0.001
Etl4	4.948620142	0.001
Fbn2	0.937379199	0.001
Flrt2	-1.335858898	0.001
Fmn1	0.383768241	0.001
Fndc1	2.395841789	0.001
Gm4117	2.178380349	0.001
Gm5617	0.680284495	0.001
Grb10	1.206394652	0.001
H19	4.151577988	0.001
Hmgcr	1.08361764	0.001
Hs6st2	-1.135785679	0.001
Ifitm10	3.762159618	0.001
Itga11	1.206736473	0.001
Itm2a	3.480045946	0.001
Jag1	-0.834652687	0.001
Jph2	1.262920673	0.001
Kcnj15	4.412904591	0.001
Kcnma1	5.392811479	0.001
Kcnq3	4.083518691	0.001
Kdm5b	1.354333839	0.001
Ltbp1	1.341419759	0.001
Lurap1l	2.053844928	0.001
Mdk	2.425913823	0.001
Mfap2	1.813427418	0.001
Mpped2	1.979112197	0.001
Myo1e	2.050036167	0.001
Ncam1	1.557936289	0.001
Neo1	2.185325325	0.001
Nhs	1.950245682	0.001
Nlk	1.062623945	0.001
Nrp2	-2.682968555	0.001
Nuak1	3.022326467	0.001
Nxn	-0.618829011	0.001
Olfml2b	1.781298131	0.001
Osbpl8	0.665004662	0.001
Pamr1	4.160812736	0.001
Phldb2	0.985821551	0.001
Picalm	2.028735413	0.001
Piezo2	1.51530523	0.001
Pik3r3	2.949726602	0.001
Plaat3	1.294716169	0.001
Plxna4	3.435882834	0.001
Prickle1	2.220184826	0.001
Rai14	1.198667777	0.001
Ramp1	4.848290143	0.001
Rgl1	1.751485084	0.001
Rin2	2.477394414	0.001
Scx	4.187139711	0.001
Serf1	1.153171804	0.001
Slc31a1	-0.449448245	0.001
Slc7a2	1.62287529	0.001
Slit2	-0.851677796	0.001
Ssc5d	1.573555113	0.001
St3gal5	3.282284877	0.001
Strbp	1.905237822	0.001
Sulf2	1.786747917	0.001
Susd6	0.896633981	0.001
Tcea3	2.115377382	0.001
Thbs2	3.011901325	0.001
Tln2	-1.136335268	0.001
Tmem263	-0.525926498	0.001
Trabd2b	1.828709558	0.001
Tsc22d1	1.493683796	0.001
Unc119	2.82710971	0.001
Wfdc18	3.569601685	0.001
