Gene_Symbol	logFC	pv
Arg1	5.822356985	0.001
AU022252	1.306744337	0.001
B4galt1	1.031895278	0.001
Ccl12	4.044088582	0.001
Ccl2	4.494224285	0.001
Ccl24	4.900095027	0.001
Ccl7	4.391340951	0.001
Ccl9	3.31760465	0.001
Cd38	1.86484809	0.001
Cd86	4.290623831	0.001
Chd9	2.768626191	0.001
Clec4a3	7.747251488	0.001
Cox4i2	-3.168589631	0.001
Crem	-1.055855158	0.001
Cyfip1	0.972863469	0.001
Dab2	2.890737363	0.001
Dapk1	1.941007645	0.001
Ear2	7.332793657	0.001
Ecm1	3.01031217	0.001
Eif2s2	1.172398868	0.001
Emp1	2.688953469	0.001
Errfi1	1.406321576	0.001
Exosc3	2.430301178	0.001
F10	1.474300231	0.001
F13a1	3.671263696	0.001
Fam172a	2.276026662	0.001
Fcgr1	4.233967111	0.001
Fcgr2b	-1.145836814	0.001
Fn1	6.172255853	0.001
Glul	1.472591549	0.001
Gm47283	3.603650259	0.001
Gpr171	7.040505538	0.001
Hes1	3.629107323	0.001
Hmox1	1.982382327	0.001
Imp4	1.324398075	0.001
Inhba	-3.257569846	0.001
Klf4	4.516482569	0.001
Lmna	3.355202672	0.001
Lpl	4.001233057	0.001
Mafb	5.490227575	0.001
Man1a	2.466243628	0.001
Mmp19	-1.522591971	0.001
Mrc1	3.155999559	0.001
Ms4a4c	10.86993342	0.001
Ms4a6b	5.719631499	0.001
Ms4a6d	5.180855495	0.001
Mt1	2.22773327	0.001
Mt2	-2.766920185	0.001
Myo1e	3.163049109	0.001
Nr4a2	2.906733959	0.001
Nrg1	4.232492823	0.001
Ormdl2	-1.384890137	0.001
Papss2	4.470027262	0.001
Pde4d	0.912472138	0.001
Pdia6	1.240883976	0.001
Pdpn	-2.126048052	0.001
Pf4	5.213024653	0.001
Pgm1	-2.197464155	0.001
Plcb1	6.642759802	0.001
Ppbp	3.618287219	0.001
Prdx2	4.284815205	0.001
Pxk	-0.67655309	0.001
Rap1gap2	1.032728805	0.001
Slc16a10	1.618917738	0.001
Smpdl3b	2.650600665	0.001
Snx5	3.403367676	0.001
Spp1	-2.6137344	0.001
Tbxas1	1.906618989	0.001
Tfrc	-1.867977548	0.001
Tubb6	1.5209814	0.001
Uck2	-1.708524167	0.001
Vcan	5.38430095	0.001
Vps8	-0.974266619	0.001
Yipf5	0.983463528	0.001
