Gene_Symbol	logFC	pv
2610037D02Rik	-0.520883188	0.001
A530064D06Rik	-0.673639081	0.001
Atf4	-0.654197764	0.001
Atp9b	-0.967502777	0.001
Bnip3	1.694686359	0.001
Bnip3l	1.114105482	0.001
Bst1	-0.375797597	0.001
Ccdc47	-0.599449044	0.001
Ccnd2	2.35673022	0.001
Ccr1	-1.315288427	0.001
Cst3	-0.666646861	0.001
Ctss	-0.409239335	0.001
Cxcl3	3.74580109	0.001
Dnajb9	-1.708627761	0.001
Dok2	0.71690162	0.001
Egln3	2.123917667	0.001
Eif4ebp1	0.822567584	0.001
Emilin2	-1.134958022	0.001
Ero1l	2.155854857	0.001
Esyt2	-1.288275645	0.001
F10	-1.846860835	0.001
F5	-2.200483948	0.001
Fam102b	-1.354045686	0.001
Fam162a	1.570097863	0.001
Fbxl5	1.052679156	0.001
Fbxo28	-1.252912128	0.001
Fcer1g	-0.424923961	0.001
Fndc3a	-1.177019752	0.001
Gadd45a	-1.698723803	0.001
Gbe1	1.492834227	0.001
Gm11290	1.854152636	0.001
Gm15283	-1.169893348	0.001
Gm47507	-1.66152451	0.001
Gpat3	-2.094825176	0.001
Gpr141	-2.456308271	0.001
Grina	-1.608047697	0.001
Herpud1	-1.012993668	0.001
Higd1a	0.931689913	0.001
Hk1	-1.269667496	0.001
Il13ra1	-1.2071396	0.001
Impa2	2.525066549	0.001
Inhba	-2.899750597	0.001
Klf7	1.127430596	0.001
Lpar1	-1.545408878	0.001
Lrrc4	-1.553767459	0.001
Lyar	1.203769145	0.001
Lyz2	-1.819771017	0.001
Maml2	-2.359444426	0.001
Manf	-0.462238164	0.001
Map2k1	-0.830661501	0.001
Me2	0.835825684	0.001
Mt2	2.546478515	0.001
Mthfd1l	0.842846421	0.001
Ndrg1	2.091092248	0.001
Nedd9	-1.466062725	0.001
Nucb2	-1.004788165	0.001
P4ha1	-0.612781699	0.001
P4hb	-0.655348024	0.001
Pcgf5	-1.537980671	0.001
Pdia4	0.509675215	0.001
Pfkp	-1.789115099	0.001
Pgm1	2.189250567	0.001
Pilra	0.628310836	0.001
Piwil2	-1.14497906	0.001
Prdx6	-0.872396402	0.001
Rbpms	1.402901358	0.001
Resf1	-1.020571621	0.001
Rfx3	-0.707790662	0.001
Rgcc	-1.988259583	0.001
Rnf11	-1.097609678	0.001
Rsbn1	-1.079605769	0.001
Sc5d	-0.773765143	0.001
Sec23b	-1.149172144	0.001
Sec61a1	-0.851242851	0.001
Selenbp1	-1.765588288	0.001
Serpinb2	-2.112249634	0.001
Serpine1	2.470447467	0.001
Sgms2	-2.271066161	0.001
Slbp	-0.493941971	0.001
Slc16a3	-1.037535619	0.001
Slc23a2	-0.627404093	0.001
Slc2a1	-1.576135496	0.001
Slc35b1	-0.597356028	0.001
Slfn4	-0.796130555	0.001
Slpi	-1.564888964	0.001
Smox	-2.212133226	0.001
Snx18	-0.514645837	0.001
Spidr	-0.682216095	0.001
Ssr3	-0.599266627	0.001
Tdrd7	1.211657566	0.001
Tes	-2.867697831	0.001
Tlr4	-0.804450674	0.001
Tmem248	-0.938809003	0.001
Trem1	-2.603399652	0.001
Tuba1a	-0.392855229	0.001
Tyrobp	-0.617119109	0.001
Upp1	-1.981968505	0.001
Uso1	-0.528189422	0.001
Zfp292	-0.411974161	0.001
