Gene_Symbol	logFC	pv
Abhd12	0.536719287	0.001
Acp5	0.457848155	0.001
Acss1	0.961009105	0.001
Adam8	-2.204857226	0.001
Airn	-1.35258552	0.001
Amdhd2	-0.688064771	0.001
Ankrd33b	-0.987842867	0.001
Aopep	0.627132213	0.001
Ap2m1	-0.654424433	0.001
Atp6v0d2	1.777924615	0.001
Atp6v1a	0.281919096	0.001
Atp6v1b2	-0.519813537	0.001
Atp6v1c1	-1.163756385	0.001
B4galt6	0.344772498	0.001
Bcl2l1	-1.042951689	0.001
Bhlhe41	1.761910055	0.001
Blnk	1.774584175	0.001
Cadm1	2.893673561	0.001
Camk1	1.075158549	0.001
Ccl8	2.923436294	0.001
Cd36	-2.346471626	0.001
Cd72	2.839139674	0.001
Cd84	0.203889489	0.001
Cd9	1.121543581	0.001
Cela1	1.572494864	0.001
Cfb	1.129051609	0.001
Ckb	1.417165307	0.001
Cxcl14	-0.772905159	0.001
Cyb5a	0.519517121	0.001
Dennd4c	-0.779548741	0.001
Dnmt3a	1.229565872	0.001
F7	-5.469654017	0.001
Fabp4	-1.818613994	0.001
Fabp5	-1.596967244	0.001
Fam20c	-1.112731098	0.001
Fam219a	1.132636906	0.001
Fbxw4	2.117182841	0.001
Fcgr4	0.701533884	0.001
Folr2	1.436591526	0.001
Ftl1-ps1	-0.340597876	0.001
Gas6	1.70152048	0.001
Gdf15	0.791003157	0.001
Glmp	0.363292933	0.001
Gpnmb	1.453731332	0.001
Gpr137b	1.090336874	0.001
Gusb	-0.441880785	0.001
Hebp1	1.868206671	0.001
Hist1h1c	2.690165983	0.001
Hist1h2bc	2.988075771	0.001
Hmgn5	0.324606983	0.001
Ifi27	0.544745021	0.001
Igf1	2.627291848	0.001
Il3ra	0.547376175	0.001
Il7r	-2.502586404	0.001
Itgb1	0.451888756	0.001
Lgals3bp	1.419954855	0.001
Lhfpl2	0.12908846	0.001
Lipa	0.678997515	0.001
Lmna	-1.67351755	0.001
Lpl	-1.709804015	0.001
Malat1	0.251160455	0.001
Man1c1	1.558884925	0.001
Map4k3	0.504638814	0.001
Mfge8	3.224970424	0.001
Mmp12	-3.674911112	0.001
Mpp1	-0.237261019	0.001
Mtss1	0.726151109	0.001
Myo1e	0.648597388	0.001
Naa38	0.377176375	0.001
Ndufs6	-0.730514039	0.001
Nenf	1.164111829	0.001
Npy	3.979475248	0.001
Opa1	-0.079770019	0.001
Osbpl11	1.112033364	0.001
Pcna	-1.100365492	0.001
Pdgfc	3.88404805	0.001
Pdpn	-3.068855849	0.001
Pea15a	1.710265824	0.001
Pkib	0.367549815	0.001
Pld3	1.249329554	0.001
Plgrkt	-0.5543098	0.001
Plk2	-1.517341286	0.001
Pmp22	1.87984977	0.001
Prdx4	1.304370669	0.001
Psd3	-0.467150347	0.001
Ptms	1.372480215	0.001
Rabggtb	0.355515644	0.001
Rgs1	-1.746861649	0.001
Rhoc	0.872139167	0.001
S100a1	1.615347607	0.001
Samd8	-0.498477151	0.001
Selenoh	0.89313446	0.001
Selenom	1.694416973	0.001
Serpinb6a	2.726466254	0.001
Slamf7	0.685164093	0.001
Slamf9	2.489409831	0.001
Slc25a4	0.601650861	0.001
Slc48a1	-0.225097848	0.001
Slc9a3r1	-0.550171022	0.001
Soat1	-0.554184013	0.001
Sptssa	0.679355809	0.001
Stab1	0.708564626	0.001
Stmn1	2.408399747	0.001
Syngr1	1.680153576	0.001
Tle5	1.081390552	0.001
Tlk1	0.822247787	0.001
Tmem140	2.351241027	0.001
Tnfsf13	0.156849878	0.001
Tpm1	-0.426710314	0.001
Tspan4	1.735564103	0.001
Ttyh2	2.840020378	0.001
Uap1l1	-1.060499958	0.001
Uhrf2	-0.317084364	0.001
Wwp1	2.479348045	0.001
