Gene_Symbol	avg_log2FC	p_val	pct.1	pct.2	p_val_adj
Mfap4	3.775094512	1.35E-145	0.994	0.533	4.37E-141
Cst3	3.112076173	3.58E-141	0.998	0.956	1.16E-136
Fxyd6	4.128621417	1.10E-132	0.949	0.254	3.54E-128
Fbln5	4.431828101	1.20E-127	0.922	0.249	3.88E-123
Eln	7.547588001	4.42E-120	0.86	0.115	1.43E-115
Ran	-2.133921327	2.13E-104	0.532	0.988	6.87E-100
Ccn5	3.174928388	4.10E-104	0.922	0.406	1.32E-99
Itgbl1	4.010223371	3.07E-93	0.797	0.198	9.91E-89
Ddah1	2.815350422	2.22E-91	0.894	0.465	7.16E-87
Timp1	-2.225418752	3.63E-89	0.795	0.985	1.17E-84
Itgb5	2.455675484	8.78E-87	0.898	0.523	2.83E-82
Pcdh9	3.189518476	1.10E-83	0.83	0.34	3.54E-79
Timp3	3.26625017	7.20E-81	0.799	0.271	2.32E-76
Sfrp2	3.705972777	8.71E-81	0.82	0.32	2.81E-76
Comp	7.372097471	1.81E-76	0.606	0.015	5.83E-72
Ecrg4	5.206523932	3.92E-76	0.657	0.078	1.26E-71
Sfrp1	3.06092503	2.77E-75	0.818	0.357	8.93E-71
Hspd1	-2.421409582	9.60E-75	0.248	0.829	3.10E-70
Gsn	2.204734118	9.94E-74	0.902	0.687	3.21E-69
Angptl4	-2.894342554	7.80E-73	0.121	0.714	2.52E-68
Pclaf	-6.196423812	3.54E-72	0.008	0.509	1.14E-67
Gxylt2	3.53862877	3.59E-71	0.71	0.205	1.16E-66
Ccl7	-6.712026186	2.35E-70	0.013	0.509	7.60E-66
Stmn1	-2.57304831	6.04E-68	0.095	0.658	1.95E-63
Cks1b	-2.772226427	1.17E-67	0.127	0.692	3.79E-63
Ifi27l2a	2.575397764	3.77E-67	0.858	0.516	1.22E-62
Pam	2.1062009	1.86E-65	0.909	0.694	6.00E-61
Serping1	2.119242257	2.31E-65	0.873	0.553	7.47E-61
Selenoh	-2.231524711	1.64E-63	0.214	0.77	5.29E-59
Adamtsl2	6.353904997	5.63E-63	0.532	0.02	1.82E-58
Rflnb	4.230208687	8.78E-62	0.606	0.112	2.83E-57
Ccl2	-6.517606789	3.34E-58	0.017	0.445	1.08E-53
Cd200	3.745884506	2.59E-56	0.589	0.125	8.35E-52
Fmod	6.790370539	5.30E-56	0.479	0.012	1.71E-51
Frzb	2.417643689	4.80E-54	0.716	0.333	1.55E-49
C1qbp	-2.190943965	6.80E-53	0.15	0.67	2.19E-48
Mmp2	2.697553068	1.18E-52	0.67	0.257	3.80E-48
Dut	-2.07782304	1.52E-52	0.153	0.682	4.92E-48
Pdgfrl	2.771930078	1.85E-52	0.663	0.259	5.99E-48
Prelp	2.969229419	2.28E-52	0.623	0.181	7.36E-48
Nop56	-2.191905326	6.16E-52	0.106	0.614	1.99E-47
Tnc	-2.705627803	9.43E-52	0.176	0.658	3.04E-47
Gas6	3.774943017	1.92E-51	0.562	0.122	6.20E-47
Pdlim3	3.979722079	6.10E-49	0.517	0.088	1.97E-44
Cxcl5	-5.456603726	1.51E-47	0.015	0.379	4.86E-43
Birc5	-6.065705896	1.58E-47	0.004	0.352	5.12E-43
Ltbp4	2.7119851	1.84E-47	0.623	0.23	5.95E-43
Rrm2	-4.757067592	3.23E-47	0.017	0.381	1.04E-42
Pi16	3.106751253	5.51E-47	0.576	0.156	1.78E-42
Pcna	-2.591827618	1.94E-44	0.085	0.504	6.26E-40
Hmgb2	-2.2833832	1.97E-43	0.123	0.56	6.36E-39
