Gene_Symbol	avg_log2FC	p_val	pct.1	pct.2	p_val_adj
Rps18	3.631194819	1.53E-180	0.979	0.23	4.95E-176
Rps19	3.29046078	1.10E-176	0.989	0.358	3.56E-172
Lyz2	4.228453338	2.46E-175	0.985	0.417	7.93E-171
Rpl13	2.749756839	4.82E-171	0.991	0.56	1.56E-166
Rpl32	3.151552771	2.75E-168	0.972	0.345	8.88E-164
Ctss	3.72800849	4.58E-162	0.929	0.174	1.48E-157
Cxcl2	-2.571155578	4.72E-162	0.863	0.989	1.52E-157
Rps23	2.553565023	4.94E-161	0.983	0.477	1.59E-156
Rps24	3.007272175	7.46E-160	0.966	0.288	2.41E-155
mt-Atp6	2.926224288	4.67E-159	0.974	0.352	1.51E-154
Crip1	4.988761695	5.18E-154	0.86	0.078	1.67E-149
S100a9	-2.547909793	1.59E-153	0.901	0.997	5.13E-149
Rps4x	3.190836359	5.70E-153	0.94	0.249	1.84E-148
Rplp0	2.663608046	1.24E-151	0.976	0.448	4.02E-147
Tmsb10	4.900194244	1.55E-150	0.837	0.075	5.01E-146
Rps28	2.685576341	1.03E-148	0.968	0.363	3.34E-144
Rps15a	2.914940229	1.56E-148	0.942	0.308	5.03E-144
Rps11	2.651477412	9.45E-148	0.968	0.407	3.05E-143
S100a8	-2.227754498	4.68E-147	0.949	0.997	1.51E-142
Rps8	2.483637733	1.13E-142	0.964	0.427	3.64E-138
Rpl26	2.358703151	2.47E-142	0.972	0.451	7.96E-138
Apoe	4.928194899	4.49E-140	0.856	0.148	1.45E-135
Psap	2.959733834	5.85E-140	0.938	0.288	1.89E-135
Rpsa	3.509489965	2.41E-138	0.863	0.143	7.79E-134
Prdx1	4.6319204	3.78E-138	0.8	0.059	1.22E-133
Rps6	2.281433681	4.42E-138	0.972	0.476	1.43E-133
mt-Co3	2.405203418	2.52E-137	0.968	0.441	8.14E-133
Rps5	2.3106082	3.63E-134	0.961	0.458	1.17E-129
