Drug	Pathway	Time
atorvastatin	MAPK	early
acebutolol	NA	early
alprenolol	NA	late
amiloride	NA	early
amlodipine	NA	early
atenolol	NA	long_term
benazepril	TGF-b/SMADs	early
bendroflumethiazide	NA	late
betaxolol	NA	early
bezafibrate	NA	long_term
bisoprolol	NA	early
bumetanide	NA	late
captopril	NA	early
carteolol	NA	early
carvedilol	PI3K/Akt/Nrf2/HO-1	early
cerivastatin	NA	long_term
chlorhexidine	NA	early
cilnidipine	NA	early
cilostazol	NA	early
clofibrate	NA	long_term
clopidogrel	NA	early
colchicine	NLRP3/IL-1b	early
cyclopenthiazide	NA	late
dapsone	NRF2/HO-1	early
digoxin	NA	late
dipyridamole	NA	early
dobutamine	NA	late
dopamine	NA	late
enalapril	NA	early
eprosartan	NA	early
esmolol	NA	early
estradiol	RhoA/ROCK	late
etacrynic_acid	NA	late
etilefrine	NA	late
everolimus	PI3K/Akt/mTOR	early
ezetimibe	NA	long_term
fasudil	"TGFb1/TAK1,TGF-b2,TGF-b3,RhoA/ROCK"	early
felodipine	NA	early
fenofibrate	NA	long_term
fenoldopam	NA	late
fluvastatin	RhoA/ROCK	early
gemfibrozil	NA	long_term
hydroflumethiazide	NA	late
ibuprofen	RhoA/ROCK	early
iloprost	NA	early
indapamide	NA	late
irbesartan	NA	early
isradipine	NA	early
ivabradine	PI3K/Akt/mTOR	early
labetalol	NA	early
losartan	NA	early
losmapimod	MAPK	early
lovastatin	NA	long_term
luteolin	Hippo/YAP	early
melatonin	Hippo/YAP	early
menadione	NA	early
mephentermine	NA	late
metformin	TLR4	early
methotrexate	NF-KB	early
metolazone	NA	late
metoprolol	NA	early
midodrine	NA	late
milrinone	NA	late
moexipril	NA	early
nadolol	NA	early
niacin	NA	long_term
nicardipine	NA	early
nicorandil	RhoA/ROCK	early
nifedipine	NA	early
nimodipine	NA	early
nitrendipine	NA	early
nitrofural	NA	early
olmesartan	NA	early
ouabain	NA	late
oxprenolol	NA	early
perindopril	NA	early
pindolol	NA	early
piretanide	NA	late
practolol	NA	early
pravastatin	NA	long_term
probucol	NA	long_term
propranolol	NA	early
purmorphamine	Sonic Hedgehog	early
pyrvinium	Wnt/b-catenin	late
quinapril	NA	early
quinethazone	NA	late
ramipril	NA	early
rivaroxaban	NA	early
rosuvastatin	PI3K/Akt/Nrf2/HO-1	long_term
sildenafil	Sildenafil	early
simvastatin	TGF-b/SMADs	long_term
sotalol	NA	early
spironolactone	NA	late
synephrine	NA	late
telmisartan	NA	early
ticlopidine	NA	early
tienilic_acid	NA	late
timolol	NA	early
torasemide	NA	late
treprostinil	NA	early
triamterene	NA	late
valsartan	TGF-b/SMADs	early
warfarin	NA	early
