V1	V2
1	Itm2a	Mdk
2	Itm2a	H19
3	Mdk	H19
4	Itm2a	Thbs2
5	Fndc1	Thbs2
6	Mdk	Thbs2
7	H19	Thbs2
8	Itm2a	C1qtnf3
9	Fndc1	C1qtnf3
10	H19	C1qtnf3
11	Thbs2	C1qtnf3
12	Itm2a	Mfap2
13	Mdk	Mfap2
14	H19	Mfap2
15	Thbs2	Mfap2
16	Thbs2	Rin2
17	Itm2a	Ncam1
18	H19	Ncam1
19	Piezo2	Ncam1
20	Itm2a	Col11a1
21	Mdk	Col11a1
22	H19	Col11a1
23	Thbs2	Col11a1
24	C1qtnf3	Col11a1
25	Rin2	Col11a1
26	Slit2	Col11a1
27	Itm2a	Phldb2
28	Thbs2	Phldb2
29	Slit2	Phldb2
30	Ncam1	Phldb2
31	Itm2a	Prickle1
32	C1qtnf3	Prickle1
33	Ncam1	Prickle1
34	Col11a1	Prickle1
35	Phldb2	Prickle1
36	Mdk	Tsc22d1
37	C1qtnf3	Scx
38	Prickle1	Scx
39	Itm2a	Picalm
40	Thbs2	Picalm
41	C1qtnf3	Picalm
42	Col11a1	Picalm
43	Itm2a	Kcnma1
44	H19	Kcnma1
45	Thbs2	Kcnma1
46	C1qtnf3	Kcnma1
47	Rin2	Kcnma1
48	Ncam1	Kcnma1
49	Col11a1	Kcnma1
50	Prickle1	Kcnma1
51	Scx	Kcnma1
52	Slit2	4931406P16Rik
53	Ncam1	4931406P16Rik
54	Itm2a	Pamr1
55	Fndc1	Pamr1
56	C1qtnf3	Pamr1
57	Scx	Pamr1
58	Kcnma1	Pamr1
59	Itm2a	Antxr1
60	Thbs2	Antxr1
61	C1qtnf3	Antxr1
62	Pamr1	Antxr1
63	Itm2a	Nhs
64	H19	Nhs
65	Thbs2	Nhs
66	Kcnma1	Nhs
67	Kcnma1	Plxna4
68	Itm2a	Sulf2
69	Thbs2	Sulf2
70	C1qtnf3	Sulf2
71	Col11a1	Sulf2
72	Picalm	Sulf2
73	Kcnma1	Sulf2
74	Antxr1	Sulf2
75	H19	Neo1
76	Thbs2	Neo1
77	C1qtnf3	Neo1
78	Mfap2	Neo1
79	Rin2	Neo1
80	Col11a1	Neo1
81	Picalm	Neo1
82	Kcnma1	Neo1
83	Antxr1	Neo1
84	Itm2a	Cdh11
85	H19	Cdh11
86	Thbs2	Cdh11
87	C1qtnf3	Cdh11
88	Piezo2	Cdh11
89	Slit2	Cdh11
90	Phldb2	Cdh11
91	Tsc22d1	Cdh11
92	Nhs	Cdh11
93	Itm2a	Fbn2
94	Thbs2	Fbn2
95	Mfap2	Fbn2
96	Antxr1	Fbn2
97	Neo1	Fbn2
98	Thbs2	4930523C07Rik
99	Col11a1	4930523C07Rik
100	Picalm	4930523C07Rik
101	Itm2a	Col16a1
102	Mdk	Col16a1
103	H19	Col16a1
104	Thbs2	Col16a1
105	Mfap2	Col16a1
106	Col11a1	Col16a1
107	Prickle1	Col16a1
108	Pamr1	Col16a1
109	4930523C07Rik	Col16a1
110	Thbs2	Olfml2b
111	C1qtnf3	Olfml2b
112	Itm2a	Grb10
113	Mdk	Grb10
114	Thbs2	Grb10
115	C1qtnf3	Grb10
116	Col11a1	Grb10
117	Kcnma1	Grb10
118	Antxr1	Grb10
119	Fbn2	Grb10
