V1	V2
1	Spp1	Ccl9
2	Spp1	Arg1
3	Ccl9	Arg1
4	Spp1	Ccl2
5	Ccl9	Ccl2
6	Arg1	Ccl2
7	Spp1	Hmox1
8	Arg1	Hmox1
9	Spp1	Pf4
10	Ccl9	Pf4
11	Arg1	Pf4
12	Ccl2	Pf4
13	Hmox1	Pf4
14	Ccl9	Mt1
15	Arg1	Mt1
16	Ccl2	Mt1
17	Hmox1	Mt1
18	Pf4	Mt1
19	Spp1	Fn1
20	Ccl9	Fn1
21	Arg1	Fn1
22	Ccl2	Fn1
23	Pf4	Fn1
24	Mt1	Fn1
25	Spp1	Ccl7
26	Ccl9	Ccl7
27	Arg1	Ccl7
28	Ccl2	Ccl7
29	Hmox1	Ccl7
30	Pf4	Ccl7
31	Mt1	Ccl7
32	Fn1	Ccl7
33	Spp1	Plcb1
34	Ccl9	F13a1
35	Arg1	F13a1
36	Ccl2	F13a1
37	Hmox1	F13a1
38	Pf4	F13a1
39	Mt1	F13a1
40	Fn1	F13a1
41	Plcb1	F13a1
42	Ccl9	Mafb
43	Arg1	Mafb
44	Ccl2	Mafb
45	Mt1	Mafb
46	Fn1	Mafb
47	Ccl7	Mafb
48	F13a1	Mafb
49	Ccl9	Ear2
50	Arg1	Ear2
51	Ccl2	Ear2
52	Pf4	Ear2
53	Mt1	Ear2
54	Fn1	Ear2
55	Ccl7	Ear2
56	Plcb1	Ear2
57	F13a1	Ear2
58	Mafb	Ear2
59	Arg1	Mt2
60	Ccl2	Mt2
61	Pf4	Mt2
62	Mt1	Mt2
63	Plcb1	Mt2
64	Spp1	F10
65	Ccl7	F10
66	Plcb1	F10
67	Ccl9	Fcgr2b
68	Arg1	Fcgr2b
69	Ccl2	Fcgr2b
70	Mt1	Fcgr2b
71	F13a1	Fcgr2b
72	Mafb	Fcgr2b
73	Ear2	Fcgr2b
74	Ccl2	Ms4a4c
75	Ccl9	Ms4a6d
76	Arg1	Ms4a6d
77	Ccl2	Ms4a6d
78	Pf4	Ms4a6d
79	Mt1	Ms4a6d
80	Fn1	Ms4a6d
81	Ccl7	Ms4a6d
82	F13a1	Ms4a6d
83	Mafb	Ms4a6d
84	Ear2	Ms4a6d
85	Ms4a4c	Ms4a6d
86	Spp1	Ccl12
87	Arg1	Ccl12
88	Ccl2	Ccl12
89	Hmox1	Ccl12
90	Pf4	Ccl12
91	Fn1	Ccl12
92	Ccl7	Ccl12
93	Ms4a4c	Ccl12
94	Ms4a6d	Ccl12
95	Spp1	Lmna
96	Ccl9	Lmna
97	Ccl2	Lmna
98	Pf4	Lmna
99	Mt1	Lmna
100	Fn1	Lmna
101	Ccl7	Lmna
102	Spp1	Mmp19
103	Ccl9	Mmp19
104	Arg1	Mmp19
105	Ccl2	Mmp19
106	Fn1	Mmp19
107	Mafb	Mmp19
108	Ear2	Mmp19
109	Ms4a4c	Mmp19
110	Ms4a6d	Mmp19
111	Ccl12	Mmp19
112	Lmna	Mmp19
113	Ccl9	Slc16a10
114	Ms4a6d	Slc16a10
115	Lmna	Slc16a10
116	Ccl2	Pdia6
117	F13a1	Pdia6
118	Mafb	Pdia6
119	Ms4a6d	Pdia6
120	Ccl12	Pdia6
121	Mmp19	Pdia6
122	Ccl2	Hes1
123	Mt1	Hes1
124	Ear2	Hes1
125	Spp1	Lpl
126	Arg1	Lpl
127	Ccl2	Lpl
128	Hmox1	Lpl
129	Pf4	Lpl
130	Mt1	Lpl
131	Fn1	Lpl
132	Ccl7	Lpl
133	Mafb	Lpl
134	Lmna	Lpl
135	Spp1	Ppbp
136	Arg1	Ppbp
137	Ccl2	Ppbp
138	Pf4	Ppbp
139	Mt1	Ppbp
140	Fn1	Ppbp
141	Ccl7	Ppbp
142	F13a1	Ppbp
143	Mt2	Ppbp
144	F10	Ppbp
145	Ms4a6d	Ppbp
146	Ccl12	Ppbp
147	Mmp19	Ppbp
148	Ccl9	Ormdl2
149	Ccl2	Ormdl2
150	Fn1	Ormdl2
151	Lmna	Ormdl2
152	Mmp19	Ormdl2
153	Ccl9	Cd86
154	Fn1	Cd86
155	F13a1	Cd86
156	Mafb	Cd86
157	Ear2	Cd86
158	Ms4a6d	Cd86
159	Slc16a10	Cd86
160	Ccl2	Crem
161	Mafb	Crem
162	Mmp19	Crem
163	Pdia6	Crem
164	Cd86	Crem
165	Spp1	Ccl24
166	Ccl9	Ccl24
167	Arg1	Ccl24
168	Pf4	Ccl24
169	Mt1	Ccl24
170	Fn1	Ccl24
171	Ccl7	Ccl24
172	Mt2	Ccl24
173	Ppbp	Ccl24
174	Spp1	Pdpn
175	Ccl2	Pdpn
176	Ccl7	Pdpn
177	Plcb1	Pdpn
178	Lmna	Pdpn
179	Lpl	Pdpn
180	Spp1	March3
181	Pf4	March3
182	Ppbp	March3
183	Ccl9	Rap1gap2
