	V1	V2
1	Malat1	Syngr1
2	Gpnmb	Syngr1
3	Malat1	Igf1
4	Gpnmb	Igf1
5	Syngr1	Igf1
6	Malat1	Lpl
7	Gpnmb	Lpl
8	Syngr1	Lpl
9	Igf1	Lpl
10	Malat1	Serpinb6a
11	Gpnmb	Serpinb6a
12	Syngr1	Serpinb6a
13	Igf1	Serpinb6a
14	Lpl	Serpinb6a
15	Gpnmb	Mmp12
16	Syngr1	Mmp12
17	Igf1	Mmp12
18	Lpl	Mmp12
19	Serpinb6a	Mmp12
20	Gpnmb	Fabp4
21	Syngr1	Fabp4
22	Igf1	Fabp4
23	Mmp12	Fabp4
24	Gpnmb	Pld3
25	Syngr1	Pld3
26	Igf1	Pld3
27	Lpl	Pld3
28	Serpinb6a	Pld3
29	Mmp12	Pld3
30	Gpnmb	Cd36
31	Igf1	Cd36
32	Lpl	Cd36
33	Serpinb6a	Cd36
34	Mmp12	Cd36
35	Fabp4	Cd36
36	Malat1	Hist1h2bc
37	Gpnmb	Hist1h2bc
38	Igf1	Hist1h2bc
39	Lpl	Hist1h2bc
40	Serpinb6a	Hist1h2bc
41	Mmp12	Hist1h2bc
42	Pld3	Hist1h2bc
43	Cd36	Hist1h2bc
44	Gpnmb	Acp5
45	Syngr1	Acp5
46	Lpl	Acp5
47	Serpinb6a	Acp5
48	Mmp12	Acp5
49	Pld3	Acp5
50	Gpnmb	Adam8
51	Syngr1	Adam8
52	Igf1	Adam8
53	Serpinb6a	Adam8
54	Mmp12	Adam8
55	Cd36	Adam8
56	Hist1h2bc	Adam8
57	Serpinb6a	Camk1
58	Gpnmb	Wwp1
59	Serpinb6a	Wwp1
60	Mmp12	Stab1
61	Camk1	Stab1
62	Wwp1	Stab1
63	Malat1	Hist1h1c
64	Gpnmb	Hist1h1c
65	Lpl	Hist1h1c
66	Serpinb6a	Hist1h1c
67	Mmp12	Hist1h1c
68	Fabp4	Hist1h1c
69	Hist1h2bc	Hist1h1c
70	Adam8	Hist1h1c
