V1	V2
1	Arg1	B2m
2	Arg1	Hilpda
3	Arg1	Thbs1
4	B2m	Thbs1
5	Hilpda	Thbs1
6	Arg1	Cxcl3
7	B2m	Cxcl3
8	Hilpda	Cxcl3
9	Thbs1	Cxcl3
10	Hilpda	Ccl3
11	Cxcl3	Ccl3
12	Arg1	Ccl24
13	B2m	Ccl24
14	Hilpda	Ccl24
15	Thbs1	Ccl24
16	Cxcl3	Ccl24
17	Arg1	Pdpn
18	B2m	Pdpn
19	Hilpda	Pdpn
20	Thbs1	Pdpn
21	Cxcl3	Pdpn
22	Ccl24	Pdpn
23	Arg1	S100a8
24	Hilpda	S100a8
25	Thbs1	S100a8
26	Cxcl3	S100a8
27	Ccl24	S100a8
28	Arg1	Slc16a3
29	B2m	Slc16a3
30	Hilpda	Slc16a3
31	Thbs1	Slc16a3
32	Cxcl3	Slc16a3
33	Ccl24	Slc16a3
34	Arg1	Vcan
35	B2m	Vcan
36	Hilpda	Vcan
37	Thbs1	Vcan
38	Cxcl3	Vcan
39	Ccl24	Vcan
40	Slc16a3	Vcan
41	B2m	Sdc4
42	Hilpda	Sdc4
43	Cxcl3	Sdc4
44	Pdpn	Sdc4
45	Arg1	Mt2
46	Hilpda	Mt2
47	Thbs1	Mt2
48	Cxcl3	Mt2
49	Ccl3	Mt2
50	Ccl24	Mt2
51	Pdpn	Mt2
52	S100a8	Mt2
53	Slc16a3	Mt2
54	Hilpda	Cxcl1
55	Thbs1	Cxcl1
56	Cxcl3	Cxcl1
57	Ccl3	Cxcl1
58	Ccl24	Cxcl1
59	Pdpn	Cxcl1
60	Arg1	Ero1l
61	Hilpda	Ero1l
62	Thbs1	Ero1l
63	Cxcl3	Ero1l
64	Ccl24	Ero1l
65	S100a8	Ero1l
66	Slc16a3	Ero1l
67	Vcan	Ero1l
68	Mt2	Ero1l
69	Arg1	Inhba
70	Hilpda	Inhba
71	Thbs1	Inhba
72	Cxcl3	Inhba
73	Ccl3	Inhba
74	Ccl24	Inhba
75	Pdpn	Inhba
76	Slc16a3	Inhba
77	Mt2	Inhba
78	Ero1l	Inhba
79	Arg1	Bnip3
80	Hilpda	Bnip3
81	Thbs1	Bnip3
82	Cxcl3	Bnip3
83	Ccl24	Bnip3
84	S100a8	Bnip3
85	Slc16a3	Bnip3
86	Vcan	Bnip3
87	Mt2	Bnip3
88	Ero1l	Bnip3
89	Inhba	Bnip3
90	Arg1	Fam162a
91	Hilpda	Fam162a
92	Thbs1	Fam162a
93	Cxcl3	Fam162a
94	Ccl24	Fam162a
95	S100a8	Fam162a
96	Slc16a3	Fam162a
97	Sdc4	Fam162a
98	Mt2	Fam162a
99	Ero1l	Fam162a
100	Bnip3	Fam162a
101	Arg1	Hif1a
102	B2m	Hif1a
103	Thbs1	Hif1a
104	Cxcl3	Hif1a
105	Ccl24	Hif1a
106	S100a8	Hif1a
107	Slc16a3	Hif1a
108	Vcan	Hif1a
109	Ero1l	Hif1a
110	Bnip3	Hif1a
111	Fam162a	Hif1a
112	Arg1	Cacna1d
113	B2m	Cacna1d
114	Thbs1	Cacna1d
115	Cxcl3	Cacna1d
116	Ccl3	Cacna1d
117	Ccl24	Cacna1d
118	Pdpn	Cacna1d
119	S100a8	Cacna1d
120	Vcan	Cacna1d
121	Hif1a	Cacna1d
122	Arg1	Timp1
123	Thbs1	Timp1
124	Ccl24	Timp1
125	Pdpn	Timp1
126	Vcan	Timp1
127	Ero1l	Timp1
128	Inhba	Timp1
129	Cacna1d	Timp1
130	Arg1	Slc2a1
131	Hilpda	Slc2a1
132	Cxcl3	Slc2a1
133	Ccl24	Slc2a1
134	Slc16a3	Slc2a1
135	Vcan	Slc2a1
136	Ero1l	Slc2a1
137	Inhba	Slc2a1
138	Bnip3	Slc2a1
139	Cacna1d	Slc2a1
140	Arg1	Itgam
141	B2m	Itgam
142	Thbs1	Itgam
143	Cxcl3	Itgam
144	Ccl24	Itgam
145	Slc16a3	Itgam
146	Vcan	Itgam
147	Bnip3	Itgam
148	Fam162a	Itgam
149	Hif1a	Itgam
150	Cacna1d	Itgam
151	Arg1	Areg
152	Hilpda	Areg
153	Thbs1	Areg
154	Cxcl3	Areg
155	Ccl24	Areg
156	Pdpn	Areg
157	Mt2	Areg
158	Inhba	Areg
159	Fam162a	Areg
160	Itgam	Areg
161	Ccl3	Sgms1
162	Ccl24	Sgms1
163	Sdc4	Sgms1
164	Areg	Sgms1
165	Arg1	Il6
166	B2m	Il6
167	Hilpda	Il6
168	Thbs1	Il6
169	Cxcl3	Il6
170	Ccl24	Il6
171	S100a8	Il6
172	Slc16a3	Il6
173	Vcan	Il6
174	Mt2	Il6
175	Cxcl1	Il6
176	Inhba	Il6
177	Bnip3	Il6
178	Fam162a	Il6
179	Itgam	Il6
180	Arg1	Lpp
181	Hilpda	Lpp
182	Thbs1	Lpp
