	ad	density	cc	spath	eigencentr	betwcentr
drug_1	-820.5	-906.5	-921.5	-834.5	-886	-821.5
drug_10	367.5	-415.5	-565.5	-301.5	-640.5	-611.5
drug_100	-674	-682	288	252	-859.5	642
drug_101	634.5	574.5	551.5	556	617.5	545.5
drug_102	634.5	574.5	551.5	556	727.5	545.5
drug_103	-674	-682	379.5	525.5	-557	-619.5
drug_104	597.5	353.5	401.5	-455.5	-442.5	690.5
drug_105	634.5	574.5	551.5	556	479.5	545.5
drug_106	634.5	574.5	551.5	556	-546	545.5
drug_107	634.5	574.5	551.5	556	-442.5	545.5
drug_108	634.5	574.5	551.5	556	-546	545.5
drug_109	597.5	353.5	401.5	-455.5	293.5	690.5
drug_11	-540	-626	-648	-557	-797.5	-547
drug_110	489	627	631	606	712.5	480
drug_111	489	627	631	606	551.5	480
drug_112	489	627	631	606	529.5	480
drug_113	676	564	703	520.5	596	764
drug_114	489	627	631	606	516.5	480
drug_115	422.5	-415.5	529	-372.5	501	633
drug_116	422.5	-415.5	529	-372.5	614	633
drug_117	489	627	631	606	551.5	480
drug_118	422.5	-415.5	529	-372.5	504.5	633
drug_119	706	-695.5	-703.5	-703.5	732	697
drug_12	-889	-485	107	157	-490.5	525
drug_120	489	627	631	606	516.5	480
drug_121	489	627	631	606	551.5	480
drug_122	-540	-626	-648	-557	-626.5	-547
drug_123	489	627	631	606	469	480
drug_124	489	627	631	606	-469.5	480
drug_125	489	627	631	606	689.5	480
drug_126	489	627	631	606	816.5	480
drug_127	-540	-626	-648	-557	-835	-547
drug_128	681.5	583.5	520	674	604	597
drug_129	422.5	-415.5	529	-372.5	-529.5	633
drug_13	-745.5	-419.5	-436.5	-351.5	-361	567.5
drug_130	422.5	-415.5	529	-372.5	-350.5	633
drug_131	489	627	631	606	551.5	480
drug_132	-540	-626	-648	-557	-379.5	-547
drug_133	422.5	-415.5	529	-372.5	510	633
drug_134	-540	-626	-648	-557	584	-547
drug_135	489	627	631	606	758.5	480
drug_136	609	546	517	527	617	-374.5
drug_137	422.5	-415.5	529	-372.5	497.5	633
drug_138	489	627	631	606	551.5	480
drug_139	422.5	-415.5	529	-372.5	-392	633
drug_14	-540	-626	-648	-557	-626.5	-547
drug_140	422.5	-415.5	529	-372.5	497.5	633
drug_141	489	627	631	606	712.5	480
drug_142	690.5	711.5	713.5	702.5	766.5	672.5
drug_143	489	627	631	606	667.5	480
drug_144	708	701	687	691	837	604
drug_145	703	682	684	685	724.5	748
drug_146	703	682	684	685	589	748
drug_147	690.5	711.5	713.5	702.5	878.5	672.5
drug_148	690.5	711.5	713.5	702.5	763	672.5
drug_149	690.5	711.5	713.5	702.5	774.5	672.5
drug_15	-745.5	-419.5	-436.5	-351.5	-363.5	567.5
drug_150	690.5	711.5	713.5	702.5	770.5	672.5
drug_151	703	682	684	685	724.5	748
drug_152	543.5	518.5	497.5	505.5	-469.5	655.5
drug_153	690.5	711.5	713.5	702.5	766.5	672.5
drug_154	489	627	631	606	689.5	480
drug_155	690.5	711.5	713.5	702.5	628.5	672.5
drug_156	-540	-626	-648	-557	688	-547
drug_157	-631	673.5	693.5	-673	846.5	559.5
drug_158	-631	673.5	693.5	-673	-686	559.5
drug_159	690.5	711.5	713.5	702.5	770.5	672.5
drug_16	-540	-626	-648	-557	-474.5	-547
drug_160	690.5	711.5	713.5	702.5	636.5	672.5
drug_161	690.5	711.5	713.5	702.5	632.5	672.5
drug_162	690.5	711.5	713.5	702.5	515.5	672.5
drug_163	703	682	684	685	586.5	748
drug_164	489	627	631	606	816.5	480
drug_165	489	627	631	606	551.5	480
drug_166	690.5	711.5	713.5	702.5	874.5	672.5
drug_167	703	682	684	685	724.5	748
drug_168	690.5	711.5	713.5	702.5	774.5	672.5
drug_169	690.5	711.5	713.5	702.5	766.5	672.5
drug_17	-745.5	-419.5	-436.5	-351.5	-402	567.5
drug_170	489	627	631	606	771.5	480
drug_171	-540	-626	-648	-557	-561	-547
drug_172	-540	-626	-648	-557	-808	-547
drug_173	-540	-626	-648	-557	596	-547
drug_174	-540	-626	-648	-557	-561	-547
drug_175	-471.5	562	-575	545	639	600
drug_176	348.5	-415.5	-565.5	366	-516	-611.5
drug_177	-540	-626	-648	-557	-561	579
drug_178	-540	-626	-648	-557	668	-547
drug_179	-540	-626	-648	-557	-561	-547
drug_18	-745.5	-419.5	-436.5	-351.5	-365.5	567.5
drug_180	-540	-626	-648	-557	-680	579
drug_181	-540	-626	-648	-557	-655	579
drug_182	-540	-626	-648	-557	564	-547
drug_183	348.5	-415.5	-565.5	366	-516	-611.5
drug_184	-540	-626	-648	-557	-745.5	-547
drug_185	-540	-626	-648	-557	-599.5	579
drug_186	-540	-626	-648	-557	584	-547
drug_187	-540	-626	-648	-557	-745.5	579
drug_188	-540	-626	-648	-557	-536	-547
