ad	density	cc	spath	eigencentr	betwcentr
drug_1	-531.5	498	-510	727.5	-445.5	-758
drug_10	-583	-441	-435	-675	671	-571
drug_100	-624.5	-612.5	-572.5	-607.5	-693.5	642
drug_101	-743.5	-729.5	-591.5	-697.5	-735.5	678.5
drug_102	-805.5	-781.5	-574.5	-797.5	-730.5	850.5
drug_103	-712	-709	-839.5	-655.5	-736.5	662
drug_104	-772	-750	-539.5	-762.5	-749.5	669.5
drug_105	-874.5	-849.5	-543.5	-869.5	-882.5	-685.5
drug_106	-653	-634	-512	-686	-707	603.5
drug_107	-915.5	-893.5	-921.5	-890.5	-907	662
drug_108	-653	-634	-512	-686	-707	719.5
drug_109	-915.5	-893.5	-921.5	-890.5	-907	821.5
drug_11	-644.5	-510.5	-568	-676	-546.5	-667
drug_110	-859	-835	-822.5	-589.5	-855.5	477.5
drug_111	-783	837	865	-700.5	-697.5	503
drug_112	712	769	880	538	597.5	430
drug_113	865	906	788	777	759	583
drug_114	790.5	642.5	913	-707.5	-653.5	573
drug_115	684.5	812.5	893.5	637.5	675	556.5
drug_116	771.5	834.5	862.5	-499.5	653.5	390.5
drug_117	-877.5	-852.5	850	-793.5	-810.5	510.5
drug_118	749	735	845	-535.5	-691.5	376
drug_119	-624.5	677.5	-753.5	-696.5	823	-452.5
drug_12	-716	-578	-670.5	-616.5	-634.5	-894.5
drug_120	-662	-640	790.5	-616.5	639	484.5
drug_121	-644	627.5	-724.5	-526	-652.5	458.5
drug_122	492	584	-696.5	-504	580	477.5
drug_123	771.5	834.5	862.5	-622	-757.5	390.5
drug_124	-478.5	500.5	741	-467.5	513.5	457
drug_125	684.5	812.5	893.5	637.5	675	556.5
drug_126	749	735	845	-499.5	568	376
drug_127	726	791	861	-507.5	618.5	469
drug_128	-756	791	850	-622	-756.5	510.5
drug_129	797.5	862.5	-716	761	754.5	-269
drug_13	822.5	777.5	-220	-631	864.5	-709
drug_130	733	850	576	774	777	335
