ad	density	cc	spath	eigencentr	betwcentr
drug_1	-625.5	546	455.5	-647.5	-568.5	-566.5
drug_10	-578.5	546	455.5	-622.5	623	530.5
drug_100	641.5	646.5	678	629	-763	636
drug_101	768.5	775.5	777.5	732	802	734
drug_102	-721.5	-726.5	678	629	-838	636
drug_103	641.5	646.5	-740.5	629	580.5	636
drug_104	-740	-731	-691	805.5	-779	810.5
drug_105	768.5	775.5	777.5	732	859	734
drug_106	-715	-700	-709.5	629	735.5	636
drug_107	583.5	588.5	-761.5	-514.5	499	774.5
drug_108	-738.5	-758.5	-689	629	-757	636
drug_109	768.5	775.5	777.5	732	827	734
drug_11	641.5	646.5	678	629	-730.5	-646.5
drug_110	583.5	-597.5	-781	-482	649.5	774.5
drug_111	-650.5	-691.5	-804	-516	504.5	802.5
drug_112	641.5	-668	-754.5	629	521	-657.5
drug_113	641.5	-661	-749.5	629	712.5	636
drug_114	641.5	646.5	678	629	730	636
drug_115	-721.5	-726.5	-793.5	629	580.5	636
drug_116	641.5	646.5	-801.5	629	688.5	636
drug_117	768.5	775.5	-804	732	859	734
drug_118	768.5	775.5	777.5	732	816	734
drug_119	455.5	458.5	-693.5	-468.5	506.5	690.5
drug_12	768.5	775.5	777.5	732	816	734
drug_120	-650.5	-691.5	-768.5	-533.5	-419	697
drug_121	-715	-700	-750.5	519.5	-676	797.5
drug_122	-633	-661	-757.5	419	301	697
drug_123	641.5	646.5	-770	629	580.5	-670
drug_124	-736	-745.5	-805.5	-545.5	-673	-655.5
drug_125	768.5	775.5	777.5	732	655.5	734
drug_126	-682	-685	-796.5	497	543.5	-658.5
drug_127	-562.5	-621	-775.5	-506.5	535.5	587
drug_128	641.5	646.5	678	629	787	636
drug_129	641.5	646.5	-772	629	580.5	636
drug_13	-677	646.5	678	-632.5	-859	636
drug_130	687.5	692.5	-781	681	595.5	682
drug_131	641.5	646.5	-797.5	629	676.5	-671.5
drug_132	768.5	775.5	777.5	732	691	734
drug_133	687.5	692.5	-772	681	747	682
drug_134	641.5	-668	-777.5	629	688.5	636
drug_135	-633	-661	-747	497	-457.5	587
drug_136	641.5	646.5	678	629	819	636
drug_137	-609.5	-639.5	-734.5	-530.5	-440	697
drug_138	-682	-685	-748.5	419	450.5	697
drug_139	-660	-656	-806.5	629	563	636
drug_14	641.5	646.5	678	629	688.5	636
drug_140	687.5	692.5	596	681	752	682
drug_141	768.5	775.5	777.5	732	831.5	734
drug_142	-762.5	-613.5	-663	-536.5	-760	-556.5
drug_143	-764.5	-664.5	-503	-686.5	-597.5	-370.5
drug_144	-773.5	-623.5	-401.5	-688.5	-757	-353.5
drug_145	-781.5	-759.5	-712.5	-696.5	-692.5	-329.5
drug_146	-672.5	-402.5	-319.5	-674.5	-557.5	-489.5
drug_147	-727.5	-494.5	-700.5	-568.5	-423.5	-626.5
drug_148	-745.5	-421.5	-634.5	-541.5	-706	-369.5
drug_149	-381.5	-297.5	-449.5	-464.5	-564	-598.5
drug_15	768.5	775.5	777.5	732	859	734
drug_150	-765.5	-569.5	-465.5	-685.5	-566	-445.5
drug_151	-767.5	-618.5	-452.5	-603.5	-724	-359.5
drug_152	-706.5	-372.5	-684.5	-591.5	-569	-481.5
drug_153	-700.5	-394.5	-694.5	-553.5	-543	-494.5
drug_154	-758.5	-565.5	-612.5	-662.5	-861.5	-440.5
drug_155	-780.5	-710.5	-423	-695.5	-961	-610.5
drug_156	-769.5	-709.5	-527.5	-692.5	-917	-484.5
drug_157	-777.5	-648.5	-702.5	-687.5	-707	-348.5
drug_158	-779.5	-764.5	-557	-691.5	-939	-397.5
drug_159	-529.5	-364.5	-431	-546.5	-494.5	-684.5
drug_16	641.5	646.5	-692.5	629	720.5	-683.5
drug_160	-747.5	-401.5	-714.5	-552.5	-570	-409.5
drug_161	-523.5	444.5	-373.5	-569.5	-751	-474.5
drug_162	-756.5	-657.5	-723.5	-565.5	-752	-636.5
drug_163	-750.5	-560.5	-678.5	-582.5	-778	-625.5
drug_164	522.5	527.5	528	488.5	464.5	488.5
drug_165	522.5	527.5	528	488.5	531	-674.5
drug_166	-644.5	-504.5	-320.5	-670.5	-564.5	-508.5
drug_167	348	351	474.5	-425.5	-512	-579.5
drug_168	-517.5	-527.5	-346.5	-644.5	-406.5	436.5
drug_169	-751.5	-632.5	-669.5	385.5	-861	390.5
drug_17	641.5	646.5	678	629	730	636
drug_170	522.5	527.5	-554	488.5	577	-601.5
drug_171	-425.5	-480.5	-541.5	-528.5	-529.5	-614.5
drug_172	395.5	398.5	-580.5	385.5	467	-470.5
