ad	density	cc	spath	eigencentr	betwcentr
drug_1	-898	-623	581.5	-932	622	814.5
drug_10	-595	-630	-411	-532.5	-546.5	678
drug_100	260.5	-411	-515	604	-516.5	581
drug_101	508.5	-643	-542	869	-653.5	-334.5
drug_102	-439	-599	-481	841.5	-627.5	-365.5
drug_103	-640.5	-660.5	450	-588.5	-659.5	-601.5
drug_104	813	681	-320	715	643	-506.5
drug_105	-544.5	-527.5	-317	604	-397	581
drug_106	508.5	446.5	-344	869	428.5	-329.5
drug_107	727	-708.5	-568	680	-687.5	-127.5
drug_108	526.5	493.5	-263	860.5	480.5	274.5
drug_109	-637	-625	294.5	-591.5	-483.5	425
drug_11	-595	-630	545	547	-645.5	860
drug_110	661.5	566.5	604	592	540	-557.5
drug_111	661.5	-643	604	592	-644.5	-541.5
drug_112	-511.5	-501.5	-282	563.5	-359	501.5
drug_113	-611.5	-518.5	-301	-568.5	-491.5	501.5
drug_114	661.5	566.5	604	-622.5	451.5	-755.5
drug_115	-679.5	-709.5	-582	753.5	-686.5	702
drug_116	-566.5	-608.5	-364	563.5	-642.5	501.5
drug_117	-379	-573	-553.5	753.5	-519	702
drug_118	661.5	566.5	604	592	479	-634.5
drug_119	524	704	774	406.5	-796	799
drug_12	-623	739	719	-522	774.5	467
drug_120	371	-437	-552	753.5	-503.5	702
drug_121	661.5	566.5	604	-595.5	540	-870.5
drug_122	676	-543	629.5	551	-624.5	519
drug_123	371	347	-453	753.5	293	702
drug_124	-681.5	-710.5	-608	753.5	-688.5	702
drug_125	-503	-684	-611.5	753.5	-800.5	702
drug_126	-396	-633	-599	563.5	-645.5	501.5
drug_127	661.5	-687.5	604	592	-753.5	534.5
drug_128	661.5	-612.5	604	592	587.5	534.5
drug_129	-559	-470	-292	563.5	-392.5	-590.5
drug_13	876	922	573	888	917	-461
drug_130	661.5	566.5	604	592	-555.5	-564.5
drug_131	-484.5	-483.5	411	732	-372.5	616
drug_132	661.5	566.5	604	592	530.5	-897.5
drug_133	-498.5	-302.5	-229	-470.5	-267.5	365
drug_134	689.5	629.5	604	-751.5	534.5	-467.5
drug_135	661.5	566.5	604	592	479	-843.5
drug_136	-379	-573	-553.5	753.5	-595.5	702
drug_137	676	515	629.5	551	520	519
drug_138	371	347	-421	753.5	-344.5	702
drug_139	-586.5	-682.5	-520	753.5	-571.5	702
drug_14	370.5	-483.5	-519	-644.5	528.5	-885.5
drug_140	-414.5	-585.5	-555	522.5	-589.5	-549.5
drug_141	-503	-684	-611.5	563.5	-667	-520
drug_142	-901	-894	863.5	-879.5	-863	728
drug_143	-752.5	664	719	-605.5	723.5	612
drug_144	573	664	719	-517.5	716	612
drug_145	-694.5	664	719	-442.5	723.5	612
drug_146	573	664	719	-640.5	716	612
drug_147	-885	-796	-627.5	-872.5	-823	550
drug_148	661.5	803.5	863.5	-609.5	803.5	728
drug_149	-888	-892	-756.5	-878.5	-817	732.5
drug_15	-623	-671	-446.5	-522	-722.5	678
drug_150	-722	-507	-605	-618	448.5	732.5
drug_151	-887	-899	-830.5	-871.5	-945	732.5
drug_152	-666	664	719	-423.5	723.5	612
drug_153	-783	-493	-537.5	-620.5	-492	732.5
drug_154	-747	-557	-698.5	-551.5	599.5	580.5
drug_155	-626	-517	-662.5	-563.5	-539	732.5
drug_156	-881	-819	-715.5	-868.5	-861	653
drug_157	-722	-507	-605	-618	-442	732.5
drug_158	-552	-467	-707.5	429.5	439	732.5
drug_159	-452	501	554	517.5	595	848.5
drug_16	948	942	981	905	964.5	-450
drug_160	661.5	803.5	863.5	-438.5	862.5	728
drug_161	-795.5	803.5	863.5	-963.5	803.5	728
drug_162	-694.5	501	-640.5	-528.5	599.5	848.5
drug_163	-714	-473	-525.5	-723.5	-490	732.5
drug_164	583	739	-876.5	-457.5	715.5	467
drug_165	-781	-747	-757.5	-622	-704	778.5
drug_166	-893	-902	-787.5	-877.5	-870	653
drug_167	-608.5	-833.5	-893.5	-503.5	-830	762
drug_168	-781	821	872	-636.5	873	-664.5
drug_169	-600	-634	-833.5	-527.5	-596	732.5
drug_17	-595	-630	508	-532.5	-545.5	805
