ad	density	cc	spath	eigencentr	betwcentr
drug_1	-449	486.5	645	859	746	-621.5
drug_10	-415.5	-308.5	278	699	-468	673
drug_100	744.5	779.5	826	625	428	-482
drug_101	744.5	779.5	826	625	509	-482
drug_102	374.5	475.5	549.5	-339	238	655.5
drug_103	452.5	383.5	484.5	-339	308.5	720.5
drug_104	784	712	732.5	563.5	532	345.5
drug_105	744.5	779.5	826	625	509	-482
drug_106	784	712	732.5	563.5	635.5	-482
drug_107	452.5	383.5	430	397	-260	595
drug_108	744.5	779.5	826	625	521.5	-482
drug_109	709.5	697.5	706.5	584.5	418.5	-482
drug_11	-370	-326	442	647	351.5	668
drug_110	577.5	-729	-765	-803	-789	790.5
drug_111	627	-693	-813	-729	-749.5	763
drug_112	520	-693	-813	-729	-709.5	747.5
drug_113	-491.5	-925.5	484.5	-874.5	-944.5	720.5
drug_114	597.5	-729	-765	-803	-749	799.5
drug_115	520	-693	-813	-729	-749.5	747.5
drug_116	597.5	-693	-813	-729	-733.5	826.5
drug_117	374.5	-729	-765	-803	-789	655.5
drug_118	520	-693	-813	-729	-730.5	747.5
drug_119	-315	-729	-765	-803	-755.5	566.5
drug_12	475	453	510.5	510.5	633.5	-521
drug_120	520	-729	-765	-803	-780.5	747.5
drug_121	520	-729	-765	-803	-820.5	747.5
drug_122	568	-729	-765	-803	-780.5	536
drug_123	452.5	-519	-602	-586	-526.5	720.5
drug_124	452.5	-693	-813	-729	-733.5	720.5
drug_125	452.5	-571	-554	-631.5	-590	720.5
drug_126	452.5	-729	-765	-803	-783	720.5
drug_127	452.5	-729	-765	-803	-728.5	720.5
drug_128	452.5	-729	-765	-803	-795.5	720.5
drug_129	577.5	610.5	723.5	-631.5	-547.5	790.5
drug_13	-391	-238.5	-288.5	-263.5	317.5	513
drug_130	452.5	-519	-602	-586	-526.5	720.5
drug_131	520	-729	-765	-803	-789	747.5
drug_132	568	-729	-765	-803	-780.5	536
drug_133	374.5	-729	-765	-803	-789	655.5
drug_134	520	-729	-765	-803	-795.5	747.5
drug_135	452.5	-693	-813	-729	-733.5	720.5
drug_136	520	-693	-813	-729	-737	747.5
drug_137	520	-729	-765	-803	-749	747.5
drug_138	374.5	-729	-765	-803	-789	655.5
drug_139	452.5	-729	-765	-803	-749	720.5
drug_14	475	453	510.5	510.5	637	-377.5
drug_140	452.5	-729	-765	-803	-749	720.5
drug_141	452.5	-693	-813	-729	-682.5	720.5
drug_142	570	-915.5	-934.5	-871.5	-909	-359.5
drug_143	-539.5	-915.5	-934.5	-871.5	-907.5	-359.5
drug_144	530.5	-751.5	-841.5	-846.5	725	220
drug_145	-535	-919	-939.5	-856.5	-736.5	-410.5
drug_146	588.5	-770	-727	-784	-867	-351
drug_147	-539.5	-915.5	-934.5	-871.5	-911	-359.5
drug_148	530.5	-790.5	-848.5	779	-768.5	-408.5
drug_149	530.5	-671.5	-845.5	779	-718.5	220
drug_15	-296	-208	-321	-269	338.5	-513
drug_150	598	-858	-920	-832	-850.5	-327
drug_151	598	-807.5	-794.5	-890.5	-889.5	-353.5
drug_152	588.5	602.5	544.5	761.5	776	-362.5
drug_153	-542.5	-932.5	-938.5	-942.5	-881.5	-363.5
drug_154	570	-915.5	-934.5	-871.5	-869	-359.5
drug_155	530.5	-770	-727	-784	-867	-351
drug_156	-480	-767	-838	-699	-808.5	609
drug_157	530.5	-770	-727	-784	-900	-351
drug_158	570	-915.5	-934.5	-871.5	-942.5	-359.5
drug_159	598	-873.5	-931.5	-813.5	-922.5	-356.5
drug_16	475	453	510.5	510.5	633.5	-354
drug_160	530.5	-770	-727	-784	-865.5	-351
drug_161	-532	-858	-920	-832	-851.5	-327
drug_162	598	-767	-838	-699	-879	-355
drug_163	598	-919	-937.5	-847.5	-766.5	-388.5
drug_164	530.5	560.5	571	779	627	220
drug_165	451	-589.5	-667.5	831	-638.5	303
drug_166	-492.5	-791.5	-846.5	-763.5	-876	566.5
drug_167	363.5	-581.5	-560.5	647.5	-584.5	636.5
drug_168	530.5	-605.5	-630.5	779	705.5	220
drug_169	588.5	602.5	544.5	761.5	795.5	271.5
drug_17	475	453	510.5	510.5	615	-377.5
drug_170	451	-544.5	515	831	-585.5	303
drug_171	452.5	383.5	430	397	-380.5	595
drug_172	-501	475.5	-568	-482	-354	655.5
drug_173	-501	475.5	-568	-482	-603.5	655.5
drug_174	374.5	475.5	549.5	-339	386	655.5
drug_175	-501	-448	-568	-482	-603.5	595
drug_176	374.5	475.5	549.5	-339	-362	655.5
drug_177	-501	475.5	-568	-482	-603.5	655.5
drug_178	-501	475.5	-568	-482	-603.5	655.5
drug_179	-501	-448	-568	-482	-587.5	595
drug_18	395.5	411.5	454.5	562.5	581.5	-364
drug_180	374.5	475.5	549.5	-339	230	655.5
drug_181	374.5	475.5	549.5	-339	201.5	655.5
drug_182	577.5	610.5	723.5	493.5	-616.5	790.5
drug_183	374.5	475.5	549.5	-339	159	655.5
drug_184	-521	475.5	549.5	-532	-573.5	655.5
drug_185	374.5	475.5	549.5	-339	-400	655.5
drug_186	-501	475.5	-568	-482	-603.5	655.5
drug_187	-501	-448	-568	-482	-354	595
drug_188	-501	475.5	-568	-482	-603.5	655.5
drug_189	-501	475.5	-568	-482	-354	655.5
drug_19	-294	-203	-275	-271	309	513
drug_190	597.5	598.5	689.5	506.5	-463.5	799.5
drug_191	-702	-740	-861	684.5	-786	-746
drug_192	452.5	383.5	430	397	-240.5	595
drug_193	577.5	610.5	723.5	493.5	361.5	790.5
drug_194	577.5	610.5	723.5	493.5	-476.5	790.5
drug_195	374.5	475.5	549.5	-339	282.5	655.5
drug_196	-501	-448	-568	-482	-354	595
drug_197	597.5	598.5	689.5	506.5	247	799.5
drug_198	-501	-448	-568	-482	-603.5	595
drug_199	-327	-274	-357	467.5	446	501.5
