ad	density	cc	spath	eigencentr	betwcentr
drug_1	-649	-649	713.5	-555.5	591	514
drug_10	765	753	825.5	662	854.5	-669
drug_100	-649	-649	-524.5	-552.5	509	516
drug_101	513.5	-549.5	429.5	348.5	509	516
drug_102	-459.5	-535.5	-470	-598	486.5	-594
drug_103	454.5	-448	347.5	348.5	502.5	510
drug_104	810.5	759.5	334.5	781	487	-278
drug_105	-512.5	-549.5	414.5	395	485.5	409
drug_106	787.5	762.5	-514.5	757	-467.5	-299.5
drug_107	795.5	801.5	423.5	778	377.5	-626.5
drug_108	791	785	473	754.5	414.5	-318.5
drug_109	-512.5	-549.5	367.5	306	-464	555
drug_11	459.5	479.5	-601.5	-638	492	-695
drug_110	770.5	780.5	595	731.5	-579	-750.5
drug_111	446	494	514	473.5	650.5	-750.5
drug_112	779	789	536	750.5	-579	-750.5
drug_113	495	488	-508.5	504.5	-579	-750.5
drug_114	770.5	780.5	595	731.5	-518	-865.5
drug_115	779	789	536	750.5	-579	-750.5
drug_116	789.5	810.5	559.5	777	-579	-750.5
drug_117	770.5	780.5	595	731.5	-499.5	-848
drug_118	779	789	536	750.5	-503.5	-865.5
drug_119	784.5	774.5	511.5	739	-600	-750.5
drug_12	-938	-805	-952	-772	-736	-781
drug_120	794	808	525.5	776	-518	-857.5
drug_121	495	488	-508.5	504.5	-579	-750.5
drug_122	784.5	774.5	511.5	739	-579	-750.5
drug_123	779	789	536	750.5	-565	-750.5
drug_124	413	410	-508.5	365.5	681	-750.5
drug_125	784.5	774.5	511.5	739	-579	-750.5
drug_126	495	488	-473.5	504.5	672	-848
drug_127	438.5	399.5	-508.5	391.5	-559	-750.5
drug_128	696.5	712.5	807.5	604	838.5	-750.5
drug_129	770.5	780.5	595	731.5	-579	-750.5
drug_13	-792	-875	-831	-537	-735.5	-597
drug_130	446	494	514	473.5	651.5	-848
drug_131	438.5	399.5	-473.5	391.5	-520	-848
drug_132	495	488	-508.5	504.5	-565	-750.5
drug_133	433	491	507	444.5	-534	-865.5
drug_134	438.5	399.5	-473.5	391.5	-534	-848
drug_135	413	410	498	365.5	555.5	-848
drug_136	821.5	829.5	805.5	785	-518	-865.5
drug_137	438.5	399.5	-508.5	391.5	-545	-750.5
drug_138	388	404	-508.5	362	-579	-750.5
drug_139	438.5	399.5	-473.5	391.5	-499.5	-857.5
drug_14	-627	-513	-758	443	463.5	-739
drug_140	438.5	399.5	-473.5	391.5	-518	-857.5
drug_141	413	410	-508.5	365.5	-579	-750.5
drug_142	-495	-644	-929.5	419	-862.5	573
drug_143	469	-610	-775.5	421	-851	541
drug_144	-495	-644	-929.5	344.5	-862.5	528.5
drug_145	-488.5	-455.5	-899.5	388.5	-839	-720.5
drug_146	-491.5	-645.5	-921.5	-427.5	-926.5	-600.5
drug_147	-493	-623	-929.5	410	-842	536
drug_148	-503.5	-456.5	-951.5	358.5	-750	-917.5
drug_149	-451.5	-559.5	-753.5	325.5	-827	619.5
drug_15	-780	-575	-909	-822	645.5	-902
drug_150	-481.5	-553.5	-906.5	344.5	-914	-636.5
drug_151	-485	-606	-924.5	383	-914	-599.5
drug_152	-487	-635	-932.5	-394.5	-926.5	-598.5
drug_153	-493	-623	-924.5	419	-841	573
drug_154	-499	-653	-940	-431	-896	534
drug_155	-508.5	-581.5	-956.5	-497.5	-698	-689.5
drug_156	-789	-776	-938	406.5	-881	716.5
drug_157	-487	-635	-924.5	431	-929	-540.5
drug_158	-507	-524	-956.5	-500	-655.5	-819
drug_159	-496.5	-480.5	-954.5	-477.5	-777	-915.5
drug_16	-635	-553	-736	500.5	-531	-688
drug_160	-507	-524	-956.5	-500	-655.5	-819
drug_161	-510	-494	-953.5	433.5	-596.5	-821.5
drug_162	-510	-494	-952.5	-400.5	-596.5	-822.5
drug_163	-499	-653	-940	-431	-893	523.5
drug_164	-368.5	-199.5	-676.5	332.5	-530	-871.5
drug_165	-410.5	-564.5	-688.5	132.5	-924	512.5
drug_166	462.5	-574.5	-858.5	-488	-866	-653
drug_167	227	-164	-698.5	-355	-454	-957
drug_168	-353.5	-216.5	-719	307.5	-563.5	-754
drug_169	-378.5	-243.5	-789.5	-356.5	-529	-833.5
drug_17	-817	-542	-754.5	-557	-593	-716
drug_170	-353.5	-216.5	-719	245.5	-550.5	-754
drug_171	-519.5	-668.5	-585.5	-743.5	-623	654
drug_172	-514	-608	-450	-444	-697	654
drug_173	-545	-710	-554.5	-765.5	-636.5	727
drug_174	-614	-685	-616	-654.5	-774	697
drug_175	-440	-595	-413	-395	-484	637.5
drug_176	497.5	-535	499.5	463.5	494	824.5
drug_177	-414.5	-520.5	-325	-590.5	-464	684
drug_178	-440	-595	-413	-395	-494	637.5
drug_179	-440	-595	-413	-395	-484	637.5
drug_18	-809.5	-854.5	-501	-499.5	-938	-502.5
drug_180	-468.5	-622.5	-456	-600	-712	654
drug_181	-440	-595	-413	-395	-501.5	697
drug_182	-444	-471	-337	-426	-409.5	637.5
drug_183	438	-497	501	-415	504.5	830
drug_184	-468.5	-622.5	-456	-600	-725	637.5
drug_185	-571.5	-762.5	-626	-606.5	-689	637.5
drug_186	-400.5	-469.5	-325	-610.5	-413	654
drug_187	-585	-645	-620	-636.5	-608	687
drug_188	-376.5	-568.5	-380.5	-524.5	-530	654
drug_189	-500.5	-634.5	-476	-424	-740	637.5
drug_19	434.5	357.5	-482.5	396	505.5	-727.5
drug_190	-598	-724	-577.5	-637.5	-653	637.5
drug_191	-718.5	-697.5	-831	-615	-782	826
drug_192	-444	-471	-337	-426	-393	654
drug_193	-529	-747	-585.5	-736	-677.5	654
drug_194	-529	-747	-585.5	-736	-656	654
drug_195	455	-595	502	433	500.5	828
drug_196	-571.5	-762.5	-626	-606.5	-700.5	654
drug_197	-414.5	-520.5	-325	-590.5	-448	637.5
drug_198	-545	-710	-645	-802.5	-748.5	831
drug_199	-631	-686	-499	-487	-548	637.5
drug_2	-627	-513	-758	508.5	718.5	-739
drug_20	-901.5	-904.5	-866	-628	-789	-641
drug_200	-514	-608	-450	-444	-697	694
drug_201	365	451	563	-357	503.5	913
drug_202	457	493	555	427	543.5	896
drug_203	439.5	498.5	566.5	-423	557	905.5
drug_204	320.5	-394	482.5	-357	542	829.5
drug_205	433.5	473.5	485.5	423.5	541	892.5
drug_206	-329	371.5	428.5	326.5	447.5	834.5
drug_207	320.5	-394	464	-357	486	833
drug_208	381.5	433.5	524.5	-397	538	909.5
drug_209	457	493	555	427	545.5	896
drug_21	449.5	367.5	-482.5	381	500.5	-727.5
drug_210	459.5	484.5	487.5	432.5	507	889.5
drug_211	-291	-394	-296	-357	348	715.5
drug_212	457	493	555	427	543.5	896
drug_213	433.5	473.5	485.5	423.5	542	892.5
drug_214	323.5	-394	409.5	-357	490	867.5
drug_215	-504.5	-615.5	563	-652.5	-668	913
drug_216	442	456	549.5	-423	506	907.5
drug_217	439.5	498.5	566.5	402.5	557	905.5
drug_218	433.5	473.5	485.5	423.5	540	892.5
drug_219	-466	-620.5	-563.5	-624.5	555	902.5
drug_22	-494	-513	-553	-509.5	-528	-938
drug_220	410.5	482.5	551.5	-432.5	-527	899.5
drug_221	-558.5	-560.5	-465	-662	577	888.5
drug_222	457	493	555	427	500	896
drug_223	410.5	482.5	551.5	398.5	552.5	899.5
drug_224	340.5	320.5	285.5	-397	363	865.5
drug_225	415	460	564.5	-357	539	911.5
drug_226	-474.5	-536.5	566.5	-696	-588	905.5
drug_227	-521	-629	-568	-647	-595.5	901.5
drug_228	470.5	-620.5	-563.5	-624.5	547	890.5
drug_229	532.5	565.5	582.5	447.5	580	935.5
drug_23	518	485	-522	502	569.5	-774.5
drug_230	410.5	482.5	551.5	-432.5	552.5	899.5
drug_231	669	694	767	631.5	714	-500.5
drug_232	811.5	802.5	827.5	693	847.5	647
drug_233	655.5	605.5	-779.5	-648	676	-803
drug_234	655.5	605.5	699.5	596	552.5	-558
drug_235	626.5	592.5	686.5	562	761	-558
drug_236	679.5	672.5	-787	-729	497	-734
drug_237	637	664	715	625.5	708.5	-783
drug_238	535.5	541.5	-552.5	-563	501.5	-700
drug_239	647	628	764.5	567	623	-700
drug_24	-542	418.5	-466.5	401	-567.5	503
drug_240	545.5	465.5	-585.5	-608.5	444.5	-816.5
drug_241	572	574	-585.5	-608.5	504.5	-816.5
drug_242	611.5	563.5	768.5	-469	-463.5	-658
drug_243	679.5	645.5	776	558	614.5	-447.5
drug_244	812.5	814.5	716.5	-818	-479	-972
drug_245	-770	-793	-708.5	-588	-757.5	-348
drug_246	632.5	580.5	730.5	507	545.5	-622
drug_247	647	628	-779.5	-660	621.5	-813
drug_248	647	628	-753.5	-750	672.5	-824
drug_249	679.5	672.5	-808	649.5	648.5	-738
drug_25	-609.5	-640.5	-619.5	-663.5	-494.5	700.5
drug_250	559.5	646.5	-753.5	-750	801	-824
drug_251	647	628	-787	-729	623	-734
drug_252	604.5	550.5	-787	-729	638.5	-734
drug_253	637	664	-808	625.5	707.5	-738
drug_254	629.5	600.5	-779.5	-648	611.5	-803
drug_255	599.5	570.5	-753.5	-762	715.5	-831
drug_256	655.5	605.5	-753.5	-750	400	-824
drug_257	669	694	767	631.5	714	-700
drug_258	501.5	555.5	-653	-680.5	597.5	-613.5
drug_259	529.5	459.5	-779.5	-648	454.5	-803
drug_26	-634.5	-671.5	-606.5	-582	-348.5	467
drug_260	-778	-761	631	-799	709.5	540.5
drug_261	641	699	667	-707.5	767.5	602.5
drug_262	602.5	660.5	735.5	-682	633	590
drug_263	-735.5	-754.5	631	-764	711.5	540.5
drug_264	-819.5	-842.5	697	-971.5	-871	638.5
drug_265	-735.5	-754.5	667	-764	615	602.5
drug_266	-706	-724	619.5	-878.5	865	554
drug_267	-721.5	-775.5	637	-869.5	588	531.5
drug_268	-770.5	-779.5	661.5	-894	751.5	607
drug_269	-706	-724	-444	-876.5	581.5	537.5
drug_27	-584.5	-613.5	-591	-642	-458.5	706.5
drug_270	-774	708	661.5	-807.5	750	607
drug_271	699	689	631	718.5	711.5	540.5
drug_272	630.5	630.5	664.5	-781.5	590	627
