Name	Score	Rank
drug_458	drug_458	5.57747550468874e-06	1
drug_49	drug_49	6.29623917885797e-06	2
drug_30	drug_30	7.09058794592748e-06	3.5
drug_42	drug_42	7.09058794592748e-06	3.5
drug_206	drug_206	1.38200726313465e-05	6.5
drug_216	drug_216	1.38200726313465e-05	6.5
drug_219	drug_219	1.38200726313465e-05	6.5
drug_220	drug_220	1.38200726313465e-05	6.5
drug_32	drug_32	2.288818359375e-05	9
drug_210	drug_210	2.5194427149294e-05	10.5
drug_50	drug_50	2.5194427149294e-05	10.5
drug_26	drug_26	6.09815350184295e-05	13
drug_40	drug_40	6.09815350184295e-05	13
drug_447	drug_447	6.09815350184295e-05	13
drug_214	drug_214	6.61685335596089e-05	16.5
drug_217	drug_217	6.61685335596089e-05	16.5
drug_222	drug_222	6.61685335596089e-05	16.5
drug_460	drug_460	6.61685335596089e-05	16.5
drug_35	drug_35	7.17180993966791e-05	19
drug_27	drug_27	7.7650229764054e-05	20
drug_25	drug_25	8.39857379371001e-05	22.5
drug_33	drug_33	8.39857379371001e-05	22.5
drug_71	drug_71	8.39857379371001e-05	22.5
drug_76	drug_76	8.39857379371001e-05	22.5
drug_69	drug_69	9.07462751370047e-05	25
drug_67	drug_67	0.000131743666429206	26
drug_202	drug_202	0.000141558811527446	27
drug_204	drug_204	0.000151975907620188	28
drug_230	drug_230	0.000163024132886114	30
drug_471	drug_471	0.000163024132886114	30
drug_491	drug_491	0.000163024132886114	30
drug_494	drug_494	0.000206691582635286	32
drug_47	drug_47	0.000277989449202878	33
drug_457	drug_457	0.00037830372158566	34
drug_75	drug_75	0.000652452902648307	35
drug_331	drug_331	0.00144765606448447	36
drug_113	drug_113	0.00165816404263334	37
drug_78	drug_78	0.00282606554538996	38
drug_342	drug_342	0.00316647356982653	39
drug_300	drug_300	0.00323972462817878	40
drug_61	drug_61	0.00330362890832377	41
drug_221	drug_221	0.00366535215170766	42
drug_360	drug_360	0.00569512643135619	43
drug_299	drug_299	0.00572853801790228	44
drug_59	drug_59	0.00779817378957243	45
drug_77	drug_77	0.00785780723504161	46
drug_223	drug_223	0.00820090795769894	47
drug_455	drug_455	0.00861972856878429	48
drug_5	drug_5	0.0131900660548789	49.5
drug_64	drug_64	0.0131900660548789	49.5
drug_350	drug_350	0.0151344878771254	51
drug_3	drug_3	0.0224242116058897	52
drug_52	drug_52	0.0266388617215861	53
drug_119	drug_119	0.0281153169339328	54
drug_290	drug_290	0.0346602920714026	72
drug_291	drug_291	0.0346602920714026	72
drug_292	drug_292	0.0346602920714026	72
drug_293	drug_293	0.0346602920714026	72
drug_294	drug_294	0.0346602920714026	72
drug_295	drug_295	0.0346602920714026	72
drug_301	drug_301	0.0346602920714026	72
drug_302	drug_302	0.0346602920714026	72
drug_304	drug_304	0.0346602920714026	72
drug_305	drug_305	0.0346602920714026	72
drug_306	drug_306	0.0346602920714026	72
drug_307	drug_307	0.0346602920714026	72
drug_308	drug_308	0.0346602920714026	72
drug_309	drug_309	0.0346602920714026	72
drug_310	drug_310	0.0346602920714026	72
drug_311	drug_311	0.0346602920714026	72
drug_312	drug_312	0.0346602920714026	72
drug_314	drug_314	0.0346602920714026	72
drug_315	drug_315	0.0346602920714026	72
drug_316	drug_316	0.0346602920714026	72
drug_317	drug_317	0.0346602920714026	72
drug_318	drug_318	0.0346602920714026	72
drug_319	drug_319	0.0346602920714026	72
drug_407	drug_407	0.0346602920714026	72
drug_408	drug_408	0.0346602920714026	72
drug_412	drug_412	0.0346602920714026	72
drug_413	drug_413	0.0346602920714026	72
drug_414	drug_414	0.0346602920714026	72
drug_419	drug_419	0.0346602920714026	72
drug_421	drug_421	0.0346602920714026	72
drug_428	drug_428	0.0346602920714026	72
drug_429	drug_429	0.0346602920714026	72
drug_430	drug_430	0.0346602920714026	72
drug_432	drug_432	0.0346602920714026	72
drug_436	drug_436	0.0346602920714026	72
drug_99	drug_99	0.0581402235917246	90
drug_359	drug_359	0.0600392449978707	91
drug_110	drug_110	0.0893104913374246	97.5
drug_112	drug_112	0.0893104913374246	97.5
drug_123	drug_123	0.0893104913374246	97.5
drug_125	drug_125	0.0893104913374246	97.5
drug_138	drug_138	0.0893104913374246	97.5
drug_141	drug_141	0.0893104913374246	97.5
drug_241	drug_241	0.0893104913374246	97.5
drug_437	drug_437	0.0893104913374246	97.5
drug_438	drug_438	0.0893104913374246	97.5
drug_451	drug_451	0.0893104913374246	97.5
drug_453	drug_453	0.0893104913374246	97.5
drug_465	drug_465	0.0893104913374246	97.5
drug_102	drug_102	0.103196373603508	132.5
drug_105	drug_105	0.103196373603508	132.5
drug_106	drug_106	0.103196373603508	132.5
drug_11	drug_11	0.103196373603508	132.5
drug_120	drug_120	0.103196373603508	132.5
drug_122	drug_122	0.103196373603508	132.5
drug_126	drug_126	0.103196373603508	132.5
drug_134	drug_134	0.103196373603508	132.5
drug_135	drug_135	0.103196373603508	132.5
drug_14	drug_14	0.103196373603508	132.5
drug_16	drug_16	0.103196373603508	132.5
drug_164	drug_164	0.103196373603508	132.5
drug_165	drug_165	0.103196373603508	132.5
drug_171	drug_171	0.103196373603508	132.5
drug_172	drug_172	0.103196373603508	132.5
drug_174	drug_174	0.103196373603508	132.5
drug_178	drug_178	0.103196373603508	132.5
drug_179	drug_179	0.103196373603508	132.5
drug_186	drug_186	0.103196373603508	132.5
drug_188	drug_188	0.103196373603508	132.5
drug_189	drug_189	0.103196373603508	132.5
drug_19	drug_19	0.103196373603508	132.5
drug_194	drug_194	0.103196373603508	132.5
drug_196	drug_196	0.103196373603508	132.5
