Name	Score	Rank
drug_289	drug_289	1.03388333686889e-06	1
drug_160	drug_160	7.79616211400541e-06	2.5
drug_168	drug_168	7.79616211400541e-06	2.5
drug_147	drug_147	2.61925680842434e-05	4
drug_142	drug_142	3.03907439346643e-05	7
drug_149	drug_149	3.03907439346643e-05	7
drug_162	drug_162	3.03907439346643e-05	7
drug_166	drug_166	3.03907439346643e-05	7
drug_169	drug_169	3.03907439346643e-05	7
drug_145	drug_145	7.17180993966791e-05	11.5
drug_146	drug_146	7.17180993966791e-05	11.5
drug_163	drug_163	7.17180993966791e-05	11.5
drug_167	drug_167	7.17180993966791e-05	11.5
drug_144	drug_144	0.000113807610422936	14
drug_271	drug_271	0.000122502317776255	15
drug_447	drug_447	0.000151975907620188	16.5
drug_460	drug_460	0.000151975907620188	16.5
drug_153	drug_153	0.000187135949185995	18
drug_155	drug_155	0.000315419536834574	19
drug_150	drug_150	0.000335653822228854	20.5
drug_161	drug_161	0.000335653822228854	20.5
drug_283	drug_283	0.000481154486464719	24.5
drug_351	drug_351	0.000481154486464719	24.5
drug_361	drug_361	0.000481154486464719	24.5
drug_368	drug_368	0.000481154486464719	24.5
drug_370	drug_370	0.000481154486464719	24.5
drug_374	drug_374	0.000481154486464719	24.5
drug_358	drug_358	0.000571605479074884	28
drug_191	drug_191	0.00108781047191798	29
drug_148	drug_148	0.00123947480262761	30.5
drug_159	drug_159	0.00123947480262761	30.5
drug_360	drug_360	0.00126465892515523	32
drug_158	drug_158	0.0013286793198025	36.5
drug_349	drug_349	0.0013286793198025	36.5
drug_357	drug_357	0.0013286793198025	36.5
drug_363	drug_363	0.0013286793198025	36.5
drug_364	drug_364	0.0013286793198025	36.5
drug_365	drug_365	0.0013286793198025	36.5
drug_367	drug_367	0.0013286793198025	36.5
drug_375	drug_375	0.0013286793198025	36.5
drug_352	drug_352	0.00185694676365589	41.5
drug_376	drug_376	0.00185694676365589	41.5
drug_353	drug_353	0.00203652134051631	43
drug_359	drug_359	0.00213159542119673	44
drug_157	drug_157	0.00243929206153412	45
drug_151	drug_151	0.00248718368707683	46
drug_299	drug_299	0.00323972462817878	47
drug_457	drug_457	0.00344569962980082	48
drug_152	drug_152	0.00701804983223251	51.5
drug_234	drug_234	0.00701804983223251	51.5
drug_235	drug_235	0.00701804983223251	51.5
drug_248	drug_248	0.00701804983223251	51.5
drug_254	drug_254	0.00701804983223251	51.5
drug_347	drug_347	0.00701804983223251	51.5
drug_377	drug_377	0.00779817378957243	55
drug_110	drug_110	0.00784014833768035	75
drug_111	drug_111	0.00784014833768035	75
drug_112	drug_112	0.00784014833768035	75
drug_114	drug_114	0.00784014833768035	75
drug_117	drug_117	0.00784014833768035	75
drug_120	drug_120	0.00784014833768035	75
drug_121	drug_121	0.00784014833768035	75
drug_123	drug_123	0.00784014833768035	75
drug_124	drug_124	0.00784014833768035	75
drug_125	drug_125	0.00784014833768035	75
drug_126	drug_126	0.00784014833768035	75
drug_131	drug_131	0.00784014833768035	75
drug_135	drug_135	0.00784014833768035	75
drug_138	drug_138	0.00784014833768035	75
drug_141	drug_141	0.00784014833768035	75
drug_143	drug_143	0.00784014833768035	75
drug_154	drug_154	0.00784014833768035	75
drug_164	drug_164	0.00784014833768035	75
drug_165	drug_165	0.00784014833768035	75
drug_170	drug_170	0.00784014833768035	75
drug_241	drug_241	0.00784014833768035	75
drug_244	drug_244	0.00784014833768035	75
drug_246	drug_246	0.00784014833768035	75
drug_247	drug_247	0.00784014833768035	75
drug_252	drug_252	0.00784014833768035	75
drug_255	drug_255	0.00784014833768035	75
drug_437	drug_437	0.00784014833768035	75
drug_438	drug_438	0.00784014833768035	75
drug_439	drug_439	0.00784014833768035	75
drug_440	drug_440	0.00784014833768035	75
drug_441	drug_441	0.00784014833768035	75
drug_448	drug_448	0.00784014833768035	75
drug_451	drug_451	0.00784014833768035	75
drug_453	drug_453	0.00784014833768035	75
drug_454	drug_454	0.00784014833768035	75
drug_456	drug_456	0.00784014833768035	75
drug_459	drug_459	0.00784014833768035	75
drug_461	drug_461	0.00784014833768035	75
drug_95	drug_95	0.00784014833768035	75
drug_455	drug_455	0.00874097782203782	95
drug_263	drug_263	0.0093881802457941	98.5
drug_264	drug_264	0.0093881802457941	98.5
drug_266	drug_266	0.0093881802457941	98.5
drug_270	drug_270	0.0093881802457941	98.5
drug_274	drug_274	0.0093881802457941	98.5
drug_275	drug_275	0.0093881802457941	98.5
drug_371	drug_371	0.0114963222445599	102.5
drug_372	drug_372	0.0114963222445599	102.5
