Name	Score	Rank
drug_262	drug_262	9.16380002034042e-06	1
drug_261	drug_261	1.43945123806185e-05	2
drug_275	drug_275	4.43293880872988e-05	3
drug_278	drug_278	0.000117483565007294	4
drug_35	drug_35	0.000182101640169746	5
drug_18	drug_18	0.000204557002325266	6
drug_289	drug_289	0.000206691582635286	7
drug_277	drug_277	0.000269951340763292	8
drug_487	drug_487	0.000326720345994505	9
drug_496	drug_496	0.000363867493749397	10
drug_260	drug_260	0.000598303046643928	11
drug_37	drug_37	0.000688062308697414	12
drug_40	drug_40	0.000955747006222968	13
drug_16	drug_16	0.00124476095538463	14
drug_286	drug_286	0.00160861277463148	16
drug_475	drug_475	0.00160861277463148	16
drug_491	drug_491	0.00160861277463148	16
drug_486	drug_486	0.00203579976505495	18
drug_468	drug_468	0.00253095070779243	19
drug_61	drug_61	0.00302151424326521	20
drug_47	drug_47	0.00374317996772342	21
drug_282	drug_282	0.00383342618797404	22
drug_492	drug_492	0.00402235872134205	23
drug_32	drug_32	0.00446903871003888	24
drug_179	drug_179	0.00482627258520984	28.5
drug_232	drug_232	0.00482627258520984	28.5
drug_254	drug_254	0.00482627258520984	28.5
drug_350	drug_350	0.00482627258520984	28.5
drug_356	drug_356	0.00482627258520984	28.5
drug_372	drug_372	0.00482627258520984	28.5
drug_75	drug_75	0.00482627258520984	28.5
drug_78	drug_78	0.00482627258520984	28.5
drug_264	drug_264	0.00524600845391395	33
drug_46	drug_46	0.00570825986915635	34
drug_14	drug_14	0.00572853801790228	35
drug_28	drug_28	0.00946298527222035	36.5
drug_281	drug_281	0.00946298527222035	36.5
drug_158	drug_158	0.0113045042001698	38
drug_263	drug_263	0.0121065695754562	41
drug_266	drug_266	0.0121065695754562	41
drug_274	drug_274	0.0121065695754562	41
drug_39	drug_39	0.0121065695754562	41
drug_483	drug_483	0.0121065695754562	41
drug_270	drug_270	0.0153301296268249	44
drug_287	drug_287	0.018916311067649	46
drug_484	drug_484	0.018916311067649	46
drug_495	drug_495	0.018916311067649	46
drug_245	drug_245	0.0202785991851714	48
drug_285	drug_285	0.0277838532142381	49
