Name	Score	Rank
drug_32	drug_32	2.57893956766023e-14	1
drug_26	drug_26	1.19719210242477e-12	7
drug_27	drug_27	1.19719210242477e-12	7
drug_28	drug_28	1.19719210242477e-12	7
drug_30	drug_30	1.19719210242477e-12	7
drug_33	drug_33	1.19719210242477e-12	7
drug_34	drug_34	1.19719210242477e-12	7
drug_37	drug_37	1.19719210242477e-12	7
drug_38	drug_38	1.19719210242477e-12	7
drug_44	drug_44	1.19719210242477e-12	7
drug_45	drug_45	1.19719210242477e-12	7
drug_47	drug_47	1.19719210242477e-12	7
drug_260	drug_260	4.5687487594237e-08	28
drug_261	drug_261	4.5687487594237e-08	28
drug_263	drug_263	4.5687487594237e-08	28
drug_266	drug_266	4.5687487594237e-08	28
drug_268	drug_268	4.5687487594237e-08	28
drug_273	drug_273	4.5687487594237e-08	28
drug_275	drug_275	4.5687487594237e-08	28
drug_278	drug_278	4.5687487594237e-08	28
drug_280	drug_280	4.5687487594237e-08	28
drug_282	drug_282	4.5687487594237e-08	28
drug_285	drug_285	4.5687487594237e-08	28
drug_286	drug_286	4.5687487594237e-08	28
drug_325	drug_325	4.5687487594237e-08	28
drug_332	drug_332	4.5687487594237e-08	28
drug_335	drug_335	4.5687487594237e-08	28
drug_336	drug_336	4.5687487594237e-08	28
drug_340	drug_340	4.5687487594237e-08	28
drug_343	drug_343	4.5687487594237e-08	28
drug_344	drug_344	4.5687487594237e-08	28
drug_347	drug_347	4.5687487594237e-08	28
drug_40	drug_40	4.5687487594237e-08	28
drug_41	drug_41	4.5687487594237e-08	28
drug_42	drug_42	4.5687487594237e-08	28
drug_43	drug_43	4.5687487594237e-08	28
drug_470	drug_470	4.5687487594237e-08	28
drug_472	drug_472	4.5687487594237e-08	28
drug_473	drug_473	4.5687487594237e-08	28
drug_475	drug_475	4.5687487594237e-08	28
drug_479	drug_479	4.5687487594237e-08	28
drug_490	drug_490	4.5687487594237e-08	28
drug_491	drug_491	4.5687487594237e-08	28
drug_19	drug_19	4.34358514379496e-06	55
drug_272	drug_272	4.34358514379496e-06	55
drug_274	drug_274	4.34358514379496e-06	55
drug_289	drug_289	4.34358514379496e-06	55
drug_29	drug_29	4.34358514379496e-06	55
drug_320	drug_320	4.34358514379496e-06	55
drug_331	drug_331	4.34358514379496e-06	55
drug_333	drug_333	4.34358514379496e-06	55
drug_337	drug_337	4.34358514379496e-06	55
drug_339	drug_339	4.34358514379496e-06	55
drug_341	drug_341	4.34358514379496e-06	55
drug_342	drug_342	4.34358514379496e-06	55
drug_35	drug_35	4.34358514379496e-06	55
drug_36	drug_36	4.34358514379496e-06	55
drug_39	drug_39	4.34358514379496e-06	55
drug_468	drug_468	4.34358514379496e-06	55
drug_481	drug_481	4.34358514379496e-06	55
drug_483	drug_483	4.34358514379496e-06	55
drug_487	drug_487	4.34358514379496e-06	55
drug_488	drug_488	4.34358514379496e-06	55
drug_493	drug_493	4.34358514379496e-06	55
drug_495	drug_495	4.34358514379496e-06	55
drug_496	drug_496	4.34358514379496e-06	55
drug_15	drug_15	5.95183361114017e-06	78
drug_21	drug_21	5.95183361114017e-06	78
drug_25	drug_25	5.95183361114017e-06	78
drug_262	drug_262	5.95183361114017e-06	78
drug_264	drug_264	5.95183361114017e-06	78
drug_271	drug_271	5.95183361114017e-06	78
drug_276	drug_276	5.95183361114017e-06	78
drug_277	drug_277	5.95183361114017e-06	78
drug_279	drug_279	5.95183361114017e-06	78
drug_284	drug_284	5.95183361114017e-06	78
drug_287	drug_287	5.95183361114017e-06	78
drug_321	drug_321	5.95183361114017e-06	78
drug_322	drug_322	5.95183361114017e-06	78
drug_328	drug_328	5.95183361114017e-06	78
drug_338	drug_338	5.95183361114017e-06	78
drug_348	drug_348	5.95183361114017e-06	78
drug_46	drug_46	5.95183361114017e-06	78
drug_466	drug_466	5.95183361114017e-06	78
drug_469	drug_469	5.95183361114017e-06	78
drug_482	drug_482	5.95183361114017e-06	78
drug_484	drug_484	5.95183361114017e-06	78
drug_489	drug_489	5.95183361114017e-06	78
drug_492	drug_492	5.95183361114017e-06	78
drug_486	drug_486	6.18037940583623e-05	90
drug_13	drug_13	0.000253314188917914	96.5
drug_18	drug_18	0.000253314188917914	96.5
drug_265	drug_265	0.000253314188917914	96.5
drug_267	drug_267	0.000253314188917914	96.5
drug_270	drug_270	0.000253314188917914	96.5
drug_283	drug_283	0.000253314188917914	96.5
drug_31	drug_31	0.000253314188917914	96.5
drug_327	drug_327	0.000253314188917914	96.5
drug_329	drug_329	0.000253314188917914	96.5
drug_345	drug_345	0.000253314188917914	96.5
drug_474	drug_474	0.000253314188917914	96.5
drug_476	drug_476	0.000253314188917914	96.5
drug_281	drug_281	0.000269951340763292	103
drug_323	drug_323	0.000324078340720319	105
drug_330	drug_330	0.000324078340720319	105
drug_471	drug_471	0.000324078340720319	105
drug_288	drug_288	0.000363867493749397	109
drug_324	drug_324	0.000363867493749397	109
drug_326	drug_326	0.000363867493749397	109
drug_480	drug_480	0.000363867493749397	109
drug_485	drug_485	0.000363867493749397	109
drug_334	drug_334	0.00619947382160832	112
drug_166	drug_166	0.0348006746545374	115.5
drug_20	drug_20	0.0348006746545374	115.5
drug_205	drug_205	0.0348006746545374	115.5
drug_220	drug_220	0.0348006746545374	115.5
drug_227	drug_227	0.0348006746545374	115.5
drug_292	drug_292	0.0348006746545374	115.5
drug_203	drug_203	0.057629768450733	120.5
drug_204	drug_204	0.057629768450733	120.5
drug_221	drug_221	0.057629768450733	120.5
drug_228	drug_228	0.057629768450733	120.5
drug_14	drug_14	0.0722157972243632	126.5
drug_16	drug_16	0.0722157972243632	126.5
drug_269	drug_269	0.0722157972243632	126.5
drug_346	drug_346	0.0722157972243632	126.5
drug_467	drug_467	0.0722157972243632	126.5
drug_477	drug_477	0.0722157972243632	126.5
drug_478	drug_478	0.0722157972243632	126.5
drug_494	drug_494	0.0722157972243632	126.5
drug_69	drug_69	0.0732357163237682	131
drug_353	drug_353	0.0983787371696558	134.5
drug_358	drug_358	0.0983787371696558	134.5
drug_366	drug_366	0.0983787371696558	134.5
drug_51	drug_51	0.0983787371696558	134.5
drug_59	drug_59	0.0983787371696558	134.5
drug_68	drug_68	0.0983787371696558	134.5
drug_142	drug_142	0.178312987803707	143
drug_145	drug_145	0.178312987803707	143
drug_147	drug_147	0.178312987803707	143
drug_210	drug_210	0.178312987803707	143
drug_229	drug_229	0.178312987803707	143
drug_232	drug_232	0.178312987803707	143
drug_254	drug_254	0.178312987803707	143
drug_359	drug_359	0.178312987803707	143
drug_379	drug_379	0.178312987803707	143
drug_395	drug_395	0.178312987803707	143
drug_440	drug_440	0.178312987803707	143
drug_407	drug_407	0.219266643981847	149.5
drug_90	drug_90	0.219266643981847	149.5
drug_102	drug_102	0.266054023455213	173
drug_107	drug_107	0.266054023455213	173
drug_108	drug_108	0.266054023455213	173
