Name	Score	Rank
drug_486	drug_486	3.7085150982954e-06	1
drug_481	drug_481	4.72488081165478e-06	2
drug_477	drug_477	9.16380002034042e-06	3
drug_473	drug_473	1.12191111868275e-05	4
drug_483	drug_483	1.36258256325797e-05	5
drug_478	drug_478	1.96678811234488e-05	6
drug_466	drug_466	2.61925680842434e-05	11.5
drug_472	drug_472	2.61925680842434e-05	11.5
drug_475	drug_475	2.61925680842434e-05	11.5
drug_476	drug_476	2.61925680842434e-05	11.5
drug_479	drug_479	2.61925680842434e-05	11.5
drug_484	drug_484	2.61925680842434e-05	11.5
drug_485	drug_485	2.61925680842434e-05	11.5
drug_487	drug_487	2.61925680842434e-05	11.5
drug_489	drug_489	2.61925680842434e-05	11.5
drug_492	drug_492	2.61925680842434e-05	11.5
drug_474	drug_474	3.80753350362723e-05	17
drug_480	drug_480	9.24908839899223e-05	19
drug_482	drug_482	9.24908839899223e-05	19
drug_488	drug_488	9.24908839899223e-05	19
drug_123	drug_123	0.000214149097308893	21
drug_491	drug_491	0.000363867493749397	22
drug_360	drug_360	0.000571605479074884	23
drug_242	drug_242	0.000598303046643928	24
drug_451	drug_451	0.00114918283927659	25
drug_235	drug_235	0.00123947480262761	26
drug_120	drug_120	0.00146484375	27
drug_253	drug_253	0.00154436930374211	28
drug_320	drug_320	0.00203652134051631	31.5
drug_324	drug_324	0.00203652134051631	31.5
drug_328	drug_328	0.00203652134051631	31.5
drug_336	drug_336	0.00203652134051631	31.5
drug_340	drug_340	0.00203652134051631	31.5
drug_345	drug_345	0.00203652134051631	31.5
drug_231	drug_231	0.00203967706839291	35
drug_493	drug_493	0.00309859829772192	36
drug_374	drug_374	0.00361233785675762	37
drug_464	drug_464	0.00482627258520984	38
drug_323	drug_323	0.00558793544769287	40
drug_326	drug_326	0.00558793544769287	40
drug_327	drug_327	0.00558793544769287	40
drug_243	drug_243	0.0063392955331656	42.5
drug_325	drug_325	0.0063392955331656	42.5
drug_329	drug_329	0.00651094366008736	44.5
drug_347	drug_347	0.00651094366008736	44.5
drug_125	drug_125	0.00676053534024722	46
drug_334	drug_334	0.00755765073606537	47
drug_257	drug_257	0.00861972856878429	48
drug_158	drug_158	0.00890266641182865	49
drug_496	drug_496	0.00946298527222035	50
drug_459	drug_459	0.00997727245238549	51
drug_444	drug_444	0.0104650379059476	52.5
drug_455	drug_455	0.0104650379059476	52.5
drug_239	drug_239	0.0121065695754562	54
drug_233	drug_233	0.0126052364913857	55
drug_137	drug_137	0.014759318186284	56
drug_371	drug_371	0.016438828884594	57.5
drug_441	drug_441	0.016438828884594	57.5
drug_434	drug_434	0.0170874281892178	59
drug_145	drug_145	0.0189677756612331	60
drug_422	drug_422	0.0195641685145217	62.5
drug_428	drug_428	0.0195641685145217	62.5
drug_429	drug_429	0.0195641685145217	62.5
drug_431	drug_431	0.0195641685145217	62.5
drug_449	drug_449	0.0200743550493511	67.5
drug_456	drug_456	0.0200743550493511	67.5
drug_457	drug_457	0.0200743550493511	67.5
drug_458	drug_458	0.0200743550493511	67.5
drug_468	drug_468	0.0200743550493511	67.5
drug_490	drug_490	0.0200743550493511	67.5
drug_121	drug_121	0.0202785991851714	71
drug_234	drug_234	0.0212823682371146	72
drug_407	drug_407	0.0250253205974862	73.5
drug_423	drug_423	0.0250253205974862	73.5
drug_452	drug_452	0.0257676661528912	75
drug_142	drug_142	0.029043048226519	76.5
drug_153	drug_153	0.029043048226519	76.5
drug_495	drug_495	0.0303268671074152	78
drug_154	drug_154	0.0326318128251234	79
drug_159	drug_159	0.033011321364425	80
drug_112	drug_112	0.0360821834453309	82
drug_332	drug_332	0.0360821834453309	82
drug_338	drug_338	0.0360821834453309	82
drug_224	drug_224	0.0430454861473977	84.5
drug_252	drug_252	0.0430454861473977	84.5
drug_22	drug_22	0.0445542478462181	86
drug_344	drug_344	0.0461033888432969	87
drug_359	drug_359	0.048423759221847	88.5
drug_364	drug_364	0.048423759221847	88.5
drug_373	drug_373	0.0493257420629513	90
drug_161	drug_161	0.0544806074334241	91
drug_436	drug_436	0.0566070174979954	92
drug_440	drug_440	0.0604056872786031	93
drug_168	drug_168	0.061225602956146	94
drug_322	drug_322	0.0619854447604044	97
drug_330	drug_330	0.0619854447604044	97
drug_437	drug_437	0.0619854447604044	97
drug_438	drug_438	0.0619854447604044	97
drug_446	drug_446	0.0619854447604044	97
drug_342	drug_342	0.0722157972243632	100.5
drug_494	drug_494	0.0722157972243632	100.5
drug_143	drug_143	0.0732357163237682	102.5
drug_146	drug_146	0.0732357163237682	102.5
drug_237	drug_237	0.0743266381078997	104
drug_156	drug_156	0.0789520565245086	105
drug_147	drug_147	0.0793486833572387	106.5
drug_157	drug_157	0.0793486833572387	106.5
drug_151	drug_151	0.0829657479983201	108
drug_258	drug_258	0.0858836843517272	109
drug_164	drug_164	0.0871480547607617	110
drug_163	drug_163	0.0893041896588903	111
drug_335	drug_335	0.0893104913374246	112.5
drug_343	drug_343	0.0893104913374246	112.5
drug_150	drug_150	0.09375	114.5
drug_155	drug_155	0.09375	114.5
drug_259	drug_259	0.0973677344434955	116
drug_263	drug_263	0.106003772874177	118
drug_277	drug_277	0.106003772874177	118
drug_279	drug_279	0.106003772874177	118
drug_470	drug_470	0.108209026805653	120
drug_160	drug_160	0.113422961678961	121
drug_166	drug_166	0.11610740840647	122
drug_245	drug_245	0.124963278849367	123
drug_162	drug_162	0.130337365793044	124
drug_420	drug_420	0.142741748148612	125
drug_448	drug_448	0.143705814418686	126
drug_148	drug_148	0.145991899641573	127
drug_248	drug_248	0.147599375598221	128
drug_119	drug_119	0.150201927912244	130
drug_126	drug_126	0.150201927912244	130
drug_139	drug_139	0.150201927912244	130
drug_353	drug_353	0.152447258024828	132.5
drug_369	drug_369	0.152447258024828	132.5
drug_152	drug_152	0.152677440737398	134
drug_117	drug_117	0.152890438108347	135
drug_170	drug_170	0.156114691938183	136
drug_213	drug_213	0.1574021437777	138
drug_218	drug_218	0.1574021437777	138
drug_230	drug_230	0.1574021437777	138
drug_169	drug_169	0.159616188749434	140
drug_289	drug_289	0.162119092750685	141
drug_167	drug_167	0.163182888252156	142
drug_144	drug_144	0.166815758181148	143.5
drug_433	drug_433	0.166815758181148	143.5
drug_435	drug_435	0.170515777003771	145
drug_165	drug_165	0.174283933999013	146
drug_114	drug_114	0.174732389821209	149.5
drug_122	drug_122	0.174732389821209	149.5
drug_128	drug_128	0.174732389821209	149.5
drug_132	drug_132	0.174732389821209	149.5
drug_138	drug_138	0.174732389821209	149.5
drug_140	drug_140	0.174732389821209	149.5
drug_467	drug_467	0.186007290653054	153.5
drug_471	drug_471	0.186007290653054	153.5
drug_149	drug_149	0.194182183165221	155
drug_269	drug_269	0.22212670264448	157.5
drug_270	drug_270	0.22212670264448	157.5
drug_271	drug_271	0.22212670264448	157.5
drug_280	drug_280	0.22212670264448	157.5
drug_469	drug_469	0.229940842352405	160
drug_202	drug_202	0.232025267827262	161
drug_268	drug_268	0.232649479468068	162
drug_201	drug_201	0.238585550168599	163
drug_220	drug_220	0.259001056104518	164
drug_430	drug_430	0.260572213864481	165
drug_349	drug_349	0.280035796849021	166
drug_416	drug_416	0.29726135569767	167.5
drug_425	drug_425	0.29726135569767	167.5
drug_116	drug_116	0.300331865795426	169.5
drug_136	drug_136	0.300331865795426	169.5
drug_266	drug_266	0.310295084470779	171
drug_207	drug_207	0.311032090313663	172
drug_286	drug_286	0.316966925922923	173
drug_111	drug_111	0.327057149337815	174.5
drug_115	drug_115	0.327057149337815	174.5
drug_250	drug_250	0.343304209912341	176
drug_107	drug_107	0.35076162063278	177
drug_411	drug_411	0.351913241070702	178
drug_254	drug_254	0.354542933979248	179
drug_417	drug_417	0.371696742961171	180
drug_413	drug_413	0.378902278361722	181
drug_346	drug_346	0.405759140780859	182.5
drug_348	drug_348	0.405759140780859	182.5
drug_418	drug_418	0.41670039424559	184
drug_379	drug_379	0.424624735921101	189
drug_382	drug_382	0.424624735921101	189
drug_384	drug_384	0.424624735921101	189
drug_387	drug_387	0.424624735921101	189
drug_389	drug_389	0.424624735921101	189
drug_392	drug_392	0.424624735921101	189
drug_394	drug_394	0.424624735921101	189
drug_402	drug_402	0.424624735921101	189
drug_421	drug_421	0.424624735921101	189
drug_265	drug_265	0.43856612529205	195
drug_408	drug_408	0.43856612529205	195
drug_410	drug_410	0.43856612529205	195
drug_209	drug_209	0.454258576266683	197.5
drug_223	drug_223	0.454258576266683	197.5
drug_131	drug_131	0.491463991534741	199.5
drug_133	drug_133	0.491463991534741	199.5
