Name	Score	Rank
drug_154	drug_154	0.000772356958477783	1
drug_142	drug_142	0.00323972462817878	3
drug_153	drug_153	0.00323972462817878	3
drug_249	drug_249	0.00323972462817878	3
drug_156	drug_156	0.00374317996772342	5
drug_255	drug_255	0.00558793544769287	6
drug_10	drug_10	0.00572853801790228	7
drug_158	drug_158	0.00601045133113628	8
drug_451	drug_451	0.00813139122465793	9.5
drug_457	drug_457	0.00813139122465793	9.5
drug_495	drug_495	0.00946298527222035	11
drug_466	drug_466	0.0121711635328981	15.5
drug_475	drug_475	0.0121711635328981	15.5
drug_476	drug_476	0.0121711635328981	15.5
drug_479	drug_479	0.0121711635328981	15.5
drug_484	drug_484	0.0121711635328981	15.5
drug_485	drug_485	0.0121711635328981	15.5
drug_489	drug_489	0.0121711635328981	15.5
drug_492	drug_492	0.0121711635328981	15.5
drug_147	drug_147	0.0127507847626933	21.5
drug_157	drug_157	0.0127507847626933	21.5
drug_254	drug_254	0.0127507847626933	21.5
drug_256	drug_256	0.0127507847626933	21.5
drug_268	drug_268	0.0131900660548789	25
drug_271	drug_271	0.0131900660548789	25
drug_279	drug_279	0.0131900660548789	25
drug_160	drug_160	0.0137958307998373	27
drug_320	drug_320	0.0177913247489841	30.5
drug_323	drug_323	0.0177913247489841	30.5
drug_326	drug_326	0.0177913247489841	30.5
drug_334	drug_334	0.0177913247489841	30.5
drug_336	drug_336	0.0177913247489841	30.5
drug_338	drug_338	0.0177913247489841	30.5
drug_491	drug_491	0.0189575756259898	34
drug_151	drug_151	0.0212823682371146	35
drug_155	drug_155	0.0252185871363005	36
drug_152	drug_152	0.0257676661528912	37
drug_143	drug_143	0.0266388617215861	38.5
drug_146	drug_146	0.0266388617215861	38.5
drug_481	drug_481	0.0273759631825356	40
drug_322	drug_322	0.030793887133742	41.5
drug_348	drug_348	0.030793887133742	41.5
drug_233	drug_233	0.0323432664162663	44
drug_234	drug_234	0.0323432664162663	44
drug_235	drug_235	0.0323432664162663	44
drug_448	drug_448	0.0326318128251234	46
drug_162	drug_162	0.0328943028164395	47
drug_473	drug_473	0.033011321364425	49
drug_474	drug_474	0.033011321364425	49
drug_478	drug_478	0.033011321364425	49
drug_267	drug_267	0.0335545961711773	51
drug_166	drug_166	0.0346080280573795	52
drug_163	drug_163	0.0360821834453309	53
drug_145	drug_145	0.0363842174341883	54
drug_148	drug_148	0.0382241322173158	55
drug_327	drug_327	0.03875425046657	56
drug_168	drug_168	0.04012903435457	57
drug_3	drug_3	0.0417121118524892	59
drug_6	drug_6	0.0417121118524892	59
drug_9	drug_9	0.0417121118524892	59
drug_5	drug_5	0.0419407322098571	61.5
drug_8	drug_8	0.0419407322098571	61.5
drug_164	drug_164	0.0421001861145471	63
drug_214	drug_214	0.0432513983477521	64.5
drug_308	drug_308	0.0432513983477521	64.5
drug_161	drug_161	0.0441388497329617	66
drug_144	drug_144	0.0462462870618786	67
drug_469	drug_469	0.0469477554357946	68
drug_252	drug_252	0.047693640959939	69
drug_4	drug_4	0.0493721398051508	70
drug_237	drug_237	0.0527184725793073	71
drug_2	drug_2	0.057629768450733	72
drug_231	drug_231	0.0639796069359072	73.5
drug_486	drug_486	0.0639796069359072	73.5
drug_150	drug_150	0.0657326620851503	75
drug_208	drug_208	0.0682080350148024	78
drug_218	drug_218	0.0682080350148024	78
drug_220	drug_220	0.0682080350148024	78
drug_221	drug_221	0.0682080350148024	78
drug_229	drug_229	0.0682080350148024	78
drug_169	drug_169	0.0685156129531637	81
drug_260	drug_260	0.0722157972243632	82.5
drug_444	drug_444	0.0722157972243632	82.5
drug_263	drug_263	0.0817554134157382	84
drug_441	drug_441	0.0842174002920104	85
drug_204	drug_204	0.0893041896588903	88
drug_363	drug_363	0.0893041896588903	88
drug_371	drug_371	0.0893041896588903	88
drug_372	drug_372	0.0893041896588903	88
drug_373	drug_373	0.0893041896588903	88
drug_349	drug_349	0.091504596649708	91.5
drug_369	drug_369	0.091504596649708	91.5
drug_232	drug_232	0.0919432806273622	93.5
drug_236	drug_236	0.0919432806273622	93.5
drug_228	drug_228	0.0919572676578998	95
drug_351	drug_351	0.0983787371696558	96
drug_206	drug_206	0.100763564061811	97.5
drug_359	drug_359	0.100763564061811	97.5
drug_273	drug_273	0.103069267170968	99.5
drug_283	drug_283	0.103069267170968	99.5
drug_472	drug_472	0.104762972587277	101.5
drug_487	drug_487	0.104762972587277	101.5
drug_440	drug_440	0.106003772874177	103
drug_210	drug_210	0.110790436655117	105
drug_353	drug_353	0.110790436655117	105
drug_355	drug_355	0.110790436655117	105
drug_170	drug_170	0.112536577764398	107
drug_227	drug_227	0.11610740840647	108.5
drug_364	drug_364	0.11610740840647	108.5
drug_244	drug_244	0.119143699018084	110
drug_201	drug_201	0.120697883125174	113.5
drug_202	drug_202	0.120697883125174	113.5
drug_213	drug_213	0.120697883125174	113.5
drug_226	drug_226	0.120697883125174	113.5
drug_230	drug_230	0.120697883125174	113.5
drug_496	drug_496	0.120697883125174	113.5
drug_365	drug_365	0.121635340699288	117
drug_239	drug_239	0.131819585106861	119
drug_242	drug_242	0.131819585106861	119
drug_257	drug_257	0.131819585106861	119
drug_307	drug_307	0.142741748148612	121.5
drug_494	drug_494	0.142741748148612	121.5
drug_443	drug_443	0.143705814418686	123
drug_205	drug_205	0.152890438108347	125.5
drug_216	drug_216	0.152890438108347	125.5
drug_217	drug_217	0.152890438108347	125.5
drug_219	drug_219	0.152890438108347	125.5
drug_43	drug_43	0.159616188749434	128
drug_361	drug_361	0.163182888252156	129.5
drug_362	drug_362	0.163182888252156	129.5
drug_321	drug_321	0.166244944977646	132
drug_337	drug_337	0.166244944977646	132
drug_339	drug_339	0.166244944977646	132
drug_350	drug_350	0.174283933999013	134
drug_215	drug_215	0.178121229336832	135.5
drug_33	drug_33	0.178121229336832	135.5
drug_225	drug_225	0.182513758997582	137
drug_421	drug_421	0.183818745794713	138
drug_203	drug_203	0.189437771817761	140.5
drug_209	drug_209	0.189437771817761	140.5
drug_223	drug_223	0.189437771817761	140.5
drug_264	drug_264	0.189437771817761	140.5
drug_324	drug_324	0.192676261643254	144.5
drug_332	drug_332	0.192676261643254	144.5
drug_340	drug_340	0.192676261643254	144.5
drug_345	drug_345	0.192676261643254	144.5
drug_27	drug_27	0.198380559540557	147
drug_245	drug_245	0.199608235387836	148
drug_312	drug_312	0.202654308468898	149
drug_471	drug_471	0.207011437528001	150
drug_207	drug_207	0.211432250132721	151
drug_468	drug_468	0.214475898711726	152
drug_246	drug_246	0.227342869277276	153
drug_454	drug_454	0.232025267827262	154.5
drug_460	drug_460	0.232025267827262	154.5
drug_28	drug_28	0.234773053217274	157.5
drug_35	drug_35	0.234773053217274	157.5
