Name	Score	Rank
drug_127	drug_127	9.78959756397783e-07	3
drug_135	drug_135	9.78959756397783e-07	3
drug_137	drug_137	9.78959756397783e-07	3
drug_141	drug_141	9.78959756397783e-07	3
drug_433	drug_433	9.78959756397783e-07	3
drug_112	drug_112	3.49018054405784e-06	11.5
drug_113	drug_113	3.49018054405784e-06	11.5
drug_114	drug_114	3.49018054405784e-06	11.5
drug_116	drug_116	3.49018054405784e-06	11.5
drug_119	drug_119	3.49018054405784e-06	11.5
drug_120	drug_120	3.49018054405784e-06	11.5
drug_122	drug_122	3.49018054405784e-06	11.5
drug_123	drug_123	3.49018054405784e-06	11.5
drug_125	drug_125	3.49018054405784e-06	11.5
drug_129	drug_129	3.49018054405784e-06	11.5
drug_133	drug_133	3.49018054405784e-06	11.5
drug_136	drug_136	3.49018054405784e-06	11.5
drug_296	drug_296	2.288818359375e-05	18
drug_297	drug_297	2.5194427149294e-05	19
drug_110	drug_110	4.07091013867278e-05	22
drug_124	drug_124	4.07091013867278e-05	22
drug_126	drug_126	4.07091013867278e-05	22
drug_131	drug_131	4.07091013867278e-05	22
drug_140	drug_140	4.07091013867278e-05	22
drug_121	drug_121	4.43293880872988e-05	25
drug_115	drug_115	6.81256819001647e-05	29.5
drug_117	drug_117	6.81256819001647e-05	29.5
drug_128	drug_128	6.81256819001647e-05	29.5
drug_132	drug_132	6.81256819001647e-05	29.5
drug_134	drug_134	6.81256819001647e-05	29.5
drug_138	drug_138	6.81256819001647e-05	29.5
drug_435	drug_435	6.81256819001647e-05	29.5
drug_436	drug_436	6.81256819001647e-05	29.5
drug_481	drug_481	0.00090904263913742	34
drug_232	drug_232	0.000981768574908135	36
drug_437	drug_437	0.000981768574908135	36
drug_484	drug_484	0.000981768574908135	36
drug_20	drug_20	0.00316647356982653	40.5
drug_23	drug_23	0.00316647356982653	40.5
drug_24	drug_24	0.00316647356982653	40.5
drug_359	drug_359	0.00316647356982653	40.5
drug_396	drug_396	0.00316647356982653	40.5
drug_83	drug_83	0.00316647356982653	40.5
drug_429	drug_429	0.00333207244748318	44
drug_153	drug_153	0.00402235872134205	45
drug_299	drug_299	0.00440939293505615	49.5
drug_53	drug_53	0.00440939293505615	49.5
drug_54	drug_54	0.00440939293505615	49.5
drug_62	drug_62	0.00440939293505615	49.5
drug_73	drug_73	0.00440939293505615	49.5
drug_74	drug_74	0.00440939293505615	49.5
drug_75	drug_75	0.00440939293505615	49.5
drug_80	drug_80	0.00440939293505615	49.5
drug_167	drug_167	0.0095074473419548	54.5
drug_461	drug_461	0.0095074473419548	54.5
drug_199	drug_199	0.0109712250193927	56
drug_244	drug_244	0.0177913247489841	57
drug_9	drug_9	0.0178999005972226	58
drug_103	drug_103	0.0186672812637304	59
drug_385	drug_385	0.0194599873342738	60
drug_206	drug_206	0.0202785991851714	62.5
drug_391	drug_391	0.0202785991851714	62.5
drug_490	drug_490	0.0202785991851714	62.5
drug_494	drug_494	0.0202785991851714	62.5
drug_87	drug_87	0.0221548523283703	65
drug_100	drug_100	0.0225415848781323	67
drug_364	drug_364	0.0225415848781323	67
drug_7	drug_7	0.0225415848781323	67
drug_63	drug_63	0.0247810438970499	69
drug_17	drug_17	0.0257676661528912	90.5
drug_219	drug_219	0.0257676661528912	90.5
drug_226	drug_226	0.0257676661528912	90.5
drug_234	drug_234	0.0257676661528912	90.5
drug_236	drug_236	0.0257676661528912	90.5
drug_239	drug_239	0.0257676661528912	90.5
drug_240	drug_240	0.0257676661528912	90.5
drug_251	drug_251	0.0257676661528912	90.5
drug_252	drug_252	0.0257676661528912	90.5
drug_253	drug_253	0.0257676661528912	90.5
drug_257	drug_257	0.0257676661528912	90.5
drug_277	drug_277	0.0257676661528912	90.5
drug_280	drug_280	0.0257676661528912	90.5
drug_281	drug_281	0.0257676661528912	90.5
drug_358	drug_358	0.0257676661528912	90.5
drug_377	drug_377	0.0257676661528912	90.5
drug_383	drug_383	0.0257676661528912	90.5
drug_401	drug_401	0.0257676661528912	90.5
drug_404	drug_404	0.0257676661528912	90.5
drug_439	drug_439	0.0257676661528912	90.5
drug_443	drug_443	0.0257676661528912	90.5
drug_445	drug_445	0.0257676661528912	90.5
drug_447	drug_447	0.0257676661528912	90.5
drug_458	drug_458	0.0257676661528912	90.5
drug_464	drug_464	0.0257676661528912	90.5
drug_468	drug_468	0.0257676661528912	90.5
drug_474	drug_474	0.0257676661528912	90.5
drug_475	drug_475	0.0257676661528912	90.5
drug_476	drug_476	0.0257676661528912	90.5
drug_477	drug_477	0.0257676661528912	90.5
drug_478	drug_478	0.0257676661528912	90.5
drug_480	drug_480	0.0257676661528912	90.5
drug_482	drug_482	0.0257676661528912	90.5
drug_483	drug_483	0.0257676661528912	90.5
drug_485	drug_485	0.0257676661528912	90.5
drug_487	drug_487	0.0257676661528912	90.5
drug_493	drug_493	0.0257676661528912	90.5
drug_50	drug_50	0.0257676661528912	90.5
drug_52	drug_52	0.0257676661528912	90.5
drug_67	drug_67	0.0257676661528912	90.5
drug_72	drug_72	0.0257676661528912	90.5
drug_8	drug_8	0.0257676661528912	90.5
drug_384	drug_384	0.0266388617215861	112.5
drug_76	drug_76	0.0266388617215861	112.5
drug_111	drug_111	0.0300221592849492	114
drug_79	drug_79	0.0346602920714026	115
drug_424	drug_424	0.0401462039187307	116
drug_489	drug_489	0.0445542478462181	117
drug_471	drug_471	0.0462462870618786	118
drug_6	drug_6	0.0510004360076315	119
drug_176	drug_176	0.0553889776968412	124.5
drug_184	drug_184	0.0553889776968412	124.5
drug_189	drug_189	0.0553889776968412	124.5
drug_190	drug_190	0.0553889776968412	124.5
drug_231	drug_231	0.0553889776968412	124.5
drug_275	drug_275	0.0553889776968412	124.5
drug_279	drug_279	0.0553889776968412	124.5
drug_283	drug_283	0.0553889776968412	124.5
drug_386	drug_386	0.0553889776968412	124.5
drug_403	drug_403	0.0553889776968412	124.5
drug_303	drug_303	0.0581402235917246	130
drug_77	drug_77	0.061225602956146	131
drug_318	drug_318	0.0660225210611426	132.5
drug_55	drug_55	0.0660225210611426	132.5
drug_84	drug_84	0.0661540345748764	134
drug_14	drug_14	0.0722157972243632	135
drug_31	drug_31	0.0770067228600036	136
drug_5	drug_5	0.0789520565245086	137
drug_145	drug_145	0.0793486833572387	138.5
drug_170	drug_170	0.0793486833572387	138.5
drug_453	drug_453	0.0817554134157382	140
drug_486	drug_486	0.0983787371696558	141
drug_495	drug_495	0.121637940555489	142
