Name	Score	Rank
drug_145	drug_145	2.57893956766023e-14	1.5
drug_170	drug_170	2.57893956766023e-14	1.5
drug_167	drug_167	2.93757335128797e-13	3
drug_163	drug_163	3.71604036336197e-09	4.5
drug_166	drug_166	3.71604036336197e-09	4.5
drug_146	drug_146	6.76053534024721e-09	8
drug_148	drug_148	6.76053534024721e-09	8
drug_155	drug_155	6.76053534024721e-09	8
drug_160	drug_160	6.76053534024721e-09	8
drug_168	drug_168	6.76053534024721e-09	8
drug_149	drug_149	1.89575756259897e-08	11
drug_342	drug_342	3.57627868652344e-07	12
drug_381	drug_381	1.21328484006334e-06	13
drug_144	drug_144	1.36258256325797e-05	14.5
drug_169	drug_169	1.36258256325797e-05	14.5
drug_142	drug_142	4.43293880872988e-05	16
drug_486	drug_486	4.74077595618215e-05	17
drug_292	drug_292	7.79883349513803e-05	18
drug_402	drug_402	8.89529359056969e-05	19
drug_359	drug_359	9.07462751370047e-05	20
drug_143	drug_143	9.24908839899223e-05	21
drug_312	drug_312	0.000122502317776255	22
drug_300	drug_300	0.000141558811527446	23
drug_250	drug_250	0.000145666544897662	24
drug_162	drug_162	0.000147174173343186	25.5
drug_164	drug_164	0.000147174173343186	25.5
drug_307	drug_307	0.000163024132886114	27
drug_302	drug_302	0.000174733713649421	29
drug_310	drug_310	0.000174733713649421	29
drug_313	drug_313	0.000174733713649421	29
drug_24	drug_24	0.000260710716247558	31
drug_396	drug_396	0.000379378188977641	32.5
drug_83	drug_83	0.000379378188977641	32.5
drug_110	drug_110	0.00040295930744691	44.5
drug_112	drug_112	0.00040295930744691	44.5
drug_113	drug_113	0.00040295930744691	44.5
drug_114	drug_114	0.00040295930744691	44.5
drug_115	drug_115	0.00040295930744691	44.5
drug_116	drug_116	0.00040295930744691	44.5
drug_119	drug_119	0.00040295930744691	44.5
drug_120	drug_120	0.00040295930744691	44.5
drug_122	drug_122	0.00040295930744691	44.5
drug_124	drug_124	0.00040295930744691	44.5
drug_125	drug_125	0.00040295930744691	44.5
drug_126	drug_126	0.00040295930744691	44.5
drug_128	drug_128	0.00040295930744691	44.5
drug_129	drug_129	0.00040295930744691	44.5
drug_132	drug_132	0.00040295930744691	44.5
drug_133	drug_133	0.00040295930744691	44.5
drug_134	drug_134	0.00040295930744691	44.5
drug_136	drug_136	0.00040295930744691	44.5
drug_138	drug_138	0.00040295930744691	44.5
drug_140	drug_140	0.00040295930744691	44.5
drug_435	drug_435	0.00040295930744691	44.5
drug_436	drug_436	0.00040295930744691	44.5
drug_159	drug_159	0.000453797628539359	56
drug_299	drug_299	0.000481154486464719	59
drug_318	drug_318	0.000481154486464719	59
drug_62	drug_62	0.000481154486464719	59
drug_77	drug_77	0.000481154486464719	59
drug_80	drug_80	0.000481154486464719	59
drug_123	drug_123	0.000540004011258873	62
drug_131	drug_131	0.000713866993659956	63
drug_151	drug_151	0.00103365679023244	64
drug_117	drug_117	0.00108781047191798	65
drug_315	drug_315	0.00177846823727633	66
drug_384	drug_384	0.00190554827656615	67
drug_298	drug_298	0.00246461626002305	68
drug_20	drug_20	0.00300858804492684	70.5
drug_23	drug_23	0.00300858804492684	70.5
drug_6	drug_6	0.00300858804492684	70.5
drug_87	drug_87	0.00300858804492684	70.5
drug_394	drug_394	0.00366535215170766	73
drug_156	drug_156	0.00390281824117949	74
drug_290	drug_290	0.00619947382160832	76.5
drug_293	drug_293	0.00619947382160832	76.5
drug_309	drug_309	0.00619947382160832	76.5
drug_311	drug_311	0.00619947382160832	76.5
drug_179	drug_179	0.00701804983223251	94.5
drug_186	drug_186	0.00701804983223251	94.5
drug_188	drug_188	0.00701804983223251	94.5
drug_193	drug_193	0.00701804983223251	94.5
drug_196	drug_196	0.00701804983223251	94.5
drug_197	drug_197	0.00701804983223251	94.5
drug_198	drug_198	0.00701804983223251	94.5
drug_200	drug_200	0.00701804983223251	94.5
drug_233	drug_233	0.00701804983223251	94.5
drug_235	drug_235	0.00701804983223251	94.5
drug_237	drug_237	0.00701804983223251	94.5
drug_238	drug_238	0.00701804983223251	94.5
drug_247	drug_247	0.00701804983223251	94.5
drug_248	drug_248	0.00701804983223251	94.5
drug_249	drug_249	0.00701804983223251	94.5
drug_256	drug_256	0.00701804983223251	94.5
drug_265	drug_265	0.00701804983223251	94.5
drug_267	drug_267	0.00701804983223251	94.5
drug_274	drug_274	0.00701804983223251	94.5
drug_276	drug_276	0.00701804983223251	94.5
drug_286	drug_286	0.00701804983223251	94.5
drug_288	drug_288	0.00701804983223251	94.5
drug_30	drug_30	0.00701804983223251	94.5
