Name	Score	Rank
drug_14	drug_14	3.75780791761584e-07	3
drug_17	drug_17	3.75780791761584e-07	3
drug_23	drug_23	3.75780791761584e-07	3
drug_24	drug_24	3.75780791761584e-07	3
drug_7	drug_7	3.75780791761584e-07	3
drug_18	drug_18	7.40746243153461e-07	6
drug_11	drug_11	1.89006132821707e-06	7
drug_12	drug_12	3.49018054405784e-06	8.5
drug_6	drug_6	3.49018054405784e-06	8.5
drug_16	drug_16	9.16380002034042e-06	10
drug_331	drug_331	0.000105633364691363	11.5
drug_452	drug_452	0.000105633364691363	11.5
drug_26	drug_26	0.00029621211915609	16
drug_31	drug_31	0.00029621211915609	16
drug_34	drug_34	0.00029621211915609	16
drug_40	drug_40	0.00029621211915609	16
drug_42	drug_42	0.00029621211915609	16
drug_44	drug_44	0.00029621211915609	16
drug_45	drug_45	0.00029621211915609	16
drug_424	drug_424	0.000416109542297528	20
drug_408	drug_408	0.000500677163122637	21.5
drug_425	drug_425	0.000500677163122637	21.5
drug_407	drug_407	0.000710406894451305	23
drug_410	drug_410	0.000939518612755038	32
drug_411	drug_411	0.000939518612755038	32
drug_412	drug_412	0.000939518612755038	32
drug_414	drug_414	0.000939518612755038	32
drug_415	drug_415	0.000939518612755038	32
drug_416	drug_416	0.000939518612755038	32
drug_417	drug_417	0.000939518612755038	32
drug_418	drug_418	0.000939518612755038	32
drug_419	drug_419	0.000939518612755038	32
drug_422	drug_422	0.000939518612755038	32
drug_423	drug_423	0.000939518612755038	32
drug_426	drug_426	0.000939518612755038	32
drug_427	drug_427	0.000939518612755038	32
drug_428	drug_428	0.000939518612755038	32
drug_429	drug_429	0.000939518612755038	32
drug_430	drug_430	0.000939518612755038	32
drug_431	drug_431	0.000939518612755038	32
drug_442	drug_442	0.00290636391645397	44
drug_446	drug_446	0.00290636391645397	44
drug_456	drug_456	0.00290636391645397	44
drug_459	drug_459	0.00290636391645397	44
drug_48	drug_48	0.00290636391645397	44
drug_52	drug_52	0.00290636391645397	44
drug_53	drug_53	0.00290636391645397	44
drug_19	drug_19	0.00482627258520984	48.5
drug_8	drug_8	0.00482627258520984	48.5
drug_2	drug_2	0.00569512643135619	50
drug_10	drug_10	0.00668206913895552	51.5
drug_20	drug_20	0.00668206913895552	51.5
drug_1	drug_1	0.00779817378957243	56
