Name	Score	Rank
drug_407	drug_407	9.78959756397783e-07	11
drug_408	drug_408	9.78959756397783e-07	11
drug_410	drug_410	9.78959756397783e-07	11
drug_411	drug_411	9.78959756397783e-07	11
drug_412	drug_412	9.78959756397783e-07	11
drug_414	drug_414	9.78959756397783e-07	11
drug_415	drug_415	9.78959756397783e-07	11
drug_416	drug_416	9.78959756397783e-07	11
drug_417	drug_417	9.78959756397783e-07	11
drug_418	drug_418	9.78959756397783e-07	11
drug_419	drug_419	9.78959756397783e-07	11
drug_422	drug_422	9.78959756397783e-07	11
drug_423	drug_423	9.78959756397783e-07	11
drug_424	drug_424	9.78959756397783e-07	11
drug_425	drug_425	9.78959756397783e-07	11
drug_426	drug_426	9.78959756397783e-07	11
drug_427	drug_427	9.78959756397783e-07	11
drug_428	drug_428	9.78959756397783e-07	11
drug_429	drug_429	9.78959756397783e-07	11
drug_430	drug_430	9.78959756397783e-07	11
drug_431	drug_431	9.78959756397783e-07	11
drug_22	drug_22	0.00482627258520984	22
drug_421	drug_421	0.00727314420712505	23
drug_413	drug_413	0.00847584511715826	24
drug_434	drug_434	0.0105415629823198	25
drug_432	drug_432	0.0113045042001698	26
drug_420	drug_420	0.0146450048334615	27
drug_436	drug_436	0.016438828884594	28
drug_409	drug_409	0.0167452180806536	29
drug_262	drug_262	0.030793887133742	35.5
drug_274	drug_274	0.030793887133742	35.5
drug_385	drug_385	0.030793887133742	35.5
drug_439	drug_439	0.030793887133742	35.5
drug_447	drug_447	0.030793887133742	35.5
drug_450	drug_450	0.030793887133742	35.5
drug_453	drug_453	0.030793887133742	35.5
drug_454	drug_454	0.030793887133742	35.5
drug_455	drug_455	0.030793887133742	35.5
drug_458	drug_458	0.030793887133742	35.5
drug_464	drug_464	0.030793887133742	35.5
drug_465	drug_465	0.030793887133742	35.5
drug_194	drug_194	0.0346080280573795	44
drug_355	drug_355	0.0346080280573795	44
drug_364	drug_364	0.0346080280573795	44
drug_369	drug_369	0.0346080280573795	44
drug_372	drug_372	0.0346080280573795	44
drug_263	drug_263	0.0566070174979954	49.5
drug_273	drug_273	0.0566070174979954	49.5
drug_275	drug_275	0.0566070174979954	49.5
drug_278	drug_278	0.0566070174979954	49.5
drug_279	drug_279	0.0566070174979954	49.5
drug_286	drug_286	0.0566070174979954	49.5
drug_288	drug_288	0.0661540345748764	53
drug_266	drug_266	0.0714087231370891	54
drug_142	drug_142	0.0722157972243632	67.5
drug_147	drug_147	0.0722157972243632	67.5
drug_148	drug_148	0.0722157972243632	67.5
drug_163	drug_163	0.0722157972243632	67.5
drug_168	drug_168	0.0722157972243632	67.5
drug_235	drug_235	0.0722157972243632	67.5
drug_260	drug_260	0.0722157972243632	67.5
drug_264	drug_264	0.0722157972243632	67.5
drug_265	drug_265	0.0722157972243632	67.5
drug_267	drug_267	0.0722157972243632	67.5
drug_269	drug_269	0.0722157972243632	67.5
drug_270	drug_270	0.0722157972243632	67.5
drug_271	drug_271	0.0722157972243632	67.5
drug_272	drug_272	0.0722157972243632	67.5
drug_282	drug_282	0.0722157972243632	67.5
drug_283	drug_283	0.0722157972243632	67.5
drug_293	drug_293	0.0722157972243632	67.5
drug_308	drug_308	0.0722157972243632	67.5
drug_329	drug_329	0.0722157972243632	67.5
drug_330	drug_330	0.0722157972243632	67.5
drug_332	drug_332	0.0722157972243632	67.5
drug_373	drug_373	0.0722157972243632	67.5
drug_384	drug_384	0.0722157972243632	67.5
drug_393	drug_393	0.0722157972243632	67.5
drug_398	drug_398	0.0722157972243632	67.5
drug_4	drug_4	0.0722157972243632	67.5
drug_284	drug_284	0.0751014975599693	81
drug_281	drug_281	0.0850354764673603	82
drug_195	drug_195	0.0903414123417027	83.5
drug_353	drug_353	0.0903414123417027	83.5
drug_261	drug_261	0.09375	87
drug_268	drug_268	0.09375	87
drug_276	drug_276	0.09375	87
drug_280	drug_280	0.09375	87
drug_287	drug_287	0.09375	87
drug_184	drug_184	0.101018645668519	91.5
drug_190	drug_190	0.101018645668519	91.5
drug_193	drug_193	0.101018645668519	91.5
drug_362	drug_362	0.101018645668519	91.5
drug_289	drug_289	0.108209026805653	94
drug_110	drug_110	0.113422961678961	97.5
drug_132	drug_132	0.113422961678961	97.5
drug_225	drug_225	0.113422961678961	97.5
drug_30	drug_30	0.113422961678961	97.5
drug_32	drug_32	0.113422961678961	97.5
drug_76	drug_76	0.113422961678961	97.5
drug_206	drug_206	0.118844592873977	101.5
drug_221	drug_221	0.118844592873977	101.5
drug_187	drug_187	0.120697883125174	103
drug_371	drug_371	0.124926805532566	104.5
drug_375	drug_375	0.124926805532566	104.5
drug_115	drug_115	0.139552118914767	127.5
drug_118	drug_118	0.139552118914767	127.5
drug_119	drug_119	0.139552118914767	127.5
drug_122	drug_122	0.139552118914767	127.5
drug_131	drug_131	0.139552118914767	127.5
drug_133	drug_133	0.139552118914767	127.5
drug_135	drug_135	0.139552118914767	127.5
drug_141	drug_141	0.139552118914767	127.5
drug_212	drug_212	0.139552118914767	127.5
drug_213	drug_213	0.139552118914767	127.5
drug_214	drug_214	0.139552118914767	127.5
drug_215	drug_215	0.139552118914767	127.5
drug_219	drug_219	0.139552118914767	127.5
drug_220	drug_220	0.139552118914767	127.5
drug_223	drug_223	0.139552118914767	127.5
drug_230	drug_230	0.139552118914767	127.5
drug_285	drug_285	0.139552118914767	127.5
drug_401	drug_401	0.139552118914767	127.5
drug_440	drug_440	0.139552118914767	127.5
drug_441	drug_441	0.139552118914767	127.5
drug_442	drug_442	0.139552118914767	127.5
drug_443	drug_443	0.139552118914767	127.5
drug_444	drug_444	0.139552118914767	127.5
drug_445	drug_445	0.139552118914767	127.5
drug_446	drug_446	0.139552118914767	127.5
drug_448	drug_448	0.139552118914767	127.5
drug_449	drug_449	0.139552118914767	127.5
drug_456	drug_456	0.139552118914767	127.5
drug_459	drug_459	0.139552118914767	127.5
drug_461	drug_461	0.139552118914767	127.5
drug_463	drug_463	0.139552118914767	127.5
drug_467	drug_467	0.139552118914767	127.5
drug_476	drug_476	0.139552118914767	127.5
drug_48	drug_48	0.139552118914767	127.5
drug_52	drug_52	0.139552118914767	127.5
drug_53	drug_53	0.139552118914767	127.5
drug_58	drug_58	0.139552118914767	127.5
drug_60	drug_60	0.139552118914767	127.5
drug_62	drug_62	0.139552118914767	127.5
drug_72	drug_72	0.139552118914767	127.5
drug_77	drug_77	0.139552118914767	127.5
drug_78	drug_78	0.139552118914767	127.5
drug_80	drug_80	0.139552118914767	127.5
drug_81	drug_81	0.139552118914767	127.5
drug_15	drug_15	0.143705814418686	150.5
drug_9	drug_9	0.143705814418686	150.5
drug_217	drug_217	0.149303488641385	155
drug_222	drug_222	0.149303488641385	155
drug_460	drug_460	0.149303488641385	155
drug_462	drug_462	0.149303488641385	155
drug_51	drug_51	0.149303488641385	155
drug_68	drug_68	0.149303488641385	155
drug_74	drug_74	0.149303488641385	155
drug_199	drug_199	0.152447258024828	161
drug_358	drug_358	0.152447258024828	161
drug_366	drug_366	0.152447258024828	161
drug_367	drug_367	0.152447258024828	161
drug_370	drug_370	0.152447258024828	161
drug_1	drug_1	0.157139413188051	167.5
drug_10	drug_10	0.157139413188051	167.5
drug_13	drug_13	0.157139413188051	167.5
drug_19	drug_19	0.157139413188051	167.5
drug_2	drug_2	0.157139413188051	167.5
drug_20	drug_20	0.157139413188051	167.5
drug_3	drug_3	0.157139413188051	167.5
drug_5	drug_5	0.157139413188051	167.5
drug_433	drug_433	0.167318689491791	172
drug_140	drug_140	0.174283933999013	174.5
drug_227	drug_227	0.174283933999013	174.5
drug_470	drug_470	0.174283933999013	174.5
drug_59	drug_59	0.174283933999013	174.5
drug_178	drug_178	0.178312987803707	178.5
drug_357	drug_357	0.178312987803707	178.5
drug_359	drug_359	0.178312987803707	178.5
drug_376	drug_376	0.178312987803707	178.5
drug_435	drug_435	0.182513758997582	181
drug_114	drug_114	0.19005811214447	182
drug_121	drug_121	0.194182183165221	183.5
drug_405	drug_405	0.194182183165221	183.5
drug_208	drug_208	0.202654308468898	186
drug_387	drug_387	0.202654308468898	186
drug_468	drug_468	0.202654308468898	186
drug_145	drug_145	0.21471425528586	216
drug_150	drug_150	0.21471425528586	216
drug_151	drug_151	0.21471425528586	216
drug_155	drug_155	0.21471425528586	216
drug_156	drug_156	0.21471425528586	216
drug_157	drug_157	0.21471425528586	216
drug_158	drug_158	0.21471425528586	216
drug_160	drug_160	0.21471425528586	216
drug_162	drug_162	0.21471425528586	216
drug_165	drug_165	0.21471425528586	216
drug_166	drug_166	0.21471425528586	216
drug_167	drug_167	0.21471425528586	216
drug_169	drug_169	0.21471425528586	216
drug_170	drug_170	0.21471425528586	216
drug_232	drug_232	0.21471425528586	216
drug_233	drug_233	0.21471425528586	216
drug_236	drug_236	0.21471425528586	216
drug_237	drug_237	0.21471425528586	216
drug_241	drug_241	0.21471425528586	216
drug_246	drug_246	0.21471425528586	216
drug_249	drug_249	0.21471425528586	216
drug_254	drug_254	0.21471425528586	216
drug_256	drug_256	0.21471425528586	216
drug_257	drug_257	0.21471425528586	216
drug_259	drug_259	0.21471425528586	216
drug_277	drug_277	0.21471425528586	216
drug_290	drug_290	0.21471425528586	216
drug_292	drug_292	0.21471425528586	216
drug_294	drug_294	0.21471425528586	216
drug_295	drug_295	0.21471425528586	216
drug_296	drug_296	0.21471425528586	216
drug_297	drug_297	0.21471425528586	216
drug_298	drug_298	0.21471425528586	216
drug_299	drug_299	0.21471425528586	216
drug_300	drug_300	0.21471425528586	216
drug_301	drug_301	0.21471425528586	216
drug_302	drug_302	0.21471425528586	216
drug_303	drug_303	0.21471425528586	216
drug_304	drug_304	0.21471425528586	216
drug_305	drug_305	0.21471425528586	216
drug_306	drug_306	0.21471425528586	216
drug_309	drug_309	0.21471425528586	216
drug_310	drug_310	0.21471425528586	216
drug_311	drug_311	0.21471425528586	216
drug_312	drug_312	0.21471425528586	216
drug_314	drug_314	0.21471425528586	216
drug_315	drug_315	0.21471425528586	216
drug_316	drug_316	0.21471425528586	216
drug_318	drug_318	0.21471425528586	216
drug_322	drug_322	0.21471425528586	216
drug_336	drug_336	0.21471425528586	216
drug_342	drug_342	0.21471425528586	216
drug_390	drug_390	0.21471425528586	216
drug_437	drug_437	0.21471425528586	216
drug_438	drug_438	0.21471425528586	216
drug_451	drug_451	0.21471425528586	216
drug_457	drug_457	0.21471425528586	216
drug_174	drug_174	0.215229243060441	245
drug_177	drug_177	0.2255859375	247
drug_180	drug_180	0.2255859375	247
drug_189	drug_189	0.2255859375	247
drug_21	drug_21	0.230279647056736	249.5
drug_8	drug_8	0.230279647056736	249.5
drug_228	drug_228	0.244691636404835	251
drug_171	drug_171	0.245267686131906	252
drug_125	drug_125	0.249780367435487	253.5
drug_229	drug_229	0.249780367435487	253.5
drug_113	drug_113	0.260222697146758	256.5
drug_136	drug_136	0.260222697146758	256.5
drug_139	drug_139	0.260222697146758	256.5
drug_205	drug_205	0.260222697146758	256.5
drug_172	drug_172	0.280035796849021	263
drug_175	drug_175	0.280035796849021	263
drug_179	drug_179	0.280035796849021	263
drug_181	drug_181	0.280035796849021	263
drug_182	drug_182	0.280035796849021	263
drug_198	drug_198	0.280035796849021	263
drug_349	drug_349	0.280035796849021	263
drug_368	drug_368	0.280035796849021	263
drug_374	drug_374	0.280035796849021	263
drug_379	drug_379	0.284531861831023	272
drug_381	drug_381	0.284531861831023	272
drug_383	drug_383	0.284531861831023	272
drug_389	drug_389	0.284531861831023	272
drug_391	drug_391	0.284531861831023	272
drug_394	drug_394	0.284531861831023	272
drug_395	drug_395	0.284531861831023	272
drug_402	drug_402	0.284531861831023	272
drug_406	drug_406	0.284531861831023	272
drug_127	drug_127	0.293757335128798	277.5
drug_75	drug_75	0.293757335128798	277.5
drug_111	drug_111	0.305705216268734	286.5
drug_116	drug_116	0.305705216268734	286.5
drug_117	drug_117	0.305705216268734	286.5
drug_123	drug_123	0.305705216268734	286.5
drug_126	drug_126	0.305705216268734	286.5
drug_128	drug_128	0.305705216268734	286.5
drug_129	drug_129	0.305705216268734	286.5
drug_138	drug_138	0.305705216268734	286.5
drug_201	drug_201	0.305705216268734	286.5
drug_207	drug_207	0.305705216268734	286.5
drug_209	drug_209	0.305705216268734	286.5
drug_218	drug_218	0.305705216268734	286.5
drug_479	drug_479	0.305705216268734	286.5
drug_50	drug_50	0.305705216268734	286.5
drug_69	drug_69	0.305705216268734	286.5
drug_71	drug_71	0.305705216268734	286.5
drug_186	drug_186	0.327057149337815	295.5
drug_200	drug_200	0.327057149337815	295.5
drug_203	drug_203	0.47485537397913	297
drug_11	drug_11	0.512871171949196	301
