ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	743	854	-562.5	776	624.5	-594.5
Acetylsalicylic_acid	506.5	780.5	748	579.5	725.5	-594.5
Alprenolol	506.5	780.5	748	579.5	725.5	-594.5
Amiloride	506.5	780.5	748	579.5	-737.5	-594.5
Amlodipine	-719.5	-866.5	748	-737.5	527.5	-837.5
Atenolol	506.5	780.5	748	579.5	725.5	-594.5
Atorvastatin	506.5	780.5	748	579.5	685.5	-594.5
Benazepril	-715.5	780.5	748	579.5	670.5	-846.5
Bendroflumethiazide	506.5	780.5	748	579.5	877.5	-594.5
Betaxolol	933.5	-876	-808	-806	-815.5	-926
Bezafibrate	506.5	780.5	748	579.5	1061	-594.5
Bisoprolol	796.5	909.5	833	777.5	849.5	841.5
Bumetanide	-472.5	-623.5	-562.5	-489.5	-635	-594.5
Canrenoic_acid	506.5	780.5	748	579.5	884	-594.5
Captopril	506.5	780.5	748	579.5	960.5	-594.5
Carteolol	506.5	780.5	748	579.5	772	-594.5
Carvedilol	-472.5	-623.5	-562.5	-489.5	853.5	731.5
Cerivastatin	506.5	780.5	748	579.5	-1017.5	-594.5
Chlorhexidine	506.5	780.5	748	579.5	685.5	-594.5
Chlorthalidone	793	-872.5	748	-740.5	-958	-840.5
Cilnidipine	506.5	780.5	748	579.5	-593	-594.5
Cilostazol	506.5	780.5	748	579.5	772	-594.5
Clofibrate	506.5	780.5	748	579.5	938	-594.5
Clopidogrel	506.5	780.5	748	579.5	-724.5	-594.5
Cyclopenthiazide	506.5	780.5	748	579.5	772	-594.5
Digoxin	506.5	780.5	748	579.5	-812.5	-594.5
Dipyridamole	506.5	780.5	748	579.5	-897	-594.5
Dobutamine	506.5	780.5	748	579.5	1007	-594.5
Dopamine	506.5	780.5	748	579.5	658	-594.5
Enalapril	506.5	780.5	748	579.5	-752.5	-594.5
Eprosartan	-472.5	-623.5	638.5	-489.5	-593	699
Esmolol	506.5	780.5	748	579.5	1061	-594.5
Etacrynic_acid	506.5	780.5	748	579.5	-812.5	-594.5
Etilefrine	506.5	780.5	748	579.5	685.5	-594.5
Ezetimibe	506.5	780.5	748	579.5	772	-594.5
Felodipine	506.5	780.5	748	579.5	-752.5	-594.5
Fenofibrate	506.5	780.5	748	579.5	658	-594.5
Fenoldopam	506.5	780.5	748	579.5	-812.5	-594.5
Gemfibrozil	506.5	780.5	748	579.5	567.5	-594.5
Hydroflumethiazide	781.5	873.5	872.5	764	1100.5	846
Iloprost	506.5	780.5	748	579.5	-928	-594.5
Indapamide	506.5	780.5	748	579.5	725.5	-594.5
Irbesartan	506.5	780.5	748	579.5	905.5	-594.5
Isradipine	506.5	780.5	748	579.5	670.5	-594.5
Labetalol	506.5	780.5	748	579.5	-679	-594.5
Losartan	506.5	780.5	748	579.5	725.5	-594.5
Lovastatin	506.5	780.5	748	579.5	-752.5	-594.5
Menadione	838.5	-882.5	-815.5	-743.5	-1151.5	-924.5
Mephentermine	506.5	780.5	748	579.5	772	-594.5
Metolazone	506.5	780.5	748	579.5	877.5	-594.5
Metoprolol	506.5	780.5	748	579.5	909.5	-594.5
Midodrine	506.5	780.5	748	579.5	649	-594.5
Milrinone	796.5	909.5	833	777.5	1000.5	841.5
Moexipril	506.5	780.5	748	579.5	960.5	-594.5
Nadolol	506.5	780.5	748	579.5	920.5	-594.5
Niacin	-838	-844	-562.5	658	822.5	589
Nicardipine	793	-876	-808	-806	-992	-926
Nicotinyl_alcohol	506.5	780.5	748	579.5	-593	-594.5
Nifedipine	506.5	780.5	748	579.5	1014.5	-594.5
Nimodipine	506.5	780.5	748	579.5	725.5	-594.5
Nitrendipine	-472.5	-623.5	-562.5	-489.5	-593	-594.5
Nitrofural	506.5	780.5	748	579.5	-737.5	-594.5
Olmesartan	506.5	780.5	748	579.5	-593	-594.5
