ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	-808	-891	-893	-819	-1031.5	-896
Acetylsalicylic_acid	-383.5	626.5	700.5	-507.5	853.5	544.5
Alprenolol	-383.5	626.5	700.5	-507.5	793	544.5
Amiloride	-383.5	626.5	700.5	-507.5	-795.5	544.5
Amlodipine	694.5	947.5	949.5	-811.5	945.5	869.5
Atenolol	-383.5	626.5	700.5	-507.5	-565	544.5
Atorvastatin	-383.5	626.5	700.5	-507.5	772	544.5
Benazepril	-702.5	-839.5	-841.5	-823.5	-847.5	-702.5
Bendroflumethiazide	-383.5	626.5	700.5	-507.5	595.5	544.5
Betaxolol	-993.5	-577.5	-605.5	-1048	-563	672.5
Bezafibrate	-383.5	626.5	700.5	-507.5	-742	544.5
Bisoprolol	604.5	547.5	624.5	597.5	-388.5	618.5
Bumetanide	-543	-508	573	-433	493	687
Canrenoic_acid	-383.5	626.5	700.5	-507.5	595.5	544.5
Captopril	-383.5	626.5	700.5	-507.5	-808	544.5
Carteolol	-383.5	626.5	700.5	-507.5	595.5	544.5
Carvedilol	-557.5	-674.5	578.5	-609.5	-719.5	692.5
Cerivastatin	-383.5	626.5	700.5	-507.5	-615.5	544.5
Chlorhexidine	-383.5	626.5	700.5	-507.5	772	544.5
Chlorthalidone	-715.5	943.5	943.5	-839.5	941.5	860.5
Cilnidipine	-383.5	626.5	700.5	-507.5	837	544.5
Cilostazol	-383.5	626.5	700.5	-507.5	853.5	544.5
Clofibrate	-383.5	626.5	700.5	-507.5	-472.5	544.5
Clopidogrel	-383.5	626.5	700.5	-507.5	-669	544.5
Cyclopenthiazide	-383.5	626.5	700.5	-507.5	772	544.5
Digoxin	-383.5	626.5	700.5	-507.5	819	544.5
Dipyridamole	-383.5	626.5	700.5	-507.5	-615.5	544.5
Dobutamine	-383.5	626.5	700.5	-507.5	830.5	544.5
Dopamine	-383.5	626.5	700.5	-507.5	-691.5	544.5
Enalapril	-383.5	626.5	700.5	-507.5	711.5	544.5
Eprosartan	696	765	795	837	657.5	679
Esmolol	-383.5	626.5	700.5	-507.5	-772.5	544.5
Etacrynic_acid	-383.5	626.5	700.5	-507.5	-444.5	544.5
Etilefrine	-383.5	626.5	700.5	-507.5	-669	544.5
Ezetimibe	-383.5	626.5	700.5	-507.5	595.5	544.5
Felodipine	-383.5	626.5	700.5	-507.5	649.5	544.5
Fenofibrate	-383.5	626.5	700.5	-507.5	-713.5	544.5
Fenoldopam	-383.5	626.5	700.5	-507.5	793	544.5
Gemfibrozil	-383.5	626.5	700.5	-507.5	-838.5	544.5
Hydroflumethiazide	445.5	-353.5	554	340.5	604	645
Iloprost	-383.5	626.5	700.5	-507.5	-877	544.5
Indapamide	-383.5	626.5	700.5	-507.5	595.5	544.5
Irbesartan	-383.5	626.5	700.5	-507.5	-808	544.5
Isradipine	-383.5	626.5	700.5	-507.5	728	544.5
Labetalol	-383.5	626.5	700.5	-507.5	-565	544.5
Losartan	-383.5	626.5	700.5	-507.5	-872.5	544.5
Lovastatin	-383.5	626.5	700.5	-507.5	693.5	544.5
Menadione	-718.5	953.5	948.5	-840.5	-893	882.5
Mephentermine	-383.5	626.5	700.5	-507.5	595.5	544.5
Metolazone	-383.5	626.5	700.5	-507.5	693.5	544.5
Metoprolol	-383.5	626.5	700.5	-507.5	-861.5	544.5
Midodrine	-383.5	626.5	700.5	-507.5	-472.5	544.5
Milrinone	604.5	547.5	624.5	597.5	374.5	618.5
Moexipril	-383.5	626.5	700.5	-507.5	-669	544.5
Nadolol	-383.5	626.5	700.5	-507.5	-795.5	544.5
Niacin	-459.5	-449.5	591	-372.5	639	-698
Nicardipine	-694	381.5	381	-811.5	426	798
Nicotinyl_alcohol	-383.5	626.5	700.5	-507.5	-646	544.5
Nifedipine	-383.5	626.5	700.5	-507.5	-795.5	544.5
Nimodipine	-383.5	626.5	700.5	-507.5	-548.5	544.5
Nitrendipine	744	815	788	754	976.5	743
Nitrofural	-383.5	626.5	700.5	-507.5	-565	544.5
Olmesartan	-383.5	626.5	700.5	-507.5	-684.5	544.5
Ouabain	-383.5	626.5	700.5	-507.5	871	544.5
Oxprenolol	-383.5	626.5	700.5	-507.5	642.5	544.5
Perindopril	-836	-912	-915	-839	-925	-897
Pindolol	705.5	954.5	954.5	-822.5	997.5	881.5
Piretanide	-383.5	626.5	700.5	-507.5	758.5	544.5
Practolol	-383.5	626.5	700.5	-507.5	-669	544.5
Pravastatin	-383.5	626.5	700.5	-507.5	660.5	544.5
Probucol	-383.5	626.5	700.5	-507.5	-587	544.5
Propranolol	-383.5	626.5	700.5	-507.5	-689	544.5
Quinapril	-683	-825	-853	-744	-1024.5	-644
Quinethazone	-383.5	626.5	700.5	-507.5	770	544.5
Ramipril	-383.5	626.5	700.5	-507.5	-466.5	544.5
Rivaroxaban	-383.5	626.5	700.5	-507.5	-808	544.5
Rosuvastatin	-465	-459	569	402.5	-354.5	-368
Simvastatin	442.5	399.5	622	395.5	671	323
Sotalol	-703.5	-840.5	376.5	-824.5	-906	863.5
Spironolactone	-383.5	626.5	700.5	-507.5	-669	544.5
Synephrine	-547	-665	562	-617	-497.5	-573
Telmisartan	-383.5	626.5	700.5	-507.5	595.5	544.5
Ticlopidine	-383.5	626.5	700.5	-507.5	693.5	544.5
Tienilic_acid	-383.5	626.5	700.5	-507.5	-615.5	544.5
Timolol	-383.5	626.5	700.5	-507.5	466.5	544.5
Torasemide	-383.5	626.5	700.5	-507.5	-646	544.5
Treprostinil	-383.5	626.5	700.5	-507.5	837	544.5
Triamterene	-383.5	626.5	700.5	-507.5	871	544.5
Valsartan	-871.5	-917.5	831.5	-921.5	860	1027.5
Warfarin	-383.5	626.5	700.5	-507.5	642.5	544.5
drug_1	704.5	952.5	950.5	-821.5	946.5	878.5
drug_10	-580	-512	-465.5	-602.5	-460	-747.5
drug_100	788	720	789	406	771	735
drug_101	765.5	778.5	824.5	798.5	-733.5	753.5
drug_102	765.5	778.5	824.5	798.5	-609	753.5
drug_103	774.5	741.5	793.5	785	716.5	710.5
drug_104	781.5	750.5	801.5	580	596.5	794.5
drug_105	765.5	778.5	824.5	798.5	732	753.5
drug_106	765.5	778.5	824.5	798.5	823	753.5
drug_107	765.5	778.5	824.5	798.5	830	753.5
drug_108	765.5	778.5	824.5	798.5	901.5	753.5
drug_109	781.5	750.5	801.5	580	681.5	794.5
drug_11	-383.5	626.5	700.5	-507.5	-795.5	544.5
drug_110	-683	-825	-853	-744	-937	-644
drug_111	-683	-825	-853	-744	-864.5	-644
drug_112	-683	-825	-853	-744	-850.5	-644
drug_113	-761.5	-718.5	-724	-632	-882.5	-879
drug_114	-683	-825	-853	-744	-1008	-644
drug_115	616	-702	-788	-590	-633	-779
drug_116	616	-702	-788	-590	-745.5	-779
drug_117	-683	-825	-853	-744	-815.5	-644
drug_118	616	-702	-788	-590	-753.5	-779
drug_119	819	820	887	831	1050	784
drug_12	771.5	723.5	320	649.5	286.5	-616
drug_120	-683	-825	-853	-744	-654	-644
drug_121	-683	-825	-853	-744	-875.5	-644
drug_122	-383.5	626.5	700.5	-507.5	-757.5	544.5
drug_123	-683	-825	-853	-744	-832	-644
drug_124	-683	-825	-853	-744	-711.5	-644
drug_125	-683	-825	-853	-744	-810.5	-644
drug_126	-683	-825	-853	-744	-977	-644
drug_127	457.5	416.5	587	-278	565.5	-702
drug_128	-809.5	807.5	881	820	713	806
drug_129	616	-702	-788	-590	-869.5	-779
drug_13	682.5	933.5	454.5	727.5	431	790.5
drug_130	616	-702	-788	-590	-866.5	-779
drug_131	-683	-825	-853	-744	-668	-644
drug_132	457.5	416.5	587	-278	-663	-702
drug_133	616	-702	-788	-590	-501	-779
drug_134	-383.5	626.5	700.5	-507.5	877.5	544.5
drug_135	-683	-825	-853	-744	-832	-644
drug_136	-799	-869	-812	-795.5	-796	680
drug_137	616	-702	-788	-590	-749.5	-779
drug_138	-683	-825	-853	-744	-1073	-644
drug_139	616	-702	-788	-590	-749.5	-779
drug_14	-383.5	626.5	700.5	-507.5	-779.5	544.5
drug_140	616	-702	-788	-590	-749.5	-779
drug_141	-683	-825	-853	-744	-616	-644
drug_142	-823.5	-904.5	-907.5	-831.5	-1038	-865.5
drug_143	-683	-825	-853	-744	-684	-644
drug_144	-816	-892	-895	-818	-707.5	-845
drug_145	-833	-895	-898	-822	-907.5	-893
drug_146	-833	-895	-898	-822	-711	-893
drug_147	-823.5	-904.5	-907.5	-831.5	-911.5	-865.5
drug_148	-823.5	-904.5	-907.5	-831.5	-1112.5	-865.5
drug_149	-823.5	-904.5	-907.5	-831.5	-723.5	-865.5
