ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	-672	891	863	-658	-740.5	539
Acetylsalicylic_acid	-672	-781	-799.5	-658	-735	726.5
Alprenolol	-672	891	863	-658	-773.5	539
Amiloride	-672	891	863	-658	-859.5	539
Amlodipine	-672	891	863	-658	-773.5	539
Atenolol	-672	891	863	-658	-773.5	539
Atorvastatin	-672	891	863	-658	-710.5	539
Benazepril	-672	891	863	-658	-773.5	539
Bendroflumethiazide	-672	891	863	-658	-678.5	539
Betaxolol	-672	891	863	-658	-773.5	539
Bezafibrate	-672	891	863	-658	-859.5	539
Bisoprolol	-672	891	863	-658	-720	539
Bumetanide	-672	891	863	-658	-773.5	539
Canrenoic_acid	-672	891	863	-658	-740.5	539
Captopril	-672	891	863	-658	-773.5	539
Carteolol	-672	891	863	-658	-808	539
Carvedilol	-672	891	863	-658	680	539
Cerivastatin	-672	891	863	-658	-808	539
Chlorhexidine	-672	891	863	-658	-710.5	539
Chlorthalidone	-672	891	863	-658	-773.5	539
Cilnidipine	-672	891	863	-658	-808	539
Cilostazol	567	891	863	-814.5	600.5	539
Clofibrate	-672	891	863	-658	-710.5	539
Clopidogrel	-672	891	863	-658	-808	539
Cyclopenthiazide	-672	891	863	-658	-678.5	539
Digoxin	-672	891	863	-658	-710.5	539
Dipyridamole	-672	891	863	-658	-678.5	539
Dobutamine	610.5	934.5	1029.5	-240.5	718	-768.5
Dopamine	-672	891	863	-658	-710.5	539
Enalapril	-672	891	863	-658	-773.5	539
Eprosartan	-672	891	863	-658	-710.5	539
Esmolol	-561.5	644	792.5	-99	499.5	-857
Etacrynic_acid	-672	891	863	-658	-792	539
Etilefrine	-672	891	863	-658	-808	539
Ezetimibe	-672	891	863	-658	701	539
Felodipine	-672	891	863	-658	-866.5	539
Fenofibrate	-672	891	863	-658	-773.5	539
Fenoldopam	-519	726.5	711.5	-814.5	592.5	643.5
Gemfibrozil	-672	891	863	-658	-710.5	539
Hydroflumethiazide	-672	891	863	-658	-710.5	539
Iloprost	-672	891	863	-658	-735	539
Indapamide	-672	891	863	-658	-710.5	539
Irbesartan	-672	891	863	-658	-773.5	539
Isradipine	-672	891	863	-658	-773.5	539
Labetalol	-672	891	863	-658	-815	539
Losartan	-672	891	863	-658	-825	539
Lovastatin	-672	-781	-799.5	-658	-773.5	-352
Menadione	-672	891	863	-658	-773.5	539
Mephentermine	-672	891	863	-658	-773.5	539
Metolazone	-672	891	863	-658	-773.5	539
Metoprolol	-838.5	950.5	-964	-825.5	-870	-774.5
Midodrine	-672	891	863	-658	-825	539
Milrinone	-672	891	863	-658	-825	539
Moexipril	-672	891	863	-658	680	539
Nadolol	-672	891	863	-658	-825	539
Niacin	-672	891	863	-658	743.5	539
Nicardipine	-672	891	863	-658	-773.5	539
Nicotinyl_alcohol	-672	891	863	-658	703.5	539
Nifedipine	-672	891	863	-658	-773.5	539
Nimodipine	-672	891	863	-658	-710.5	539
Nitrendipine	-672	891	863	-658	-740.5	539
Nitrofural	-672	891	863	-658	-745	539
Olmesartan	843	983	-799.5	-773.5	911	702
Ouabain	-519	644	792.5	-515.5	-663.5	772.5
Oxprenolol	-672	891	863	-658	-825	539
Perindopril	-672	891	863	-658	-802.5	539
Pindolol	-672	891	863	-658	-825	539
Piretanide	873	1011	936.5	-658	-773.5	810.5
Practolol	-672	891	863	-658	-710.5	539
Pravastatin	-672	891	863	-658	-773.5	539
Probucol	603.5	720.5	837	-101	537	728
Propranolol	-672	891	863	-658	-773.5	539
Quinapril	-672	891	863	-658	-825	539
Quinethazone	-672	891	863	-658	-808	539
Ramipril	-672	891	863	-658	-745	539
Rivaroxaban	-732	950.5	1014	-719	-894.5	-790
Rosuvastatin	-672	891	863	-658	-740.5	539
Simvastatin	-672	891	863	-658	-815	539
Sotalol	-672	891	863	-658	-678.5	539
Spironolactone	567	891	863	259	649.5	539
Synephrine	-672	891	863	-658	-773.5	539
Telmisartan	-672	891	863	-658	-710.5	539
Ticlopidine	-672	891	863	-658	-773.5	539
Tienilic_acid	-672	891	863	-658	-773.5	539
Timolol	-672	891	863	-658	-710.5	539
Torasemide	-672	891	863	-658	-710.5	539
Treprostinil	-672	891	863	-658	-740.5	539
Triamterene	-672	891	863	-658	-841	539
Valsartan	-715.5	891	863	-703.5	-754.5	-770.5
Warfarin	-672	891	863	-658	-745	539
drug_1	-291	408.5	435	587.5	-425	588
drug_10	-668	-658	-450	336.5	-592.5	-728
drug_100	560.5	-370	-351.5	621.5	500.5	694
drug_101	423	-370	375.5	-587	253	526.5
drug_102	-444	573	633	488	610.5	-581.5
drug_103	738.5	751.5	-769.5	814.5	-883	-808
drug_104	677	687	315.5	773.5	835.5	-842
drug_105	-444	573	633	488	-685.5	-581.5
drug_106	-291	408.5	481.5	-587	326	410.5
drug_107	638	472	379.5	-717.5	728.5	-802.5
drug_108	-291	408.5	481.5	-587	468	410.5
drug_109	638	472	379.5	-717.5	-699.5	-802.5
drug_11	473	340	445	348	526	-815.5
drug_110	-546.5	-293.5	-434.5	-632	257	546
