ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	516	518	-683.5	-574	638.5	528.5
Acetylsalicylic_acid	516	518	-543	518	-475	-676
Alprenolol	516	518	-683.5	-574	638.5	528.5
Amiloride	516	518	-683.5	-574	740	528.5
Amlodipine	516	518	-683.5	-574	-545.5	528.5
Atenolol	516	518	-683.5	-574	740	528.5
Atorvastatin	516	518	-683.5	-574	-545.5	528.5
Benazepril	516	518	-683.5	-574	-612.5	528.5
Bendroflumethiazide	516	518	-683.5	-574	-545.5	528.5
Betaxolol	516	518	-683.5	-574	-612.5	528.5
Bezafibrate	516	518	-683.5	-574	638.5	528.5
Bisoprolol	516	518	-683.5	-574	638.5	528.5
Bumetanide	516	518	-683.5	-574	-545.5	528.5
Canrenoic_acid	516	518	-683.5	-574	638.5	528.5
Captopril	516	518	-683.5	-574	740	528.5
Carteolol	516	518	-683.5	-574	638.5	528.5
Carvedilol	516	518	-683.5	-574	638.5	528.5
Cerivastatin	516	518	-683.5	-574	638.5	528.5
Chlorhexidine	516	518	-683.5	-574	638.5	528.5
Chlorthalidone	516	518	-683.5	-574	-545.5	528.5
Cilnidipine	516	518	-683.5	-574	-612.5	528.5
Cilostazol	516	518	-683.5	-574	-612.5	528.5
Clofibrate	516	518	-683.5	-574	638.5	528.5
Clopidogrel	516	518	-683.5	-574	-545.5	528.5
Cyclopenthiazide	516	518	-683.5	-574	638.5	528.5
Digoxin	516	518	-683.5	-574	-545.5	528.5
Dipyridamole	516	518	-683.5	-574	-640.5	528.5
Dobutamine	516	518	-683.5	-574	-612.5	528.5
Dopamine	516	518	-683.5	-574	638.5	528.5
Enalapril	516	518	-683.5	-574	-545.5	528.5
Eprosartan	516	518	-683.5	-574	-612.5	528.5
Esmolol	-468	-371	-581	-413	-482.5	-637.5
Etacrynic_acid	-390	-511	-683.5	-574	-545.5	-519.5
Etilefrine	516	518	-683.5	-574	638.5	528.5
Ezetimibe	516	518	-683.5	-574	-612.5	528.5
Felodipine	516	518	-683.5	-574	-545.5	528.5
Fenofibrate	516	518	-683.5	-574	-545.5	528.5
Fenoldopam	516	518	-683.5	-574	-545.5	528.5
Gemfibrozil	516	518	-683.5	-574	638.5	528.5
Hydroflumethiazide	516	518	-683.5	-574	-612.5	528.5
Iloprost	516	518	-683.5	-574	-545.5	528.5
Indapamide	516	518	-683.5	-574	-612.5	528.5
Irbesartan	516	518	-683.5	-574	-545.5	528.5
Isradipine	516	518	-683.5	-574	-612.5	528.5
Labetalol	516	518	-683.5	-574	-545.5	528.5
Losartan	516	518	-683.5	-574	638.5	528.5
Lovastatin	-390	-511	-683.5	-574	-612.5	758.5
Menadione	516	518	-683.5	-574	-501.5	528.5
Mephentermine	516	518	-683.5	-574	638.5	528.5
Metolazone	516	518	-683.5	-574	638.5	528.5
Metoprolol	747	747	758.5	747	758.5	-519.5
