ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	196	731	861	618	813.5	259
Acetylsalicylic_acid	196	731	861	618	904	259
Alprenolol	196	731	861	618	836.5	259
Amiloride	196	731	861	618	765	259
Amlodipine	299	812	934	693	720	308
Atenolol	196	731	861	618	848	259
Atorvastatin	196	731	861	618	780.5	259
Benazepril	196	731	861	618	831	259
Bendroflumethiazide	196	731	861	618	831	259
Betaxolol	196	731	861	618	798	259
Bezafibrate	457.5	1004.5	1090.5	820.5	1068	502.5
Bisoprolol	642.5	674.5	-446.5	658.5	760.5	756.5
Bumetanide	196	731	861	618	819	259
Canrenoic_acid	196	731	861	618	780.5	259
Captopril	196	731	861	618	838	259
Carteolol	659.5	-937.5	-942.5	689.5	842.5	692.5
Carvedilol	196	731	861	618	831	259
Cerivastatin	245.5	628.5	705.5	559.5	622	392.5
Chlorhexidine	662.5	774.5	-359.5	687.5	831.5	774.5
Chlorthalidone	196	731	861	618	852	259
Cilnidipine	-493.5	643.5	654.5	677.5	725.5	-529.5
Cilostazol	196	731	861	618	871	259
Clofibrate	196	731	861	618	852	259
Clopidogrel	196	731	861	618	881	259
Cyclopenthiazide	196	731	861	618	813.5	259
Digoxin	497.5	1031.5	1103.5	813.5	1084	537.5
Dipyridamole	196	731	861	618	852	259
Dobutamine	196	731	861	618	762	259
Dopamine	196	731	861	618	852	259
Enalapril	196	731	861	618	838	259
Eprosartan	196	731	861	618	881	259
Esmolol	196	731	861	618	852	259
Etacrynic_acid	196	731	861	618	813.5	259
Etilefrine	196	731	861	618	838	259
Ezetimibe	196	731	861	618	798	259
Felodipine	196	731	861	618	881	259
Fenofibrate	196	731	861	618	819	259
Fenoldopam	196	731	861	618	875	259
Gemfibrozil	196	731	861	618	852	259
Hydroflumethiazide	196	731	861	618	819	259
Iloprost	196	731	861	618	813.5	259
Indapamide	196	731	861	618	819	259
Irbesartan	642.5	674.5	-366.5	686.5	695.5	-230.5
Isradipine	196	731	861	618	813.5	259
Labetalol	-182	589.5	767.5	554.5	665	387.5
Losartan	196	731	861	618	852	259
Lovastatin	196	731	861	618	813.5	259
Menadione	-224	599.5	816.5	-423.5	736	696.5
Mephentermine	196	731	861	618	871	259
Metolazone	-142.5	630	396	577.5	717	693.5
Metoprolol	196	731	861	618	854.5	259
Midodrine	196	731	861	618	852	259
Milrinone	196	731	861	618	831	259
Moexipril	196	731	861	618	875	259
Nadolol	196	731	861	618	765	259
Niacin	196	731	861	618	894	259
Nicardipine	196	731	861	618	813.5	259
Nicotinyl_alcohol	196	731	861	618	802	259
Nifedipine	196	731	861	618	852	259
Nimodipine	658	690	-943.5	688.5	-925	-232.5
Nitrendipine	196	731	861	618	881	259
Nitrofural	196	731	861	618	821	259
Olmesartan	196	731	861	618	881	259
Ouabain	196	731	861	618	813.5	259
Oxprenolol	196	731	861	618	813.5	259
Perindopril	196	731	861	618	852	259
Pindolol	196	731	861	618	819	259
Piretanide	457.5	1004.5	1071	786	1090	522
Practolol	196	731	861	618	875	259
Pravastatin	196	731	861	618	765	259
Probucol	196	731	861	618	831	259
Propranolol	196	731	861	618	780.5	259
Quinapril	196	731	861	618	798	259
Quinethazone	-224	731	861	618	854.5	259
Ramipril	-441.5	635	691.5	665.5	913	-369.5
Rivaroxaban	196	731	861	618	848	259
Rosuvastatin	-256.5	630	-476.5	-454.5	787	726.5
Simvastatin	196	731	861	618	813.5	259
Sotalol	196	731	861	618	781	259
Spironolactone	660.5	773.5	-362.5	-311.5	841.5	695.5
Synephrine	196	731	861	618	781	259
Telmisartan	707.5	587.5	661	474	629	507
Ticlopidine	196	731	861	618	819	259
Tienilic_acid	196	731	861	618	780.5	259
Timolol	196	731	861	618	875	259
