ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	-399	1097.5	838	-153	1081	1013.5
Acetylsalicylic_acid	-399	1053.5	838	-188.5	1047.5	955.5
Alprenolol	-399	1097.5	838	-188.5	1137	1013.5
Amiloride	-399	1053.5	838	-225.5	1056.5	1057
Amlodipine	338.5	1053.5	838	161.5	1024	955.5
Atenolol	-399	1097.5	838	-188.5	1081	1013.5
Atorvastatin	-399	1097.5	838	-188.5	1081	1013.5
Benazepril	-399	1053.5	838	-188.5	1015.5	1057
Bendroflumethiazide	-399	1053.5	838	161.5	1072	955.5
Betaxolol	-399	1097.5	838	-153	1153.5	1013.5
Bezafibrate	-539	1097.5	838	-356	1063	1013.5
Bisoprolol	-399	-822.5	704.5	235	931.5	-857.5
Bumetanide	-399	1097.5	838	-188.5	1122	1013.5
Canrenoic_acid	-399	1097.5	838	-225.5	1053	1013.5
Captopril	-399	1097.5	838	-188.5	1057.5	1013.5
Carteolol	874.5	1139.5	798.5	640	1132	1118
Carvedilol	-399	1053.5	838	-188.5	1047.5	955.5
Cerivastatin	338.5	1097.5	838	-225.5	1122	1013.5
Chlorhexidine	-399	-822.5	734.5	-188.5	-874	-857.5
Chlorthalidone	-399	1097.5	838	-188.5	1105.5	1013.5
Cilnidipine	-455.5	1053.5	838	-243	1047.5	955.5
Cilostazol	-399	1097.5	838	-225.5	1112.5	1013.5
Clofibrate	-399	1053.5	838	-188.5	1061	1057
Clopidogrel	-399	1097.5	838	-225.5	1081	1013.5
Cyclopenthiazide	-399	1097.5	838	-153	1105.5	1013.5
Digoxin	-563.5	1097.5	838	-359	1081	1013.5
Dipyridamole	-399	1097.5	838	-188.5	1081	1013.5
Dobutamine	-399	1097.5	838	-188.5	1081	1013.5
Dopamine	-399	1097.5	838	-153	1122	1013.5
Enalapril	-399	1097.5	838	-188.5	1105.5	1013.5
Eprosartan	-399	1097.5	838	-153	1057.5	1013.5
Esmolol	-399	1097.5	838	-188.5	1122	1013.5
Etacrynic_acid	-399	1036.5	838	-225.5	922.5	1064
Etilefrine	-399	1097.5	838	-188.5	1081	1013.5
Ezetimibe	-399	1023	838	-188.5	-908.5	1062.5
Felodipine	-399	1053.5	838	-188.5	992	1057
Fenofibrate	-399	1053.5	838	-225.5	1040	1057
Fenoldopam	-399	1097.5	838	-153	1105.5	1013.5
Gemfibrozil	-399	1097.5	838	-188.5	1081	1013.5
Hydroflumethiazide	-399	1097.5	838	-188.5	1081	1013.5
Iloprost	-399	1097.5	838	-188.5	1122	1013.5
Indapamide	-399	1097.5	838	-188.5	1122	1013.5
Irbesartan	-399	-760	705.5	-161.5	-681.5	-884.5
Isradipine	-399	1053.5	838	-188.5	1047.5	955.5
Labetalol	-539	1053.5	838	-95	1015.5	1057
Losartan	-399	1053.5	838	-225.5	1043.5	1057
Lovastatin	-399	1097.5	838	-188.5	1081	1013.5
Menadione	-399	-780.5	703.5	-225.5	-842	-820.5
Mephentermine	-399	1097.5	838	-225.5	1105.5	1013.5
Metolazone	874.5	1095.5	877.5	701	1099.5	1058
Metoprolol	-399	1097.5	838	-188.5	1057.5	1013.5
Midodrine	-399	1053.5	838	-188.5	1015.5	1057
Milrinone	-399	1097.5	838	-153	1081	1013.5
Moexipril	-399	1097.5	838	-153	1057.5	1013.5
Nadolol	-399	1097.5	838	-188.5	1105.5	1013.5
Niacin	-399	1097.5	838	-237.5	1081	1013.5
Nicardipine	-399	1097.5	838	-237.5	1122	1013.5
Nicotinyl_alcohol	-399	1053.5	838	-188.5	1047.5	955.5
Nifedipine	-399	1097.5	838	-225.5	1094.5	1013.5
Nimodipine	872	1138	878.5	236	1162.5	1113
Nitrendipine	-399	1097.5	838	-188.5	1057.5	1013.5
Nitrofural	-399	1097.5	838	-225.5	1122	1013.5
Olmesartan	-399	1097.5	838	-225.5	1105.5	1013.5
