ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	820	965	998	952	1008.5	461
Acetylsalicylic_acid	820	965	998	952	1017	461
Alprenolol	820	965	998	952	1008.5	461
Amiloride	535	677	-738.5	859	888.5	944
Amlodipine	820	965	998	952	937	461
Atenolol	820	965	998	952	1111	461
Atorvastatin	820	965	998	952	937	461
Benazepril	820	965	998	952	937	461
Bendroflumethiazide	673	668	624.5	-965	725.5	351.5
Betaxolol	820	965	998	952	-963.5	461
Bezafibrate	820	965	998	952	1008.5	461
Bisoprolol	820	965	998	952	1002	461
Bumetanide	820	965	998	952	888.5	461
Canrenoic_acid	820	965	998	952	1008.5	461
Captopril	923	832	-976	827.5	-928.5	542.5
Carteolol	820	965	998	952	1008.5	461
Carvedilol	905.5	877.5	-745.5	1038	-681	-801.5
Cerivastatin	820	965	998	952	1111	461
Chlorhexidine	535	677	-741	864.5	573.5	372.5
Chlorthalidone	-904.5	-917.5	-918.5	-906.5	-979.5	-817.5
Cilnidipine	820	965	998	952	1008.5	461
Cilostazol	962.5	852.5	864.5	843.5	-922	556.5
Clofibrate	666.5	-825.5	856.5	-813.5	-849	-328.5
Clopidogrel	820	965	998	952	964	461
Cyclopenthiazide	820	965	998	952	1030	461
Digoxin	1061.5	1083.5	1080.5	1078.5	1115.5	634.5
Dipyridamole	910	880	1083.5	1039.5	890	-805.5
Dobutamine	1079.5	1086.5	1084.5	1082.5	1119.5	677.5
Dopamine	820	965	998	952	1008.5	461
Enalapril	820	965	998	952	937	461
Eprosartan	820	965	998	952	974.5	461
Esmolol	820	965	998	952	1073.5	461
Etacrynic_acid	820	965	998	952	1008.5	461
Etilefrine	820	965	998	952	1073.5	461
Ezetimibe	820	965	998	952	937	461
Felodipine	905.5	877.5	-747.5	1038	-811.5	-802.5
Fenofibrate	535	677	-744.5	864.5	545.5	372.5
Fenoldopam	820	965	998	952	1002	461
Gemfibrozil	820	965	998	952	937	461
Hydroflumethiazide	820	965	998	952	861.5	461
Iloprost	820	965	998	952	-922	461
Indapamide	820	965	998	952	1002	461
Irbesartan	820	965	998	952	1119.5	461
Isradipine	535	677	-741	864.5	573.5	372.5
Labetalol	932	838.5	748.5	-966.5	795	549.5
Losartan	820	965	998	952	1046	461
Lovastatin	820	965	998	952	-1039	461
Menadione	820	965	998	952	1002	461
Mephentermine	820	965	998	952	1046	461
Metolazone	820	965	998	952	1073.5	461
Metoprolol	820	965	998	952	888.5	461
Midodrine	820	965	998	952	1119.5	461
Milrinone	820	965	998	952	1119.5	461
Moexipril	722	592	-484	943.5	832.5	1087.5
Nadolol	820	965	998	952	974.5	461
Niacin	820	965	998	952	-963.5	461
Nicardipine	820	965	998	952	1008.5	461
