ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	-659	-775	-744	-777	-862.5	-762
Acetylsalicylic_acid	-659	-775	-744	-777	-831	-762
Alprenolol	-659	-775	-744	-777	-862.5	-762
Amiloride	-757	-861	384.5	-865	-949	-853
Amlodipine	-659	-775	-744	-777	-830.5	-762
Atenolol	-659	-775	-744	-777	-902	-762
Atorvastatin	-659	-775	-744	-777	-791	-762
Benazepril	-659	-775	-744	-777	-883	-762
Bendroflumethiazide	641	663	677	589.5	670	664
Betaxolol	-659	-775	-744	-777	-797	-762
Bezafibrate	-659	-775	-744	-777	-883	-762
Bisoprolol	-659	-775	-744	-777	-790.5	-762
Bumetanide	-659	-775	-744	-777	-791	-762
Canrenoic_acid	-659	-775	-744	-777	-886.5	-762
Captopril	-764	-646	-566	-672.5	-560	-662
Carteolol	-659	-775	-744	-777	-886.5	-762
Carvedilol	-760	-864	-831	-866	-895.5	337.5
Cerivastatin	-659	-775	-744	-777	-902	-762
Chlorhexidine	-742.5	-686.5	557	-690.5	-755.5	-669.5
Chlorthalidone	-746	-689	-659	-693.5	-719.5	-672
Cilnidipine	-659	-775	-744	-777	-797	-762
Cilostazol	-947	-1040	-1039	-1040	-980	-982
Clofibrate	-766	-647	-606	-672.5	-634.5	-674
Clopidogrel	-659	-775	-744	-777	-822	-762
Cyclopenthiazide	-659	-775	-744	-777	-672	-762
Digoxin	-543	-603	-641	-600	-592.5	-560
Dipyridamole	-759	-863	-832	-867	-829	-854
Dobutamine	-783	-857	-657	-873	-765	-861
Dopamine	-659	-775	-744	-777	-737.5	-762
Enalapril	-659	-775	-744	-777	-757	-762
Eprosartan	-659	-775	-744	-777	-765.5	-762
Esmolol	-659	-775	-744	-777	-746	-762
Etacrynic_acid	-659	-775	-744	-777	-771.5	-762
Etilefrine	-659	-775	-744	-777	-750.5	-762
Ezetimibe	-659	-775	-744	-777	-862.5	-762
Felodipine	838.5	901.5	571.5	924.5	889.5	-845
Fenofibrate	-755	-859	-829	-863	-930	-849
Fenoldopam	-659	-775	-744	-777	-830.5	-762
Gemfibrozil	-659	-775	-744	-777	-862.5	-762
Hydroflumethiazide	-659	-775	-744	-777	-797	-762
Iloprost	-659	-775	-744	-777	-750.5	-762
Indapamide	-659	-775	-744	-777	-797	-762
Irbesartan	-659	-775	-744	-777	-757	-762
Isradipine	-742.5	-686.5	557	-690.5	-716	-669.5
Labetalol	-1022	-1078	-1073	-1081	-1137	-1079
Losartan	-659	-775	-744	-777	-777	-762
Lovastatin	-659	-775	-744	-777	-870.5	-762
Menadione	-659	-775	-744	-777	-746	-762
Mephentermine	-659	-775	-744	-777	-918	-762
Metolazone	-659	-775	-744	-777	-737.5	-762
Metoprolol	-659	-775	-744	-777	-862.5	-762
Midodrine	-659	-775	-744	-777	-846.5	-762
Milrinone	-659	-775	-744	-777	-793	-762
Moexipril	-563	-599	-998	-596	-996	-586
Nadolol	-659	-775	-744	-777	-725.5	-762
Niacin	-659	-775	-744	-777	-791	-762
Nicardipine	-659	-775	-744	-777	-791	-762
Nicotinyl_alcohol	-659	-775	-744	-777	-765.5	-762
Nifedipine	-745	-688	389.5	-693.5	-633.5	-671
Nimodipine	-659	-775	-744	-777	-691.5	-762
Nitrendipine	-782	-692	-658	-872	-764	-862
Nitrofural	-659	-775	-744	-777	-757	-762
Olmesartan	-1017	-1077	-1071	-1079	-1064.5	-1078
Ouabain	-659	-775	-744	-777	-862.5	-762
Oxprenolol	-659	-775	-744	-777	-822	-762
Perindopril	-659	-775	-744	-777	-862.5	-762
Pindolol	-659	-775	-744	-777	-771.5	-762
Piretanide	436.5	508.5	558.5	525.5	-656	347.5
Practolol	-659	-775	-744	-777	-846.5	-762
Pravastatin	-756	-860	-828	-864	-804.5	-850
Probucol	-659	-775	-744	-777	-697	-762
Propranolol	257.5	319.5	-660	344.5	-773	348.5
Quinapril	-659	-775	-744	-777	-725.5	-762
Quinethazone	-659	-775	-744	-777	-697	-762
Ramipril	-659	-775	-744	-777	-684	-762
Rivaroxaban	-659	-775	-744	-777	-802.5	-762
Rosuvastatin	-659	-775	-744	-777	-725.5	-762
Simvastatin	-659	-775	-744	-777	-793	-762
Sotalol	-659	-775	-744	-777	-746	-762
Spironolactone	-576	-685	386.5	-689	-713.5	-667
