ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	555	910	1009	898	856.5	376
Acetylsalicylic_acid	555	910	1009	898	995.5	376
Alprenolol	555	910	1009	898	877	376
Amiloride	555	910	1009	898	980	376
Amlodipine	555	910	1009	898	887.5	376
Atenolol	555	910	1009	898	1011	376
Atorvastatin	-454	-1061	-935	827	-1006	-392
Benazepril	555	910	1009	898	856.5	376
Bendroflumethiazide	555	910	1009	898	856.5	376
Betaxolol	555	910	1009	898	947.5	376
Bezafibrate	555	910	1009	898	940.5	376
Bisoprolol	555	910	1009	898	909.5	376
Bumetanide	555	910	1009	898	909.5	376
Canrenoic_acid	555	910	1009	898	909.5	376
Captopril	555	910	1009	898	827	376
Carteolol	-631.5	-895.5	-1129.5	-846.5	-930	548.5
Carvedilol	-280	806.5	964.5	797	653.5	-375
Cerivastatin	555	910	1009	898	909.5	376
Chlorhexidine	827	-1077	965.5	-1031	-1056	620.5
Chlorthalidone	555	910	1009	898	877	376
Cilnidipine	847.5	1085.5	-869	1084	1039	484
Cilostazol	555	910	1009	898	824	376
Clofibrate	555	910	1009	898	827	376
Clopidogrel	555	910	1009	898	909.5	376
Cyclopenthiazide	555	910	1009	898	-846	376
Digoxin	555	910	1009	898	909.5	376
Dipyridamole	555	910	1009	898	988.5	376
Dobutamine	555	910	1009	898	824	376
Dopamine	555	910	1009	898	1011	376
Enalapril	555	910	1009	898	909.5	376
Eprosartan	555	910	1009	898	909.5	376
Esmolol	555	910	1009	898	909.5	376
Etacrynic_acid	555	910	1009	898	909.5	376
Etilefrine	555	910	1009	898	-790.5	376
Ezetimibe	847.5	1085.5	1104.5	1073.5	833.5	472.5
Felodipine	555	910	1009	898	980	376
Fenofibrate	640.5	-729.5	-918	-683	565	431
Fenoldopam	555	910	1009	898	-911.5	376
Gemfibrozil	555	910	1009	898	940.5	376
Hydroflumethiazide	555	910	1009	898	856.5	376
Iloprost	368.5	624.5	812	680	-617	-533
Indapamide	874.5	1105.5	1126.5	1103.5	1051	610.5
Irbesartan	555	910	1009	898	980	376
Isradipine	555	910	1009	898	909.5	376
Labetalol	555	910	1009	898	856.5	376
Losartan	555	910	1009	898	909.5	376
Lovastatin	555	910	1009	898	794.5	376
Menadione	555	910	1009	898	940.5	376
Mephentermine	555	910	1009	898	794.5	376
Metolazone	829.5	953.5	1052.5	943.5	922	886.5
Metoprolol	555	910	1009	898	877	376
Midodrine	555	910	1009	898	827	376
Milrinone	652.5	812.5	-832.5	1016	658.5	-355.5
Moexipril	719.5	814.5	-737.5	1064	746.5	470.5
Nadolol	555	910	1009	898	858	376
Niacin	555	910	1009	898	856.5	376
Nicardipine	555	910	1009	898	909.5	376
Nicotinyl_alcohol	555	910	1009	898	925	376
Nifedipine	555	910	1009	898	856.5	376
Nimodipine	555	910	1009	898	827	376
Nitrendipine	555	910	1009	898	980	376
Nitrofural	555	910	1009	898	940.5	376
Olmesartan	555	910	1009	898	-856	376
Ouabain	555	910	1009	898	925	376
Oxprenolol	555	910	1009	898	909.5	376
Perindopril	555	910	1009	898	909.5	376
Pindolol	555	910	1009	898	827	376
Piretanide	555	910	1009	898	866	376
Practolol	555	910	1009	898	-851.5	376
Pravastatin	828.5	952.5	1051.5	942.5	862	621.5
Probucol	555	910	1009	898	957.5	376
Propranolol	512.5	838.5	936.5	797	861	815.5
Quinapril	555	910	1009	898	813	376
Quinethazone	555	910	1009	898	909.5	376
Ramipril	555	910	1009	898	925	376
Rivaroxaban	555	910	1009	898	980	376
Rosuvastatin	555	910	1009	898	980	376
Simvastatin	555	910	1009	898	940.5	376
Sotalol	555	910	1009	898	877	376
Spironolactone	555	910	1009	898	909.5	376
Synephrine	555	910	1009	898	947.5	376
Telmisartan	555	910	1009	898	957.5	376
Ticlopidine	555	910	1009	898	856.5	376
Tienilic_acid	555	910	1009	898	827	376
Timolol	555	910	1009	898	909.5	376
Torasemide	555	910	1009	898	877	376
Treprostinil	555	910	1009	898	909.5	376
Triamterene	555	910	1009	898	957.5	376
Valsartan	555	910	1009	898	980	376
Warfarin	555	910	1009	898	909.5	376
drug_1	1118.5	751.5	488.5	972	854	707.5
drug_10	1004.5	729.5	581.5	718	731.5	-644.5
drug_100	912	806	-481	861	-595	417
drug_101	912	806	-481	861	563.5	417
drug_102	912	806	-481	861	563.5	417
drug_103	-922	-560	-590.5	555	-512.5	643.5
drug_104	-922	-560	-590.5	555	-512.5	643.5
drug_105	-922	-560	-590.5	555	436.5	643.5
drug_106	912	806	-481	861	660	417
drug_107	912	806	-481	861	-631.5	417
drug_108	-922	-560	-590.5	555	-518.5	643.5
drug_109	912	806	-481	861	-637.5	417
drug_11	1127	1043	601	1027.5	1132.5	1077
drug_110	-800.5	-503.5	-662	-229	-448.5	-903
drug_111	-566	-631	563.5	-585	-607.5	718.5
drug_112	-566	-631	563.5	-585	-580.5	718.5
drug_113	-566	-631	563.5	-585	-762	718.5
drug_114	-566	-631	563.5	-585	-622	718.5
drug_115	-566	-631	563.5	-585	-696.5	718.5
drug_116	-800.5	-503.5	-662	-229	-506	-903
drug_117	-566	-631	563.5	-585	-533	718.5
drug_118	-566	-631	563.5	-585	633	718.5
drug_119	-566	-631	563.5	-585	-696.5	718.5
drug_12	1127	1043	601	1027.5	1139	1077
drug_120	-566	-631	563.5	-585	-506.5	718.5
drug_121	-800.5	-503.5	-662	-229	-391.5	-903
drug_122	-566	-631	563.5	-585	-736	718.5
drug_123	-566	-631	563.5	-585	-607.5	718.5
drug_124	-566	-631	563.5	-585	-800.5	718.5
drug_125	-566	-631	563.5	-585	-696.5	718.5
drug_126	-566	-631	563.5	-585	-555.5	718.5
drug_127	-800.5	-503.5	-662	-229	-506	-903
drug_128	-800.5	-503.5	-662	-229	-467.5	-903
drug_129	-800.5	-503.5	-662	-229	-426	-903
drug_13	1118.5	751.5	488.5	972	867	707.5
drug_130	-566	-631	563.5	-585	-735	718.5
drug_131	-566	-631	563.5	-585	592.5	718.5
drug_132	-800.5	-503.5	-662	-229	327	-903
drug_133	-566	-631	563.5	-585	633	718.5
drug_134	-800.5	-503.5	-662	-229	-391.5	-903
drug_135	-566	-631	563.5	-585	-736	718.5
drug_136	-566	-631	563.5	-585	-762	718.5
drug_137	-566	-631	563.5	-585	-595.5	718.5
drug_138	-800.5	-503.5	-662	-229	-448.5	-903
drug_139	-566	-631	563.5	-585	-555.5	718.5
drug_14	1127	1043	601	1027.5	1135.5	1077
drug_140	-800.5	-503.5	-662	-229	-378.5	-903
drug_141	-566	-631	563.5	-585	-735	718.5
drug_142	-922	-560	-602.5	-505.5	-590	-858.5
drug_143	-764.5	-944.5	761	-929.5	-949	519
drug_144	-999	-817	-859.5	-573.5	-733	-705.5
drug_145	-584	-674	564	-682	-816.5	-781
drug_146	-999	-817	-859.5	-573.5	-701	-705.5
drug_147	-922	-560	-602.5	-505.5	-559	-858.5
drug_148	-922	-560	-602.5	-505.5	-548.5	-858.5
drug_149	-764.5	-944.5	761	-929.5	-858	519
drug_15	1004.5	729.5	581.5	718	700	-644.5
drug_150	-584	-674	564	-682	-750.5	-781
drug_151	-584	-674	564	-682	-724.5	-781
drug_152	-764.5	-944.5	761	-929.5	-1031	519
drug_153	-764.5	-944.5	761	-929.5	-994.5	519
drug_154	-764.5	-944.5	761	-929.5	-904.5	519
drug_155	-584	-674	564	-682	-795	-781
drug_156	-584	-674	564	-682	-796	-781
drug_157	-584	-674	564	-682	-706	-781
drug_158	-584	-674	564	-682	-814.5	-781
drug_159	-999	-817	-859.5	-573.5	-802	-705.5
drug_16	1127	1043	601	1027.5	1146	1077
drug_160	-584	-674	564	-682	-750.5	-781
drug_161	-764.5	-944.5	761	-929.5	-994.5	519
drug_162	-584	-674	564	-682	-814.5	-781
drug_163	-922	-560	-602.5	-505.5	-680	-858.5
drug_164	-764.5	-944.5	761	-929.5	-904.5	519
drug_165	-584	-674	564	-682	-706	-781
drug_166	-584	-674	564	-682	-678	-781
drug_167	-584	-674	564	-682	-847	-781
drug_168	-922	-560	-602.5	-505.5	-676	-858.5
drug_169	-584	-674	564	-682	-795	-781
drug_17	1127	1043	601	1027.5	1132.5	1077
drug_170	-584	-674	564	-682	-796	-781
drug_171	-1040.5	-517.5	-405.5	-527.5	-721.5	-872.5
drug_172	-922	582	392	-787	-599	-837
drug_173	-1031.5	-500.5	-425.5	-486.5	-541.5	-852.5
drug_174	-961.5	-454.5	-305.5	-485.5	-413.5	-878.5
drug_175	-922	582	392	-787	-690	-837
drug_176	-1040.5	-517.5	-405.5	-527.5	-724.5	-872.5
drug_177	793.5	-456.5	323.5	-498.5	-443	-865.5
drug_178	-999	880.5	-620	-1035.5	917	-642
drug_179	-922	582	392	-787	-772.5	-837
drug_18	1105	1028	804.5	1013	1057.5	937.5
drug_180	793.5	-456.5	323.5	-498.5	-604	-865.5
drug_181	-922	582	392	-787	-735.5	-837
drug_182	-922	582	392	-787	-721.5	-837
drug_183	-1040.5	-517.5	-405.5	-527.5	-721.5	-872.5
drug_184	-922	582	392	-787	-721.5	-837
drug_185	-1040.5	-517.5	-405.5	-527.5	-666.5	-872.5
drug_186	-1058.5	-770.5	-637	-596	-599	-737
drug_187	-922	582	392	-787	-721.5	-837
drug_188	-1040.5	-517.5	-405.5	-527.5	-580.5	-872.5
drug_189	793.5	-456.5	323.5	-498.5	-479	-865.5
drug_19	1004.5	729.5	581.5	718	736	-644.5
drug_190	-922	582	392	-787	-645.5	-837
drug_191	1122	756	1045	1001.5	628.5	653
drug_192	-1040.5	-517.5	-405.5	-527.5	-540.5	-872.5
drug_193	-922	582	392	-787	-631.5	-837
drug_194	-922	582	392	-787	-721.5	-837
drug_195	-922	582	392	-787	-690	-837
drug_196	-1040.5	-517.5	-405.5	-527.5	-547.5	-872.5
drug_197	-1040.5	-517.5	-405.5	-527.5	-673.5	-872.5
drug_198	-922	582	392	-787	-631.5	-837
drug_199	-999	880.5	-620	-1035.5	-925.5	-642
drug_2	1004.5	729.5	581.5	718	746.5	-644.5
drug_20	1004.5	729.5	581.5	718	719	-644.5
drug_200	-1058.5	-770.5	-637	-596	-597	-737
drug_201	-566	-631	563.5	-585	-720.5	718.5
drug_202	-566	-631	563.5	-585	-555.5	718.5
drug_203	-800.5	-503.5	-662	-229	-391.5	-903
drug_204	-566	-631	563.5	-585	-555.5	718.5
drug_205	-800.5	-503.5	-662	-229	-455.5	-903
drug_206	-800.5	-503.5	-662	-229	-321	-903
drug_207	-566	-631	563.5	-585	-735	718.5
drug_208	-566	-631	563.5	-585	-580.5	718.5
drug_209	-800.5	-503.5	-662	-229	-378.5	-903
drug_21	1118.5	751.5	488.5	972	867	707.5
drug_210	-800.5	-503.5	-662	-229	-497	-903
drug_211	-566	-631	563.5	-585	-607.5	718.5
drug_212	-566	-631	563.5	-585	-607.5	718.5
drug_213	-566	-631	563.5	-585	-696.5	718.5
drug_214	-566	-631	563.5	-585	-762	718.5
drug_215	-566	-631	563.5	-585	-696.5	718.5
drug_216	-800.5	-503.5	-662	-229	-467.5	-903
drug_217	-566	-631	563.5	-585	-555.5	718.5
drug_218	-566	-631	563.5	-585	-622	718.5
drug_219	-566	-631	563.5	-585	-655	718.5
drug_22	326.5	570.5	-660.5	544.5	553.5	-356.5
drug_220	-566	-631	563.5	-585	-533	718.5
drug_221	-800.5	-503.5	-662	-229	-426	-903
drug_222	-566	-631	563.5	-585	-726	718.5
drug_223	-566	-631	563.5	-585	-655	718.5
drug_224	-566	-631	563.5	-585	-696.5	718.5
drug_225	-800.5	-503.5	-662	-229	-359.5	-903
drug_226	-566	-631	563.5	-585	-481	718.5
drug_227	-566	-631	563.5	-585	-634.5	718.5
drug_228	-800.5	-503.5	-662	-229	-414	-903
drug_229	-566	-631	563.5	-585	608	718.5
drug_23	1127	1043	601	1027.5	1117.5	1077
drug_230	-566	-631	563.5	-585	-622	718.5
drug_231	-999	-817	-859.5	-573.5	-663.5	-705.5
drug_232	-584	-674	564	-682	-777	-781
drug_233	-584	-674	564	-682	-750.5	-781
drug_234	-764.5	-944.5	761	-929.5	-970	519
drug_235	-922	-560	-602.5	-505.5	-680	-858.5
drug_236	-584	-674	564	-682	-750.5	-781
drug_237	-584	-674	564	-682	-736	-781
drug_238	-999	-817	-859.5	-573.5	-688.5	-705.5
drug_239	-764.5	-944.5	761	-929.5	-1031	519
drug_24	1127	1043	601	1027.5	1132.5	1077
drug_240	-764.5	-944.5	761	-929.5	-994.5	519
drug_241	-584	-674	564	-682	-769	-781
drug_242	-764.5	-944.5	761	-929.5	-893.5	519
drug_243	-764.5	-944.5	761	-929.5	-1060	519
drug_244	-764.5	-944.5	761	-929.5	-949	519
drug_245	-764.5	-944.5	761	-929.5	-874.5	519
drug_246	-584	-674	564	-682	-706	-781
drug_247	-764.5	-944.5	761	-929.5	-956.5	519
drug_248	-764.5	-944.5	761	-929.5	-949	519
drug_249	-584	-674	564	-682	-840.5	-781
drug_25	627.5	365.5	487	408	718	726
drug_250	-764.5	-944.5	761	-929.5	-994.5	519
drug_251	-764.5	-944.5	761	-929.5	-970	519
drug_252	-764.5	-944.5	761	-929.5	-994.5	519
drug_253	-764.5	-944.5	761	-929.5	-794	519
drug_254	-584	-674	564	-682	-898.5	-781
drug_255	-764.5	-944.5	761	-929.5	-1045.5	519
drug_256	-584	-674	564	-682	-750.5	-781
drug_257	-584	-674	564	-682	-862	-781
drug_258	-764.5	-944.5	761	-929.5	-949	519
drug_259	-584	-674	564	-682	-750.5	-781
drug_26	744	719	622	690.5	987	1075
drug_260	478.5	247.5	-222	314.5	236	-606
drug_261	-766	-286	-435	-205	287.5	959
drug_262	-385.5	-360.5	366.5	-337.5	-501	-978.5
drug_263	-681.5	601	-447.5	607.5	565	900.5
drug_264	478.5	247.5	-222	314.5	244.5	-606
drug_265	478.5	247.5	-222	314.5	-239	-606
drug_266	-681.5	601	-447.5	607.5	565	900.5
drug_267	478.5	247.5	-222	314.5	240	-606
drug_268	-766	-286	-435	-205	288.5	959
drug_269	478.5	247.5	-222	314.5	348	-606
drug_27	627.5	365.5	487	408	719	726
drug_270	478.5	247.5	-222	314.5	234.5	-606
drug_271	478.5	247.5	-222	314.5	307.5	-606
drug_272	478.5	247.5	-222	314.5	348	-606
drug_273	-681.5	601	-447.5	607.5	569	900.5
drug_274	-385.5	-360.5	366.5	-337.5	-453.5	-978.5
drug_275	-681.5	601	-447.5	607.5	571	900.5
drug_276	-766	-286	-435	-205	290	959
drug_277	-385.5	-360.5	366.5	-337.5	-427.5	-978.5
drug_278	-681.5	601	-447.5	607.5	511.5	900.5
drug_279	-681.5	601	-447.5	607.5	565	900.5
drug_28	627.5	365.5	487	408	705	726
drug_280	-766	-286	-435	-205	233	959
drug_281	-681.5	601	-447.5	607.5	511.5	900.5
drug_282	478.5	247.5	-222	314.5	348	-606
drug_283	478.5	247.5	-222	314.5	348	-606
drug_284	-681.5	601	-447.5	607.5	517.5	900.5
drug_285	-566	-631	563.5	-585	-696.5	718.5
drug_286	-681.5	601	-447.5	607.5	673	900.5
drug_287	-766	-286	-435	-205	398	959
drug_288	-681.5	601	-447.5	607.5	677	900.5
drug_289	627.5	365.5	-542	432.5	629	708
drug_29	627.5	365.5	487	408	732	726
drug_290	-584	-674	564	-682	-724.5	-781
drug_291	-999	-817	-859.5	-573.5	-663.5	-705.5
drug_292	-584	-674	564	-682	-891.5	-781
drug_293	-922	-560	-602.5	-505.5	-680	-858.5
drug_294	-584	-674	564	-682	-796	-781
drug_295	-584	-674	564	-682	-862	-781
drug_296	-584	-674	564	-682	-750.5	-781
drug_297	-584	-674	564	-682	-795	-781
drug_298	-584	-674	564	-682	-840.5	-781
drug_299	-584	-674	564	-682	-750.5	-781
drug_3	1004.5	729.5	581.5	718	745.5	-644.5
drug_30	-546.5	223.5	-725	226	482	-703
drug_300	-584	-674	564	-682	-724.5	-781
drug_301	-584	-674	564	-682	-840.5	-781
drug_302	-584	-674	564	-682	-706	-781
drug_303	-584	-674	564	-682	-750.5	-781
drug_304	-584	-674	564	-682	-769	-781
drug_305	-584	-674	564	-682	-891.5	-781
drug_306	-584	-674	564	-682	-769	-781
drug_307	-764.5	-944.5	761	-929.5	-868.5	519
drug_308	-922	-560	-602.5	-505.5	-731	-858.5
drug_309	-584	-674	564	-682	-796	-781
drug_31	744	719	622	690.5	987	1075
drug_310	-584	-674	564	-682	-796	-781
drug_311	-584	-674	564	-682	-772	-781
drug_312	-584	-674	564	-682	-862	-781
drug_313	-999	-817	-859.5	-573.5	-778.5	-705.5
drug_314	-584	-674	564	-682	-840.5	-781
drug_315	-584	-674	564	-682	-730.5	-781
drug_316	-584	-674	564	-682	-891.5	-781
drug_317	-999	-817	-859.5	-573.5	-675.5	-705.5
drug_318	-584	-674	564	-682	-769	-781
drug_319	-764.5	-944.5	761	-929.5	-1120.5	519
drug_32	-546.5	223.5	-725	226	438.5	-703
drug_320	-922	561.5	-576.5	-516.5	613.5	776.5
drug_321	951.5	841.5	499.5	813	866.5	729.5
drug_322	-584	-674	564	-682	-706	-781
drug_323	835	488	364.5	-610.5	587	-619.5
drug_324	835	488	364.5	-610.5	656	-619.5
drug_325	951.5	841.5	499.5	813	876	729.5
drug_326	951.5	841.5	499.5	813	855	729.5
drug_327	835	488	364.5	-610.5	587	-619.5
drug_328	835	488	364.5	-610.5	522.5	-619.5
drug_329	-867	-466	-356.5	-492.5	-457	-730.5
drug_33	627.5	365.5	487	408	691.5	726
drug_330	-867	-466	-356.5	-492.5	382	-730.5
drug_331	812.5	852.5	950.5	827	952.5	829.5
drug_332	-867	-466	-356.5	-492.5	-454.5	-730.5
drug_333	835	488	364.5	-610.5	587	-619.5
drug_334	951.5	841.5	499.5	813	885	729.5
drug_335	951.5	841.5	499.5	813	855	729.5
drug_336	-584	-674	564	-682	-840.5	-781
drug_337	835	488	364.5	-610.5	600	-619.5
drug_338	951.5	841.5	499.5	813	924	729.5
drug_339	951.5	841.5	499.5	813	945	729.5
drug_34	744	719	622	690.5	973	1075
drug_340	951.5	841.5	499.5	813	866.5	729.5
drug_341	951.5	841.5	499.5	813	842	729.5
drug_342	-584	-674	564	-682	-814.5	-781
drug_343	951.5	841.5	499.5	813	909	729.5
drug_344	835	488	364.5	-610.5	600	-619.5
drug_345	951.5	841.5	499.5	813	845	729.5
drug_346	951.5	841.5	499.5	813	954	729.5
drug_347	-922	561.5	-576.5	-516.5	701.5	776.5
drug_348	951.5	841.5	499.5	813	803	729.5
drug_349	-922	582	392	-787	-721.5	-837
drug_35	627.5	365.5	487	408	684	726
drug_350	-999	880.5	-620	-1035.5	-874.5	-642
drug_351	-1040.5	-517.5	-405.5	-527.5	-717.5	-872.5
drug_352	-1040.5	-517.5	-405.5	-527.5	-621	-872.5
drug_353	-922	582	392	-787	-595.5	-837
drug_354	-999	880.5	-620	-1035.5	889.5	-642
drug_355	-922	582	392	-787	-631.5	-837
drug_356	-1058.5	-770.5	-637	-596	-689	-737
drug_357	-999	880.5	-620	-1035.5	-934	-642
drug_358	-999	880.5	-620	-1035.5	881.5	-642
drug_359	-999	880.5	-620	-1035.5	-784.5	-642
drug_36	627.5	365.5	487	408	705	726
drug_360	-764.5	-944.5	761	-929.5	-1096.5	519
drug_361	-999	880.5	-620	-1035.5	-883	-642
drug_362	-922	582	392	-787	-690	-837
drug_363	-1058.5	-770.5	-637	-596	-738	-737
drug_364	-922	582	392	-787	-758	-837
