ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	-530.5	-792	-838	-869	-792.5	-303
Acetylsalicylic_acid	-530.5	-792	-838	-869	-870.5	-303
Alprenolol	-530.5	-792	-838	-869	-862	-303
Amiloride	-530.5	-792	-838	-869	-663.5	-303
Amlodipine	-530.5	-792	-838	-869	-768.5	-303
Atenolol	-530.5	-792	-838	-869	-862	-303
Atorvastatin	-787	-733	-897	-928	-624	-362
Benazepril	-530.5	-792	-838	-869	-768.5	-303
Bendroflumethiazide	-530.5	-792	-838	-869	-719.5	-303
Betaxolol	-530.5	-792	-838	-869	-813	-303
Bezafibrate	-530.5	-792	-838	-869	-870.5	-303
Bisoprolol	-530.5	-792	-838	-869	-663.5	-303
Bumetanide	-530.5	-792	-838	-869	-712.5	-303
Canrenoic_acid	-530.5	-792	-838	-869	-830.5	-303
Captopril	-530.5	-792	-838	-869	-768.5	-303
Carteolol	-372	-601.5	-719.5	842	-581.5	-597.5
Carvedilol	-530.5	-792	-838	-869	-712.5	-303
Cerivastatin	-530.5	-792	-838	-869	-664.5	-303
Chlorhexidine	881	993	-363.5	902	863.5	-414.5
Chlorthalidone	-530.5	-792	-838	-869	-768.5	-303
Cilnidipine	-813	-1058.5	-556.5	-1023.5	-1032	575.5
Cilostazol	-530.5	-792	-838	-869	-768.5	-303
Clofibrate	-530.5	-792	-838	-869	-768.5	-303
Clopidogrel	-530.5	-792	-838	-869	-862	-303
Cyclopenthiazide	-530.5	-792	-838	-869	-862	-303
Digoxin	-530.5	-792	-838	-869	-768.5	-303
Dipyridamole	-530.5	-792	-838	-869	-737	-303
Dobutamine	-530.5	-792	-838	-869	-737	-303
Dopamine	-530.5	-792	-838	-869	-803	-303
Enalapril	-530.5	-792	-838	-869	-737	-303
Eprosartan	-530.5	-792	-838	-869	-862	-303
Esmolol	-530.5	-792	-838	-869	-696	-303
Etacrynic_acid	-530.5	-792	-838	-869	-768.5	-303
Etilefrine	-530.5	-792	-838	-869	-708	-303
Ezetimibe	-412	-672.5	-718.5	842	-1034.5	269
Felodipine	-530.5	-792	-838	-869	-813	-303
Fenofibrate	-530.5	-792	-838	-869	-830.5	-303
Fenoldopam	-530.5	-792	-838	-869	-768.5	-303
Gemfibrozil	-530.5	-792	-838	-869	-719.5	-303
Hydroflumethiazide	-530.5	-792	-838	-869	-862	-303
Iloprost	-735	-964.5	-1041.5	842	-969	-543.5
Indapamide	-649	-673.5	-603.5	-987.5	-531.5	269
Irbesartan	-530.5	-792	-838	-869	-813	-303
Isradipine	-530.5	-792	-838	-869	-768.5	-303
Labetalol	-530.5	-792	-838	-869	-768.5	-303
Losartan	-530.5	-792	-838	-869	-737	-303
Lovastatin	-530.5	-792	-838	-869	-719.5	-303
Menadione	-530.5	-792	-838	-869	-862	-303
Mephentermine	-530.5	-792	-838	-869	-862	-303
Metolazone	-787	-733	-897	-928	-578.5	-362
Metoprolol	-530.5	-792	-838	-869	-768.5	-303
Midodrine	-530.5	-792	-838	-869	-888	-303
Milrinone	-791	-1020.5	-1096.5	651.5	-1038.5	-168.5
Moexipril	-792.5	-1022	-1097.5	-994.5	-1040.5	-630.5
Nadolol	-530.5	-792	-838	-869	-813	-303
Niacin	-530.5	-792	-838	-869	-712.5	-303
Nicardipine	-530.5	-792	-838	-869	-768.5	-303
Nicotinyl_alcohol	-530.5	-792	-838	-869	-830.5	-303
Nifedipine	-530.5	-792	-838	-869	-768.5	-303
Nimodipine	-530.5	-792	-838	-869	-768.5	-303
Nitrendipine	-530.5	-792	-838	-869	-862	-303
Nitrofural	-530.5	-792	-838	-869	-737	-303
Olmesartan	-530.5	-792	-838	-869	-768.5	-303
Ouabain	-530.5	-792	-838	-869	-737	-303
Oxprenolol	-530.5	-792	-838	-869	-862	-303
Perindopril	-530.5	-792	-838	-869	-862	-303
Pindolol	-530.5	-792	-838	-869	-768.5	-303
Piretanide	-530.5	-792	-838	-869	-862	-303
Practolol	-530.5	-792	-838	-869	-862	-303
Pravastatin	296	-680.5	-399.5	783	-636	-378.5
Probucol	-530.5	-792	-838	-869	-870.5	-303
Propranolol	415	-680.5	902	-825.5	604.5	328
Quinapril	-530.5	-792	-838	-869	-830.5	-303
Quinethazone	-530.5	-792	-838	-869	-712.5	-303
Ramipril	-530.5	-792	-838	-869	-663.5	-303
Rivaroxaban	-530.5	-792	-838	-869	-712.5	-303
Rosuvastatin	-530.5	-792	-838	-869	-803	-303
Simvastatin	-530.5	-792	-838	-869	-737	-303
Sotalol	-530.5	-792	-838	-869	-862	-303
Spironolactone	-530.5	-792	-838	-869	-862	-303
Synephrine	-530.5	-792	-838	-869	-712.5	-303
Telmisartan	-530.5	-792	-838	-869	-737	-303
Ticlopidine	-530.5	-792	-838	-869	-919.5	-303
Tienilic_acid	-530.5	-792	-838	-869	-712.5	-303
Timolol	-530.5	-792	-838	-869	-663.5	-303
Torasemide	-530.5	-792	-838	-869	-813	-303
Treprostinil	-530.5	-792	-838	-869	-813	-303
Triamterene	-530.5	-792	-838	-869	-813	-303
Valsartan	-530.5	-792	-838	-869	-737	-303
Warfarin	-530.5	-792	-838	-869	-830.5	-303
drug_1	766	-1000.5	592.5	-581.5	-1002.5	804.5
drug_10	-602.5	-1000.5	538.5	-581.5	-1031	750.5
drug_100	766	878	787	668	673	-450.5
drug_101	766	878	787	668	1033	-450.5
drug_102	766	878	787	668	934.5	-450.5
drug_103	766	878	787	668	723	-466
drug_104	766	878	787	668	1033	-466
drug_105	766	878	787	668	903.5	-466
drug_106	766	878	787	668	859	-450.5
drug_107	766	878	787	668	826	-450.5
drug_108	766	878	787	668	987.5	-466
drug_109	766	878	787	668	852.5	-450.5
drug_11	766	-947	592.5	-549	-949.5	804.5
drug_110	533.5	645.5	554.5	435.5	632	-797.5
drug_111	533.5	645.5	-597.5	-627.5	702.5	676.5
drug_112	533.5	645.5	-597.5	-627.5	654	676.5
drug_113	533.5	645.5	-597.5	-627.5	495.5	676.5
drug_114	533.5	645.5	-597.5	-627.5	702.5	676.5
drug_115	533.5	645.5	-597.5	-627.5	834.5	676.5
drug_116	533.5	645.5	554.5	435.5	502.5	-797.5
drug_117	533.5	645.5	-597.5	-627.5	495.5	676.5
drug_118	533.5	645.5	-597.5	-627.5	691	676.5
drug_119	533.5	645.5	-597.5	-627.5	-542.5	676.5
drug_12	766	-947	592.5	-549	-949.5	804.5
drug_120	533.5	645.5	-597.5	-627.5	576.5	676.5
drug_121	533.5	645.5	554.5	435.5	783.5	-797.5
drug_122	533.5	645.5	-597.5	-627.5	405	676.5
drug_123	533.5	645.5	-597.5	-627.5	-524	676.5
drug_124	533.5	645.5	-597.5	-627.5	613.5	676.5
drug_125	533.5	645.5	-597.5	-627.5	453.5	676.5
drug_126	533.5	645.5	-597.5	-627.5	702.5	676.5
drug_127	533.5	645.5	554.5	435.5	573	-797.5
drug_128	533.5	645.5	554.5	435.5	839.5	-797.5
drug_129	533.5	645.5	554.5	435.5	576.5	-797.5
drug_13	766	-1000.5	592.5	-581.5	-1044	804.5
drug_130	533.5	645.5	-597.5	-627.5	834.5	676.5
drug_131	533.5	645.5	-597.5	-627.5	632	676.5
drug_132	533.5	645.5	554.5	435.5	573	-797.5
drug_133	533.5	645.5	-597.5	-627.5	702.5	676.5
drug_134	533.5	645.5	554.5	435.5	702.5	-797.5
drug_135	533.5	645.5	-597.5	-627.5	794.5	676.5
drug_136	533.5	645.5	-597.5	-627.5	783.5	676.5
drug_137	533.5	645.5	-597.5	-627.5	425	676.5
drug_138	533.5	645.5	554.5	435.5	702.5	-797.5
drug_139	533.5	645.5	-597.5	-627.5	613.5	676.5
drug_14	766	-947	592.5	-549	-988.5	804.5
drug_140	533.5	645.5	554.5	435.5	702.5	-797.5
drug_141	533.5	645.5	-597.5	-627.5	632	676.5
drug_142	766	878	787	668	805	-958
drug_143	766	878	787	668	934.5	-647.5
drug_144	766	878	787	668	987.5	-797.5
drug_145	766	878	-801	668	750.5	-888
drug_146	766	878	787	668	987.5	-797.5
drug_147	766	878	787	668	934.5	-958
drug_148	766	878	787	668	1033	-958
drug_149	766	878	787	668	852.5	-647.5
drug_15	-602.5	-1000.5	538.5	-581.5	-985	750.5
drug_150	766	878	-801	668	903.5	-888
drug_151	766	878	-801	668	805	-888
drug_152	766	878	787	668	1125	-647.5
drug_153	766	878	787	668	805	-647.5
drug_154	766	878	787	668	805	-647.5
drug_155	766	878	-801	668	750.5	-888
drug_156	766	878	-801	668	805	-888
drug_157	766	878	-801	668	934.5	-888
drug_158	766	878	-801	668	1033	-888
drug_159	766	878	787	668	934.5	-797.5
drug_16	766	-947	592.5	-549	-968	804.5
drug_160	766	878	-801	668	826	-888
drug_161	766	878	787	668	934.5	-647.5
drug_162	766	878	-801	668	1125	-888
drug_163	766	878	787	668	934.5	-958
drug_164	766	878	787	668	880	-647.5
drug_165	766	878	-801	668	987.5	-888
drug_166	766	878	-801	668	987.5	-888
drug_167	766	878	-801	668	903.5	-888
drug_168	766	878	787	668	673	-958
drug_169	766	878	-801	668	934.5	-888
drug_17	766	-947	592.5	-549	-968	804.5
drug_170	766	878	-801	668	1079.5	-888
drug_171	-854.5	-689.5	538.5	-759.5	641	750.5
drug_172	-879.5	-766.5	538.5	-814.5	-648	750.5
drug_173	-798	-678	538.5	-766	-819.5	750.5
drug_174	-861	-679	538.5	-767	710.5	750.5
drug_175	-879.5	-766.5	538.5	-814.5	-778.5	750.5
drug_176	-854.5	-689.5	538.5	-759.5	-738.5	750.5
drug_177	-899	-697	538.5	-834	-808	750.5
drug_178	-813	-713	538.5	-782	641	750.5
drug_179	-879.5	-766.5	538.5	-814.5	-778.5	750.5
drug_18	-536	-947	538.5	-549	-949.5	750.5
