ad	density	cc	spath	eigencentr	betwcentr
10127622	1221	574	730	582	617	-1039
10184653	-1047	-1210	-1261	-1088	-1127.5	-1008
10607	1214	812	862	1257.5	739	1227
119607	-1113	704.5	736.5	710.5	771.5	-1145.5
119828	-1013.5	709	751	202.5	-913	647
123631	-1200.5	-828.5	-1164	-710	1031	-991
12560	-1266	1172.5	-692	-1303	-1159	-1266
135398744	-1108.5	-705.5	745.5	-711	-741	-1220
13791	-1322.5	-1323.5	-1346.5	-1257	-1360	-1328.5
149096	-1179.5	741.5	723	-721	-707	1230
16231	1224	1258	1270	1225.5	1325.5	1267
176870	-1265.5	-1028.5	-732	-990	-1109	-1156
19493	-1240.5	-1128.5	-761	-692	-1110	-1083
2153	1119.5	676.5	642	1093	752	1013
2244	1090.5	-678	-701	-646	658	-638
2520	-1280.5	-1201.5	-1327	-713	-1322	-1319
2540	1276	1218	835	1205	943	1095
2554	-1098	-987	-1131.5	689.5	-1031	1195
2581	-926	-598	-658	-487	-590	-961
2724385	1046	1023	988	971	1215	-982
2733526	-1262	1257.5	-687	-1272	-1276	1320
2796	-319.5	528	-517.5	633	-462	978
2907	1218.5	805.5	809	1192	772	1195
3016	-1045.5	-1176.5	-660	-1068	-1036.5	-971
3019	1213.5	1235	699	715.5	1202	1291
3034010	1007.5	-627	-651	783.5	-1010	-1215
3059	-1162.5	-1132.5	-1148	-1257	1227	1239.5
31307	822	-944	-1160.5	814.5	-1087.5	-1165.5
3182	-637.5	-684.5	-873	-752	-931	-1174
3308	-1070	1012	1216	938	1160	1271
3394	932.5	968.5	1047.5	947.5	1137	991.5
3463	202	335	-493	301	571.5	664
36462	-1285.5	-1285.5	-1204	-1288	-1305	-1231
3690	1202	833	848.5	752.5	783.5	1245.5
3715	-948.5	-1133.5	-672	-1009	-1132.5	952
3825	428.5	371.5	-650.5	332.5	-594.5	-781.5
3869	-1151	-522	509	-1115	-485.5	711
39147	-1228	-867	686	-605	-1048.5	-1310
392622	-1197	-1268	-1190	-1225	1307	1252
39912	-1265	-1321	-1200	-1271.5	-1307	-1282
4030	1281	1287	1272	-1313	-1280	1306
4037	-526.5	-663.5	-814.5	705	-831.5	-750.5
4044	-1318	-1340	-1330	-1336	-1343	-1334
4173	1336.5	1339.5	1257	1335	1318	1266
41774	-1234	-1248	-1151	-1221.5	-1082	-1156
41867	-1142	-933	-587	-1120.5	-848	1224
42611257	1250	774	-653	451	719	1043
4369359	1167	-773	772	950.5	-1048	-1169
4409	836.5	776.5	-870	-827	-1076	-1270
44093	-1222	545	-822	-1227	793.5	-1143
441243	-546	498	353	-594	-618	605
441401	-843.5	-1057.5	-1111	-934.5	-620.5	-851
444795	-1152.5	1097.5	1317	946	1142	1212
445643	-1069	-1207	-1260	-1037	-1214	-1063
449171	1023	-790	-836	-980	-789	1246
4497	-557	-528	-552	713.5	-124.5	-1204
451668	-633	-573	-742	740	-719	-760
4583	-526.5	-663.5	-645.5	634	731	-776.5
4614	-1278.5	-1262.5	-750	-1157	357	-1279
4680	-1218	-721	823	-1294	-742	1327
4740	-1058	-1198	-1216	-1095	-1094	-1060
4781	1233	1277	1282	1254	1353	1093
4814	1044	1015	-923	1157.5	-746	-852
4848	-823	-573	-605	-470	-589	710.5
4913	-1229	-1241	-910	-1268	1204	1207
5070	-775.5	-897.5	-1031	-759.5	-917	1207
5073	-1240	-1272	-732	-1285	-1285	1289
5090	665	-677.5	197.5	119.5	-702.5	-1183.5
5280805	-916	-385	-472.5	524	-405	-1239.5
5280961	-1123	-804	-700	-764	-1027	-1172
5282379	1144.5	703.5	618	938	669	-1224
5330286	-1120	929.5	804.5	-1188	-763	-1131
5405	-1262.5	-1297.5	-860.5	-1299.5	-1311	1178.5
54585	-1116.5	621.5	523	-667	-1228	-1174.5
5509	-1030	-1179	-1210	-1085.5	-1112.5	-1019
55245	-1041	-640	-666	-1050	-545.5	-1038
5591	1146	-644.5	-571	-1220	-500	-1099
5593	-610.5	-847.5	-897.5	-723.5	895.5	-642.5
57363	-1159.5	-1102.5	-1010	-1172	-1119	-1212.5
5743	-1062	-1071	-1129	-1027	1095.5	-1065
5770	-1142	-682	-303	582	-643	-363
5832	-1210	-1277	-643	649	-1294	-1236
5994	-1343	-1366	-1352	-1350	-1372	-1336
60606	-1276	-1273	-765	-1289.5	1208	-1244
60726	-899	-982	996.5	-965.5	-937	-931
60750	-1104.5	613	-378	-195	688	753
64143	1170.5	662.5	677	-556	-620	1262
6741	-1361	-1360	-1350	-1346	-1371	-1366
77999	-1217.5	621	418	-1132.5	-735	-1249
84029	-1240.5	-1156.5	1204	-1292.5	1306	1294
89594	-702	-710	-831	-773.5	-786	-1313
9875401	1230.5	1271.5	789	770	1330	1271
9926791	769	-670	-727	-665	-667	-1043
Acebutolol	-1109	750.5	744.5	765.5	778	-1240
Acetylsalicylic_acid	1090.5	-678	-701	-646	658	-638
Alprenolol	-1112.5	-681.5	-766.5	874	-695	-1270
Amiloride	1224	1258	1270	1225.5	1326.5	1267
Amlodipine	-1288.5	-1028.5	-721	-1289	-813	-892
Atenolol	-834	554.5	573.5	-587.5	536	1018.5
Atorvastatin	832	-692	-755	-785	-788	-1230
