ad	density	cc	spath	eigencentr	betwcentr
10127622	-327.5	-755.5	-868	-603.5	-700	-836.5
10184653	1143.5	718.5	-521	-627	674	-1206
10607	-1326	-1336	-1016	-1187	-940	-1370
119607	-1066	1087.5	1038	1082.5	976.5	954.5
119828	-717.5	-789.5	-804.5	404.5	-806	682.5
123631	-717.5	948	895	1085.5	1144.5	943.5
12560	-780	-1036	-868	935.5	-948.5	795.5
135398744	674.5	454.5	-615	417.5	388.5	-1210.5
13791	-686.5	-793.5	-808	900.5	-860	-1132.5
149096	-1323	-1344	-1032	917	1333.5	-700.5
16231	-793	-809	-945.5	-866.5	562.5	-1038
176870	-818	724	-905	-385.5	-454.5	-1080.5
19493	446.5	-474.5	804.5	-493.5	770	1013.5
2153	1354	1363	1042	-1227	1234	738
2244	406.5	675.5	796.5	490.5	588.5	-979
2520	-726	-990	-868	-979.5	636.5	-1106.5
2540	-646.5	-401.5	-940	-305.5	-397.5	1210
2554	1201.5	777.5	-918	590	526	-1069
2581	625	-755.5	-868	-603.5	-677	-836.5
2724385	-1335	-1358	-961	-709.5	-1348.5	-641
2733526	841	953	906	948.5	1142.5	811.5
2796	875	-514	-591.5	-460	-607	1024
2907	-1247	-1262	-1017	658.5	-1295.5	-715
3016	-1016.5	922.5	-927.5	-1174.5	592.5	-1225.5
3019	-940.5	1089	1040	1084.5	1017.5	944.5
3034010	1281	-1254	892	863	1351	975
3059	693	896	863	915.5	476.5	-1010.5
31307	884	-1054	-1026.5	-935	-1067.5	-1064
3182	-908.5	951.5	-917	949.5	1139.5	950.5
3308	-1286	-1282	-912	682	-704	965
3394	605	903	851.5	502	1114	-969.5
3463	638.5	910.5	858.5	908	665	-983.5
36462	-1327	-1321	-997	685.5	-1327.5	-646
3690	-1154.5	720	-1007	-1127.5	743	-1342
3715	622.5	881.5	-655	922.5	998.5	-717.5
3825	-1177	-996	-827	-487	-823.5	981.5
3869	-691	-528	815.5	-372	740	-1048
39147	605	903	-868	-603.5	988	-836.5
392622	-953.5	-1096.5	-725	-596	-845.5	-1230.5
39912	983.5	-338.5	-815	-871	596.5	-1128
4030	-698.5	-780.5	-804.5	423.5	-807	791.5
4037	711.5	949.5	889	945.5	862.5	751.5
4044	-649.5	-738.5	-829.5	-743	-288.5	1098.5
4173	1097.5	-856.5	902	908	1329	1217
41774	975	1105	851.5	750.5	712	1055
41867	-1264.5	-1278.5	-1014	-1299	-837.5	-1349.5
42611257	1059.5	1143.5	881.5	-597.5	1173.5	-1184
4369359	-606	-916	-927.5	887	966.5	-943
4409	1354.5	1327.5	1004	689	-727.5	728
44093	823	1071	1021.5	-1035	882	926
441243	-882.5	-740.5	-562	472.5	-749.5	785.5
441401	-1276	-960	-939	-612	-685	-615.5
444795	-654	418	-765	495.5	463.5	-1205
445643	-1161.5	-962.5	880	590	-860.5	937
449171	633	866	-868	927.5	-700	-836.5
4497	705	744	830	-842.5	-836.5	-682
451668	-690.5	682	792.5	-1011	731.5	1022.5
4583	-1211	1211.5	-1031	-1164.5	-821	-1341
4614	1138	1195	-1002	-917.5	742	-1071.5
4680	-1106	-687	-935	-1117.5	-332	-1294
4740	-1019.5	-976.5	896	904	1327	1030
4781	-711	-880	-825	-716.5	756	1183
4814	-1166.5	-1206.5	888	629.5	-1271.5	902.5
4848	1129	741	-902	-1011.5	328	-689
4913	1132.5	1194.5	851.5	-418.5	1192.5	-666.5
5070	-1268	-1274	-923	478.5	-746	689.5
5073	843	961	912	982.5	492.5	953.5
5090	-1198	-1133	907	839	-1024	1324
5280805	1081	1132	-950	-990.5	-1081.5	-1051.5
5280961	-554.5	-193.5	-822.5	-616.5	-321	1080.5
5282379	1208	1205	865	529	-713	-1301.5
5330286	1008.5	1112.5	-911	545.5	609	-1166.5
5405	1148.5	1148.5	392	-646	-981.5	-780.5
54585	-823.5	-1015.5	-948	-910	764	-1040.5
5509	677.5	922.5	-786	938.5	-733.5	-1185.5
55245	977	-103.5	845	671.5	82.5	1212.5
5591	-1198.5	-722.5	-1021	-678	-655.5	-1335
5593	1031	1096	-793	707	1220.5	-1254
57363	1075.5	1121.5	900	722	-240.5	-1130.5
5743	-327.5	-755.5	-868	-603.5	-715	-836.5
5770	-1308	-1315	-1033	-1359.5	-782.5	-1367.5
5832	-1004.5	-1150.5	-633.5	492.5	-1186	715.5
5994	-1085.5	-1209.5	-934	-623.5	-885	564.5
60606	-909.5	-605.5	-927.5	-539.5	-791	-1182.5
60726	-1199.5	-1216.5	-906	-1291	-477.5	-964
60750	-1004.5	1091	1005	1081.5	-805	942.5
64143	629	-404.5	804.5	759.5	-227	1155.5
6741	1371	1342	893	717	1365	538
77999	-1140	-490	875	610.5	-195	998.5
84029	-921.5	1089	911	1086.5	1007.5	947.5
89594	-1153.5	922.5	-813	926.5	974.5	-599
9875401	1359.5	1233.5	909.5	-1258	1243.5	-743
9926791	-1180.5	-1125.5	-937	-633	-682.5	-622
Acebutolol	926	-880	-919	1065.5	-724.5	1198.5
Acetylsalicylic_acid	406.5	675.5	796.5	490.5	-469.5	-979
Alprenolol	-1205	1123.5	884	1187.5	725	1100.5
Amiloride	-793	-809	-945.5	-866.5	563.5	-1038
Amlodipine	1158	1184	802.5	507	770.5	-921.5
Atenolol	559.5	663.5	835.5	688	271.5	-1136
Atorvastatin	-764	-1003	1002	946.5	513.5	952.5
Benazepril	-1309	-1301	-986	1148.5	-827	-662.5
Bendroflumethiazide	1070.5	1161.5	851.5	-389.5	1207.5	1004.5
Betaxolol	1210.5	1214.5	864	-1179	1183	-767.5
Bezafibrate	-658	-664	-606.5	710.5	-683.5	-1039.5
Bisoprolol	-1115.5	-1109.5	-914.5	1104.5	-872	1199.5
Bumetanide	-1153.5	-715.5	-932	1106.5	-479	982.5
Canrenoic_acid	-726	-990	-868	-979.5	543.5	-1106.5
Captopril	823	1071	1021.5	-1035	1038	926
Carteolol	1127	1117	-1034	-991.5	1237	-1105.5
Carvedilol	1114	713	813.5	518.5	-578	-722.5
Cerivastatin	627	480	-590	486.5	969.5	-828.5
Chlorhexidine	1143	-996.5	-947	-889.5	690	517
Chlorthalidone	1134	1196	851.5	-329.5	1217.5	-709.5
Cilnidipine	-1265	-1257	-909	763	-752	-1324.5
Cilostazol	-1353	-1312	-996	-617.5	-1322	-689.5
Clofibrate	875	-514	-591.5	-460	-607	1024
Clopidogrel	-909.5	-605.5	-927.5	-539.5	-785	-1182.5
Cyclopenthiazide	663.5	929.5	-655	-541	1010	-690.5
DB00162	1042	-952.5	-931	-438.5	-760.5	-572
DB00175	-649	-962	-907.5	-639	-654.5	-1012
DB00252	-1102	887.5	-904	-1138.5	508.5	-1258
DB00465	1027.5	-980	-943	1189	696	-1036.5
DB00472	-1092	-682	-903	-805	-605.5	-825
DB00502	-703.5	-784.5	-826	424.5	-787	812.5
DB00586	1190.5	570.5	-916	-598.5	-176.5	-1172
DB00717	1087	1142	-959	-683.5	562.5	-971.5
DB00762	-1238.5	-1268.5	-942	1271.5	-889	1239.5
DB00788	-1041	-1048	-941	-1220	1119.5	810.5
DB00867	677.5	922.5	899	899.5	-785	788.5
DB00997	-1077.5	-1096.5	-910	-1238	-725.5	-1214.5
DB01050	-1138.5	866	-920	902.5	-668	706.5
DB01132	663.5	929.5	-938	920.5	-589	-962.5
DB01148	-849.5	-787.5	-653	656.5	-784	602.5
DB08911	993	-1044	-1010	-923	-912.5	-1078.5
Digoxin	-1335	-1358	-961	-709.5	-1348.5	-641
Dipyridamole	-751	-1017	-868	414.5	-961	-1083.5
Dobutamine	-1042.5	-1163.5	1043	1094.5	1149.5	959.5
Dopamine	-403.5	-655.5	819.5	-808.5	677	712
drug_1	406.5	675.5	-666.5	695.5	783	-935
drug_10	828	-649	606	484	-865	850.5
drug_100	-549	675.5	606	-761	-962	-669
drug_101	406.5	675.5	606	695.5	-556.5	-534.5
drug_102	406.5	-755.5	-868	695.5	-856.5	-836.5
drug_103	-860	-1054	-1026.5	-935	-1067.5	-1064
drug_104	-711	-880	606	-870	-1021.5	-723.5
drug_105	406.5	-755.5	-868	695.5	909	-836.5
drug_106	406.5	675.5	-714.5	695.5	-817	458.5
drug_107	-498	675.5	606	-755.5	783	-480.5
drug_108	406.5	675.5	-714.5	695.5	909	458.5
drug_109	-498	675.5	606	-755.5	909	-480.5
drug_11	776.5	877.5	606	944	-816	791.5
drug_110	-413.5	675.5	-663.5	-741	909	-468
drug_111	-606	-916	-633.5	695.5	-1110	-618
drug_112	-606	-916	-633.5	695.5	-1128	-618
drug_113	-413.5	675.5	-663.5	-741	-948.5	-468
drug_114	-756.5	-817.5	606	695.5	-1031	-748
drug_115	-711	-880	606	695.5	-1190	-528
drug_116	-711	-880	606	695.5	-815	-528
drug_117	-699	675.5	606	695.5	-1176	-678
drug_118	-635	675.5	606	-875	-976	-716
drug_119	-711	-880	606	695.5	-1010.5	-528
drug_12	776.5	877.5	606	944	608.5	-888
drug_120	-606	-916	-633.5	695.5	-1128	-618
drug_121	-606	-916	-633.5	695.5	1071	-618
drug_122	-699	675.5	606	695.5	-995.5	-678
drug_123	-413.5	675.5	-663.5	-741	783	-468
drug_124	-606	-916	-633.5	695.5	-948.5	-618
drug_125	-711	-880	606	695.5	-1190	-528
drug_126	-793	-809	606	-775.5	-1048	-880
drug_127	-635	675.5	606	-875	-976	-716
drug_128	-413.5	675.5	-663.5	-741	783	-468
drug_129	-606	-916	-633.5	695.5	1071	-618
drug_13	1184	814	957	816	736.5	1251.5
drug_130	-606	-916	-633.5	695.5	-1128	-618
drug_131	-798.5	-956.5	606	-737.5	-1050.5	-773.5
drug_132	-763	-969	606	695.5	-1039.5	-652.5
drug_133	-428	-685	-818.5	-714	-800.5	-693
drug_134	-763	-969	606	695.5	-1039.5	-652.5
drug_135	406.5	-755.5	-868	695.5	783	-836.5
drug_136	-798.5	-956.5	606	-737.5	-899.5	-773.5
drug_137	-793	-809	606	-775.5	909	-880
drug_138	-711	-880	606	695.5	-858.5	-528
drug_139	-606	-916	-633.5	695.5	-930.5	-618
drug_14	1210	-715.5	-957.5	-1222.5	-760.5	1266.5
drug_140	-798.5	-956.5	606	-737.5	-1052.5	-773.5
drug_141	-606	-916	-633.5	695.5	-930.5	-618
drug_142	732.5	-586	606	-780.5	-513.5	850.5
drug_143	-902	-1077	-1012.5	-979	525.5	-1087
drug_144	645.5	-685	-702.5	892	483.5	-953
drug_145	645.5	-685	-702.5	892	-719	-953
drug_146	645.5	-576	606	892	-478.5	-985.5
drug_147	-664	-649	606	892	-622.5	-980.5
drug_148	-679	-862	606	-860.5	-970	677.5
drug_149	645.5	-685	-702.5	892	-536.5	-953
drug_15	1132.5	1208.5	957	1276	824.5	1192.5
drug_150	-902	-1077	-1012.5	-979	528	-1087
drug_151	645.5	-685	-702.5	892	-539.5	-953
drug_152	645.5	-813.5	606	892	-919	-948.5
drug_153	645.5	-685	-702.5	892	-539.5	-953
drug_154	732.5	-719.5	606	-895.5	-680.5	850.5
drug_155	-888.5	-1072.5	-1019	-964.5	-658	-1092.5
drug_156	645.5	-704	-698	892	507	-994.5
