ad	density	cc	spath	eigencentr	betwcentr
10127622	-522	-499	-786	-566	-1031	1121
10184653	-839	-960	-1093	-899	-946	760.5
10607	-1207	931.5	-804	-690	-790	1197.5
119607	-680	-843	-1023	-828	-914	762.5
119828	-897	-979	-540	-846.5	-1077	-1117
123631	888.5	1047.5	1070.5	957.5	996.5	823.5
12560	-129	-717	865.5	291.5	832	203.5
135398744	-815	-720	-696	-784	-710	-696
13791	496.5	-675.5	-876	457.5	975	1205
149096	-806.5	-760.5	-803.5	-923.5	-846	1224
16231	424	-220.5	-610	309.5	-382	-1041
176870	-902	-696	205	84	-679	1231
19493	-1188.5	-678.5	-1072	-1029	925	-1291
2153	600	515	-484	-298	-483	1133
2244	-872.5	-957.5	992.5	-951	-1187	1001.5
2520	519	-886.5	-1233	571.5	750	1181.5
2540	-1173.5	-1010.5	-845	1113	-904	745
2554	1091	1096	1102	1106	1117	1179
2581	1166.5	1305.5	1379	1278	1302	1313
2724385	664.5	-559	-661	667	-574	-1202
2733526	-775	856.5	-924	-900.5	-839	819
2796	-1118	-1135	-1258	-1109.5	-1178	-1130
2907	1052.5	1113.5	749.5	694.5	1077	1275
3016	642	-1170.5	-1195.5	-704.5	-1241	755
3019	-856.5	-692.5	245	-745	-677	-1162
3034010	-1155	-556	-1291	-1016.5	-1206	1029
3059	-447.5	-917.5	-660	-662.5	-642.5	1098
31307	-992	-1056	1061.5	-1149	-1190	1109
3182	-1273	-699	-751	-621	-694	-1271
3308	408	444	-424.5	-766.5	373	-645
3394	-1157	-760	-460	-58	-946	1286
3463	-925.5	-864.5	-980	-897	-776	-826
36462	-672.5	-1194.5	-1289.5	-536.5	-1179	-588.5
3690	-808.5	-735.5	-860	-727	-733	1052
3715	774	-716	317	-722	-775	947
3825	1181	1127	1337.5	1174	1155	708
3869	-791	-792	-813	-771	420	618
39147	-705.5	-672.5	-718	-651	-116.5	1113
392622	864	1011	982.5	889.5	-856	651.5
39912	-726.5	-1215.5	-1204.5	-742.5	-1236	-762.5
4030	1176.5	1223.5	1338.5	1293.5	1261.5	1273.5
4037	-1176.5	-1138.5	-600	-665	-1253	-1281
4044	1077	547	476	1105	-884	1262
4173	-474.5	-910.5	-902.5	-523.5	-832	886
41774	-1153.5	-677.5	-1192	-556.5	-606	860
41867	-1166.5	-1217.5	-613	-904	-1241	-1211
