ad	density	cc	spath	eigencentr	betwcentr
10127622	-1082	-1167	-1089	-1147.5	-1087	1055
10184653	1269	-1118	925	-1183.5	963	1290
10607	1231.5	1239.5	1336	-1230	1295	1259
119607	967	951	908	-859.5	912	1070
119828	1275	1297	1307	1299.5	1314	1286
123631	-1272	-1307	-1304	-1306	-1317	-1267
12560	1096	1165	1190	1177.5	1277	1226
135398744	997.5	764.5	979	872	878	-468
13791	655	660	659	678	661	606
149096	1238	1184	889	1235	1093	-1230
16231	-1070	-1071	-989	-1074	-1132.5	-1055
176870	1119.5	1180.5	1298	1171	1304	-982
19493	-932.5	-1140.5	-1229.5	-1124.5	-1249.5	-952.5
2153	1190	907	980	1016	1080	469
2244	-1029	689	692	-818	689.5	-1022
2520	962.5	945.5	964	1045	1122	1154
2540	1244	745	1222	1247.5	746	1197
2554	-989.5	607	645	662	619	816
2581	-963.5	647	742	710	668	-1039
2724385	-1220	-1257	-706	-1255.5	-1264	-807
2733526	-1014	-878	-833	-927.5	-933	-1053
2796	1312	1213	1225	1216	1303	1325
2907	1354	1346	1342	1334	1335	1348
3016	-1294	-1317	-1351	-1321	-1302	-1323
3019	1360	1337	1338	1347	-1324	-1286
3034010	1014	894	953	931.5	947	655
3059	-1315.5	983	1156	1191	968	-1316
31307	-1005	-529	-1071	-544	-1053	-1025
3182	1158	745	1156	782	942	1343
3308	949.5	-819	-842	-856.5	-850	994
3394	-946.5	187	348	329.5	307	359
3463	1298.5	1335.5	1350	1326.5	1342	1332
36462	-1237.5	-791.5	-741	-1198	-961	-1228
3690	819	-730	-939	716.5	-760	1008
3715	905	658	649	703	-684	692
3825	-1195	-707	-862	-810.5	-1247	-1203
3869	-787	-860	1022	-852	-762.5	-841
39147	1200.5	-696	-696	-706	-695	912
392622	878	-349.5	-383	-826	-767	742
39912	1178.5	1273.5	1306	1250	1295	1305
4030	-1346	-1357	-1363	-1377	-1366	-1321
4037	-1247	-781	-954	-749	-863	-1193
4044	1005	703	692	731.5	740	1122
4173	583	826	892	819.5	670.5	679
41774	1067	1202	731	-677	1138	1078
41867	-977.5	-1034.5	-1115.5	-1030.5	-1135	-1069.5
42611257	1217	744	424	505	382	-1122
4369359	-881	-204	-208	-198	-83	-593
4409	-1276	-1291	-1305	-1287.5	-1293	-1201
44093	1245	1196	650	1222	975	1037
441243	1197	-726	-743	745	-779	1258
441401	1272	1162	-819	1264.5	687	1249
444795	1256	1254	1335	1290	1296	1317
445643	-1341	-1338	-1321	-1336	-1351	-1260
449171	-1328	1207.5	-1259	-1277	-1279	-1350
4497	-1019	-992	767	-1006	-1094.5	-1039
451668	-1271	-724	-1235	-1117	652	-648
4583	-1218	731.5	743	-1123	-735	-1093
4614	-1172	-1172	-862	-1151.5	-822	-699
4680	1104.5	1274.5	1266	1291	1299	1353
4740	1264	1279	1287	1287	1270	654
4781	1209	1243	1165	1263	1233	1152
4814	1341	1357	1339	1373	1310	1346
4848	-1137	-826	-1268	-816.5	-823	-689
4913	-1175	876.5	-848	915.5	740	714
5070	1304	1335	1310	1337.5	1267	1323
5073	1080	1046	981	1078.5	1114	874
5090	1092.5	1133.5	1168	1145	988	995
5280805	-744.5	-897.5	-1061	-940.5	-1005	-801
5280961	1154.5	1169.5	1118	600.5	1116	1298
5282379	-1181	936	932	943.5	924	914
5330286	1190	703	702	710.5	692	1160
5405	1122	1111	-920	1203.5	-1098	1113
54585	1056	754	786	858.5	761	1184
5509	1258.5	1278.5	1302	1262	1345	1297
55245	1361	1359	1353	1371	1336	1339
5591	1335	1321	732	1357	735	1330
5593	-1270	-1269	-1297	-1255	-1254	-1299
57363	1153	666	699	674	668	509
5743	-1052	886	-802	907	842	-653
5770	1313	1320	1308	1319	1321	1282
5832	-1231	680	642	686	686	-1252
5994	-1257.5	-1243.5	1021	762.5	-951	-1231
60606	1255.5	1235.5	1268	1238	1237	1227
60726	1160	-885	-869	-872	-874	1054
60750	1015	424.5	536	912	310	432
64143	-918	673	550	692.5	685	-657
6741	-1377	-1382	-1383	-1382	-1349	-1372
77999	1222	1124	1074	-655	717	1213
84029	1052	683	643	719	679	688
89594	-1098	-1061	-1020	-1057	-937	1065
9875401	486	264	164	265.5	132.5	663
9926791	-1331	-878	-865	-1271	-854	-1329
Acebutolol	1274	1169	783	1267	756	1233
Acetylsalicylic_acid	-1029	689	692	-818	688.5	-1022
Alprenolol	1371	1379	1376	1371	1378	1349
Amiloride	-1070	-1071	-989	-1074	-1133.5	-1055
Amlodipine	909	855	-906	875.5	-897	-1144
Atenolol	-1273	-1036	-1311	-758	-1269	752
Atorvastatin	-685	717	1141	-719	726	1168
Benazepril	-935.5	-1009.5	-1082.5	-1006.5	-1109	-1009.5
Bendroflumethiazide	1216	-772	-739	-859	-796	1141
Betaxolol	943	1133	1164	1105	1115	991
Bezafibrate	-1028.5	296	617	281	485	-1133
Bisoprolol	1199	710	1196	696.5	711	-1097
Bumetanide	-1035	-432	594	-530	-417	-597
Canrenoic_acid	-1317	-1308	-1295	-1309	1311	1319
Captopril	1245	1196	650	1222	975	1037
Carteolol	952	747	1083	833.5	770	889
Carvedilol	-1263	-899	-1293	-1291	-1268	1007
Cerivastatin	-1276	-1318	-1340	-1299	-1310	973
Chlorhexidine	-1361.5	-1359.5	-1365	-1337	-1366	-1335
Chlorthalidone	770.5	1021.5	1073.5	986.5	1111	867.5
Cilnidipine	1283	1010	1171	1174	1184	1300
Cilostazol	-1000	694	663	-760.5	671	-1018
Clofibrate	1312	1213	1225	1216	1303	1325
Clopidogrel	1255.5	1235.5	1268	1238	1237	1227
Cyclopenthiazide	1021	698	715	714	341	1216
DB00162	-1232	-1274	-1310	-1282	-1295	-1236
DB00175	1049	-873	-877	-871	-966	-872
DB00252	1215	1096	1017	1103	1146	1225
DB00465	-905	634.5	699	653.5	-803	1215
DB00472	1372	1383	1378	1384	1369	1377
DB00502	-1338	-1349	-1309	-1351	-1357	-1361
DB00586	1320	1329	1330	1341	1343	1325
DB00717	-1245.5	-742.5	-1285	-713	-877	-1298
DB00762	1247	911	790	942	793	843
DB00788	-1353	-1351	-1338	-1364	-1314	-1352
DB00867	1155	-685	-689	-778	-726	585
DB00997	1216	-1225	-1253	-1264	1283	-1305
DB01050	-1345.5	-1358.5	-1331	-1377	-1331	-1300
DB01132	1212	646	1226	674	551	685
DB01148	-1219	-857	-866	-844	-842	-1098
DB08911	1145.5	1091.5	738.5	1095.5	901	962.5
Digoxin	-1220	-1257	-706	-1255.5	-1264	-807
Dipyridamole	-1195	-685	-721	-770	-712	-1279
Dobutamine	-1300	-1061	-1249	912	-1129	-1236
Dopamine	1139.5	1205.5	947.5	1186.5	1096	1069.5
drug_1	891.5	768.5	637	769	716	498
drug_10	-582.5	-858.5	-952.5	-827.5	-1087	-655.5
drug_100	-815	-798	804.5	-871.5	747	-797.5
drug_101	832	887	905	872.5	806	829
drug_102	626	774	-813	752.5	-865	671
drug_103	-820	-949	809	-925	-918	-831
drug_104	-806	-789	819.5	-779	772	-726.5
drug_105	634.5	571.5	-669.5	-446.5	-413	870.5
drug_106	832	887	905	872.5	1010.5	829
drug_107	832	887	905	872.5	704	829
drug_108	832	887	905	872.5	917	829
drug_109	844.5	793.5	791.5	-438.5	560	953.5
drug_11	838.5	894.5	878.5	883	-791.5	849.5
drug_110	-296.5	925.5	959.5	890.5	998	-385.5
drug_111	539	1081	1075	1071	1168	444
drug_112	-296.5	925.5	959.5	890.5	981.5	-385.5
drug_113	-296.5	925.5	959.5	890.5	1002	-385.5
drug_114	-296.5	925.5	959.5	890.5	963.5	-385.5
drug_115	-296.5	925.5	959.5	890.5	989	-385.5
drug_116	-296.5	925.5	959.5	890.5	987	-385.5
drug_117	-296.5	925.5	959.5	890.5	906.5	-385.5
drug_118	323	804	687	787	936.5	183
drug_119	-296.5	925.5	959.5	890.5	976.5	-385.5
drug_12	566	-625	-846	-596	576.5	-438
drug_120	-296.5	925.5	959.5	890.5	976.5	-385.5
drug_121	-434	1060	1139	1045	1075.5	-511
drug_122	-296.5	925.5	959.5	890.5	981.5	-385.5
drug_123	-296.5	925.5	959.5	890.5	993	-385.5
drug_124	-296.5	925.5	959.5	890.5	972.5	-385.5
drug_125	-296.5	925.5	959.5	890.5	1018	-385.5
drug_126	-296.5	925.5	959.5	890.5	979.5	-385.5
drug_127	-499.5	-695.5	815.5	-668.5	700.5	-534.5
drug_128	-296.5	925.5	959.5	890.5	930.5	-385.5
drug_129	-296.5	925.5	959.5	890.5	963.5	-385.5
drug_13	1005.5	1095.5	579.5	1080	662	881.5
drug_130	323	804	687	787	916	183
drug_131	-296.5	925.5	959.5	890.5	1040.5	-385.5
drug_132	-296.5	925.5	959.5	890.5	930.5	-385.5
drug_133	-296.5	925.5	959.5	890.5	1031.5	-385.5
drug_134	-296.5	925.5	959.5	890.5	919	-385.5
drug_135	-499.5	-695.5	815.5	-668.5	664.5	-534.5
drug_136	-296.5	925.5	959.5	890.5	917.5	-385.5
drug_137	-499.5	-695.5	815.5	-668.5	656	-534.5
drug_138	-296.5	925.5	959.5	890.5	943	-385.5
drug_139	352.5	997.5	837.5	973.5	1140	294.5
drug_14	986.5	1049.5	595.5	629.5	438.5	1149.5
drug_140	-296.5	925.5	959.5	890.5	938	-385.5
drug_141	-499.5	-695.5	815.5	-668.5	664.5	-534.5
drug_142	471	969	854	966.5	856.5	-304
drug_143	689	1030	894	1049	849.5	683
drug_144	-633.5	1092	1092	1106	1057	-710
drug_145	637	1113	1087.5	1110.5	1111.5	530.5
drug_146	-641.5	878.5	900.5	993.5	840	-683.5
drug_147	-616	688	649	773	618	-655
drug_148	-641.5	878.5	900.5	993.5	876	-683.5
drug_149	-641.5	878.5	900.5	993.5	837.5	-683.5
drug_15	977.5	1163.5	683.5	1142.5	674.5	1003.5
drug_150	698	1135	1081	1144	1119.5	729
drug_151	698	1135	1081	1144	1051.5	729
drug_152	-609.5	862.5	848.5	958.5	857	-698.5
drug_153	473.5	1086.5	1052.5	1091.5	1148	484.5
drug_154	-616	688	649	773	675.5	-655
drug_155	-641.5	878.5	900.5	993.5	873.5	-683.5
