ad	density	cc	spath	eigencentr	betwcentr
10127622	723	783	852	871.5	762	1227
10184653	1133	1189.5	1328.5	1155	1099	742.5
10607	965	706	592	966	1189	746
119607	910.5	701.5	-720	1136	-767	-784
119828	-218.5	-637.5	1027	-581.5	-655.5	-409.5
123631	399	-351	-393.5	480	-286	-425
12560	-1260.5	-863.5	-1327	517.5	-945	-694
135398744	-1359	-1329	732	-1364	-1382	1230
13791	1061	1032	868	1222	1169	-638
149096	687.5	-451	-298	793	667	-806
16231	-1349	-1292	863	-1358.5	823	-1352.5
176870	-586	-681	792.5	580	602	692.5
19493	-854.5	857.5	855	933	1171	-835
2153	1177	-814.5	-792	1198	-825	1326
2244	-439	-449	-1032.5	-456.5	-426.5	-291.5
2520	-647.5	958	1009.5	765.5	810	716.5
2540	-1357	-1359	-1346	-1347	-1331	1134
2554	865	1116	1150	1098	1146.5	930
2581	1178.5	952.5	975	1195	753	1112
2724385	-625.5	524	718.5	714.5	859.5	612.5
2733526	1147.5	850.5	884	940	1220	907
2796	-1283.5	-1252.5	1268	-1297	-967	791
2907	953	895	847	1000.5	854.5	1227.5
3016	1167	835	-1058.5	1153	-1030	676.5
3019	929.5	-861.5	-707	-848	-1346	1099
3034010	1033	962	-537	723	-727	-1189
3059	937	662	-824	932	381	977
31307	880	912.5	938.5	1122.5	-793	-782.5
3182	1227	1218	1229	1228	1238	1347
3308	-862.5	-864.5	1000	-862	-572	449
3394	-763.5	-645.5	584	-669	-714	-750
3463	-740.5	-824.5	-856.5	1092	-809.5	-751.5
36462	-771	1129.5	1204	1243.5	1291	838
3690	339.5	1051.5	1024	990	776.5	-492.5
3715	-649	-676	-757	-619.5	-435	980
3825	-765.5	1114.5	-763	1139.5	969.5	-646
3869	874.5	-478.5	220.5	-627	-751	-514
39147	727	689	727	824.5	-1225	-430
392622	-791	-799	-771.5	-715.5	-828	-782.5
39912	1099	1170	1071	1175	1198.5	-715.5
4030	-656.5	-447.5	983.5	-678	521	965
4037	850	1096	-795	1097	1076.5	675
4044	-617	1092.5	1157	1057	836	-686
4173	1311	1322	1281	1253	1289.5	243
41774	-495	199	427.5	-157	-152.5	608.5
41867	-613	-613	736.5	779.5	-1032	-692
42611257	847	-711	-725	1119.5	-769	-759
4369359	1079.5	819.5	990	1005	797	-684.5
4409	768.5	834.5	830	1026	895	1207
44093	1312.5	1240.5	665.5	681.5	1228	1338.5
441243	-779.5	-791.5	-716	-759	-964	-354
441401	607	551	674	665	-66	759
444795	1301	854	566	820	1261	1321
445643	1204	1216	725	-1003	1199	1304
449171	-1249	-1010	785	-1289.5	-1035	1165
4497	1160	972	-836	908	-535	-629
451668	-1341	-1358	-1338	-1349.5	-1367	-760
4583	559.5	1102.5	816.5	554.5	1110	764.5
4614	-405	460	965.5	-314	427.5	573.5
4680	-696	-655	-676	-573.5	-618.5	794.5
4740	-1246	-964	-1021.5	-1273	-1064	-750
4781	-1181.5	-1002.5	875	-1227	-1062	671
4814	1361	1363	1341	1350	1384	1372
4848	-717	-777	-772.5	-640.5	-803	-595.5
4913	838	1098	931	1094	1093.5	688
5070	-218.5	1024.5	1085.5	977.5	1042.5	-409.5
5073	-712.5	-692.5	-669.5	538.5	878	744
5090	719	768	1005	892	947.5	711
5280805	-1116.5	-877.5	573.5	-540	-1060	552.5
5280961	952.5	675.5	-666	-680.5	1205	1223
5282379	820.5	694.5	574.5	835.5	-696	702.5
5330286	-1060.5	1108	1040	989	-1314	660
5405	-731	-781	-671.5	-734	-686.5	-622.5
54585	584	778	889	801	846	701
5509	927.5	859.5	1222	1110.5	1090	696
55245	-639.5	1099	1013.5	-797	1131.5	-722
5591	995	-834.5	-790.5	1178.5	-1064	-681.5
5593	-218.5	1024.5	1085.5	977.5	1042.5	-409.5
57363	694	849	903	833.5	854	751
5743	-632	814.5	823.5	785.5	868.5	-731
5770	771	-725.5	-559.5	1127	1162	608.5
5832	586.5	859.5	1121.5	909.5	859	705.5
5994	899	896	878	983.5	837.5	669.5
60606	-446.5	814.5	983	833.5	-770	-615
60726	1223	1198	1185	1188.5	1288	1342
60750	1120.5	896.5	947.5	1135.5	-809	-843
64143	-674	-669	835	-656.5	-740	-752
6741	-1189.5	-1229	-849	-965.5	-1311	-897
77999	-606.5	-636.5	-711	1057	681	-590
84029	-1363	-1369	-1363	-1378	1362	1016
89594	-329	-471	881.5	569.5	875	721.5
9875401	-634	555	686	566	562.5	-848
9926791	1350	1356	1333	684	1325	1372
Acebutolol	-1359	-1348	-1370	-1309	-1367	-838
Acetylsalicylic_acid	-439	-449	-1032.5	-456.5	424.5	-291.5
Alprenolol	325	-555.5	-571.5	-498.5	1017.5	885
Amiloride	-1349	-1292	863	-1358.5	821	-1352.5
Amlodipine	-530	638.5	721	777	-817.5	-723
Atenolol	870	-1172.5	-1245.5	-1138.5	1151.5	-1024.5
Atorvastatin	1135	1185	1184.5	1149.5	921	1226.5
Benazepril	-301	1024.5	1085.5	977.5	1051	333.5
Bendroflumethiazide	-702	1246.5	1261.5	1212.5	1265	-750
Betaxolol	891.5	546.5	1002.5	847.5	-606	-699
Bezafibrate	-1351	-1346	-1334	-1361	1111	-1327
Bisoprolol	-1371.5	-1376.5	-1316	-1387	-869	-1383
Bumetanide	1100.5	898.5	-779	1140.5	698	-645
Canrenoic_acid	1179	1099	1278	844	1122	967
Captopril	1312.5	1240.5	665.5	681.5	1225	1338.5
Carteolol	544	1109	1159.5	631	1122	718.5
Carvedilol	692.5	822.5	-748.5	801	619	1046
Cerivastatin	1200.5	-804	-724	-1098	-1036	693
Chlorhexidine	-1313	-1345	-1322	-1303	-1333.5	794
Chlorthalidone	890.5	765.5	-440.5	519.5	605.5	1057.5
Cilnidipine	1294	720	711	947	696	676
Cilostazol	-758	-569	862	-601	-393	1201
Clofibrate	-1283.5	-1252.5	1268	-1297	-968	791
Clopidogrel	-446.5	814.5	983	833.5	-723	-615
Cyclopenthiazide	-614.5	640	655.5	804	-800.5	-746
DB00162	562	587	1017.5	564.5	863.5	1100.5
DB00175	1238.5	927.5	670	1324.5	-1327.5	1117
DB00252	-696	1092.5	955.5	1070.5	955	-736
DB00465	1165.5	854.5	403	683	1208	721
DB00472	-1111.5	-813.5	-806	949.5	-1067	-651
DB00502	1168	1192	1066	890	1236	1267
DB00586	1152.5	1159	1262	691.5	829	779
DB00717	1109.5	859.5	713	855	862	985
DB00762	1356	1338	1369	1337	1240	1123
DB00788	-1019	-1016	-1038	-1204.5	840	-1259
DB00867	-855.5	-1173.5	-1246.5	-1136.5	981.5	-1017.5
DB00997	1228	1235	1350	1244	1087	326
DB01050	860	1107	715	1101	1071	915
DB01132	1163	1157	1107	1268	1025	795
DB01148	-328	-622	935	-599.5	747.5	665
DB08911	-701	-669	-698.5	636.5	-749	-666.5
Digoxin	-625.5	524	718.5	714.5	860.5	612.5
Dipyridamole	-1291	-1300	-1326	-1294	-783	-1301
Dobutamine	-691	-645	-435	-728.5	-699	-829.5
Dopamine	-595	814.5	1011	910	-752	-580.5
drug_1	-1002.5	1213.5	1161.5	1190.5	-926	-451.5
drug_10	-926	1254.5	1180	-1189.5	959.5	-342.5
drug_100	-898	-879	-904.5	-906.5	-840.5	-605.5
drug_101	-898	-879	-904.5	-906.5	-759	-605.5
drug_102	-898	-879	-904.5	-906.5	772	-605.5
drug_103	-916.5	-652.5	-685.5	-613	570.5	-652.5
drug_104	-916.5	-652.5	-685.5	-613	-563	-652.5
drug_105	-916.5	-652.5	-685.5	-613	-567.5	-652.5
drug_106	-898	-879	-904.5	-906.5	-763	-605.5
drug_107	-898	-879	-904.5	-906.5	-759	-605.5
drug_108	-916.5	-652.5	-685.5	-613	-485.5	-652.5
drug_109	-898	-879	-904.5	-906.5	-759	-605.5
drug_11	-1019.5	-1221.5	1202.5	1235	-1283	-817.5
drug_110	-585	-553	-722.5	459.5	-545.5	1056
drug_111	-502.5	-784.5	-854.5	-732.5	-648	-915.5
drug_112	-502.5	-784.5	-854.5	-732.5	-749.5	-915.5
drug_113	-502.5	-784.5	-854.5	-732.5	-755	-915.5
drug_114	-502.5	-784.5	-854.5	-732.5	-749.5	-915.5
drug_115	-502.5	-784.5	-854.5	-732.5	-733	-915.5
drug_116	-585	-553	-722.5	459.5	-582	1056
drug_117	-502.5	-784.5	-854.5	-732.5	-756.5	-915.5
drug_118	-502.5	-784.5	-854.5	-732.5	739.5	-915.5
drug_119	-502.5	-784.5	-854.5	-732.5	-648	-915.5
drug_12	-1019.5	-1221.5	1202.5	1235	-1283	-817.5
drug_120	-502.5	-784.5	-854.5	-732.5	-755	-915.5
drug_121	-585	-553	-722.5	459.5	-550.5	1056
drug_122	-502.5	-784.5	-854.5	-732.5	-632.5	-915.5
drug_123	-502.5	-784.5	-854.5	-732.5	657.5	-915.5
drug_124	-502.5	-784.5	-854.5	-732.5	-868	-915.5
drug_125	-502.5	-784.5	-854.5	-732.5	-755	-915.5
drug_126	-502.5	-784.5	-854.5	-732.5	-733	-915.5
drug_127	-585	-553	-722.5	459.5	-660	1056
drug_128	-585	-553	-722.5	459.5	-537	1056
drug_129	-585	-553	-722.5	459.5	-612.5	1056
drug_13	-1002.5	1213.5	1161.5	1190.5	-943.5	-451.5
drug_130	-502.5	-784.5	-854.5	-732.5	-755	-915.5
drug_131	-502.5	-784.5	-854.5	-732.5	-820.5	-915.5
drug_132	-585	-553	-722.5	459.5	-565	1056
drug_133	-502.5	-784.5	-854.5	-732.5	739.5	-915.5
drug_134	-585	-553	-722.5	459.5	-550.5	1056
drug_135	-502.5	-784.5	-854.5	-732.5	-802.5	-915.5
drug_136	-502.5	-784.5	-854.5	-732.5	-755	-915.5
drug_137	-502.5	-784.5	-854.5	-732.5	-795	-915.5
drug_138	-585	-553	-722.5	459.5	-644	1056
drug_139	-502.5	-784.5	-854.5	-732.5	-688	-915.5
drug_14	-1019.5	-1221.5	1202.5	1235	-1289.5	-817.5
drug_140	-585	-553	-722.5	459.5	-505.5	1056
drug_141	-502.5	-784.5	-854.5	-732.5	-842.5	-915.5
drug_142	828	-577.5	-665.5	-576.5	-524.5	881.5
drug_143	-730	-1034	-1097	-984	-1078.5	-717
drug_144	-812.5	-802.5	-965	766	-831.5	-836
drug_145	895	791	-842.5	-770.5	833.5	659.5
drug_146	-812.5	-802.5	-965	766	-718	-836
drug_147	828	-577.5	-665.5	-576.5	-621	881.5
drug_148	828	-577.5	-665.5	-576.5	-528.5	881.5
drug_149	-730	-1034	-1097	-984	-974	-717
drug_15	-926	1254.5	1180	-1189.5	940	-342.5
drug_150	895	791	-842.5	-770.5	768.5	659.5
drug_151	895	791	-842.5	-770.5	665.5	659.5
drug_152	-730	-1034	-1097	-984	-892.5	-717
drug_153	-730	-1034	-1097	-984	934	-717
drug_154	-730	-1034	-1097	-984	1027	-717
drug_155	895	791	-842.5	-770.5	869.5	659.5
drug_156	895	791	-842.5	-770.5	732.5	659.5
drug_157	895	791	-842.5	-770.5	794.5	659.5
drug_158	895	791	-842.5	-770.5	768.5	659.5
drug_159	-812.5	-802.5	-965	766	-823	-836
drug_16	-1019.5	-1221.5	1202.5	1235	-1283	-817.5
drug_160	895	791	-842.5	-770.5	768.5	659.5
drug_161	-730	-1034	-1097	-984	-997.5	-717
drug_162	895	791	-842.5	-770.5	794.5	659.5
drug_163	828	-577.5	-665.5	-576.5	518	881.5
drug_164	-730	-1034	-1097	-984	-974	-717
