ad	density	cc	spath	eigencentr	betwcentr
drug_1	-831	-1369.5	-1421.5	-1195.5	-1258.5	-1127.5
drug_10	-831	-659.5	-942	-540	-788.5	-833
drug_100	-831	-1091.5	624.5	452.5	-1074.5	947.5
drug_101	-831	1029.5	1007	894.5	942	813
drug_102	-831	1029.5	1007	894.5	942	813
drug_103	-831	-1091.5	761	843.5	-1074.5	-845.5
drug_104	-831	687	791	-711	678	1010
drug_105	-831	1029.5	1007	894.5	932.5	813
drug_106	-831	1029.5	1007	894.5	1105	813
drug_107	-831	1029.5	1007	894.5	937	813
drug_108	-831	1029.5	1007	894.5	1097	813
drug_109	-831	687	791	-711	838	1010
drug_11	-831	-987	-1068	-827	-854.5	-726
drug_110	-831	1085	1111	946	1065.5	720
drug_111	-831	1085	1111	946	1008	720
drug_112	-831	1085	1111	946	856.5	720
drug_113	-831	1003.5	1200.5	830.5	1092	1131.5
drug_114	-831	1085	1111	946	1168	720
drug_115	-831	714.5	978.5	-622.5	1003.5	937.5
drug_116	-831	714.5	978.5	-622.5	932	937.5
drug_117	-831	1085	1111	946	1008	720
drug_118	-831	714.5	978.5	-622.5	772	937.5
drug_119	-831	1177.5	-1180.5	-1142.5	-1109	-1029.5
drug_12	-831	-879.5	426.5	367.5	-898	-819
drug_120	-831	1085	1111	946	1046	720
drug_121	-831	1085	1111	946	1046	720
drug_122	-831	-987	-1068	-827	-890.5	-726
drug_123	-831	1085	1111	946	1249	720
drug_124	-831	1085	1111	946	894.5	720
drug_125	-831	1085	1111	946	872.5	720
drug_126	-831	1085	1111	946	1008	720
drug_127	-831	-987	-1068	-827	-943.5	801.5
drug_128	-831	1040.5	968.5	1037.5	1077	877.5
drug_129	-831	714.5	978.5	-622.5	772	937.5
drug_13	-831	-748	-800.5	-595.5	-747	813
drug_130	-831	714.5	978.5	-622.5	932	937.5
drug_131	-831	1085	1111	946	1206	720
drug_132	-831	-987	-1068	-827	-1122.5	801.5
drug_133	-831	714.5	978.5	-622.5	778.5	937.5
drug_134	-831	-987	-1068	-827	-943.5	-726
drug_135	-831	1085	1111	946	1046	720
drug_136	-831	973.5	962.5	846.5	634.5	513.5
drug_137	-831	714.5	978.5	-622.5	782	937.5
drug_138	-831	1085	1111	946	894.5	720
drug_139	-831	714.5	978.5	-622.5	-799.5	937.5
drug_14	-831	-987	-1068	-827	-1102	-726
drug_140	-831	714.5	978.5	-622.5	778.5	937.5
drug_141	-831	1085	1111	946	894.5	720
drug_142	-831	1213	1247	1100.5	1315	989
drug_143	-831	1085	1111	946	1156	720
drug_144	-831	1186.5	1174.5	1078.5	1090	897.5
drug_145	-831	1155	1169.5	1070.5	1231	1093.5
drug_146	-831	1155	1169.5	1070.5	1074	1093.5
drug_147	-831	1213	1247	1100.5	1307	989
drug_148	-831	1213	1247	1100.5	1150	989
drug_149	-831	1213	1247	1100.5	1155	989
drug_15	-831	-748	-800.5	-595.5	-691.5	813
drug_150	-831	1213	1247	1100.5	1150	989
drug_151	-831	1155	1169.5	1070.5	1233	1093.5
drug_152	-831	929.5	937	809.5	626.5	967
drug_153	-831	1213	1247	1100.5	1033.5	989
drug_154	-831	1085	1111	946	1046	720
drug_155	-831	1213	1247	1100.5	1033.5	989
drug_156	-831	-987	-1068	-827	-1102	-726
drug_157	-831	1144	1184	1015	1334	827
drug_158	-831	1144	1184	1015	1113	827
drug_159	-831	1213	1247	1100.5	1380	989
drug_16	-831	-987	-1068	-827	-1175.5	-726
drug_160	-831	1213	1247	1100.5	1003.5	989
drug_161	-831	1213	1247	1100.5	1158.5	989
drug_162	-831	1213	1247	1100.5	1310	989
drug_163	-831	1155	1169.5	1070.5	1230	1093.5
drug_164	-831	1085	1111	946	1184	720
drug_165	-831	1085	1111	946	990.5	720
drug_166	-831	1213	1247	1100.5	1158.5	989
drug_167	-831	1155	1169.5	1070.5	1232	1093.5
drug_168	-831	1213	1247	1100.5	1315	989
drug_169	-831	1213	1247	1100.5	1160	989
drug_17	-831	-748	-800.5	-595.5	-691.5	813
drug_170	-831	1085	1111	946	929.5	720
drug_171	-831	-987	-1068	-827	-890.5	-726
drug_172	-831	-987	-1068	-827	904	-726
drug_173	-831	-987	-1068	-827	1009.5	-726
drug_174	-831	-987	-1068	-827	1009.5	-726
