ad	density	cc	spath	eigencentr	betwcentr
drug_1	-831	765.5	-768	-845.5	908.5	-1099.5
drug_10	-831	-781	708.5	586.5	-1056	989.5
drug_100	-831	765.5	708.5	-940	-971	-761.5
drug_101	-831	765.5	708.5	834	792.5	-619
drug_102	-831	-913.5	-1021	834	1062.5	-958.5
drug_103	-831	-1250.5	-1222	-1125.5	-1470.5	-1258.5
drug_104	-831	-1064	708.5	-1063	-1216	-822
drug_105	-831	-913.5	-1021	834	958	-958.5
drug_106	-831	765.5	-824.5	834	1074	533.5
drug_107	-831	765.5	708.5	-935	-1017	-558
drug_108	-831	765.5	-824.5	834	-989.5	533.5
drug_109	-831	765.5	708.5	-935	-1224	-558
drug_11	-831	1000.5	708.5	1134	-1282.5	925
drug_110	-831	765.5	-765	-917.5	1062.5	-545.5
drug_111	-831	-1100	-734	834	-1143	-707.5
drug_112	-831	-1100	-734	834	-1143	-707.5
drug_113	-831	765.5	-765	-917.5	-956.5	-545.5
drug_114	-831	-990	708.5	-859.5	-1432.5	-850.5
drug_115	-831	-1064	708.5	834	-1206	-611.5
drug_116	-831	-1064	708.5	834	-1410	-611.5
drug_117	-831	-815.5	708.5	834	-1189.5	-772.5
drug_118	-831	765.5	708.5	-1067.5	-1378.5	-812.5
drug_119	-831	-1064	708.5	834	-1206	-611.5
drug_12	-831	1000.5	708.5	1134	619.5	-1037.5
drug_120	-831	-1100	-734	834	1062.5	-707.5
drug_121	-831	-1100	-734	834	-1143	-707.5
drug_122	-831	-815.5	708.5	834	-1189.5	-772.5
drug_123	-831	765.5	-765	-917.5	1062.5	-545.5
drug_124	-831	-1100	-734	834	-972	-707.5
drug_125	-831	-1064	708.5	834	-1413	-611.5
drug_126	-831	-979	708.5	-957	-1243.5	-1023.5
drug_127	-831	765.5	708.5	-1067.5	-1171.5	-812.5
drug_128	-831	765.5	-765	-917.5	1087.5	-545.5
drug_129	-831	-1100	-734	834	-1332.5	-707.5
drug_13	-831	964	1150.5	975	843.5	1493.5
drug_130	-831	-1100	-734	834	-1143	-707.5
drug_131	-831	-1140.5	708.5	-914	-1249	-880
drug_132	-831	-1153	708.5	834	-1236	-744
drug_133	-831	-828.5	-958	-890.5	-1192	-784.5
drug_134	-831	-1153	708.5	834	-1233	-744
drug_135	-831	-913.5	-1021	834	-1049.5	-958.5
drug_136	-831	-1140.5	708.5	-914	1119	-880
drug_137	-831	-979	708.5	-957	-1072.5	-1023.5
drug_138	-831	-1064	708.5	834	-1203	-611.5
drug_139	-831	-1100	-734	834	-1125.5	-707.5
drug_14	-831	-856.5	-1151	-1464	821	1510.5
drug_140	-831	-1140.5	708.5	-914	-1249	-880
drug_141	-831	-1100	-734	834	-972	-707.5
drug_142	-831	-708.5	708.5	-961	516.5	989.5
drug_143	-831	-1278.5	-1210	-1178.5	644.5	-1284.5
drug_144	-831	-828.5	-809	1077.5	-658.5	-1118.5
drug_145	-831	-828.5	-809	1077.5	-867.5	-1118.5
drug_146	-831	-696	708.5	1077.5	-797	-1158
drug_147	-831	-781	708.5	1077.5	-976	-1153
drug_148	-831	-1042	708.5	-1050.5	-1165.5	781
drug_149	-831	-828.5	-809	1077.5	554	-1118.5
drug_15	-831	1420	1150.5	1522.5	960	1429
drug_150	-831	-1278.5	-1210	-1178.5	-644	-1284.5
drug_151	-831	-828.5	-809	1077.5	-660.5	-1118.5
drug_152	-831	-984	708.5	1077.5	-922	-1114
drug_153	-831	-828.5	-809	1077.5	753	-1118.5
drug_154	-831	-869	708.5	-1085	-1021	989.5
drug_155	-831	-1273.5	-1215.5	-1164	644.5	-1292
drug_156	-831	-851	-804.5	1077.5	-759	-1171
drug_157	-831	-1273.5	-1215.5	-1164	-1022	-1292
drug_158	-831	-1287.5	-1201.5	-1184	1166	-1231
drug_159	-831	-717	708.5	-1080	-632	-1173
drug_16	-831	-856.5	-1151	-1464	-842	1510.5
drug_160	-831	-1278.5	-1203	-1175.5	1128.5	-1269.5
drug_161	-831	-964.5	-1062.5	-906	908.5	-1093
drug_162	-831	-1278.5	-1203	-1175.5	1128.5	-1269.5
drug_163	-831	-708.5	708.5	1077.5	-812	-1115
drug_164	-831	-964.5	-794.5	-877	-937	781
drug_165	-831	-801.5	708.5	-895.5	1062.5	-918.5
drug_166	-831	-708.5	708.5	-961	-633.5	989.5
drug_167	-831	-604.5	708.5	-963	-814	781
drug_168	-831	-1273.5	-1215.5	-1164	-642.5	-1292
drug_169	-831	-815.5	708.5	-1019.5	-1266	-790.5
drug_17	-831	-1197.5	-1178.5	-1104	-987	-1137
drug_170	-831	765.5	708.5	834	762	-619
drug_171	-831	-1100	-734	834	1062.5	-707.5
drug_172	-831	-1128.5	708.5	-635.5	-1391	781
drug_173	-831	-696	708.5	-926	-721	-797.5
drug_174	-831	-1100	-734	834	1062.5	-707.5
drug_175	-831	-1076	708.5	-848.5	-1361.5	-679.5
drug_176	-831	-836.5	708.5	-865	-1002	781
drug_177	-831	-913.5	-1021	834	1062.5	-958.5
drug_178	-831	765.5	708.5	-926	908.5	-909
drug_179	-831	-1042	708.5	-1012	-886	781
drug_18	-831	964	1150.5	975	833.5	1493.5
drug_180	-831	765.5	708.5	-926	908.5	-909
drug_181	-831	-815.5	708.5	834	-1098	-688.5
drug_182	-831	-913.5	-1021	834	894	-958.5
drug_183	-831	-851	708.5	834	-990	-872.5
drug_184	-831	-1076	708.5	-799.5	-1431	-805.5
drug_185	-831	-851	708.5	834	-992.5	-872.5
drug_186	-831	-851	708.5	-1006.5	-1109.5	-758.5
drug_187	-831	-851	708.5	834	-1203	-872.5
drug_188	-831	-1076	708.5	-799.5	-1007	-805.5
drug_189	-831	-828.5	-958	-890.5	-987	-784.5
drug_19	-831	964	-1165.5	-1467.5	856.5	1493.5
drug_190	-831	-1076	708.5	-848.5	-1154.5	-679.5
drug_191	-831	-869	708.5	-688.5	-1052.5	781
drug_192	-831	-815.5	708.5	834	-1097	-688.5
drug_193	-831	-696	708.5	-926	-926	-797.5
drug_194	-831	-869	708.5	-688.5	-1052.5	781
drug_195	-831	-851	708.5	834	-992.5	-872.5
drug_196	-831	-828.5	-958	-890.5	1228	-784.5
drug_197	-831	-1128.5	708.5	-635.5	-1184	781
drug_198	-831	-851	708.5	834	908.5	-872.5
drug_199	-831	765.5	708.5	-926	878	-909
drug_2	-831	-625	-759	586.5	-522.5	989.5
drug_20	-831	-1214	-1149.5	-1166	-1061	1033
drug_200	-831	-1245.5	-1182.5	-1109	-1269	-1214
drug_201	-831	-1209.5	-779.5	1052.5	-1242	872.5
drug_202	-831	-1100	-734	834	-1143	-707.5
drug_203	-831	-1202	-960.5	1052.5	-1381	872.5
drug_204	-831	-1203.5	708.5	-803	-1209.5	969.5
drug_205	-831	-1182	-975.5	-921	-1182.5	969.5
drug_206	-831	-851	708.5	834	-1092	-568
drug_207	-831	-1128.5	-714.5	834	1062.5	-857
drug_208	-831	-1100	-734	834	-909.5	-707.5
drug_209	-831	-1153	708.5	834	-1231	-744
drug_21	-831	964	-1178.5	-1460.5	812	1493.5
drug_210	-831	765.5	-824.5	834	908.5	533.5
drug_211	-831	765.5	-824.5	834	1062.5	533.5
drug_212	-831	-1100	-734	834	-1125.5	-707.5
drug_213	-831	-781	708.5	-1066	-1115	-820
drug_214	-831	765.5	-824.5	834	927.5	533.5
drug_215	-831	-1140.5	708.5	-848.5	-1062	781
drug_216	-831	-964.5	-794.5	-877	-937	781
drug_217	-831	-1100	-734	834	-1143	-707.5
drug_218	-831	-1100	-734	834	1074	-707.5
drug_219	-831	-913.5	-1021	834	908.5	-958.5
drug_22	-831	1304	909.5	1321	-920.5	1111
drug_220	-831	-1064	-979.5	1052.5	-1025	872.5
drug_221	-831	-1169	-708.5	1052.5	-1369	872.5
drug_222	-831	-964.5	-794.5	-877	-1144	781
drug_223	-831	-851	708.5	834	-1092	-568
drug_224	-831	-1100	-734	834	-1332.5	-707.5
drug_225	-831	-1100	-734	834	-1143	-707.5
drug_226	-831	-1164	708.5	-1005	-1219	-860
drug_227	-831	-1076	-777.5	-959	-1159	969.5
drug_228	-831	-1203.5	708.5	-803	-1209.5	969.5
drug_229	-831	-964.5	-794.5	-877	-1212	781
drug_23	-831	-625	-759	586.5	-738.5	989.5
drug_230	-831	-851	708.5	834	-1299	-568
drug_231	-831	-1128.5	708.5	-635.5	-1184	781
drug_232	-831	-1042	708.5	-1012	-1102	781
drug_233	-831	-869	708.5	-688.5	-881.5	781
drug_234	-831	-1128.5	708.5	-635.5	-1184	781
drug_235	-831	-696	708.5	-926	-928	-797.5
drug_236	-831	-781	708.5	586.5	-1264	989.5
drug_237	-831	-913.5	-1021	834	-887.5	-958.5
drug_238	-831	1000.5	-968.5	1134	-859	925
drug_239	-831	-913.5	-1021	834	-869	-958.5
drug_24	-831	-1159	-1159.5	-1117	-884	1006.5
drug_240	-831	1000.5	-968.5	1134	763	925
drug_241	-831	-828.5	-958	-890.5	908.5	-784.5
drug_242	-831	-913.5	-1021	834	-1049.5	-958.5
drug_243	-831	-913.5	-1021	834	-869	-958.5
drug_244	-831	-1201	-1169.5	-1119	-1404	-1169
drug_245	-831	-1042	708.5	-1012	-931	781
drug_246	-831	-1128.5	708.5	834	-1213	-637.5
drug_247	-831	1000.5	708.5	1134	-833	925
drug_248	-831	-1128.5	708.5	-635.5	-1184	781
drug_249	-831	-913.5	-1021	834	908.5	-958.5
drug_25	-831	855.5	1150.5	-1317.5	1008.5	1285
drug_250	-831	-1100	-734	834	-1350	-707.5
drug_251	-831	-1100	-734	834	-1143	-707.5
drug_252	-831	-964.5	-794.5	-877	-1151	781
drug_253	-831	-1010.5	-908.5	-900	1062.5	-913
