ad	density	cc	spath	eigencentr	betwcentr
drug_1	-831	1120	1239	1162	1060	963
drug_10	-831	1297.5	1190.5	1305.5	1058.5	1085.5
drug_100	-831	767.5	810	773.5	-766.5	-597
drug_101	-831	767.5	810	773.5	935.5	-597
drug_102	-831	939.5	955.5	824.5	-922.5	-501.5
drug_103	-831	626	673.5	659	693	-845
drug_104	-831	626	673.5	659	792.5	-845
drug_105	-831	829	861	699.5	602.5	707.5
drug_106	-831	626	673.5	659	856.5	-845
drug_107	-831	767.5	810	773.5	767.5	-532.5
drug_108	-831	626	673.5	659	569	-845
drug_109	-831	626	673.5	659	697	-845
drug_11	-831	626	779.5	752	787	632
drug_110	-831	-886	-840	-729	-986	810.5
drug_111	-831	688	708	-716	-883	557
drug_112	-831	-721.5	708	-821	-860	557
drug_113	-831	-639	-614.5	-878	-634.5	-582
drug_114	-831	-886	-840	-729	-823.5	810.5
drug_115	-831	688	708	-716	-1054.5	557
drug_116	-831	-851	746	-645	-998	818
drug_117	-831	-911.5	-818	-794.5	-966	690
drug_118	-831	688	708	-716	-884	557
drug_119	-831	-677.5	-771	-784	-835.5	521
drug_12	-831	829	933	805	874	515
drug_120	-831	-976.5	-832	-928.5	-961	690
drug_121	-831	-911.5	-818	-794.5	-1136.5	690
drug_122	-831	-886	-840	-729	-988.5	810.5
drug_123	-831	-874.5	-682	-722.5	-818.5	785.5
drug_124	-831	-851	746	-645	-998	818
drug_125	-831	-753	-775	-906	-630.5	521
drug_126	-831	-677.5	-771	-784	-834	521
drug_127	-831	-667.5	-825.5	-721	-914	640
drug_128	-831	-886	-840	-729	-988.5	810.5
drug_129	-831	-639	-614.5	-878	-634.5	-582
drug_13	-831	977.5	1053.5	1023.5	1022	922.5
drug_130	-831	767.5	914.5	-650.5	-1122	595
drug_131	-831	-878.5	-673.5	-890	-862	-878
drug_132	-831	-886	-840	-729	-984	810.5
drug_133	-831	-878.5	-673.5	-890	-861	-878
drug_134	-831	-667.5	-825.5	-721	-913	640
drug_135	-831	-851	746	-645	-998	818
drug_136	-831	-851	746	-645	-1000	818
drug_137	-831	-911.5	-818	-794.5	-965	690
