ad	density	cc	spath	eigencentr	betwcentr
drug_1	-831	917	761	913	791.5	555
drug_10	-831	-1007	-1105	-970	-1263	-735
drug_100	-831	-943	942.5	-1017.5	671	-891.5
drug_101	-831	1062	1059	1051.5	1234.5	934
drug_102	-831	921	-957	895.5	1086.5	743
drug_103	-831	-1102	947	-1072	874	-933
drug_104	-831	-931	967.5	-916.5	903	-811.5
drug_105	-831	688.5	-808.5	-533.5	-666	980.5
drug_106	-831	1062	1059	1051.5	973	934
drug_107	-831	1062	1059	1051.5	1091.5	934
drug_108	-831	1062	1059	1051.5	1181	934
drug_109	-831	951.5	925.5	-524.5	808.5	1097.5
drug_11	-831	1068.5	1025.5	1061	1075.5	959.5
drug_110	-831	1061	1091	1022	1134	-449.5
drug_111	-831	1256.5	1229.5	1242	1338	518.5
drug_112	-831	1061	1091	1022	1054	-449.5
drug_113	-831	1061	1091	1022	1089.5	-449.5
drug_114	-831	1061	1091	1022	1131.5	-449.5
drug_115	-831	1061	1091	1022	1074.5	-449.5
drug_116	-831	1061	1091	1022	1098.5	-449.5
drug_117	-831	1061	1091	1022	1141.5	-449.5
drug_118	-831	924	791	909	1028	235
drug_119	-831	1061	1091	1022	1074.5	-449.5
drug_12	-831	-752.5	-993.5	-711.5	830.5	-483.5
drug_120	-831	1061	1091	1022	1089.5	-449.5
drug_121	-831	1231	1294.5	1201.5	1234.5	-580.5
drug_122	-831	1061	1091	1022	1074.5	-449.5
drug_123	-831	1061	1091	1022	1144	-449.5
drug_124	-831	1061	1091	1022	1064	-449.5
drug_125	-831	1061	1091	1022	1168	-449.5
drug_126	-831	1061	1091	1022	1136	-449.5
drug_127	-831	-842	930	-797	755.5	-614
drug_128	-831	1061	1091	1022	1169	-449.5
drug_129	-831	1061	1091	1022	1116.5	-449.5
drug_13	-831	1248.5	708.5	1229.5	828	969.5
drug_130	-831	924	791	909	1089.5	235
drug_131	-831	1061	1091	1022	1089.5	-449.5
drug_132	-831	1061	1091	1022	1089.5	-449.5
drug_133	-831	1061	1091	1022	1170.5	-449.5
drug_134	-831	1061	1091	1022	1136	-449.5
drug_135	-831	-842	930	-797	813	-614
drug_136	-831	1061	1091	1022	1116.5	-449.5
drug_137	-831	-842	930	-797	-766	-614
drug_138	-831	1061	1091	1022	1107.5	-449.5
drug_139	-831	1141	955	1111	1312	353
drug_14	-831	1188	727.5	711.5	571	1290.5
drug_140	-831	1061	1091	1022	1169	-449.5
drug_141	-831	-842	930	-797	772	-614
drug_142	-831	1106.5	969.5	1104.5	1049.5	370.5
drug_143	-831	1186.5	1019.5	1208.5	999.5	809.5
drug_144	-831	1269	1245.5	1280.5	1274.5	846.5
drug_145	-831	1288	1241	1286	1254	621
drug_146	-831	1011.5	1030	1137	962.5	-795
drug_147	-831	-803.5	739.5	886.5	705.5	-759.5
drug_148	-831	1011.5	1030	1137	984.5	-795
drug_149	-831	1011.5	1030	1137	957	-795
drug_15	-831	1336.5	828.5	1316.5	833	1112.5
drug_150	-831	1315.5	1235.5	1321.5	1234	874.5
drug_151	-831	1315.5	1235.5	1321.5	1215	874.5
drug_152	-831	995	964	1098	1003.5	-808
drug_153	-831	1261.5	1194.5	1263.5	1274.5	565.5
drug_154	-831	-803.5	739.5	886.5	771	-759.5
drug_155	-831	1011.5	1030	1137	1006	-795
drug_156	-831	-858	-754	-840	-718	-755
drug_157	-831	-923	750.5	-902	742.5	-838.5
drug_158	-831	995	964	1098	1006.5	-808
drug_159	-831	1349.5	1363.5	1346.5	1353	891.5
drug_16	-831	1336.5	828.5	1316.5	828	1112.5
drug_160	-831	1011.5	1030	1137	1009	-795
drug_161	-831	-803.5	739.5	886.5	771	-759.5
drug_162	-831	1269	1245.5	1280.5	1229.5	846.5
drug_163	-831	1011.5	1030	1137	935.5	-795
drug_164	-831	1269	1245.5	1280.5	1279.5	846.5
drug_165	-831	-899.5	-881.5	-877.5	-856.5	-780.5
drug_166	-831	1011.5	1030	1137	936.5	-795
drug_167	-831	1112.5	1185.5	1088.5	1037	487.5
drug_168	-831	1011.5	1030	1137	982	-795
drug_169	-831	1269	1245.5	1280.5	1229.5	846.5
drug_17	-831	-1007	-1105	-970	-1302	-735
drug_170	-831	1288	1241	1286	1253	621
drug_171	-831	677.5	-688	682	-695	573
drug_172	-831	-841	-921	-818.5	-754.5	-606
drug_173	-831	-595.5	-812.5	-548	-577.5	-927.5
drug_174	-831	-715.5	-1025.5	-592	-707	-965.5
