ad	density	cc	spath	eigencentr	betwcentr
drug_1	-831	1392.5	1328.5	1355.5	-1085	-597.5
drug_10	-831	1434.5	1349.5	-1345.5	1130.5	-476.5
drug_100	-831	-1024.5	-1036.5	-1039.5	-889	-754.5
drug_101	-831	-1024.5	-1036.5	-1039.5	-893	-754.5
drug_102	-831	-1024.5	-1036.5	-1039.5	-886	-754.5
drug_103	-831	-768	-806	-719	-679	-811
drug_104	-831	-768	-806	-719	-673.5	-811
drug_105	-831	-768	-806	-719	-679	-811
drug_106	-831	-1024.5	-1036.5	-1039.5	-808.5	-754.5
drug_107	-831	-1024.5	-1036.5	-1039.5	-883.5	-754.5
drug_108	-831	-768	-806	-719	-684	-811
drug_109	-831	-1024.5	-1036.5	-1039.5	-893	-754.5
drug_11	-831	-1402.5	1371.5	1407	-1467	-1020.5
drug_110	-831	-678.5	-859.5	514	-831	1235.5
drug_111	-831	-936	-1010.5	-871	-975.5	-1084.5
drug_112	-831	-936	-1010.5	-871	-835	-1084.5
drug_113	-831	-936	-1010.5	-871	878	-1084.5
drug_114	-831	-936	-1010.5	-871	-952	-1084.5
drug_115	-831	-936	-1010.5	-871	-975.5	-1084.5
drug_116	-831	-678.5	-859.5	514	-800	1235.5
drug_117	-831	-936	-1010.5	-871	-863	-1084.5
drug_118	-831	-936	-1010.5	-871	-998	-1084.5
drug_119	-831	-936	-1010.5	-871	-798.5	-1084.5
drug_12	-831	-1402.5	1371.5	1407	-1461.5	-1020.5
drug_120	-831	-936	-1010.5	-871	-908	-1084.5
drug_121	-831	-678.5	-859.5	514	-764.5	1235.5
drug_122	-831	-936	-1010.5	-871	-835	-1084.5
drug_123	-831	-936	-1010.5	-871	-998	-1084.5
drug_124	-831	-936	-1010.5	-871	-835	-1084.5
drug_125	-831	-936	-1010.5	-871	-835	-1084.5
drug_126	-831	-936	-1010.5	-871	-1021.5	-1084.5
drug_127	-831	-678.5	-859.5	514	-712	1235.5
drug_128	-831	-678.5	-859.5	514	-785	1235.5
drug_129	-831	-678.5	-859.5	514	-677	1235.5
drug_13	-831	1392.5	1328.5	1355.5	-1082.5	-597.5
drug_130	-831	-936	-1010.5	-871	-879	-1084.5
drug_131	-831	-936	-1010.5	-871	-879	-1084.5
drug_132	-831	-678.5	-859.5	514	-810.5	1235.5
drug_133	-831	-936	-1010.5	-871	-790	-1084.5
drug_134	-831	-678.5	-859.5	514	-691.5	1235.5
drug_135	-831	-936	-1010.5	-871	-908	-1084.5
drug_136	-831	-936	-1010.5	-871	-902.5	-1084.5
drug_137	-831	-936	-1010.5	-871	871	-1084.5
drug_138	-831	-678.5	-859.5	514	-764.5	1235.5
drug_139	-831	-936	-1010.5	-871	-908	-1084.5
drug_14	-831	-1402.5	1371.5	1407	-1460.5	-1020.5
drug_140	-831	-678.5	-859.5	514	-831	1235.5
drug_141	-831	-936	-1010.5	-871	789.5	-1084.5
drug_142	-831	-680.5	-787	-675	-638.5	1071.5
drug_143	-831	-1193.5	-1256.5	-1126.5	1131	-883.5
drug_144	-831	-936	-1105.5	848	-1053	-1023.5
drug_145	-831	887.5	-965	-890	-854.5	828
drug_146	-831	-936	-1105.5	848	-928	-1023.5
drug_147	-831	-680.5	-787	-675	-641	1071.5
drug_148	-831	-680.5	-787	-675	-634.5	1071.5
drug_149	-831	-1193.5	-1256.5	-1126.5	-1153.5	-883.5
drug_15	-831	1434.5	1349.5	-1345.5	1102.5	-476.5
drug_150	-831	887.5	-965	-890	897	828
drug_151	-831	887.5	-965	-890	897	828
drug_152	-831	-1193.5	-1256.5	-1126.5	-1086	-883.5
drug_153	-831	-1193.5	-1256.5	-1126.5	-1130	-883.5
drug_154	-831	-1193.5	-1256.5	-1126.5	-1086	-883.5
drug_155	-831	887.5	-965	-890	993	828
drug_156	-831	887.5	-965	-890	897	828
drug_157	-831	887.5	-965	-890	841	828
drug_158	-831	887.5	-965	-890	862	828
drug_159	-831	-936	-1105.5	848	-932	-1023.5
drug_16	-831	-1402.5	1371.5	1407	-1470.5	-1020.5
drug_160	-831	887.5	-965	-890	897	828
drug_161	-831	-1193.5	-1256.5	-1126.5	-1086	-883.5
drug_162	-831	887.5	-965	-890	1018.5	828
drug_163	-831	-680.5	-787	-675	-724.5	1071.5
drug_164	-831	-1193.5	-1256.5	-1126.5	1097	-883.5
drug_165	-831	887.5	-965	-890	826	828
drug_166	-831	887.5	-965	-890	862	828
drug_167	-831	887.5	-965	-890	993	828
drug_168	-831	-680.5	-787	-675	561	1071.5
drug_169	-831	887.5	-965	-890	862	828
drug_17	-831	-1402.5	1371.5	1407	-1453.5	-1020.5
drug_170	-831	887.5	-965	-890	837	828
drug_171	-831	1195	1059	1182.5	1169	-689
drug_172	-831	1260.5	1097	-1229.5	1216.5	-646.5
drug_173	-831	1164	1051.5	1241.5	1278	-1222
drug_174	-831	1170.5	1038.5	1196.5	1212	-778
drug_175	-831	1260.5	1097	-1229.5	1216.5	-646.5
drug_176	-831	1195	1059	1182.5	1164.5	-689
drug_177	-831	1195	1066.5	1182.5	1195	777.5
drug_178	-831	-1304	-1153	-1300	-1210	-963
drug_179	-831	1260.5	1097	-1229.5	1160.5	-646.5
drug_18	-831	-1432	1387	-1416	-1376	-793
drug_180	-831	1195	1066.5	1182.5	1193.5	777.5
drug_181	-831	1260.5	1097	-1229.5	1202.5	-646.5
drug_182	-831	1260.5	1097	-1229.5	1202.5	-646.5
drug_183	-831	1195	1059	1182.5	1169	-689
drug_184	-831	1260.5	1097	-1229.5	1202.5	-646.5
drug_185	-831	1195	1059	1182.5	1256.5	-689
drug_186	-831	1183.5	1071	1234	1183.5	-1067.5
drug_187	-831	1260.5	1097	-1229.5	1216.5	-646.5
drug_188	-831	1195	1059	1182.5	1265	-689
drug_189	-831	1195	1066.5	1182.5	1193.5	777.5
drug_19	-831	1434.5	1349.5	-1345.5	1094.5	-476.5
drug_190	-831	1260.5	1097	-1229.5	1312.5	-646.5
drug_191	-831	1369	1311.5	-1364	1052.5	-369
drug_192	-831	1195	1059	1182.5	1267	-689
drug_193	-831	1260.5	1097	-1229.5	1145.5	-646.5
drug_194	-831	1260.5	1097	-1229.5	1287.5	-646.5
drug_195	-831	1260.5	1097	-1229.5	1202.5	-646.5
drug_196	-831	1195	1059	1182.5	1093.5	-689
drug_197	-831	1195	1059	1182.5	1164.5	-689
drug_198	-831	1260.5	1097	-1229.5	1312.5	-646.5
drug_199	-831	-1304	-1153	-1300	1235.5	-963
drug_2	-831	1434.5	1349.5	-1345.5	1121.5	-476.5
drug_20	-831	1434.5	1349.5	-1345.5	1107.5	-476.5
drug_200	-831	1183.5	1071	1234	1127.5	-1067.5
drug_201	-831	-936	-1010.5	-871	789.5	-1084.5
drug_202	-831	-936	-1010.5	-871	-908	-1084.5
drug_203	-831	-678.5	-859.5	514	-831	1235.5
drug_204	-831	-936	-1010.5	-871	-835	-1084.5
drug_205	-831	-678.5	-859.5	514	-810.5	1235.5
drug_206	-831	-678.5	-859.5	514	-800	1235.5
drug_207	-831	-936	-1010.5	-871	-835	-1084.5
drug_208	-831	-936	-1010.5	-871	-952	-1084.5
drug_209	-831	-678.5	-859.5	514	-702	1235.5
drug_21	-831	1392.5	1328.5	1355.5	-1069	-597.5
drug_210	-831	-678.5	-859.5	514	-691.5	1235.5
drug_211	-831	-936	-1010.5	-871	-908	-1084.5
drug_212	-831	-936	-1010.5	-871	-835	-1084.5
drug_213	-831	-936	-1010.5	-871	-835	-1084.5
drug_214	-831	-936	-1010.5	-871	-908	-1084.5
drug_215	-831	-936	-1010.5	-871	-879	-1084.5
drug_216	-831	-678.5	-859.5	514	-775	1235.5
drug_217	-831	-936	-1010.5	-871	-975.5	-1084.5
drug_218	-831	-936	-1010.5	-871	-787	-1084.5
drug_219	-831	-936	-1010.5	-871	-902.5	-1084.5
drug_22	-831	1270	882	613	983.5	358
drug_220	-831	-936	-1010.5	-871	-863	-1084.5
drug_221	-831	-678.5	-859.5	514	-691.5	1235.5
drug_222	-831	-936	-1010.5	-871	-998	-1084.5
drug_223	-831	-936	-1010.5	-871	-915	-1084.5
drug_224	-831	-936	-1010.5	-871	-902.5	-1084.5
drug_225	-831	-678.5	-859.5	514	-691.5	1235.5
drug_226	-831	-936	-1010.5	-871	-952	-1084.5
drug_227	-831	-936	-1010.5	-871	-909	-1084.5
drug_228	-831	-678.5	-859.5	514	-785	1235.5
drug_229	-831	-936	-1010.5	-871	-908	-1084.5
drug_23	-831	-1402.5	1371.5	1407	-1474	-1020.5
drug_230	-831	-936	-1010.5	-871	-972.5	-1084.5
drug_231	-831	-936	-1105.5	848	-942.5	-1023.5
drug_232	-831	887.5	-965	-890	781	828
drug_233	-831	887.5	-965	-890	933	828
drug_234	-831	-1193.5	-1256.5	-1126.5	-1220	-883.5
drug_235	-831	-680.5	-787	-675	-634.5	1071.5
drug_236	-831	887.5	-965	-890	862	828
drug_237	-831	887.5	-965	-890	959	828
drug_238	-831	-936	-1105.5	848	-942.5	-1023.5
drug_239	-831	-1193.5	-1256.5	-1126.5	1097	-883.5
drug_24	-831	-1402.5	1371.5	1407	-1474	-1020.5
drug_240	-831	-1193.5	-1256.5	-1126.5	-1049.5	-883.5
drug_241	-831	887.5	-965	-890	933	828
drug_242	-831	-1193.5	-1256.5	-1126.5	-1130	-883.5
drug_243	-831	-1193.5	-1256.5	-1126.5	-1130	-883.5
drug_244	-831	-1193.5	-1256.5	-1126.5	1097	-883.5
drug_245	-831	-1193.5	-1256.5	-1126.5	-1049.5	-883.5
drug_246	-831	887.5	-965	-890	924	828
drug_247	-831	-1193.5	-1256.5	-1126.5	-1049.5	-883.5
drug_248	-831	-1193.5	-1256.5	-1126.5	1131	-883.5
drug_249	-831	887.5	-965	-890	897	828
drug_25	-831	-602	776	-680	-985	914
drug_250	-831	-1193.5	-1256.5	-1126.5	-1086	-883.5
drug_251	-831	-1193.5	-1256.5	-1126.5	-1086	-883.5
drug_252	-831	-1193.5	-1256.5	-1126.5	-1130	-883.5
drug_253	-831	-1193.5	-1256.5	-1126.5	-1153.5	-883.5
drug_254	-831	887.5	-965	-890	819	828
drug_255	-831	-1193.5	-1256.5	-1126.5	-1176	-883.5
drug_256	-831	887.5	-965	-890	897	828
drug_257	-831	887.5	-965	-890	829	828
drug_258	-831	-1193.5	-1256.5	-1126.5	-1176	-883.5
drug_259	-831	887.5	-965	-890	897	828
