ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	132	127	124	129	115	115
Acetylsalicylic_acid	-89	89	92	99	89	98
Alprenolol	173	176	175	173	177	165
Amiloride	-112.5	-134.5	-126.5	-136.5	-134	-117.5
Amlodipine	-86.5	-105.5	-106	-93	-96	-117
Atenolol	-132	-128	-142	-104	-140	-65
Atorvastatin	86	102	113	-102	107	-116
Benazepril	-61	-112	-107	-111	-114	-85
Bendroflumethiazide	-117	-104	-103	-117	-109	-129
Betaxolol	69	105	108	89	101	-84
Bezafibrate	-89	-34	65	23	40	-92
Bisoprolol	105	76	117	-69	83	109
Bumetanide	-73	-71	68	-76	-71	-72
Canrenoic_acid	-144	-145	137	148	148	155
Captopril	117	112	86	112	84	70
Carteolol	57	69	102	66.5	69	58
Carvedilol	-125	-137	-135	-136	-124	-119
Cerivastatin	-128	-146	-157	-137	-144	-112
Chlorhexidine	-166	-167	-169	-157	-168	-148
Chlorthalidone	51.5	99.5	106.5	93.5	105	70.5
Cilnidipine	137	121	121	130	131	145
Cilostazol	79	92	80	96	83	-106
Clofibrate	150	133	130	132	150	156
Clopidogrel	124	124	129	125	121	111
Cyclopenthiazide	62.5	60.5	99	61.5	53	106
Digoxin	-103	-119	-95	-118	-121	-94
Dipyridamole	-89	-88	-102	-91	-95	-127
Dobutamine	-136	-131	-126	-93	-128	-139
Dopamine	80	119	-103	112	96	-88
Enalapril	-72	111	100	108	112	85
Eprosartan	-81.5	-106.5	-110	-107	-114	77
Esmolol	140	100	104	105	106	145
Etacrynic_acid	154	-145	153	-151	-151	-131
Etilefrine	88	92	111	95	114	137
Ezetimibe	147	89	-105	97	80	131
Felodipine	-130	-133	-93	-81	-118	127
Fenofibrate	-112	-100	-99	-107	-108	-102
Fenoldopam	143	165	168	156	166	131
Gemfibrozil	143	159	163	158	161	159
Hydroflumethiazide	-121	-124	-124	-125	-126	-140
Iloprost	-75	-100	-97	-108.5	-99	-99
Indapamide	153	153	158	157	150	159
Irbesartan	-148	-140	-166	-131	-161	-159
Isradipine	131	116	131	131	128	126
Labetalol	-92	-119	-108	-116	-115	-111
Losartan	122	73	-107	70	74	99
Lovastatin	-66	-82	-78	-82	-83	-69
Menadione	102	119	133	117	126	135
Mephentermine	-110	-121	-142	-129	-128	-101
Metolazone	-79.5	-94.5	-119	-90.5	-105	84
Metoprolol	-75	88	-87	-92	-94	-88
Midodrine	-118	-147	-156	-148	-146	-128
Milrinone	126	145	165	132	132	89
Moexipril	103.5	114.5	150	108	136	-105
Nadolol	-130	-90	-91	-96	-90	-96
Niacin	91	92	73	99	74	103
Nicardipine	-129	-151	-158	-151	-150	-127
Nicotinyl_alcohol	135	149	140	155	130	161
Nifedipine	86	129	112	126	123	92
Nimodipine	-90.5	-98.5	-83.5	-104.5	-122	-109.5
Nitrendipine	-87	-89	-90	-91	-91	-101
Nitrofural	-49	-86	-77	53	-71	88
Olmesartan	117.5	152.5	144	130.5	151	147
Ouabain	-106	92	95	-94	93	117
Oxprenolol	-130	-95	-96	-96	-89	-81
Perindopril	149	129	-111	-134	-116	-155
Pindolol	-117	-124	-144	-127	-135	119
Piretanide	123	144	132	145	137	143
Practolol	-20.5	-81.5	-79.5	-77.5	-78	-41.5
Pravastatin	-61.5	-100.5	100	94.5	-100	-81
Probucol	101	105	83	98	86	116
Propranolol	-96.5	-105.5	-136	-102	-117	-112
Quinapril	65	48	47	44	45	78
Quinethazone	60.5	76	86	72	69	64
Ramipril	-83	-69	-111	-73	-97	-50
Rivaroxaban	37	35	38	28	26	77
Rosuvastatin	-76.5	-118.5	-138	-109	128	-93
Simvastatin	150	128	104	129	132	127
Sotalol	-112	-123	-111	-121	-107	-116
Spironolactone	115	142	143	143	139	119
Synephrine	-92	-84	-80	-83	-77	-95
Telmisartan	-149	-130	-123	-136	-112	-147
Ticlopidine	-94	-105	-113	-100	-107	-122
Tienilic_acid	126	128	126	133	129	151
Timolol	83	84	82	54	97	116
Torasemide	120	-88	99	-92	-101	-103
Treprostinil	121	108	72	126	109	157
Triamterene	-149	-159	-157	-162	-161	-148
Valsartan	134	-129	111	136	-115	-125
Warfarin	145	162	169	159	165	121
