ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	91	-93	-94	-93	109.5	92
Acetylsalicylic_acid	91	92	92	92	74.5	-134.5
Alprenolol	91	-93	-94	-93	109.5	92
Amiloride	91	-93	-94	-93	-112	92
Amlodipine	91	-93	-94	-93	128	92
Atenolol	91	-93	-94	-93	-74	92
Atorvastatin	91	-93	-94	-93	74.5	92
Benazepril	91	-93	-94	-93	128	92
Bendroflumethiazide	91	-93	-94	-93	-132.5	92
Betaxolol	91	-93	-94	-93	74.5	92
Bezafibrate	91	-93	-94	-93	74.5	92
Bisoprolol	91	-93	-94	-93	-112	92
Bumetanide	91	-93	-94	-93	128	92
Canrenoic_acid	91	-93	-94	-93	109.5	92
Captopril	91	-93	-94	-93	128	92
Carteolol	91	-93	-94	-93	-112	92
Carvedilol	91	-93	-94	-93	109.5	92
Cerivastatin	91	-93	-94	-93	74.5	92
Chlorhexidine	91	-93	-94	-93	74.5	92
Chlorthalidone	91	-93	-94	-93	109.5	92
Cilnidipine	91	-93	-94	-93	-112	92
Cilostazol	91	-93	-94	-93	-132.5	92
Clofibrate	91	-93	-94	-93	109.5	92
Clopidogrel	91	-93	-94	-93	-112	92
Cyclopenthiazide	91	-93	-94	-93	74.5	92
Digoxin	91	-93	-94	-93	-112	92
Dipyridamole	91	-93	-94	-93	-112	92
Dobutamine	91	-93	-94	-93	128	92
Dopamine	91	-93	-94	-93	109.5	92
Enalapril	91	-93	-94	-93	74.5	92
Eprosartan	91	-93	-94	-93	74.5	92
Esmolol	-133.5	-49.5	-50.5	-48.5	-50.5	-132.5
Etacrynic_acid	-90	-93	-94	-93	-112	-89
Etilefrine	91	-93	-94	-93	109.5	92
Ezetimibe	91	-93	-94	-93	-112	92
Felodipine	91	-93	-94	-93	109.5	92
Fenofibrate	91	-93	-94	-93	-112	92
Fenoldopam	91	-93	-94	-93	-112	92
Gemfibrozil	91	-93	-94	-93	74.5	92
Hydroflumethiazide	91	-93	-94	-93	-112	92
Iloprost	91	-93	-94	-93	-112	92
Indapamide	91	-93	-94	-93	74.5	92
Irbesartan	91	-93	-94	-93	74.5	92
Isradipine	91	-93	-94	-93	-112	92
Labetalol	91	-93	-94	-93	128	92
Losartan	91	-93	-94	-93	-112	92
Lovastatin	-90	-93	-94	-93	-112	134.5
Menadione	91	-93	-94	-93	-74	92
Mephentermine	91	-93	-94	-93	74.5	92
Metolazone	91	-93	-94	-93	-132.5	92
Metoprolol	133.5	133.5	134.5	133.5	134.5	-89
Midodrine	91	-93	-94	-93	109.5	92
Milrinone	91	-93	-94	-93	128	92
Moexipril	91	-93	-94	-93	74.5	92
Nadolol	91	-93	-94	-93	-112	92
Niacin	91	-93	-94	-93	109.5	92
Nicardipine	91	-93	-94	-93	-112	92
Nicotinyl_alcohol	91	-93	-94	-93	-112	92
Nifedipine	91	-93	-94	-93	-112	92
Nimodipine	91	-93	-94	-93	74.5	92
Nitrendipine	91	-93	-94	-93	-112	92
Nitrofural	91	-93	-94	-93	74.5	92
Olmesartan	-135.5	-135.5	92	92	-135.5	-135.5
Ouabain	-133.5	92	92	92	109.5	-132.5
Oxprenolol	91	-93	-94	-93	-112	92
Perindopril	91	-93	-94	-93	-132.5	92
Pindolol	91	-93	-94	-93	-112	92
Piretanide	91	92	92	-135.5	109.5	92
Practolol	91	-93	-94	-93	-112	92
Pravastatin	91	-93	-94	-93	109.5	92
Probucol	-133.5	50.5	-50.5	134.5	-49.5	-132.5
Propranolol	91	-93	-94	-93	-112	92
Quinapril	91	-93	-94	-93	128	92
Quinethazone	91	-93	-94	-93	-132.5	92
Ramipril	-90	-93	-94	-93	-74	-89
Rivaroxaban	135	135	135.5	135.5	135.5	135.5
Rosuvastatin	91	-93	-94	-93	74.5	92
Simvastatin	91	-93	-94	-93	-112	92
Sotalol	91	-93	-94	-93	-112	92
Spironolactone	91	-93	-94	-93	-112	92
Synephrine	91	-93	-94	-93	74.5	92
Telmisartan	91	-93	-94	-93	74.5	92
Ticlopidine	91	-93	-94	-93	74.5	92
Tienilic_acid	91	-93	-94	-93	74.5	92
Timolol	91	-93	-94	-93	-112	92
Torasemide	91	-93	-94	-93	109.5	92
Treprostinil	91	-93	-94	-93	109.5	92
Triamterene	91	-93	-94	-93	128	92
Valsartan	135	135	133.5	-93	133.5	133.5
Warfarin	91	-93	-94	-93	109.5	92
