ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	-91.5	107.5	-95.5	87.5	127.5	-127.5
Acetylsalicylic_acid	-91.5	-112	-95.5	127	-101.5	-92
Alprenolol	-91.5	-112	-95.5	-88	135.5	-92
Amiloride	-91.5	-70	-95.5	-123	-71	128
Amlodipine	91	-67	95	127	95.5	52
Atenolol	-91.5	-112	-95.5	-88	-132	-92
Atorvastatin	-91.5	-112	-95.5	-88	-143.5	-92
Benazepril	-91.5	-112	-95.5	-88	-143.5	128
Bendroflumethiazide	-91.5	-70	-95.5	127	102.5	-127.5
Betaxolol	-91.5	107.5	-95.5	87.5	96	-127.5
Bezafibrate	-133.5	-111	95	-166	-118.5	-97
Bisoprolol	131.5	-112	-95.5	169.5	-101.5	-92
Bumetanide	-91.5	-112	-95.5	-88	-101.5	-92
Canrenoic_acid	-91.5	107.5	-95.5	-123	96	91.5
Captopril	-91.5	-112	-95.5	-88	-101.5	-92
Carteolol	135	148.5	-95.5	133	143.5	137
Carvedilol	-91.5	-112	-95.5	127	-101.5	-92
Cerivastatin	91	107.5	95	-92.5	96	91.5
Chlorhexidine	130.5	-112	-95.5	129	-127	-92
Chlorthalidone	-91.5	-112	-95.5	-88	-101.5	-92
Cilnidipine	-131.5	65	95	127	63	-79
Cilostazol	-91.5	107.5	-95.5	-123	96	91.5
Clofibrate	-91.5	-112	-95.5	-88	-101.5	128
Clopidogrel	-91.5	107.5	-95.5	-123	-101.5	91.5
Cyclopenthiazide	-91.5	107.5	-95.5	87.5	96	-127.5
Digoxin	-135.5	-155	-135.5	-133	-151	-135
Dipyridamole	-91.5	-112	-95.5	-88	-143.5	-92
Dobutamine	-91.5	-112	-95.5	-88	-101.5	-92
Dopamine	-91.5	107.5	-95.5	87.5	72.5	-127.5
Enalapril	-91.5	-112	-95.5	-88	122	-92
Eprosartan	-91.5	107.5	-95.5	87.5	96	-127.5
Esmolol	-91.5	-112	-95.5	-88	127.5	-92
Etacrynic_acid	-91.5	-70	-95.5	-123	-71	134
Etilefrine	-91.5	-112	-95.5	-88	-132	-92
Ezetimibe	-91.5	-112	-95.5	-88	-101.5	132.5
Felodipine	-91.5	-112	-95.5	-88	-101.5	128
Fenofibrate	-91.5	-70	-95.5	-123	-71	128
Fenoldopam	-91.5	107.5	-95.5	87.5	135.5	-127.5
Gemfibrozil	-91.5	-112	-95.5	-88	96	-92
Hydroflumethiazide	-91.5	-112	-95.5	-88	-101.5	-92
Iloprost	-91.5	-112	-95.5	-88	104	-92
Indapamide	-91.5	-112	-95.5	-88	167	-92
Irbesartan	-91.5	62.5	-95.5	128	87	-119
Isradipine	-91.5	-112	-95.5	127	-101.5	-92
Labetalol	-133.5	-111	95	-80	-119.5	128
Losartan	-91.5	-70	-95.5	-123	-71	128
Lovastatin	-91.5	-112	-95.5	-88	135.5	-92
Menadione	-91.5	-70	-95.5	127	-71	-57
Mephentermine	-91.5	107.5	-95.5	-123	122	91.5
Metolazone	135	106	134.5	173.5	111.5	96.5
Metoprolol	-91.5	-112	-95.5	-88	-143.5	-92
Midodrine	-91.5	-112	-95.5	-88	-101.5	128
Milrinone	-91.5	107.5	-95.5	87.5	135.5	-127.5
Moexipril	-91.5	107.5	-95.5	87.5	72.5	-127.5
Nadolol	-91.5	-112	-95.5	-88	-143.5	-92
Niacin	-91.5	107.5	-95.5	-134	-101.5	91.5
Nicardipine	-91.5	107.5	-95.5	-134	122	91.5
Nicotinyl_alcohol	-91.5	-112	-95.5	127	-132	-92
Nifedipine	-91.5	107.5	-95.5	-123	135.5	91.5
Nimodipine	133.5	147	135.5	132	142.5	133
Nitrendipine	-91.5	-112	-95.5	-88	-143.5	-92
Nitrofural	-91.5	107.5	-95.5	-123	127.5	91.5
Olmesartan	-91.5	107.5	-95.5	-123	96	91.5
Ouabain	-91.5	-112	-95.5	119.5	-101.5	-92
Oxprenolol	-91.5	-112	-95.5	-88	-127	-92
Perindopril	-91.5	-112	-95.5	-88	-101.5	95.5
Pindolol	-91.5	-112	-95.5	-88	-101.5	-92
Piretanide	-133.5	-153	95	-132	-94.5	134
Practolol	-91.5	-112	-95.5	-88	-127	-92
Pravastatin	-91.5	-112	-95.5	-88	-127	-92
Probucol	-91.5	-112	-95.5	-88	135.5	-92
Propranolol	-91.5	107.5	-95.5	87.5	-83	-127.5
Quinapril	-91.5	65	-95.5	-134	82	52
Quinethazone	-91.5	-112	-95.5	-88	-101.5	-92
Ramipril	91	107.5	95	87.5	122	-101
Rivaroxaban	-91.5	-112	-95.5	-88	122	-92
Rosuvastatin	132.5	-70	-95.5	131	63.5	131
Simvastatin	-91.5	-112	-95.5	-88	135.5	-92
Sotalol	-91.5	-112	-95.5	-88	-101.5	-92
Spironolactone	-91.5	-70	-95.5	-123	-101.5	134
Synephrine	-91.5	107.5	-95.5	87.5	104	-119
Telmisartan	-47.5	-67	-55.5	45	-88.5	-134
Ticlopidine	-91.5	-112	-95.5	-88	-132	-92
Tienilic_acid	-91.5	107.5	-95.5	87.5	127.5	-127.5
Timolol	-91.5	-112	-95.5	-88	-143.5	123.5
Torasemide	91	107.5	95	87.5	72.5	-172.5
Treprostinil	-91.5	-112	-95.5	-88	-127	-92
Triamterene	91	-70	95	-130	89	52
Valsartan	-91.5	-70	-95.5	127	-71	-57
Warfarin	-91.5	-112	-95.5	127	-101.5	-92
