ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	-84.5	97.5	98.5	91.5	-107	-91.5
Acetylsalicylic_acid	-84.5	97.5	98.5	91.5	-89.5	-91.5
Alprenolol	-84.5	97.5	98.5	91.5	-107	-91.5
Amiloride	-129	-132	55	-132	-135.5	-133
Amlodipine	-84.5	97.5	98.5	91.5	53.5	-91.5
Atenolol	-84.5	97.5	98.5	91.5	135	-91.5
Atorvastatin	-84.5	97.5	98.5	91.5	-131.5	-91.5
Benazepril	-84.5	97.5	98.5	91.5	-150	-91.5
Bendroflumethiazide	131.5	139.5	139.5	137.5	116	133.5
Betaxolol	-84.5	97.5	98.5	91.5	119	-91.5
Bezafibrate	-84.5	97.5	98.5	91.5	-119	-91.5
Bisoprolol	-84.5	97.5	98.5	91.5	-150	-91.5
Bumetanide	-84.5	97.5	98.5	91.5	120.5	-91.5
Canrenoic_acid	-84.5	97.5	98.5	91.5	-93.5	-91.5
Captopril	-124.5	52.5	-50.5	51.5	57.5	-50.5
Carteolol	-84.5	97.5	98.5	91.5	-86	-91.5
Carvedilol	-132	-135	-135	-133	-137.5	126
Cerivastatin	-84.5	97.5	98.5	91.5	-119	-91.5
Chlorhexidine	129.5	135.5	136.5	130.5	151.5	127.5
Chlorthalidone	-125	56.5	59	-52.5	-53.5	-54
Cilnidipine	-84.5	97.5	98.5	91.5	65	-91.5
Cilostazol	-128.5	-133.5	-134.5	-132.5	161.5	-133.5
Clofibrate	130.5	138.5	138.5	138.5	115	132.5
Clopidogrel	-84.5	97.5	98.5	91.5	-150	-91.5
Cyclopenthiazide	-84.5	97.5	98.5	91.5	120.5	-91.5
Digoxin	-43.5	50.5	58.5	49.5	82.5	131.5
Dipyridamole	-131	-134	-136	-134	-136.5	-134
Dobutamine	-127.5	-132.5	55.5	134.5	30	-131.5
Dopamine	-84.5	97.5	98.5	91.5	75.5	-91.5
Enalapril	-84.5	97.5	98.5	91.5	120.5	-91.5
Eprosartan	-84.5	97.5	98.5	91.5	94	-91.5
Esmolol	-84.5	97.5	98.5	91.5	-99	-91.5
Etacrynic_acid	-84.5	97.5	98.5	91.5	-103	-91.5
Etilefrine	-84.5	97.5	98.5	91.5	94.5	-91.5
Ezetimibe	-84.5	97.5	98.5	91.5	78	-91.5
Felodipine	132	138	139	133	153.5	132
Fenofibrate	-127	-130	-133	-130	-133.5	-130
Fenoldopam	-84.5	97.5	98.5	91.5	-121.5	-91.5
Gemfibrozil	-84.5	97.5	98.5	91.5	135	-91.5
Hydroflumethiazide	-84.5	97.5	98.5	91.5	119	-91.5
Iloprost	-84.5	97.5	98.5	91.5	-107	-91.5
Indapamide	-84.5	97.5	98.5	91.5	68	-91.5
Irbesartan	-84.5	97.5	98.5	91.5	-121.5	-91.5
Isradipine	129.5	135.5	136.5	130.5	166.5	127.5
Labetalol	-131.5	-136.5	-137.5	-136.5	-163	-137.5
Losartan	-84.5	97.5	98.5	91.5	68	-91.5
Lovastatin	-84.5	97.5	98.5	91.5	94.5	-91.5
Menadione	-84.5	97.5	98.5	91.5	142.5	-91.5
Mephentermine	-84.5	97.5	98.5	91.5	135	-91.5
Metolazone	-84.5	97.5	98.5	91.5	119	-91.5
