ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	89.5	-94	-96	-90	-129.5	88.5
Acetylsalicylic_acid	89.5	-94	-96	-90	97	88.5
Alprenolol	89.5	-94	-96	-90	-97	88.5
Amiloride	89.5	-94	-96	-90	-77	88.5
Amlodipine	89.5	-94	-96	-90	-97	88.5
Atenolol	89.5	-94	-96	-90	-118	88.5
Atorvastatin	-133	-137	-53	-132	-108	-133
Benazepril	89.5	-94	-96	-90	-118	88.5
Bendroflumethiazide	89.5	-94	-96	-90	-129.5	88.5
Betaxolol	89.5	-94	-96	-90	158.5	88.5
Bezafibrate	89.5	-94	-96	-90	-129.5	88.5
Bisoprolol	89.5	-94	-96	-90	-166.5	88.5
Bumetanide	89.5	-94	-96	-90	-127.5	88.5
Canrenoic_acid	89.5	-94	-96	-90	130	88.5
Captopril	89.5	-94	-96	-90	167	88.5
Carteolol	-135	-136	-138	-136	-137	134
Carvedilol	45.5	-49	-52	46	79	-131
Cerivastatin	89.5	-94	-96	-90	-118	88.5
Chlorhexidine	-134	-138	-54	-134	-139	130.5
Chlorthalidone	89.5	-94	-96	-90	87.5	88.5
Cilnidipine	133.5	135.5	-53	134	177.5	133
Cilostazol	89.5	-94	-96	-90	120	88.5
Clofibrate	89.5	-94	-96	-90	130	88.5
Clopidogrel	89.5	-94	-96	-90	130	88.5
Cyclopenthiazide	89.5	-94	-96	-90	-137.5	88.5
Digoxin	89.5	-94	-96	-90	125.5	88.5
Dipyridamole	89.5	-94	-96	-90	-127.5	88.5
Dobutamine	89.5	-94	-96	-90	-118	88.5
Dopamine	89.5	-94	-96	-90	-97	88.5
Enalapril	89.5	-94	-96	-90	-77	88.5
Eprosartan	89.5	-94	-96	-90	97.5	88.5
Esmolol	89.5	-94	-96	-90	97.5	88.5
Etacrynic_acid	89.5	-94	-96	-90	73	88.5
Etilefrine	89.5	-94	-96	-90	158.5	88.5
Ezetimibe	133.5	135.5	136	133	58	131
Felodipine	89.5	-94	-96	-90	-97.5	88.5
Fenofibrate	90	-50.5	-51	90	-51	90
Fenoldopam	89.5	-94	-96	-90	-102.5	88.5
Gemfibrozil	89.5	-94	-96	-90	-118	88.5
Hydroflumethiazide	89.5	-94	-96	-90	-97	88.5
Iloprost	47.5	49.5	-51	48	-72	-134
Indapamide	135	137	137	135	142	135
Irbesartan	89.5	-94	-96	-90	-77	88.5
Isradipine	89.5	-94	-96	-90	120	88.5
Labetalol	89.5	-94	-96	-90	75.5	88.5
Losartan	89.5	-94	-96	-90	-77	88.5
Lovastatin	89.5	-94	-96	-90	-129.5	88.5
Menadione	89.5	-94	-96	-90	-102.5	88.5
Mephentermine	89.5	-94	-96	-90	-160	88.5
Metolazone	134.5	136.5	-138	134.5	176.5	133.5
Metoprolol	89.5	-94	-96	-90	-97	88.5
Midodrine	89.5	-94	-96	-90	-148.5	88.5
Milrinone	-132.5	51	-52	-133.5	-82.5	-129
Moexipril	132	52	-50	-135	57	-130
Nadolol	89.5	-94	-96	-90	148.5	88.5
Niacin	89.5	-94	-96	-90	-77	88.5
Nicardipine	89.5	-94	-96	-90	125.5	88.5
Nicotinyl_alcohol	89.5	-94	-96	-90	-134.5	88.5
Nifedipine	89.5	-94	-96	-90	-97	88.5
Nimodipine	89.5	-94	-96	-90	97	88.5
Nitrendipine	89.5	-94	-96	-90	64.5	88.5
Nitrofural	89.5	-94	-96	-90	-127.5	88.5
Olmesartan	89.5	-94	-96	-90	-97	88.5
Ouabain	89.5	-94	-96	-90	101.5	88.5
Oxprenolol	89.5	-94	-96	-90	-118	88.5
Perindopril	89.5	-94	-96	-90	-97	88.5
Pindolol	89.5	-94	-96	-90	-129.5	88.5
Piretanide	89.5	-94	-96	-90	-160	88.5
Practolol	89.5	-94	-96	-90	125.5	88.5
Pravastatin	133.5	135.5	136.5	133.5	-54	-132
Probucol	89.5	-94	-96	-90	101.5	88.5
Propranolol	-131	-52	49.5	-48	-52	132.5
Quinapril	89.5	-94	-96	-90	-107.5	88.5
Quinethazone	89.5	-94	-96	-90	-97	88.5
Ramipril	89.5	-94	-96	-90	125.5	88.5
Rivaroxaban	89.5	-94	-96	-90	73	88.5
Rosuvastatin	89.5	-94	-96	-90	-65	88.5
Simvastatin	89.5	-94	-96	-90	-97	88.5
Sotalol	89.5	-94	-96	-90	-77	88.5
Spironolactone	89.5	-94	-96	-90	87.5	88.5
Synephrine	89.5	-94	-96	-90	-65	88.5
Telmisartan	89.5	-94	-96	-90	-97	88.5
Ticlopidine	89.5	-94	-96	-90	-137.5	88.5
Tienilic_acid	89.5	-94	-96	-90	156.5	88.5
Timolol	89.5	-94	-96	-90	138.5	88.5
Torasemide	89.5	-94	-96	-90	97	88.5
Treprostinil	89.5	-94	-96	-90	40.5	88.5
Triamterene	89.5	-94	-96	-90	125.5	88.5
Valsartan	89.5	-94	-96	-90	136	88.5
Warfarin	89.5	-94	-96	-90	-129.5	88.5
