ad	density	cc	spath	eigencentr	betwcentr
Acebutolol	91.5	-93	93.5	92.5	-92.5	91.5
Acetylsalicylic_acid	91.5	-93	93.5	92.5	82	91.5
Alprenolol	91.5	-93	93.5	92.5	-126.5	91.5
Amiloride	91.5	-93	93.5	92.5	132.5	91.5
Amlodipine	91.5	-93	93.5	92.5	-151.5	91.5
Atenolol	91.5	-93	93.5	92.5	98.5	91.5
Atorvastatin	-133.5	91.5	-135.5	-135.5	82	-133.5
Benazepril	91.5	-93	93.5	92.5	-126.5	91.5
Bendroflumethiazide	91.5	-93	93.5	92.5	132.5	91.5
Betaxolol	91.5	-93	93.5	92.5	66.5	91.5
Bezafibrate	91.5	-93	93.5	92.5	-126.5	91.5
Bisoprolol	91.5	-93	93.5	92.5	-67.5	91.5
Bumetanide	91.5	-93	93.5	92.5	98.5	91.5
Canrenoic_acid	91.5	-93	93.5	92.5	154.5	91.5
Captopril	91.5	-93	93.5	92.5	132.5	91.5
Carteolol	91.5	91.5	93.5	92.5	40	-133
Carvedilol	91.5	-93	93.5	92.5	-126.5	91.5
Cerivastatin	91.5	-93	93.5	92.5	-91.5	91.5
Chlorhexidine	137	137	-48	137	157	-136
Chlorthalidone	91.5	-93	93.5	92.5	98.5	91.5
Cilnidipine	-136	-138	49.5	-136	-154.5	135.5
Cilostazol	91.5	-93	93.5	92.5	-148.5	91.5
Clofibrate	91.5	-93	93.5	92.5	-126.5	91.5
Clopidogrel	91.5	-93	93.5	92.5	98.5	91.5
Cyclopenthiazide	91.5	-93	93.5	92.5	98.5	91.5
Digoxin	91.5	-93	93.5	92.5	-126.5	91.5
Dipyridamole	91.5	-93	93.5	92.5	-73.5	91.5
Dobutamine	91.5	-93	93.5	92.5	100.5	91.5
Dopamine	91.5	-93	93.5	92.5	-92.5	91.5
Enalapril	91.5	-93	93.5	92.5	48	91.5
Eprosartan	91.5	-93	93.5	92.5	-151.5	91.5
Esmolol	91.5	-93	93.5	92.5	98.5	91.5
Etacrynic_acid	91.5	-93	93.5	92.5	78	91.5
Etilefrine	91.5	-93	93.5	92.5	-92.5	91.5
Ezetimibe	91.5	91.5	93.5	92.5	153.5	91.5
Felodipine	91.5	-93	93.5	92.5	-91.5	91.5
Fenofibrate	91.5	-93	93.5	92.5	132.5	91.5
Fenoldopam	91.5	-93	93.5	92.5	-126.5	91.5
Gemfibrozil	91.5	-93	93.5	92.5	-92.5	91.5
Hydroflumethiazide	91.5	-93	93.5	92.5	100.5	91.5
Iloprost	-133	-135	-134	92.5	-115.5	-132
Indapamide	-132	91.5	93.5	-134	-65.5	91.5
Irbesartan	91.5	-93	93.5	92.5	98.5	91.5
Isradipine	91.5	-93	93.5	92.5	-126.5	91.5
Labetalol	91.5	-93	93.5	92.5	154.5	91.5
Losartan	91.5	-93	93.5	92.5	-91.5	91.5
Lovastatin	91.5	-93	93.5	92.5	98.5	91.5
Menadione	91.5	-93	93.5	92.5	-74.5	91.5
Mephentermine	91.5	-93	93.5	92.5	100.5	91.5
Metolazone	135	135	-135.5	136	68	-133.5
Metoprolol	91.5	-93	93.5	92.5	-148.5	91.5
Midodrine	91.5	-93	93.5	92.5	-91.5	91.5
Milrinone	-134	-136	-135	-48	-100.5	47
Moexipril	-135	-137	-136	-135	-153.5	-134
Nadolol	91.5	-93	93.5	92.5	-126.5	91.5
Niacin	91.5	-93	93.5	92.5	98.5	91.5
Nicardipine	91.5	-93	93.5	92.5	-126.5	91.5
Nicotinyl_alcohol	91.5	-93	93.5	92.5	132.5	91.5
Nifedipine	91.5	-93	93.5	92.5	132.5	91.5
Nimodipine	91.5	-93	93.5	92.5	-91.5	91.5
Nitrendipine	91.5	-93	93.5	92.5	132.5	91.5
Nitrofural	91.5	-93	93.5	92.5	120.5	91.5
Olmesartan	91.5	-93	93.5	92.5	100.5	91.5
Ouabain	91.5	-93	93.5	92.5	132.5	91.5
Oxprenolol	91.5	-93	93.5	92.5	-91.5	91.5
Perindopril	91.5	-93	93.5	92.5	48	91.5
Pindolol	91.5	-93	93.5	92.5	100.5	91.5
Piretanide	91.5	-93	93.5	92.5	132.5	91.5
Practolol	91.5	-93	93.5	92.5	132.5	91.5
Pravastatin	48	48	-49	49	37	136
Probucol	91.5	-93	93.5	92.5	71.5	91.5
Propranolol	136	136	137	-49	156	135
Quinapril	91.5	-93	93.5	92.5	-148.5	91.5
Quinethazone	91.5	-93	93.5	92.5	103	91.5
Ramipril	91.5	-93	93.5	92.5	100.5	91.5
Rivaroxaban	91.5	-93	93.5	92.5	-126.5	91.5
Rosuvastatin	91.5	-93	93.5	92.5	153.5	91.5
Simvastatin	91.5	-93	93.5	92.5	100.5	91.5
Sotalol	91.5	-93	93.5	92.5	100.5	91.5
Spironolactone	91.5	-93	93.5	92.5	-126.5	91.5
Synephrine	91.5	-93	93.5	92.5	82	91.5
Telmisartan	91.5	-93	93.5	92.5	132.5	91.5
Ticlopidine	91.5	-93	93.5	92.5	98.5	91.5
Tienilic_acid	91.5	-93	93.5	92.5	98.5	91.5
Timolol	91.5	-93	93.5	92.5	-126.5	91.5
Torasemide	91.5	-93	93.5	92.5	-126.5	91.5
Treprostinil	91.5	-93	93.5	92.5	132.5	91.5
Triamterene	91.5	-93	93.5	92.5	-73.5	91.5
Valsartan	91.5	-93	93.5	92.5	98.5	91.5
Warfarin	91.5	-93	93.5	92.5	153.5	91.5
