	ad	density	cc	spath	eigencentr	betwcentr
drug_1	-819	-1026	-1064.5	-953	902	930
drug_10	953.5	1360.5	1188.5	998	1521	-1100
drug_100	-942	-1129	-837.5	653	752	-718
drug_101	444.5	-950.5	981.5	636.5	858	-986
drug_102	548	999	925.5	799.5	1092.5	-1262
drug_103	-881.5	-1069.5	909.5	668.5	-847	840.5
drug_104	520	877	884.5	-1042.5	934.5	-1197.5
drug_105	-542.5	-886.5	-886.5	-868	-916	-1004
drug_106	-780	-991	980.5	736.5	994.5	-927
drug_107	-821.5	-1032.5	972.5	-896	-1143	-978
drug_108	517.5	946.5	968.5	638.5	1043	-1172.5
drug_109	429	850	836.5	692.5	831.5	-901
drug_11	258	-984.5	790.5	848.5	1037.5	992.5
drug_110	-733	832	990.5	1126	-1001	1087
drug_111	682	751	693.5	1192	-913	-1045
drug_112	810.5	-981.5	966.5	1138	-1168.5	-1142.5
drug_113	1215.5	1303.5	-847.5	1271	-1112	-1068
drug_114	-762	897.5	975.5	1118	-1069	-1106
drug_115	758	848	901.5	1004	-1003	920
drug_116	786.5	-1033	982.5	889	-1178	-1014
drug_117	-879	-922	-808.5	1185	-1252	-1177
drug_118	764	825	871.5	1028	-1011	-1015
drug_119	934	1082	1021.5	1021	971	896
drug_12	-1322	-1374	-1140.5	895	994	964
drug_120	695.5	-936.5	894.5	1102	-1071	-1052
drug_121	-834.5	-941.5	860.5	1110	-1087	-1158
drug_122	-839	-983	-784.5	1166	-1119	1078
drug_123	785.5	-945	1022.5	1087	-1129	1036
drug_124	755.5	-996	873.5	1125	-1176	1037
drug_125	-851.5	-1061.5	1016.5	1124	-1211	1148
drug_126	-776.5	-941.5	841.5	-1134	-1184	-1065
drug_127	-585	-953	-726.5	990	-1047	972
drug_128	1142.5	1237.5	1213.5	1215	1151	1344
drug_129	805.5	-1017.5	985.5	966	-1143.5	-1013.5
drug_13	-753.5	-1181.5	-1133.5	1068	-1021	-1376
drug_130	715.5	887.5	914.5	901	-1049	-1042
drug_131	683	-913.5	-848.5	1074	-1114	1004
drug_132	-793.5	-1042.5	-869.5	919	-1190	-977
drug_133	728.5	907.5	946.5	924	-795	986
drug_134	-802	-1019	-873.5	-1160	-1245	964
drug_135	705.5	-986	880.5	1107	-1089	1049
drug_136	1132.5	1234.5	1222.5	1222	1150	1356
drug_137	746.5	-882	818.5	975	-953	861
drug_138	-735.5	-907.5	866.5	1127	-1058.5	1003
drug_139	748.5	867.5	-856.5	-1001	-1067.5	-976
drug_14	525.5	-873.5	731.5	943.5	970.5	917.5
drug_140	691.5	922.5	983.5	807	-1006	965
drug_141	-816.5	-1010.5	953.5	-1156	-1054	1100
drug_142	459.5	547.5	-744.5	1143	-910	-1335
drug_143	-592	472	-612.5	1204	-890	-1174
drug_144	-768	-856	-740	1127	-981.5	1054
drug_145	734.5	960.5	-746.5	877	849.5	-1379
drug_146	741.5	965.5	-737.5	-886	-939	-1366
drug_147	517.5	621.5	-703.5	1141	-1166	-1172
drug_148	435.5	543.5	-733.5	1164	846.5	-1368
