ad	density	cc	spath	eigencentr	betwcentr
drug_1	-688.5	-877.5	-1110.5	926	1082	-1317
drug_10	-990	-1107	993.5	-1068	1084	-754
drug_100	-894	1032	910.5	826	-821.5	-755
drug_101	963.5	956.5	902.5	770	-748	-792.5
drug_102	1097	1032	865	966.5	756	-1194.5
drug_103	931	1058	901	726.5	-637	-889.5
drug_104	915	897	860.5	1085	738	-918.5
drug_105	759.5	1018.5	865	925.5	-626.5	-859.5
drug_106	1034.5	1039.5	858.5	1081	-691.5	-1051.5
drug_107	732	965	865	989.5	-855	-1023
drug_108	1006.5	980.5	918	1201.5	924	-999.5
drug_109	1019	1090	-877.5	990.5	-712	-1086.5
drug_11	-915	-1072	929	-1034	-881	-786
drug_110	-1198	860	954.5	-993.5	-1028	797
drug_111	-1276	932	954.5	-1331.5	-1393	747
drug_112	-1313	-979	954.5	-1293	-1316.5	816
drug_113	-1241	907.5	937	-1018	-1047.5	882.5
drug_114	-1398	-1064	961	-1237	-1367.5	807.5
drug_115	-1424	-1053	947	-1425.5	-1498.5	806.5
drug_116	-1461	-1117	968.5	-1367	-1453	715
drug_117	-1456	-1084	968.5	-1408.5	-1503	787
drug_118	-1252	1034	954.5	-986	-873	937
drug_119	-1457	-1111	904.5	-1157	-1392	758
drug_12	1005.5	976.5	-1131.5	-619.5	875	-1282.5
drug_120	-1306	-993	923.5	-1262	-1338.5	845
drug_121	-1268	-902	961	-1339.5	-1372.5	-586.5
drug_122	-1457	-1087	968.5	-1387.5	-1502	572
drug_123	-1227	986	961	-1036	-939.5	836.5
drug_124	-1302	-962	926.5	-1345	-1333	1012
drug_125	-1460	-1119	925.5	-1380	-1438.5	740
drug_126	-1493	-1146	930.5	-1335	-1445.5	808
drug_127	-1209	1112	961	-914.5	-1138	1035.5
drug_128	-1230	1021	947	-1053	-1035.5	794.5
drug_129	-1315	-990	954.5	-1259	-1364	786
drug_13	1200.5	-1306	-1043.5	-1002	1141	-866
drug_130	-1312	1041.5	968.5	-1306	-1354	755
drug_131	-1491	-1249	954.5	-1314	-1447	898
drug_132	-1342	-1023	934.5	-1272	-1378.5	945
drug_133	-1164	958.5	1061.5	-1166	-1082.5	774
drug_134	-1311	-958	968.5	-1300	-1323	960
drug_135	950	932	961	-1044	868.5	-783
drug_136	-1466	-1123	961	-1372	-1425	780.5
drug_137	-1495	-1149	947	-1354	-1441	824.5
drug_138	-1456	-1118	947	-1381	-1440.5	786.5
drug_139	-1303	-964	937	-1281	-1363	-664
drug_14	1087.5	-1302	-1206.5	-1093.5	-897	-846.5
drug_140	-1465	-1135	954.5	-1363	-1431.5	768
drug_141	-1264	901.5	940.5	-1337.5	-1364	856
drug_142	653	-1032	-645.5	524.5	846	811.5
drug_143	724.5	-992	-1201.5	615	1067	-716
drug_144	753	-756	-941.5	841	1060	-880
drug_145	693	783	-976.5	950	1029	-849
drug_146	722	-994	-853.5	675	1041	-657
drug_147	700.5	-1043	-969.5	704	970	-708
drug_148	698	-893	-904.5	804.5	872.5	-879
drug_149	713	-718	-849.5	453.5	701	-870
drug_15	1189.5	-1281	-1012.5	-1042.5	958	-789.5
drug_150	763	-1148	-1196.5	803	1080	-763
drug_151	730.5	-726	-705.5	559.5	1029.5	-917
drug_152	743.5	-674	-944.5	745.5	1074	-1082
drug_153	672	-748	-1013.5	560.5	768	-804
drug_154	677	-937	-782.5	519	1055.5	-852
drug_155	-572	-1090	-1198.5	563	962	-841
drug_156	664	-1046	-1157.5	932	1011	-923
drug_157	743.5	-1099	-1179.5	541	1077	-762
drug_158	-611	-1167	-1194.5	727	1027	-753
drug_159	739.5	-1191	-1136.5	641	882.5	818
drug_16	1075.5	-1217	-1207.5	-1081	925	-867
drug_160	-605	-1163	-1187.5	855	1063	-847
drug_161	485	-963	-1120.5	752.5	633.5	867.5
drug_162	672	-1158	-1190.5	844.5	994	-801
drug_163	778	-1035	-959.5	601.5	966.5	-850
drug_164	498	-796	-770.5	566.5	690	914.5
drug_165	533	-1008	-834.5	523.5	603.5	893.5
drug_166	644.5	-1066	-693.5	615.5	845.5	832.5
drug_167	-656	-1234	-1112.5	434	618	920
drug_168	-534	-1109	-1182.5	433	554	895
drug_169	-513	-1070	-814.5	454.5	570	965.5
drug_17	969.5	931.5	-1221.5	-715.5	931	-1192.5
drug_170	-493	-1076	-655.5	621.5	573	912.5
drug_171	-924	-1034	745	-990	-1093.5	879.5
drug_172	-984	-1083	745	-1016	-1135.5	1031.5
drug_173	-687	-822	-1125.5	-666	-752	-947
drug_174	-957	-1100	621.5	-1026	-1139.5	836
drug_175	-1111	-1227	646.5	-1099	-1206	849
drug_176	-1117	-1231	734	-1101	-1231	979.5
drug_177	670.5	926.5	-953.5	964	532	1039
drug_178	-868	-982	-1098.5	-837	-948	962
drug_179	-416	991.5	-951.5	610	-585	-964
drug_18	1195	-1234	944.5	-1000.5	-843	-849.5
drug_180	-869	-981	-1083.5	934	-951	964
drug_181	-1110	-1225	745	-1103	-1220	1036.5
drug_182	576	832	-862.5	856.5	761.5	937.5
drug_183	-1026	-1137	-1035.5	-1027	-1164.5	797
drug_184	-1088	-1199	803.5	-1088	-1194	954
drug_185	-1017	-1127	-998.5	-1039	-1162	1083.5
drug_186	-790	-931	706.5	-854	-815	676
drug_187	-1019	-1142	-1021.5	-1023	-1170	1081.5
drug_188	-1087	-1204	726.5	-1084	-1192.5	1058
drug_189	-770	-904	822	-833	-815	804.5
drug_19	973	-1064	-1236.5	-853.5	-641	-1281.5
drug_190	-1112	-1226	745	-1098	-1224	1029.5
drug_191	-850	-1298	-1007.5	1017	-935	858
drug_192	-1113	-1228	-734.5	-1105	-1221	950.5
drug_193	-676	-839	-1127.5	797.5	-576.5	1052.5
drug_194	-1046	-1166	-1009.5	-1056	-1149.5	880.5
drug_195	-1018	-1133	-1000.5	-1048	-1151	846.5
drug_196	-786	-930	-617.5	-857	-807	944
drug_197	-978	-1089	745	-974	-1134	851.5
drug_198	-1023	-1141	-1033.5	-1029	-1159.5	1053.5
drug_199	-863	986.5	-1088.5	-917	-1018	1173
drug_2	939	999	995.5	-614	1112	-1207
drug_20	956	-1364.5	-1237.5	-962	934	-1222
drug_200	-1014	-1134	-1023.5	-979	-1167	986.5
drug_201	-1301	-1271	713	-1426.5	-1506	605.5
drug_202	-1129	-1118	713	-1291.5	-1358.5	511.5
drug_203	-1296	-1275	713	-1429.5	-1503.5	539.5
drug_204	-1355	-1390	713	-1353.5	-1389	414.5
drug_205	-1045	-1027	-1036.5	-1224.5	-1277	-933.5
drug_206	-1267	-1297	796.5	-1193.5	-1277	447
drug_207	-1297	-1325	703	-1272.5	-1310	604.5
drug_208	-1191	-1232	673	-1227.5	-1272	396.5
drug_209	-1238	-1248	608.5	-1229.5	-1249	380
drug_21	1038.5	914.5	-1227.5	-779	919	-1367
drug_210	-807	-876	713	900.5	716.5	438.5
drug_211	-819	956.5	-839.5	1062	-661.5	-578.5
drug_212	-1203	-1230	597.5	-1238.5	-1262	376
drug_213	991.5	-873	713	1218.5	-872.5	382.5
drug_214	792.5	-760.5	713	1127.5	-956.5	410.5
drug_215	-1308	-1343	777.5	-1244	-1425	851
drug_216	-618	760	793	-832.5	-878	-640.5
drug_217	-1202	-1246	713	-1225.5	-1233	485.5
drug_218	-1162	-1149	879.5	-1297.5	-1348	461
drug_219	758.5	711.5	752.5	-961.5	-873.5	-635.5
drug_22	1420.5	1419.5	1160.5	-1338	1469	759
drug_220	-1122.5	-1168.5	-1026.5	-1128.5	-1135	402.5
drug_221	-1318	-1288	861.5	-1406.5	-1501	708
drug_222	-661.5	818.5	-873.5	-865.5	-802.5	-622.5
drug_223	-1264	-1304	713	-1192.5	-1260	428.5
drug_224	-1146	-1127	673	-1289.5	-1342	512.5
drug_225	-1206	-1235	802	-1233.5	-1259	564.5
drug_226	-1283	-1309	739.5	-1231.5	-1253	561
drug_227	-1138	-1172	-1048.5	-1123.5	-1057	461.5
drug_228	-1357	-1393	835.5	-1352.5	-1379	507
drug_229	-681	855.5	786.5	949	-945.5	-736.5
drug_23	904	1009	929	-697	803	-1251
drug_230	-1217	-1190	713	-1272.5	-1393.5	462.5
drug_231	-892.5	-1321.5	884.5	-893	-804.5	-566
drug_232	-431.5	-924.5	899	-615	746	-949
drug_233	-974.5	-1413.5	-1015.5	-906	913	-505
drug_234	-896.5	-1342.5	974.5	-835	805	-552
drug_235	668	-1076.5	-1106.5	698	966	-1085
drug_236	966.5	1310.5	899	-863	-830	-592
drug_237	594.5	867.5	949.5	-692	780	-893
drug_238	961	1395	-933.5	-810	-628	-516
drug_239	454	1063	973.5	-624	450	-972
drug_24	850	1044	-1229.5	-740	698	-1120
drug_240	904.5	1212.5	920.5	-550	577	-945
drug_241	-698.5	-1175.5	893.5	-688	465	706
drug_242	474.5	1072.5	916.5	-567	470	-1022
drug_243	515	928	932.5	-525	614	-859
drug_244	966	1002	-1220.5	-906	-786	-636
drug_245	606	-850	-887.5	-643	726	-579
drug_246	-857	-1220	913	-896	939.5	-420
drug_247	937.5	-1330.5	965.5	-847	863	-517
drug_248	-888	-1242	977.5	-786	942	-543
drug_249	593	-839.5	-935.5	642	911	-1016
drug_25	-1059	-1108	-1147.5	-798.5	-871	888
drug_250	-833.5	-1285.5	924.5	-816	-815	-580
