ad	density	cc	spath	eigencentr	betwcentr
drug_1	856.5	932.5	-526	-741	1124	-940
drug_10	753.5	-972	-696.5	-1060.5	1031	-807.5
drug_100	-311	-333	722	681	306	1104
drug_101	-361	474.5	828.5	1022.5	424.5	1410.5
drug_102	-420	-447	737.5	-1012	486	1114.5
drug_103	-790	-853	-994	-1191	-942	1294.5
drug_104	-1002.5	-891.5	-1039.5	-1340.5	-919.5	1409
drug_105	-883	-857	1039	-1358.5	-1043	1371
drug_106	-1057.5	-954.5	-1134.5	-1340.5	-911	1321.5
drug_107	-542	-557	1032	1070	-500	1362
drug_108	-854.5	-856.5	-1006	-1252	-855	1361
drug_109	-962.5	-849.5	-1027.5	-1314.5	-897.5	-1273.5
drug_11	-608	-992	-821.5	-920.5	663	1228
drug_110	-652.5	-853.5	-978	851	-862.5	1357
drug_111	-460.5	-650.5	-696	971	-506.5	1423
drug_112	-450.5	-732.5	-759.5	909	-677	1361
drug_113	-970.5	-1225.5	-1145.5	-1172.5	-1194	-1484.5
drug_114	-614.5	-845.5	-966	-705	-940.5	-1302
drug_115	-444.5	-707.5	-838.5	921	-709.5	1335
drug_116	-453.5	-727.5	-867.5	899	-638.5	1420
drug_117	-648.5	-902.5	-997.5	916	-924.5	1327
drug_118	-406.5	-772.5	-921.5	854	-638.5	1479
drug_119	-595.5	-786.5	-1054	957	-812	1460
drug_12	-810.5	-777.5	856	-1143.5	822	1180
drug_120	-653.5	-924.5	-990.5	834	-910.5	1315
drug_121	-637.5	-904.5	-1000.5	910	-944.5	1321
drug_122	-608.5	-796.5	-959	869	-864.5	1350
drug_123	-485.5	-772.5	-889.5	798	-741.5	1477
drug_124	-444.5	-673.5	-828	895	-617.5	1312
drug_125	-619.5	-895.5	-947.5	799	-905.5	1405
drug_126	-614.5	-783.5	-941	834	-791	1463
drug_127	-581	-691	-909.5	738	-812	-1444.5
drug_128	-662.5	-877.5	-980	-837	-853.5	-1239
drug_129	-943.5	-1160.5	-1112	-1077	-1157	1492
drug_13	-858.5	-790.5	999	-1276	1113	866
drug_130	-395.5	-685.5	-698.5	837	543	1425
drug_131	-974.5	-1289.5	-1235.5	-1121.5	-1090.5	1537
drug_132	-613.5	-838.5	-969	892	-925.5	1410
drug_133	-970.5	-1202.5	-1089	-1157	-1178	-1435
drug_134	-568.5	-704.5	-912	913	-901.5	-1372
drug_135	-461.5	-764.5	-871.5	977	-665.5	1467
drug_136	-482	-655	-853.5	785	-604	1344
drug_137	-677.5	-884.5	-982	929.5	-859.5	1340.5
drug_138	-622.5	-906.5	-993.5	790	-929	1406
drug_139	-574.5	-794.5	-917	893	-916.5	1429
drug_14	-907	-773	1031	-1262	978	1157
drug_140	-634.5	-871.5	-985	885	-827.5	1343
drug_141	-441.5	-677.5	760	888	572	-1350
drug_142	-1156.5	-1445.5	-1545.5	-1075.5	1265	-1239.5
drug_143	-1239.5	-1455.5	-1539	-1124	1304	-904
drug_144	-1069	-1359	-1473	-1090	-1181.5	1333
drug_145	-1169.5	-1462.5	-1550.5	-1059.5	1252	1005
drug_146	-1170.5	-1463.5	-1551.5	-1060.5	1263	-988.5
drug_147	-1117	-1435	-1519	-1128	1300	-1017
drug_148	-979	-1267	-1447	-1060	1244	1003.5
drug_149	-1028.5	-1281.5	-1481.5	-1024.5	-1089	1225
drug_15	-917	-806	861	-1199	901	1098
drug_150	-1173.5	-1465.5	-1552.5	-1073.5	-1223.5	1359
drug_151	-1035	-1317	-1460	-1077	1267.5	-911
drug_152	819	1117	-1268.5	-880.5	1344	831
drug_153	-1152.5	-1443.5	-1544.5	-1076.5	1257	-1173.5
drug_154	-1158.5	-1450.5	-1546.5	-1077.5	1489	-1238.5
drug_155	-1098.5	-1353.5	-1506.5	-1039.5	1256	834.5
drug_156	1392	1434	-1422	-1165	1466	-835
drug_157	-1164.5	-1454.5	-1553.5	-1081.5	1261	-1157.5
drug_158	-1232.5	-1446.5	-1546	-1132	1235	-1129
drug_159	-1201.5	-1428.5	-1512.5	-1163.5	-1161.5	1545.5
drug_16	-982	-856	972	-1331	1083	1146
drug_160	-1143.5	-1330.5	-1468.5	-1141.5	1238	865
drug_161	-1160.5	-1451.5	-1549.5	-1082.5	-1208	1333
drug_162	-1151.5	-1444.5	-1538.5	-1053.5	1225.5	-961.5
drug_163	-1045	-1336	-1449	-950	1259	801
drug_164	-1111.5	-1327.5	-1485	-1037	-1066.5	-1266
drug_165	-750.5	-1089.5	-1308.5	962	-1003	1521
drug_166	-1077	-1380	-1483	-1063	1302	962.5
drug_167	-710	-1047	1329.5	861.5	-986.5	1263.5
drug_168	-1230.5	-1450.5	-1538	-1080	-1135	-1306
drug_169	-1117.5	-1328.5	-1483	-1048	-1062	1219.5
drug_17	-805.5	794.5	1041	-1175.5	923	-888.5
drug_170	-1046.5	-1382.5	-1493.5	-988.5	-1159.5	1373.5
