ad	density	cc	spath	eigencentr	betwcentr
drug_1	-574.5	815.5	811.5	-691.5	809.5	749.5
drug_10	-453.5	-458.5	-412	-479	434.5	-616
drug_100	657.5	589.5	655.5	354.5	766	604.5
drug_101	635	645	690	665	484	622
drug_102	635	645	690	665	746	622
drug_103	644	609	660	651.5	590.5	580
drug_104	651	618	667	454.5	401.5	663
drug_105	635	645	690	665	-707.5	622
drug_106	635	645	690	665	601	622
drug_107	635	645	690	665	746	622
drug_108	635	645	690	665	677.5	622
drug_109	651	618	667	454.5	637	663
drug_11	-303	533	605	-422	705.5	461
drug_110	-555.5	-693.5	-719.5	-616.5	-806	-514.5
drug_111	-555.5	-693.5	-719.5	-616.5	-746	-514.5
drug_112	-555.5	-693.5	-719.5	-616.5	-725.5	-514.5
drug_113	-633	-588	-591.5	-505.5	-505	-747.5
drug_114	-555.5	-693.5	-719.5	-616.5	-677	-514.5
drug_115	489.5	-571.5	-655.5	-467.5	-612	-647.5
drug_116	489.5	-571.5	-655.5	-467.5	-615.5	-647.5
drug_117	-555.5	-693.5	-719.5	-616.5	-574	-514.5
drug_118	489.5	-571.5	-655.5	-467.5	-428.5	-647.5
drug_119	688.5	685.5	752.5	697.5	666	652.5
drug_12	604.5	630.5	312	558	275	-526
drug_120	-555.5	-693.5	-719.5	-616.5	-790.5	-514.5
drug_121	-555.5	-693.5	-719.5	-616.5	-725.5	-514.5
drug_122	-303	533	605	-422	674.5	461
drug_123	-555.5	-693.5	-719.5	-616.5	-746	-514.5
drug_124	-555.5	-693.5	-719.5	-616.5	-609.5	-514.5
drug_125	-555.5	-693.5	-719.5	-616.5	-609.5	-514.5
drug_126	-555.5	-693.5	-719.5	-616.5	-742.5	-514.5
drug_127	335	364	534.5	-237.5	-420	-570.5
drug_128	-680	674	746.5	686.5	671	674.5
drug_129	489.5	-571.5	-655.5	-467.5	-778	-647.5
drug_13	555.5	799.5	399.5	598.5	330	666.5
drug_130	489.5	-571.5	-655.5	-467.5	-492.5	-647.5
drug_131	-555.5	-693.5	-719.5	-616.5	-859.5	-514.5
drug_132	335	364	534.5	-237.5	348.5	-570.5
drug_133	489.5	-571.5	-655.5	-467.5	-492.5	-647.5
drug_134	-303	533	605	-422	-607.5	461
drug_135	-555.5	-693.5	-719.5	-616.5	-806	-514.5
drug_136	-670.5	-736.5	-679.5	-667	-484.5	553.5
drug_137	489.5	-571.5	-655.5	-467.5	-731.5	-647.5
drug_138	-555.5	-693.5	-719.5	-616.5	-895	-514.5
drug_139	489.5	-571.5	-655.5	-467.5	-619.5	-647.5
drug_14	-303	533	605	-422	-549.5	461
drug_140	489.5	-571.5	-655.5	-467.5	-731.5	-647.5
