ad	density	cc	spath	eigencentr	betwcentr
drug_1	-285.5	404.5	434.5	-494	365	497.5
drug_10	-575.5	-565.5	-442.5	246	-697.5	-554
drug_100	472	-364.5	-348	-494	-347.5	603.5
drug_101	335.5	-364.5	375	-494	-127.5	440
drug_102	-393.5	526	585	-381.5	-408.5	-452.5
drug_103	648	661	-677	-640	861.5	666
drug_104	586.5	597.5	315	-611	-688	-667
drug_105	-393.5	526	585	-381.5	507	-452.5
drug_106	-285.5	404.5	480.5	-494	-436.5	326.5
drug_107	548.5	466.5	379	-623.5	485	-627.5
drug_108	-285.5	404.5	480.5	-494	-436.5	326.5
drug_109	548.5	466.5	379	-623.5	486.5	-627.5
drug_11	384.5	336.5	444.5	-295.5	-475.5	-640.5
drug_110	-454	-291	-427	-538	243.5	456.5
drug_111	525	576	-519.5	505	753	-590.5
drug_112	525	576	-519.5	505	548	-590.5
drug_113	-454	-291	-427	-538	446.5	456.5
drug_114	579	414	-348	614.5	589.5	620.5
drug_115	-454	384	-653.5	-547	679	-526
drug_116	-454	384	-653.5	-547	474	-526
drug_117	400	290	-427	-555.5	447	584.5
drug_118	-454	-291	-427	-538	419	609.5
drug_119	-454	384	-653.5	-547	624.5	-526
drug_12	-219	-242	404.5	-305	-379.5	448.5
drug_120	525	576	-519.5	505	548	-590.5
drug_121	525	576	-519.5	505	563	-590.5
drug_122	400	290	-427	-555.5	597.5	584.5
drug_123	-454	-291	-427	-538	-255	456.5
drug_124	525	576	-519.5	505	563	-590.5
drug_125	-454	384	-653.5	-547	474	-526
drug_126	562	281	-427	598.5	777.5	624.5
drug_127	-454	-291	-427	-538	290	609.5
drug_128	-454	-291	-427	-538	243.5	456.5
drug_129	525	576	-519.5	505	698.5	-590.5
drug_13	-831.5	-666.5	-538.5	515.5	-599.5	-633.5
drug_130	525	576	-519.5	505	548	-590.5
drug_131	562	369	-653.5	589	578	617
drug_132	572	554	-519.5	606	-524.5	591
drug_133	-476.5	-439.5	-653.5	-531	-378	-354
drug_134	572	554	-519.5	606	747.5	591
drug_135	-393.5	526	585	-381.5	-622	-452.5
drug_136	562	369	-653.5	589	728.5	617
drug_137	562	281	-427	598.5	573.5	624.5
drug_138	-454	384	-653.5	-547	474	-526
drug_139	525	576	-519.5	505	548	-590.5
drug_14	-923.5	856	860.5	-923.5	900	892.5
drug_140	562	369	-653.5	589	450.5	617
drug_141	525	576	-519.5	505	-435.5	-590.5
drug_142	-622	-653	-626	-235	-496.5	-324
drug_143	671	672	671.5	641.5	-815	648.5
drug_144	445	-499.5	-519.5	-381.5	-408.5	-452.5
drug_145	445	-499.5	-519.5	-381.5	-622	-452.5
drug_146	493	-499.5	-519.5	-381.5	-622	518
drug_147	600.5	-554.5	-288	-611	-559.5	-667
drug_148	-622	-653	-626	464	649	551.5
drug_149	445	-499.5	-519.5	-381.5	-408.5	-452.5
drug_15	601	483	505.5	-577	-534.5	-775
drug_150	671	672	671.5	641.5	-817	648.5
drug_151	445	-499.5	-519.5	-381.5	-408.5	-452.5
drug_152	586.5	597.5	351	-611	-773	-667
drug_153	445	-499.5	-519.5	-381.5	378.5	-452.5
drug_154	-622	-653	-626	-235	-646.5	-324
drug_155	663	675	675	626	-603.5	654
drug_156	493	-439.5	359	-565	-297	535
drug_157	663	675	675	626	694.5	654
drug_158	-682	-682	-662	673	-824.5	627
drug_159	582	-439.5	-264.5	-565	-297	536
drug_16	-923.5	856	860.5	-923.5	-880	892.5
drug_160	-682	-682	668.5	622.5	-611	630.5
drug_161	-476.5	453	551	-565	354	426
drug_162	-682	-682	668.5	622.5	-611	630.5
drug_163	562	-499.5	-519.5	-381.5	-377	-452.5
drug_164	-622	-653	-626	311.5	-522	-324
drug_165	493	-499.5	-519.5	423	-313	547.5
drug_166	-622	-653	-626	-235	-735.5	-324
drug_167	-648	-592	-228.5	-428.5	-456	343
drug_168	663	675	675	626	638	654
drug_169	-622	-653	-626	388.5	-528	596.5
drug_17	620	631	650	-653	-705	638
drug_170	335.5	-364.5	375	-494	-223	440
drug_171	525	576	-519.5	505	533.5	-590.5
drug_172	-592.5	-611.5	-626	452	-593	508
drug_173	-592.5	-611.5	-390.5	381.5	-494.5	-211.5
drug_174	525	576	-519.5	505	548	-590.5
drug_175	-489	308	-375	-583.5	-351.5	-402.5
drug_176	-640.5	-546.5	-598	440.5	-261.5	-230
drug_177	-393.5	526	585	-381.5	-650	-452.5
drug_178	-454	-291	-427	-538	-255	-223
drug_179	-671.5	-674.5	368	-591.5	-800.5	-656.5
drug_18	-836.5	-799.5	-676.5	508	-814	-817
drug_180	-454	-291	-427	-538	386	-223
drug_181	400	290	-427	-555.5	525.5	-289.5
drug_182	-393.5	526	585	-381.5	-650	-452.5
drug_183	493	431	-348	577	411.5	431.5
drug_184	-648	-592	-665	393	627.5	577.5
drug_185	493	431	-348	577	411.5	431.5
drug_186	-541.5	-449.5	409	-630.5	432.5	-648.5
drug_187	493	431	-348	577	411.5	431.5
drug_188	-648	-592	-665	393	292.5	577.5
drug_189	-476.5	-439.5	-653.5	-531	-380.5	-354
