ad	density	cc	spath	eigencentr	betwcentr
drug_1	545.5	-667	-565.5	730.5	-786.5	-785
drug_10	-562	-813	-608.5	710	-949.5	-895.5
drug_100	545.5	444	464	724	-589.5	-611
drug_101	545.5	667.5	464	441.5	-589.5	-611
drug_102	545.5	-399.5	464	710	-467	-448.5
drug_103	545.5	667.5	464	441.5	671	-654
drug_104	545.5	667.5	464	441.5	671	608.5
drug_105	545.5	626.5	464	358	573	669
drug_106	545.5	584.5	464	581	615	-544
drug_107	545.5	584.5	464	581	615	458
drug_108	545.5	538	464	470	-515	-654
drug_109	545.5	626.5	464	358	573	669
drug_11	545.5	538	464	644.5	745.5	-724
drug_110	545.5	-636	-492.5	679.5	-565.5	-494
drug_111	545.5	-518	464	730.5	-558	-562
drug_112	545.5	-416.5	464	566	502.5	-489
drug_113	545.5	-605.5	-484	751.5	-555.5	-591.5
drug_114	545.5	-636	-492.5	746	-611	-494
drug_115	545.5	-518	464	423	-558	-562
drug_116	545.5	-446	464	491	-498	-503.5
drug_117	545.5	-611.5	-480.5	491	-552	503
drug_118	545.5	-518	464	491	-559.5	-562
drug_119	545.5	-648	-486.5	760.5	-657	-534
drug_12	545.5	584.5	464	399.5	549	628.5
drug_120	545.5	-471.5	-476.5	566	502.5	-484
drug_121	545.5	-611.5	-480.5	664	569.5	-499
drug_122	545.5	-636	-492.5	500	-561.5	-494
drug_123	545.5	444	464	604	-489.5	-515
drug_124	545.5	-446	464	491	560.5	-503.5
drug_125	545.5	-576.5	-482.5	664	-550.5	-488
drug_126	545.5	-648	-486.5	664	-655.5	-534
drug_127	545.5	-652.5	-499	491	-668.5	-531.5
drug_128	545.5	-636	-492.5	679.5	-565.5	-494
drug_129	545.5	-605.5	-484	470	-554.5	-591.5
drug_13	545.5	538	464	470	-735.5	-738
drug_130	545.5	-540	464	412	-578.5	589
drug_131	545.5	-504.5	-478	664	-486.5	-529.5
drug_132	545.5	-636	-492.5	491	-563.5	503
drug_133	545.5	584.5	-478	307	625.5	717
drug_134	545.5	-652.5	-499	423	-667.5	547
drug_135	545.5	-446	464	412	-496	589
drug_136	545.5	-446	464	740.5	-498	-503.5
drug_137	545.5	-611.5	-480.5	604	600	-499
drug_138	545.5	-636	-492.5	365.5	-561.5	658.5
drug_139	545.5	-648	-486.5	566	-657	-534
drug_14	545.5	538	464	644.5	-733	-738
drug_140	545.5	-636	-492.5	334.5	-561.5	689.5
drug_141	545.5	-540	464	372	-579.5	640
drug_142	-743	-789.5	-742	-704	-601	467.5
drug_143	-737	-781.5	-736	-698	589	502
drug_144	-724.5	-758	-724.5	-686.5	537.5	475.5
drug_145	-733.5	-778	-733.5	-691.5	496.5	492.5
drug_146	-737	-781.5	-736	-698	-547	469.5
drug_147	-741	-785.5	-739	-701	-562.5	472
drug_148	-726.5	-771	-729.5	-690.5	490.5	477.5
drug_149	-706.5	-726	714	-683.5	507	475.5
drug_15	545.5	538	464	470	-531.5	566
drug_150	-725.5	-750	-723.5	-685.5	586	487.5
drug_151	-739.5	-788	-737.5	-702.5	-552.5	469.5
drug_152	-690.5	-727	714	-650.5	-792.5	-784.5
drug_153	-743	-789.5	-742	-704	-601	481
drug_154	-744.5	-791	-743.5	-705.5	-691.5	518.5
drug_155	-738.5	-783	-734.5	-699.5	-539.5	469.5
drug_156	-731.5	-669.5	-731.5	-803.5	-229.5	-255.5
drug_157	-741	-785.5	-739	-701	-563.5	475.5
drug_158	-735.5	-787	-744.5	-696.5	-631.5	492.5
drug_159	-708.5	-728	714	-681.5	560	481
drug_16	545.5	538	464	644.5	-730.5	-738
drug_160	-734.5	-784	-740.5	-695.5	-607.5	465.5
drug_161	-728	-759.5	-726.5	-687.5	560	481
drug_162	-730.5	-776	-730.5	-693.5	469.5	466.5
drug_163	-687.5	-718	714	-643.5	-791.5	-783.5
drug_164	-722.5	-757	-725.5	-688.5	699.5	648
drug_165	-591	789	714	-444.5	864	-716.5
drug_166	-732.5	-779	-732.5	-692.5	651.5	478.5
drug_167	-512	695	714	-559.5	731.5	648
drug_168	-728	-759.5	-727.5	-689.5	805.5	529
drug_169	-723.5	-775	-728.5	-684.5	678.5	496
drug_17	545.5	-494.5	464	548.5	-613.5	-566.5
drug_170	-707.5	-756	-722.5	-667.5	688	592
drug_171	545.5	538	464	-655.5	432	689.5
drug_172	545.5	538	464	-686	680	566
drug_173	545.5	489	464	697.5	423.5	345.5
drug_174	545.5	584.5	464	-655.5	615	458
drug_175	545.5	626.5	464	-686	642	526
drug_176	545.5	538	464	-655.5	737	401.5
drug_177	545.5	705	464	-648	699.5	682
drug_178	545.5	489	464	548.5	336	482.5
drug_179	545.5	626.5	464	-686	642	526
drug_18	545.5	538	464	-479	-621	689.5
drug_180	545.5	667.5	464	-655.5	602.5	703.5
drug_181	545.5	667.5	464	-655.5	671	608.5
drug_182	545.5	538	464	-581	515.5	566
drug_183	545.5	489	464	-614.5	680.5	482.5
drug_184	545.5	538	-475.5	644.5	586.5	401.5
drug_185	545.5	538	464	644.5	586.5	401.5
drug_186	545.5	626.5	464	518	642	526
drug_187	545.5	626.5	464	-686	642	526
drug_188	545.5	584.5	464	-686	475	717
drug_189	545.5	584.5	464	-631	470	717
drug_19	545.5	626.5	464	518	-810.5	-805.5
drug_190	545.5	626.5	464	-686	642	526
drug_191	-402.5	282.5	-451.5	898	364.5	-215
drug_192	545.5	626.5	464	-655.5	474	526
drug_193	545.5	538	464	-614.5	701	566
drug_194	545.5	626.5	464	-686	642	526
drug_195	545.5	538	464	-661	737	401.5
drug_196	545.5	626.5	464	-648	411	669
drug_197	545.5	584.5	464	-614.5	549	628.5
drug_198	545.5	667.5	464	-441.5	602.5	703.5
drug_199	-460	-322	-342.5	864.5	222	-252
drug_2	-567	-749	-553.5	697.5	-861.5	-877.5
drug_20	545.5	-498.5	464	604	-735.5	-738
drug_200	545.5	626.5	464	-648	792.5	526
drug_201	-696.5	-744	-698.5	-661.5	458	731.5
drug_202	-696.5	-744	-698.5	-661.5	401.5	696.5
drug_203	-680.5	-753	-686.5	-653.5	-355	589
drug_204	545.5	-611	-627.5	-450.5	-704.5	-770.5
drug_205	-685	-850.5	-682	-524.5	539.5	589
drug_206	-546	-756.5	-631.5	-438	-828.5	-814
drug_207	-670	-716.5	-633	-631	-317.5	468
drug_208	-696.5	-858	-698.5	-545	-425.5	735.5
drug_209	-680.5	-753	-686.5	-653.5	510	726.5
drug_21	545.5	-498.5	464	548.5	-731.5	-738
drug_210	-704	-732.5	-691	-646	-300.5	355.5
drug_211	545.5	538	-474.5	-360.5	-553.5	689.5
drug_212	-696.5	-744	-698.5	679.5	493.5	333.5
drug_213	-696.5	-744	-698.5	-661.5	-308	728.5
drug_214	545.5	-658	-629.5	-525.5	-760	-714.5
drug_215	-680.5	-753	-686.5	-653.5	-356.5	448.5
drug_216	-685	-850.5	-682	-524.5	-460	640
drug_217	-685	-626	-682	-750	-241	733.5
drug_218	-696.5	-858	-698.5	-545	-420	640
drug_219	-685	-850.5	-682	-524.5	-462	581.5
drug_22	741	865	743.5	-460	284.5	970.5
drug_220	-696.5	-858	-698.5	679.5	-420	-421
drug_221	-696.5	-858	-698.5	-545	-425.5	696.5
drug_222	-704	-732.5	-691	-646	-301.5	547
drug_223	-680.5	-753	-686.5	-653.5	-353	661.5
drug_224	-670	-830.5	-633	-514.5	-428.5	736.5
drug_225	-680.5	-867	-686.5	-537	-465	677
drug_226	-696.5	-744	-698.5	-661.5	-308	488.5
drug_227	-704	-732.5	-691	-646	-302.5	380
drug_228	-704	-846.5	-691	-529.5	-415.5	495.5
drug_229	-696.5	-858	-698.5	-545	-420	696.5
drug_23	545.5	-511.5	464	718	-719.5	-724
drug_230	-696.5	-744	-698.5	-661.5	-308	661.5
drug_231	-594.5	-741	-610.5	566	-794.5	-797
drug_232	-601.5	-728	-563.5	736.5	-844	-889
drug_233	-644.5	-787	-600.5	623	-845.5	-834
drug_234	-644.5	-787	-600.5	-506	-847	-834
drug_235	-644.5	-787	-600.5	566	-847	-834
drug_236	-601.5	-728	-563.5	679.5	-844	-889
drug_237	-618.5	-713	-585.5	679.5	-804.5	-860
drug_238	545.5	489	464	548.5	-538	-662.5
drug_239	-567	-683.5	-592.5	623	-780.5	-803
drug_24	545.5	584.5	464	581	-688.5	-724
drug_240	545.5	-551	464	710	-711.5	-709
drug_241	545.5	399	464	491	-431.5	503
drug_242	-567	-683.5	-592.5	679.5	-781.5	-803
drug_243	545.5	444	464	412	389	589
