ad	density	cc	spath	eigencentr	betwcentr
drug_1	753	733	681	780	708.5	761
drug_10	512	569	628	597	-592	-421.5
drug_100	658.5	627.5	-580.5	706.5	-383	670.5
drug_101	678	688	-611	711	-835.5	666
drug_102	666	719	705	729	682.5	635
drug_103	-562	-607	-624	-613	-595	604
drug_104	645	622	-573.5	660	672.5	691.5
drug_105	635.5	663.5	698.5	740.5	742.5	323.5
drug_106	678	688	-611	711	-613	666
drug_107	678	688	-611	711	646	666
drug_108	678	688	-611	711	-772.5	666
drug_109	660.5	636.5	-592.5	719.5	-744	336.5
drug_11	684	695	678.5	766.5	635	641.5
drug_110	-575.5	-683.5	-650.5	-687.5	-662	-671.5
drug_111	-641	525	542	-554.5	-551.5	-840
drug_112	-575.5	-683.5	-650.5	-687.5	-701	-671.5
drug_113	-575.5	-683.5	-650.5	-687.5	-718	-671.5
drug_114	-575.5	-683.5	-650.5	-687.5	-659	-671.5
drug_115	-575.5	-683.5	-650.5	-687.5	-736	-671.5
drug_116	-575.5	-683.5	-650.5	-687.5	-701	-671.5
drug_117	-575.5	-683.5	-650.5	-687.5	-627	-671.5
drug_118	-463	-514	-594	-549	-572.5	-826
drug_119	-575.5	-683.5	-650.5	-687.5	-694	-671.5
drug_12	592	632	410	642	656	-576
drug_120	-575.5	-683.5	-650.5	-687.5	-696	-671.5
drug_121	-642	-603	538	-625	-629.5	-629
drug_122	-575.5	-683.5	-650.5	-687.5	-736	-671.5
drug_123	-575.5	-683.5	-650.5	-687.5	-645.5	-671.5
drug_124	-575.5	-683.5	-650.5	-687.5	-659	-671.5
drug_125	-575.5	-683.5	-650.5	-687.5	-736	-671.5
drug_126	-575.5	-683.5	-650.5	-687.5	-694	-671.5
drug_127	-483	-536	-544.5	-581.5	-586.5	-557.5
drug_128	-575.5	-683.5	-650.5	-687.5	-761.5	-671.5
drug_129	-575.5	-683.5	-650.5	-687.5	-736	-671.5
drug_13	402.5	-336	-458.5	-339.5	-449	-891.5
drug_130	-463	-514	-594	-549	-572.5	-826
drug_131	-575.5	-683.5	-650.5	-687.5	-635.5	-671.5
drug_132	-575.5	-683.5	-650.5	-687.5	-694	-671.5
drug_133	-575.5	-683.5	-650.5	-687.5	-662	-671.5
drug_134	-575.5	-683.5	-650.5	-687.5	-683	-671.5
drug_135	-483	-536	-544.5	-581.5	-541	-557.5
drug_136	-575.5	-683.5	-650.5	-687.5	-694	-671.5
drug_137	-483	-536	-544.5	-581.5	-509	-557.5
drug_138	-575.5	-683.5	-650.5	-687.5	-736	-671.5
drug_139	-529	-571	-534.5	-595.5	-613	-835.5
drug_14	-442.5	-452.5	-450.5	154.5	-456	-466.5
drug_140	-575.5	-683.5	-650.5	-687.5	-719.5	-671.5
drug_141	-483	-536	-544.5	-581.5	-571.5	-557.5
drug_142	-777.5	-744.5	-693	-758.5	-598.5	-727
drug_143	-918	-756	-823	-787	-664.5	-623
drug_144	-808.5	-738.5	-828	-764	-787.5	-619
drug_145	-935.5	-932.5	-916.5	-934.5	-952.5	-916.5
drug_146	-912	-870	-883.5	-876.5	-837	-738.5
drug_147	-691.5	-561.5	-558	-605.5	-509.5	-543
drug_148	-912	-870	-883.5	-876.5	-839.5	-738.5
drug_149	-912	-870	-883.5	-876.5	-809.5	-738.5
drug_15	-409.5	-475.5	-484.5	-475.5	-486	-859.5
drug_150	-838.5	-598.5	-739	-644	-550	-590
drug_151	-838.5	-598.5	-739	-644	-641.5	-590
drug_152	-507.5	-492.5	504.5	-534.5	-522.5	-505.5
drug_153	-628.5	-587.5	527	-615.5	-591	-603
drug_154	-691.5	-561.5	-558	-605.5	-552.5	-543
drug_155	-912	-870	-883.5	-876.5	-837	-738.5
drug_156	-678.5	-632.5	-716.5	-641.5	-588.5	-569.5
drug_157	-453	-462	488	-509	-452.5	-479
drug_158	-507.5	-492.5	504.5	-534.5	-518	-505.5
drug_159	-856	-614	-736	-743.5	-648.5	-615
drug_16	-409.5	-475.5	-484.5	-475.5	-485.5	-859.5
drug_160	-912	-870	-883.5	-876.5	-862.5	-738.5
drug_161	-691.5	-561.5	-558	-605.5	-508.5	-543
drug_162	-808.5	-738.5	-828	-764	-743.5	-619
drug_163	-912	-870	-883.5	-876.5	-885.5	-738.5
drug_164	-808.5	-738.5	-828	-764	-724	-619
drug_165	-483	-536	-569	-566	-560	-531
drug_166	-912	-870	-883.5	-876.5	-883.5	-738.5
drug_167	-933	-944	-938	-944	-933.5	-925
drug_168	-912	-870	-883.5	-876.5	-818	-738.5
drug_169	-808.5	-738.5	-828	-764	-787.5	-619
drug_17	512	569	628	597	-566	-421.5
drug_170	-935.5	-932.5	-916.5	-934.5	-953.5	-916.5
drug_171	635.5	663.5	687	746	790.5	630
drug_172	-497	-572	-532	-576	-468.5	-525
drug_173	-546.5	-519.5	-479.5	327.5	-462	313.5
drug_174	-406.5	383.5	546.5	396.5	465.5	304.5
drug_175	-497	-572	-532	-576	-524.5	-525
drug_176	-438.5	-389.5	-467.5	-492.5	-334.5	591.5
drug_177	744	748	573	777	510	655
drug_178	-497	-572	-532	-576	-546	-525
drug_179	-497	-572	-532	-576	-717.5	-525
drug_18	-409.5	-475.5	-484.5	-475.5	-487	-859.5
drug_180	752	750	708	782	636.5	736
drug_181	570	352	-362	332	386	331
drug_182	-497	-572	-532	-576	588.5	-525
drug_183	-546.5	-519.5	-479.5	327.5	310.5	313.5
drug_184	-438.5	-389.5	-467.5	-492.5	-499	591.5
drug_185	512	569	628	597	-617.5	-421.5
drug_186	-497	-572	-532	-576	-658	-525
drug_187	-546.5	-519.5	-479.5	327.5	310.5	313.5
drug_188	-497	-572	-532	-576	-727	-525
drug_189	-438.5	-389.5	-467.5	-492.5	-334.5	591.5
drug_19	460.5	436.5	-394.5	520.5	-408.5	-448.5
drug_190	-438.5	-389.5	-467.5	-492.5	-434.5	591.5
drug_191	803.5	724.5	671.5	856.5	646	897.5
drug_192	635.5	663.5	687	746	618.5	630
drug_193	-497	-572	-532	-576	-606	-525
drug_194	608.5	639.5	674.5	685	-636	712.5
drug_195	-497	-572	-532	-576	-448.5	-525
drug_196	-497	-572	-532	-576	-684	-525
drug_197	-497	-572	-532	-576	-624.5	-525
drug_198	-497	-572	-532	-576	-558	-525
drug_199	-438.5	-389.5	-467.5	-492.5	-434.5	591.5
drug_2	684	695	678.5	766.5	807	641.5
drug_20	-608.5	-678.5	-682.5	-678.5	-526	-658.5
drug_200	-497	-572	-532	-576	-558	-525
drug_201	645	622	563.5	717.5	608	321.5
drug_202	454.5	469.5	450	507	-367.5	360
drug_203	454.5	469.5	450	507	-431	360
drug_204	598.5	520.5	326.5	517.5	337	474.5
drug_205	454.5	469.5	450	507	306.5	360
drug_206	334.5	373.5	556.5	370.5	-445.5	545.5
drug_207	454.5	469.5	450	507	608	360
drug_208	-380	337	377.5	345.5	314.5	298.5
drug_209	454.5	469.5	450	507	306.5	360
drug_21	-409.5	-475.5	-484.5	-475.5	-487	-859.5
drug_210	512	569	628	597	522.5	-421.5
drug_211	454.5	469.5	450	507	440	360
drug_212	454.5	469.5	450	507	554	360
drug_213	598.5	520.5	326.5	517.5	-385.5	474.5
drug_214	-380	337	377.5	345.5	423	298.5
drug_215	645	622	563.5	717.5	503.5	321.5
drug_216	-380	337	377.5	345.5	-390.5	298.5
drug_217	454.5	469.5	450	507	440	360
drug_218	454.5	469.5	450	507	432	360
drug_219	512	569	628	597	561	-421.5
drug_22	-627.5	272	-604.5	300	271	-226.5
drug_220	454.5	469.5	450	507	604	360
drug_221	454.5	469.5	450	507	338	360
drug_222	454.5	469.5	450	507	432	360
drug_223	454.5	469.5	450	507	445	360
drug_224	-380	337	377.5	345.5	177.5	298.5
drug_225	-406.5	383.5	546.5	396.5	640	304.5
drug_226	512	569	628	597	-432.5	-421.5
drug_227	512	569	628	597	733	-421.5
drug_228	454.5	469.5	450	507	445	360
drug_229	454.5	469.5	450	507	604	360
drug_23	-608.5	-678.5	-682.5	-678.5	631	-658.5
drug_230	454.5	469.5	450	507	440	360
drug_231	-438.5	-389.5	-467.5	-492.5	-494	591.5
drug_232	334.5	373.5	556.5	370.5	454.5	545.5
drug_233	-497	-572	-532	-576	-658	-525
drug_234	512	569	628	597	581	-421.5
drug_235	-497	-572	-532	-576	-684	-525
drug_236	512	569	628	597	581	-421.5
drug_237	-497	-572	-532	-576	-760.5	-525
drug_238	-497	-572	-532	-576	-624.5	-525
drug_239	512	569	628	597	753	-421.5
drug_24	-608.5	-678.5	-682.5	-678.5	-660	-658.5
drug_240	512	569	628	597	537.5	-421.5
drug_241	592	632	410	642	661.5	-576
drug_242	616.5	657.5	671	676	819.5	335
drug_243	-497	-572	-532	-576	489	-525
drug_244	-626	-637	431.5	393.5	371.5	-719
drug_245	-652	-691	-591	-696	-480	-668
drug_246	-497	-572	-532	-576	-524.5	-525
drug_247	-497	-572	-532	-576	-558	-525
drug_248	-497	-572	-532	-576	-624.5	-525
drug_249	-497	-572	-532	-576	-743	-525
drug_25	581.5	490	-487	408	496.5	-624
drug_250	-786	-767	-329	-773	-749.5	-722
drug_251	512	569	628	597	733	-421.5
drug_252	512	569	628	597	733	-421.5
drug_253	512	569	628	597	-635	-421.5
drug_254	-497	-572	-532	-576	-524.5	-525
drug_255	-497	-572	-532	-576	-546	-525
drug_256	-497	-572	-532	-576	-717.5	-525
drug_257	512	569	628	597	687	-421.5
drug_258	666	719	705	729	680.5	635
drug_259	653.5	703.5	713.5	729	729.5	683.5
drug_26	635.5	663.5	687	746	480	630
drug_260	-497	-572	-532	-576	-524.5	-525
drug_261	-497	-572	-532	-576	-386.5	-525
drug_262	612.5	655.5	701	697	628.5	616
drug_263	608.5	639.5	674.5	685	794	712.5
drug_264	-497	-572	-532	-576	541	-525
drug_265	-497	-572	-532	-576	-684	-525
drug_266	-497	-572	-532	-576	-408	-525
drug_267	-497	-572	-532	-576	-760.5	-525
drug_268	-497	-572	-532	-576	578	-525
drug_269	672.5	725.5	719.5	774.5	533	575.5
drug_27	-497	-572	-532	-576	-524.5	-525
drug_270	653.5	703.5	713.5	729	723.5	683.5
drug_271	593	-373	-330	-377	-353.5	-329
drug_272	684	695	781	689	856.5	338
drug_273	-497	-572	-532	-576	569	-525
drug_274	-497	-572	-532	-576	-658	-525
drug_275	-438.5	-389.5	-467.5	-492.5	-339.5	591.5
drug_276	-497	-572	-532	-576	-684	-525
drug_277	512	569	628	597	687	-421.5
drug_278	-497	-572	-532	-576	578	-525
drug_279	-438.5	-389.5	-467.5	-492.5	391.5	591.5
drug_28	-497	-572	-532	-576	562.5	-525
drug_280	512	569	628	597	422.5	-421.5
drug_281	512	569	628	597	561	-421.5
drug_282	-497	-572	-532	-576	578	-525
drug_283	-438.5	-389.5	-467.5	-492.5	-334.5	591.5
drug_284	-497	-572	-532	-576	-386.5	-525
drug_285	-586	-620	373	-620	-590	-684
drug_286	-497	-572	-532	-576	-684	-525
drug_287	608.5	639.5	674.5	685	686.5	712.5
drug_288	-497	-572	-532	-576	-769.5	-525
drug_289	756	768	749	784	927.5	757
drug_29	581.5	490	-487	408	-376	-624
drug_290	-689.5	-686.5	-672.5	-688.5	-535.5	645.5
drug_291	749.5	729.5	-616	761	910	767
drug_292	-681.5	-696.5	-701.5	-696	-827	-648.5
drug_293	-689.5	-686.5	-672.5	-688.5	-633	645.5
drug_294	653.5	703.5	713.5	729	729.5	683.5
drug_295	635.5	663.5	578	685	492	659
drug_296	689.5	670.5	743	696	-710.5	656
drug_297	454.5	469.5	438	497	681.5	564
drug_298	-681.5	-696.5	-701.5	-696	-572.5	-648.5
drug_299	-579.5	-664.5	-664.5	-665.5	-842	-599.5
drug_3	684	695	678.5	766.5	738.5	641.5
drug_30	-497	-572	-532	-576	-776.5	-525
drug_300	-681.5	-696.5	-701.5	-696	-669	-648.5
drug_301	754	757	670	778	658.5	743
drug_302	-681.5	-696.5	-701.5	-696	-666	-648.5
drug_303	-672	-627	-603	-653	794.5	674
drug_304	749.5	729.5	-616	761	738	767
drug_305	707.5	646.5	-653.5	669.5	-688	-677.5
drug_306	749.5	729.5	-616	761	-807	767
drug_307	-681.5	-696.5	-701.5	-696	-667.5	-648.5
drug_308	662.5	675.5	-599.5	701.5	-592.5	578.5
drug_309	-689.5	-686.5	-672.5	-688.5	796	645.5
drug_31	687	699	773	699	576.5	673
drug_310	-653.5	-652.5	-694.5	-658.5	-794.5	-687.5
drug_311	-689.5	-686.5	-672.5	-688.5	-633	645.5
drug_312	-681.5	-696.5	-701.5	-696	-671	-648.5
drug_313	-653.5	-652.5	-694.5	-658.5	-838.5	-687.5
